,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Aiken Spring,2024-03-11T15:57:13.000,39.191729766,-84.553319075,84.0,2.0,2.0,2.0,23.0
2,Aiken Spring,2024-03-11T15:57:15.000,39.191731979,-84.55331213,84.0,0.0,0.0,0.0,22.0
3,Aiken Spring,2024-03-11T15:57:16.000,39.191726235,-84.553295532,84.0,0.0,0.0,0.0,22.0
4,Aiken Spring,2024-03-11T15:57:18.000,39.191713021,-84.553282029,84.0,1.0,1.0,1.0,22.0
5,Aiken Spring,2024-03-11T15:57:19.000,39.191713021,-84.553282029,84.0,1.0,1.0,1.0,21.0
6,Aiken Spring,2024-03-11T15:57:20.000,39.191703415,-84.55328004,84.0,,,,
7,Aiken Spring,2024-03-11T15:57:20.000,39.191695289,-84.553282475,84.0,,,,
8,Aiken Spring,2024-03-11T15:57:20.000,39.191703415,-84.55328004,,1.0,,,
9,Aiken Spring,2024-03-11T15:57:20.000,39.191695289,-84.553282475,,1.0,1.0,,
10,Aiken Spring,2024-03-11T15:57:20.000,39.191703415,-84.55328004,,,1.0,1.0,
11,Aiken Spring,2024-03-11T15:57:20.000,39.191695289,-84.553282475,,,,1.0,
12,Aiken Spring,2024-03-11T15:57:20.000,39.191703415,-84.55328004,,,,,21.0
13,Aiken Spring,2024-03-11T15:57:20.000,39.191695289,-84.553282475,,,,,21.0
14,Aiken Spring,2024-03-11T15:57:22.000,39.191698768,-84.55326736,84.0,0.0,0.0,0.0,21.0
15,Aiken Spring,2024-03-11T15:57:23.000,39.191693763,-84.553283096,84.0,1.0,1.0,1.0,21.0
16,Aiken Spring,2024-03-11T15:57:25.000,39.191706814,-84.553278297,84.0,,,,
17,Aiken Spring,2024-03-11T15:57:25.000,39.191715231,-84.553271883,84.0,1.0,,,
18,Aiken Spring,2024-03-11T15:57:25.000,39.191706814,-84.553278297,,1.0,,,
19,Aiken Spring,2024-03-11T15:57:25.000,39.191715231,-84.553271883,,,1.0,,
20,Aiken Spring,2024-03-11T15:57:25.000,39.191706814,-84.553278297,,,1.0,1.0,
21,Aiken Spring,2024-03-11T15:57:25.000,39.191715231,-84.553271883,,,,1.0,21.0
22,Aiken Spring,2024-03-11T15:57:25.000,39.191706814,-84.553278297,,,,,21.0
