,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc01 sunday,2024-03-10T13:04:35.000,39.140408132,-84.549774747,88.0,0.0,0.0,0.0,22.25
2,Bc01 sunday,2024-03-10T13:04:40.000,39.140408132,-84.549774747,88.0,0.0,0.0,0.0,22.0
3,Bc01 sunday,2024-03-10T13:04:45.000,39.140408132,-84.549774747,88.0,0.0,0.0,0.0,22.0
4,Bc01 sunday,2024-03-10T13:04:50.000,39.140408132,-84.549774747,88.0,0.0,0.0,0.0,22.0
5,Bc01 sunday,2024-03-10T13:04:55.000,39.140408132,-84.549774747,88.0,0.0,0.0,0.0,22.8
6,Bc01 sunday,2024-03-10T13:05:00.000,39.140394275,-84.549734223,88.0,0.0,0.0,0.0,23.0
7,Bc01 sunday,2024-03-10T13:05:05.000,39.140393891,-84.549721751,88.0,0.0,0.0,0.0,23.0
8,Bc01 sunday,2024-03-10T13:05:10.000,39.140393036,-84.549717527,88.0,0.0,0.0,0.0,23.0
9,Bc01 sunday,2024-03-10T13:05:15.000,39.140393036,-84.549717527,88.0,0.0,0.0,0.0,22.0
10,Bc01 sunday,2024-03-10T13:05:20.000,39.140393036,-84.549717527,88.0,0.0,0.0,0.0,22.0
11,Bc01 sunday,2024-03-10T13:05:25.000,39.140393036,-84.549717527,88.0,0.0,0.0,0.0,22.0
12,Bc01 sunday,2024-03-10T13:05:30.000,39.140393036,-84.549717527,88.0,0.0,0.0,0.0,22.0
