,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,BC02 ,2024-03-09T23:54:09.000,39.156186197,-84.548463886,90.0,28.0,42.0,30.0,32.0
2,BC02 ,2024-03-09T23:54:10.000,39.1561893,-84.548464675,90.0,28.0,42.0,30.0,32.0
3,BC02 ,2024-03-09T23:54:11.000,39.156186628,-84.548465122,90.0,28.0,42.0,30.0,32.0
4,BC02 ,2024-03-09T23:54:12.000,39.156191112,-84.548467902,90.0,28.0,42.0,30.0,32.0
5,BC02 ,2024-03-09T23:54:13.000,39.156196997,-84.548468298,90.0,28.0,42.0,30.0,32.0
6,BC02 ,2024-03-09T23:54:14.000,39.15619911,-84.548471202,90.0,28.0,42.0,30.0,32.0
7,BC02 ,2024-03-09T23:54:15.000,39.156199744,-84.548470484,90.0,28.0,42.0,30.0,32.0
8,BC02 ,2024-03-09T23:54:16.000,39.156201277,-84.548470537,90.0,30.0,47.0,33.0,32.0
9,BC02 ,2024-03-09T23:54:17.000,39.156201305,-84.548470041,90.0,30.0,47.0,33.0,32.0
10,BC02 ,2024-03-09T23:54:18.000,39.156200022,-84.548470286,90.0,30.0,47.0,33.0,32.0
11,BC02 ,2024-03-09T23:54:19.000,39.156198206,-84.548471792,90.0,30.0,47.0,33.0,32.0
12,BC02 ,2024-03-09T23:54:20.000,39.156200327,-84.548470814,90.0,28.0,42.0,30.0,32.0
13,BC02 ,2024-03-09T23:54:21.000,39.156198999,-84.548469983,90.0,28.0,42.0,30.0,32.0
14,BC02 ,2024-03-09T23:54:22.000,39.156198999,-84.548469983,90.0,30.0,47.0,33.0,32.0
15,BC02 ,2024-03-09T23:54:23.000,39.156198999,-84.548469983,90.0,30.0,47.0,33.0,32.0
16,BC02 ,2024-03-09T23:54:24.000,39.156198999,-84.548469983,90.0,33.0,54.0,36.0,32.0
17,BC02 ,2024-03-09T23:54:25.000,39.156198999,-84.548469983,90.0,33.0,54.0,36.0,32.0
18,BC02 ,2024-03-09T23:54:26.000,39.156198999,-84.548469983,90.0,33.0,54.0,36.0,32.0
19,BC02 ,2024-03-09T23:54:27.000,39.156198999,-84.548469983,90.0,30.0,47.0,33.0,32.0
20,BC02 ,2024-03-09T23:54:28.000,39.156198999,-84.548469983,90.0,30.0,47.0,33.0,32.0
21,BC02 ,2024-03-09T23:54:29.000,39.156198999,-84.548469983,90.0,30.0,47.0,33.0,32.0
22,BC02 ,2024-03-09T23:54:30.000,39.156198999,-84.548469983,90.0,30.0,47.0,33.0,32.0
23,BC02 ,2024-03-09T23:54:31.000,39.156200584,-84.548457292,90.0,30.0,47.0,33.0,32.0
24,BC02 ,2024-03-09T23:54:32.000,39.156200235,-84.548456405,90.0,30.0,47.0,33.0,32.0
25,BC02 ,2024-03-09T23:54:33.000,39.156198698,-84.548455238,90.0,28.0,42.0,30.0,32.0
26,BC02 ,2024-03-09T23:54:34.000,39.156197215,-84.548454495,90.0,29.0,45.0,32.0,32.0
27,BC02 ,2024-03-09T23:54:35.000,39.156198045,-84.548458395,90.0,30.0,47.0,33.0,32.0
28,BC02 ,2024-03-09T23:54:36.000,39.156198342,-84.548458917,90.0,28.0,42.0,30.0,32.0
29,BC02 ,2024-03-09T23:54:37.000,39.156195882,-84.548456192,90.0,28.0,42.0,30.0,32.0
30,BC02 ,2024-03-09T23:54:38.000,39.15619392,-84.548452475,90.0,26.0,37.0,28.0,32.0
31,BC02 ,2024-03-09T23:54:39.000,39.156194018,-84.54845231,90.0,26.0,37.0,28.0,32.0
32,BC02 ,2024-03-09T23:54:40.000,39.156191692,-84.548453225,90.0,26.0,37.0,28.0,32.0
33,BC02 ,2024-03-09T23:54:41.000,39.156187802,-84.548453086,90.0,28.0,42.0,30.0,32.0
34,BC02 ,2024-03-09T23:54:42.000,39.156187802,-84.548453086,90.0,26.0,37.0,28.0,32.0
35,BC02 ,2024-03-09T23:54:43.000,39.156187802,-84.548453086,90.0,27.0,39.0,29.0,32.0
36,BC02 ,2024-03-09T23:54:44.000,39.156187802,-84.548453086,90.0,28.0,42.0,30.0,32.0
37,BC02 ,2024-03-09T23:54:45.000,39.156187802,-84.548453086,90.0,26.0,37.0,28.0,32.0
38,BC02 ,2024-03-09T23:54:46.000,39.156187802,-84.548453086,90.0,26.0,37.0,28.0,32.0
39,BC02 ,2024-03-09T23:54:47.000,39.156187802,-84.548453086,90.0,28.0,42.0,30.0,32.0
40,BC02 ,2024-03-09T23:54:48.000,39.156187802,-84.548453086,90.0,28.0,42.0,30.0,32.0
41,BC02 ,2024-03-09T23:54:49.000,39.156193786,-84.54844811,90.0,28.0,42.0,30.0,32.0
42,BC02 ,2024-03-09T23:54:50.000,39.156199992,-84.548452169,90.0,28.0,42.0,30.0,32.0
43,BC02 ,2024-03-09T23:54:51.000,39.156200556,-84.548453193,90.0,28.0,42.0,30.0,32.0
44,BC02 ,2024-03-09T23:54:52.000,39.156198344,-84.548450902,90.0,30.0,47.0,33.0,32.0
45,BC02 ,2024-03-09T23:54:53.000,39.156195281,-84.548451217,90.0,30.0,47.0,33.0,32.0
46,BC02 ,2024-03-09T23:54:54.000,39.156195993,-84.548456707,90.0,30.0,47.0,33.0,32.0
47,BC02 ,2024-03-09T23:54:55.000,39.156192863,-84.548454015,90.0,30.0,47.0,33.0,32.0
48,BC02 ,2024-03-09T23:54:56.000,39.156194652,-84.548451499,90.0,33.0,54.0,36.0,32.0
49,BC02 ,2024-03-09T23:54:57.000,39.156191562,-84.548451577,90.0,33.0,54.0,36.0,32.0
50,BC02 ,2024-03-09T23:54:58.000,39.156188464,-84.548448547,90.0,32.0,50.0,35.0,32.0
51,BC02 ,2024-03-09T23:54:59.000,39.156188931,-84.54844501,90.0,33.0,54.0,36.0,32.0
52,BC02 ,2024-03-09T23:55:00.000,39.156187327,-84.548441792,90.0,33.0,54.0,36.0,31.0
53,BC02 ,2024-03-09T23:55:01.000,39.156183503,-84.548434972,90.0,35.0,60.0,39.0,31.0
54,BC02 ,2024-03-09T23:55:02.000,39.156177219,-84.548428555,90.0,38.0,66.0,43.0,31.0
55,BC02 ,2024-03-09T23:55:03.000,39.156173254,-84.548426655,90.0,38.0,66.0,43.0,31.0
56,BC02 ,2024-03-09T23:55:04.000,39.156169545,-84.548426703,90.0,38.0,66.0,43.0,31.0
57,BC02 ,2024-03-09T23:55:05.000,39.156167218,-84.548420337,90.0,38.0,66.0,43.0,31.0
58,BC02 ,2024-03-09T23:55:06.000,39.156164634,-84.548413681,90.0,38.0,66.0,43.0,31.0
59,BC02 ,2024-03-09T23:55:07.000,39.15615908,-84.548408367,90.0,40.0,73.0,46.0,31.0
60,BC02 ,2024-03-09T23:55:08.000,39.156156861,-84.548401811,90.0,40.0,73.0,46.0,31.0
61,BC02 ,2024-03-09T23:55:09.000,39.156150033,-84.548395524,90.0,40.0,73.0,46.0,31.0
62,BC02 ,2024-03-09T23:55:10.000,39.156147049,-84.548395132,90.0,40.0,73.0,46.0,31.0
63,BC02 ,2024-03-09T23:55:11.000,39.156144981,-84.548396287,90.0,38.0,66.0,43.0,31.0
64,BC02 ,2024-03-09T23:55:12.000,39.156141301,-84.548398018,90.0,40.0,73.0,46.0,31.0
65,BC02 ,2024-03-09T23:55:13.000,39.156142393,-84.548396136,90.0,40.0,73.0,46.0,31.0
66,BC02 ,2024-03-09T23:55:14.000,39.156140112,-84.548395235,90.0,38.0,66.0,43.0,31.0
67,BC02 ,2024-03-09T23:55:15.000,39.156137077,-84.548395985,90.0,38.0,66.0,43.0,31.0
68,BC02 ,2024-03-09T23:55:16.000,39.15613543,-84.548397799,90.0,38.0,66.0,43.0,31.0
69,BC02 ,2024-03-09T23:55:17.000,39.156134191,-84.548398162,90.0,38.0,66.0,43.0,31.0
70,BC02 ,2024-03-09T23:55:18.000,39.156133875,-84.548397791,90.0,38.0,66.0,43.0,31.0
71,BC02 ,2024-03-09T23:55:19.000,39.156132563,-84.548402946,90.0,38.0,66.0,43.0,31.0
72,BC02 ,2024-03-09T23:55:20.000,39.156131267,-84.548406393,90.0,38.0,66.0,43.0,31.0
73,BC02 ,2024-03-09T23:55:21.000,39.156127484,-84.548404542,90.0,38.0,66.0,43.0,31.0
74,BC02 ,2024-03-09T23:55:22.000,39.156126777,-84.548402742,90.0,38.0,66.0,43.0,31.0
75,BC02 ,2024-03-09T23:55:23.000,39.156125206,-84.548401458,90.0,38.0,66.0,43.0,31.0
76,BC02 ,2024-03-09T23:55:24.000,39.156124204,-84.548403681,90.0,38.0,66.0,43.0,31.0
77,BC02 ,2024-03-09T23:55:25.000,39.15612242,-84.54840076,90.0,35.0,60.0,39.0,31.0
78,BC02 ,2024-03-09T23:55:26.000,39.156120404,-84.548398503,90.0,38.0,66.0,43.0,31.0
79,BC02 ,2024-03-09T23:55:27.000,39.156119183,-84.548395428,90.0,38.0,66.0,43.0,31.0
80,BC02 ,2024-03-09T23:55:28.000,39.156115066,-84.548391818,90.0,35.0,60.0,39.0,31.0
81,BC02 ,2024-03-09T23:55:29.000,39.156115233,-84.548390393,90.0,35.0,60.0,39.0,31.0
82,BC02 ,2024-03-09T23:55:30.000,39.156112245,-84.548385956,90.0,35.0,60.0,39.0,31.0
83,BC02 ,2024-03-09T23:55:31.000,39.156107224,-84.548377749,90.0,35.0,60.0,39.0,31.0
84,BC02 ,2024-03-09T23:55:32.000,39.156104415,-84.548373846,90.0,33.0,54.0,36.0,31.0
85,BC02 ,2024-03-09T23:55:33.000,39.156102815,-84.54837086,90.0,33.0,54.0,36.0,31.0
86,BC02 ,2024-03-09T23:55:34.000,39.156101888,-84.548369247,90.0,35.0,60.0,39.0,31.0
87,BC02 ,2024-03-09T23:55:35.000,39.156101888,-84.548369247,90.0,38.0,66.0,43.0,31.0
88,BC02 ,2024-03-09T23:55:36.000,39.156101888,-84.548369247,90.0,38.0,66.0,43.0,31.0
89,BC02 ,2024-03-09T23:55:37.000,39.156101888,-84.548369247,90.0,38.0,66.0,43.0,31.0
90,BC02 ,2024-03-09T23:55:38.000,39.156101888,-84.548369247,90.0,38.0,66.0,43.0,31.0
91,BC02 ,2024-03-09T23:55:39.000,39.156101807,-84.548374173,90.0,38.0,66.0,43.0,31.0
92,BC02 ,2024-03-09T23:55:40.000,39.156102099,-84.548376669,90.0,38.0,66.0,43.0,31.0
93,BC02 ,2024-03-09T23:55:41.000,39.156104878,-84.548378151,90.0,38.0,66.0,43.0,31.0
94,BC02 ,2024-03-09T23:55:42.000,39.156104921,-84.548379154,90.0,38.0,66.0,43.0,31.0
95,BC02 ,2024-03-09T23:55:43.000,39.156105763,-84.548375535,90.0,38.0,66.0,43.0,31.0
96,BC02 ,2024-03-09T23:55:44.000,39.156101637,-84.548374386,90.0,38.0,66.0,43.0,31.0
97,BC02 ,2024-03-09T23:55:45.000,39.156099705,-84.548377246,90.0,38.0,66.0,43.0,31.0
98,BC02 ,2024-03-09T23:55:46.000,39.156098732,-84.548378615,90.0,38.0,66.0,43.0,31.0
99,BC02 ,2024-03-09T23:55:47.000,39.156097235,-84.548377289,90.0,38.0,66.0,43.0,31.0
100,BC02 ,2024-03-09T23:55:48.000,39.156096383,-84.548379389,90.0,38.0,66.0,43.0,31.0
101,BC02 ,2024-03-09T23:55:49.000,39.156097394,-84.548381658,90.0,35.0,60.0,39.0,31.0
102,BC02 ,2024-03-09T23:55:50.000,39.156098079,-84.548383308,90.0,35.0,60.0,39.0,31.0
103,BC02 ,2024-03-09T23:55:51.000,39.156100583,-84.548381184,90.0,35.0,60.0,39.0,31.0
104,BC02 ,2024-03-09T23:55:52.000,39.156099558,-84.548380841,90.0,38.0,66.0,43.0,31.0
105,BC02 ,2024-03-09T23:55:53.000,39.156098672,-84.548380554,90.0,38.0,66.0,43.0,31.0
106,BC02 ,2024-03-09T23:55:54.000,39.156099323,-84.548378614,90.0,38.0,66.0,43.0,31.0
107,BC02 ,2024-03-09T23:55:55.000,39.156097996,-84.548376427,90.0,38.0,66.0,43.0,31.0
108,BC02 ,2024-03-09T23:55:56.000,39.156098383,-84.548373403,90.0,38.0,66.0,43.0,31.0
109,BC02 ,2024-03-09T23:55:57.000,39.156097732,-84.548378305,90.0,37.0,63.0,41.0,31.0
110,BC02 ,2024-03-09T23:55:58.000,39.156097325,-84.548380664,90.0,35.0,60.0,39.0,31.0
