,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc02 monday,2024-03-04T16:07:27.000,39.109436247,-84.563840042,79.0,1.0,1.0,1.0,44.0
2,Bc02 monday,2024-03-04T16:07:28.000,39.109436247,-84.563840042,79.0,2.0,2.0,2.0,44.0
3,Bc02 monday,2024-03-04T16:07:29.000,39.109436247,-84.563840042,79.0,2.0,2.0,2.0,44.0
4,Bc02 monday,2024-03-04T16:07:30.000,39.109436247,-84.563840042,79.0,1.0,1.0,1.0,44.0
5,Bc02 monday,2024-03-04T16:07:31.000,39.109436247,-84.563840042,79.0,1.0,1.0,1.0,44.0
6,Bc02 monday,2024-03-04T16:07:32.000,39.109436247,-84.563840042,79.0,1.0,1.0,1.0,44.0
7,Bc02 monday,2024-03-04T16:07:33.000,39.109436247,-84.563840042,79.0,1.0,1.0,1.0,44.0
8,Bc02 monday,2024-03-04T16:07:34.000,39.109428286,-84.563848596,79.0,1.0,1.0,1.0,44.0
9,Bc02 monday,2024-03-04T16:07:35.000,39.109428286,-84.563848596,79.0,1.0,1.0,1.0,44.0
10,Bc02 monday,2024-03-04T16:07:36.000,39.109428286,-84.563848596,79.0,1.0,1.0,1.0,44.0
11,Bc02 monday,2024-03-04T16:07:37.000,39.109428286,-84.563848596,79.0,0.0,0.0,0.0,44.0
12,Bc02 monday,2024-03-04T16:07:38.000,39.109428286,-84.563848596,79.0,0.0,0.0,0.0,44.0
13,Bc02 monday,2024-03-04T16:07:39.000,39.109428286,-84.563848596,79.0,0.0,0.0,0.0,44.0
14,Bc02 monday,2024-03-04T16:07:40.000,39.109428286,-84.563848596,79.0,1.0,1.0,1.0,44.0
15,Bc02 monday,2024-03-04T16:07:41.000,39.109428286,-84.563848596,79.0,1.0,1.0,1.0,44.0
16,Bc02 monday,2024-03-04T16:07:42.000,39.109428286,-84.563848596,79.0,1.0,1.0,1.0,44.0
17,Bc02 monday,2024-03-04T16:07:43.000,39.109428286,-84.563848596,79.0,1.0,1.0,1.0,44.0
18,Bc02 monday,2024-03-04T16:07:44.000,39.109428286,-84.563848596,79.0,1.0,1.0,1.0,44.0
19,Bc02 monday,2024-03-04T16:07:45.000,39.109428286,-84.563848596,79.0,0.0,0.0,0.0,44.0
20,Bc02 monday,2024-03-04T16:07:46.000,39.109427575,-84.563850165,79.0,0.0,0.0,0.0,44.0
21,Bc02 monday,2024-03-04T16:07:47.000,39.109427575,-84.563850165,79.0,0.0,0.0,0.0,44.0
22,Bc02 monday,2024-03-04T16:07:48.000,39.109427575,-84.563850165,79.0,0.0,0.0,0.0,44.0
23,Bc02 monday,2024-03-04T16:07:49.000,39.109427575,-84.563850165,79.0,0.0,0.0,0.0,44.0
24,Bc02 monday,2024-03-04T16:07:50.000,39.109427575,-84.563850165,79.0,0.0,0.0,0.0,44.0
25,Bc02 monday,2024-03-04T16:07:51.000,39.109427575,-84.563850165,79.0,0.0,0.0,0.0,44.0
26,Bc02 monday,2024-03-04T16:07:52.000,39.109427575,-84.563850165,79.0,1.0,1.0,1.0,44.0
27,Bc02 monday,2024-03-04T16:07:53.000,39.109427575,-84.563850165,79.0,1.0,1.0,1.0,44.0
28,Bc02 monday,2024-03-04T16:07:54.000,39.109427575,-84.563850165,79.0,2.0,2.0,2.0,44.0
29,Bc02 monday,2024-03-04T16:07:55.000,39.109427575,-84.563850165,79.0,2.0,2.0,2.0,44.0
30,Bc02 monday,2024-03-04T16:07:56.000,39.109427575,-84.563850165,79.0,2.0,2.0,2.0,44.0
31,Bc02 monday,2024-03-04T16:07:57.000,39.109427575,-84.563850165,79.0,2.0,2.0,2.0,44.0
32,Bc02 monday,2024-03-04T16:07:58.000,39.109451977,-84.563822756,79.0,2.0,2.0,2.0,44.0
33,Bc02 monday,2024-03-04T16:07:59.000,39.109451977,-84.563822756,79.0,2.0,2.0,2.0,44.0
34,Bc02 monday,2024-03-04T16:08:00.000,39.109451977,-84.563822756,79.0,2.0,2.0,2.0,44.0
35,Bc02 monday,2024-03-04T16:08:01.000,39.109451977,-84.563822756,79.0,1.0,1.0,1.0,44.0
36,Bc02 monday,2024-03-04T16:08:02.000,39.109451977,-84.563822756,79.0,1.0,1.0,1.0,44.0
37,Bc02 monday,2024-03-04T16:08:03.000,39.109451977,-84.563822756,79.0,1.0,1.0,1.0,44.0
38,Bc02 monday,2024-03-04T16:08:04.000,39.109451977,-84.563822756,79.0,2.0,2.0,2.0,44.0
39,Bc02 monday,2024-03-04T16:08:05.000,39.109451977,-84.563822756,79.0,2.0,2.0,2.0,44.0
40,Bc02 monday,2024-03-04T16:08:06.000,39.109451977,-84.563822756,79.0,2.0,2.0,2.0,44.0
41,Bc02 monday,2024-03-04T16:08:07.000,39.109451977,-84.563822756,79.0,1.0,1.0,1.0,44.0
42,Bc02 monday,2024-03-04T16:08:08.000,39.109451977,-84.563822756,79.0,1.0,1.0,1.0,44.0
43,Bc02 monday,2024-03-04T16:08:09.000,39.109451977,-84.563822756,79.0,1.0,1.0,1.0,44.0
44,Bc02 monday,2024-03-04T16:08:10.000,39.109452345,-84.563820925,79.0,2.0,2.0,2.0,44.0
45,Bc02 monday,2024-03-04T16:08:11.000,39.109452345,-84.563820925,79.0,2.0,2.0,2.0,44.0
46,Bc02 monday,2024-03-04T16:08:12.000,39.109452345,-84.563820925,79.0,1.0,1.0,1.0,44.0
47,Bc02 monday,2024-03-04T16:08:13.000,39.109452345,-84.563820925,79.0,1.0,1.0,1.0,44.0
48,Bc02 monday,2024-03-04T16:08:14.000,39.109452345,-84.563820925,79.0,1.0,1.0,1.0,44.0
49,Bc02 monday,2024-03-04T16:08:15.000,39.109452345,-84.563820925,79.0,1.0,1.0,1.0,44.0
50,Bc02 monday,2024-03-04T16:08:16.000,39.109452345,-84.563820925,79.0,1.0,1.0,1.0,44.0
51,Bc02 monday,2024-03-04T16:08:17.000,39.109452345,-84.563820925,79.0,1.0,1.0,1.0,44.0
52,Bc02 monday,2024-03-04T16:08:18.000,39.109452345,-84.563820925,79.0,1.0,1.0,1.0,44.0
53,Bc02 monday,2024-03-04T16:08:19.000,39.109452345,-84.563820925,79.0,1.0,1.0,1.0,44.0
54,Bc02 monday,2024-03-04T16:08:20.000,39.109452345,-84.563820925,79.0,0.0,0.0,0.0,44.0
55,Bc02 monday,2024-03-04T16:08:21.000,39.109452345,-84.563820925,79.0,0.0,0.0,0.0,44.0
56,Bc02 monday,2024-03-04T16:08:22.000,39.109463985,-84.563810116,79.0,2.0,2.0,2.0,44.0
57,Bc02 monday,2024-03-04T16:08:23.000,39.109463985,-84.563810116,79.0,2.0,2.0,2.0,44.0
58,Bc02 monday,2024-03-04T16:08:24.000,39.109463985,-84.563810116,79.0,2.0,2.0,2.0,44.0
59,Bc02 monday,2024-03-04T16:08:25.000,39.109463985,-84.563810116,79.0,2.0,2.0,2.0,44.0
60,Bc02 monday,2024-03-04T16:08:26.000,39.109463985,-84.563810116,79.0,2.0,2.0,2.0,44.0
61,Bc02 monday,2024-03-04T16:08:27.000,39.109463985,-84.563810116,79.0,2.0,2.0,2.0,44.0
62,Bc02 monday,2024-03-04T16:08:28.000,39.109463985,-84.563810116,79.0,2.0,2.0,2.0,44.0
63,Bc02 monday,2024-03-04T16:08:29.000,39.109463985,-84.563810116,80.0,2.0,2.0,2.0,44.0
64,Bc02 monday,2024-03-04T16:08:30.000,39.109463985,-84.563810116,79.0,2.0,2.0,2.0,44.0
65,Bc02 monday,2024-03-04T16:08:31.000,39.109463985,-84.563810116,79.0,1.0,1.0,1.0,44.0
66,Bc02 monday,2024-03-04T16:08:32.000,39.109463985,-84.563810116,80.0,1.0,1.0,1.0,44.0
67,Bc02 monday,2024-03-04T16:08:33.000,39.109463985,-84.563810116,79.0,1.0,1.0,1.0,44.0
68,Bc02 monday,2024-03-04T16:08:34.000,39.109444253,-84.563830804,79.0,1.0,1.0,1.0,44.0
69,Bc02 monday,2024-03-04T16:08:35.000,39.109444253,-84.563830804,80.0,1.0,1.0,1.0,44.0
70,Bc02 monday,2024-03-04T16:08:36.000,39.109444253,-84.563830804,79.0,1.0,1.0,1.0,44.0
71,Bc02 monday,2024-03-04T16:08:37.000,39.109444253,-84.563830804,80.0,1.0,1.0,1.0,44.0
72,Bc02 monday,2024-03-04T16:08:38.000,39.109444253,-84.563830804,80.0,1.0,1.0,1.0,44.0
73,Bc02 monday,2024-03-04T16:08:39.000,39.109444253,-84.563830804,80.0,1.0,1.0,1.0,44.0
74,Bc02 monday,2024-03-04T16:08:40.000,39.109444253,-84.563830804,80.0,1.0,1.0,1.0,44.0
75,Bc02 monday,2024-03-04T16:08:41.000,39.109444253,-84.563830804,80.0,1.0,1.0,1.0,44.0
76,Bc02 monday,2024-03-04T16:08:42.000,39.109444253,-84.563830804,80.0,1.0,1.0,1.0,44.0
77,Bc02 monday,2024-03-04T16:08:43.000,39.109444253,-84.563830804,80.0,0.0,0.0,0.0,44.0
78,Bc02 monday,2024-03-04T16:08:44.000,39.109444253,-84.563830804,80.0,0.0,0.0,0.0,44.0
79,Bc02 monday,2024-03-04T16:08:45.000,39.109444253,-84.563830804,80.0,0.0,0.0,0.0,44.0
80,Bc02 monday,2024-03-04T16:08:46.000,39.109435191,-84.563839307,80.0,1.0,1.0,1.0,44.0
81,Bc02 monday,2024-03-04T16:08:47.000,39.109435191,-84.563839307,80.0,1.0,1.0,1.0,44.0
82,Bc02 monday,2024-03-04T16:08:48.000,39.109435191,-84.563839307,80.0,1.0,1.0,1.0,44.0
83,Bc02 monday,2024-03-04T16:08:49.000,39.109435191,-84.563839307,80.0,0.0,0.0,0.0,44.0
84,Bc02 monday,2024-03-04T16:08:50.000,39.109435191,-84.563839307,80.0,0.0,0.0,0.0,44.0
85,Bc02 monday,2024-03-04T16:08:51.000,39.109435191,-84.563839307,80.0,0.0,0.0,0.0,44.0
86,Bc02 monday,2024-03-04T16:08:52.000,39.109435191,-84.563839307,80.0,0.0,0.0,0.0,44.0
87,Bc02 monday,2024-03-04T16:08:53.000,39.109435191,-84.563839307,80.0,0.0,0.0,0.0,44.0
88,Bc02 monday,2024-03-04T16:08:54.000,39.109435191,-84.563839307,80.0,0.0,0.0,0.0,44.0
89,Bc02 monday,2024-03-04T16:08:55.000,39.109435191,-84.563839307,80.0,0.0,0.0,0.0,44.0
90,Bc02 monday,2024-03-04T16:08:56.000,39.109435937,-84.563837222,80.0,0.0,0.0,0.0,44.0
91,Bc02 monday,2024-03-04T16:08:57.000,39.109435937,-84.563837222,80.0,0.0,0.0,0.0,44.0
92,Bc02 monday,2024-03-04T16:08:58.000,39.109435937,-84.563837222,80.0,0.0,0.0,0.0,44.0
93,Bc02 monday,2024-03-04T16:08:59.000,39.109435937,-84.563837222,80.0,0.0,0.0,0.0,44.0
94,Bc02 monday,2024-03-04T16:09:00.000,39.109435937,-84.563837222,80.0,0.0,0.0,0.0,44.0
95,Bc02 monday,2024-03-04T16:09:01.000,39.109435937,-84.563837222,80.0,0.0,0.0,0.0,44.0
96,Bc02 monday,2024-03-04T16:09:02.000,39.10942201,-84.563848666,80.0,0.0,0.0,0.0,44.0
97,Bc02 monday,2024-03-04T16:09:03.000,39.10942201,-84.563848666,80.0,0.0,0.0,0.0,44.0
98,Bc02 monday,2024-03-04T16:09:04.000,39.10942201,-84.563848666,80.0,0.0,0.0,0.0,44.0
99,Bc02 monday,2024-03-04T16:09:05.000,39.10942201,-84.563848666,80.0,0.0,0.0,0.0,44.0
100,Bc02 monday,2024-03-04T16:09:06.000,39.10942201,-84.563848666,80.0,0.0,0.0,0.0,44.0
101,Bc02 monday,2024-03-04T16:09:07.000,39.10942201,-84.563848666,80.0,0.0,0.0,0.0,44.0
102,Bc02 monday,2024-03-04T16:09:08.000,39.10942201,-84.563848666,80.0,0.0,0.0,0.0,44.0
103,Bc02 monday,2024-03-04T16:09:09.000,39.109431455,-84.563837646,80.0,0.0,0.0,0.0,44.0
104,Bc02 monday,2024-03-04T16:09:10.000,39.109431455,-84.563837646,80.0,1.0,1.0,1.0,44.0
105,Bc02 monday,2024-03-04T16:09:11.000,39.109431455,-84.563837646,80.0,1.0,1.0,1.0,44.0
106,Bc02 monday,2024-03-04T16:09:12.000,39.109431455,-84.563837646,80.0,1.0,1.0,1.0,44.0
