,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,BC02 Saturday ,2024-03-09T23:58:01.000,39.156193396,-84.548474802,90.0,22.0,29.0,24.0,32.0
2,BC02 Saturday ,2024-03-09T23:58:03.000,39.156187076,-84.548484184,90.0,23.0,32.0,25.0,32.0
3,BC02 Saturday ,2024-03-09T23:58:04.000,39.156186968,-84.54847997,90.0,23.0,32.0,24.0,32.0
4,BC02 Saturday ,2024-03-09T23:58:06.000,39.156178966,-84.548448872,90.0,23.0,32.0,25.0,32.0
5,BC02 Saturday ,2024-03-09T23:58:07.000,39.156178966,-84.548448872,90.0,,,,
6,BC02 Saturday ,2024-03-09T23:58:07.000,39.156178063,-84.54843688,90.0,26.0,,,
7,BC02 Saturday ,2024-03-09T23:58:07.000,39.156178966,-84.548448872,,23.0,32.0,,
8,BC02 Saturday ,2024-03-09T23:58:07.000,39.156178063,-84.54843688,,,37.0,,
9,BC02 Saturday ,2024-03-09T23:58:07.000,39.156178966,-84.548448872,,,,25.0,
10,BC02 Saturday ,2024-03-09T23:58:07.000,39.156178063,-84.54843688,,,,28.0,32.0
11,BC02 Saturday ,2024-03-09T23:58:07.000,39.156178966,-84.548448872,,,,,32.0
12,BC02 Saturday ,2024-03-09T23:58:09.000,39.156175425,-84.548424773,90.0,28.0,42.0,30.0,32.0
13,BC02 Saturday ,2024-03-09T23:58:10.000,39.15617195,-84.548417951,90.0,,,,
14,BC02 Saturday ,2024-03-09T23:58:10.000,39.156169135,-84.548410258,90.0,,,,
15,BC02 Saturday ,2024-03-09T23:58:10.000,39.15617195,-84.548417951,,30.0,,,
16,BC02 Saturday ,2024-03-09T23:58:10.000,39.156169135,-84.548410258,,32.0,50.0,,
17,BC02 Saturday ,2024-03-09T23:58:10.000,39.15617195,-84.548417951,,,47.0,,
18,BC02 Saturday ,2024-03-09T23:58:10.000,39.156169135,-84.548410258,,,,35.0,
19,BC02 Saturday ,2024-03-09T23:58:10.000,39.15617195,-84.548417951,,,,33.0,32.0
20,BC02 Saturday ,2024-03-09T23:58:10.000,39.156169135,-84.548410258,,,,,32.0
21,BC02 Saturday ,2024-03-09T23:58:12.000,39.156166605,-84.54840511,90.0,35.0,60.0,39.0,32.0
22,BC02 Saturday ,2024-03-09T23:58:13.000,39.156159081,-84.548394773,90.0,35.0,60.0,39.0,32.0
23,BC02 Saturday ,2024-03-09T23:58:15.000,39.156157365,-84.548387254,90.0,35.0,60.0,39.0,31.0
24,BC02 Saturday ,2024-03-09T23:58:16.000,39.156155525,-84.548387229,90.0,35.0,60.0,39.0,31.0
25,BC02 Saturday ,2024-03-09T23:58:17.000,39.156154412,-84.548390098,90.0,35.0,60.0,39.0,31.0
26,BC02 Saturday ,2024-03-09T23:58:18.000,39.15615524,-84.548390234,90.0,,,,
27,BC02 Saturday ,2024-03-09T23:58:18.000,39.156156975,-84.548388106,90.0,35.0,,,
28,BC02 Saturday ,2024-03-09T23:58:18.000,39.15615524,-84.548390234,,35.0,60.0,,
29,BC02 Saturday ,2024-03-09T23:58:18.000,39.156156975,-84.548388106,,,60.0,,
30,BC02 Saturday ,2024-03-09T23:58:18.000,39.15615524,-84.548390234,,,,39.0,
31,BC02 Saturday ,2024-03-09T23:58:18.000,39.156156975,-84.548388106,,,,39.0,
32,BC02 Saturday ,2024-03-09T23:58:18.000,39.15615524,-84.548390234,,,,,31.0
33,BC02 Saturday ,2024-03-09T23:58:18.000,39.156156975,-84.548388106,,,,,31.0
34,BC02 Saturday ,2024-03-09T23:58:20.000,39.156156963,-84.548386241,90.0,35.0,60.0,39.0,31.0
35,BC02 Saturday ,2024-03-09T23:58:21.000,39.156151328,-84.548393518,90.0,33.0,54.0,36.0,31.0
36,BC02 Saturday ,2024-03-09T23:58:22.000,39.156152111,-84.548395396,90.0,33.0,54.0,36.0,31.0
37,BC02 Saturday ,2024-03-09T23:58:23.000,39.156151852,-84.548394611,90.0,33.0,54.0,36.0,31.0
38,BC02 Saturday ,2024-03-09T23:58:24.000,39.156151852,-84.548394611,90.0,33.0,54.0,36.0,31.0
39,BC02 Saturday ,2024-03-09T23:58:25.000,39.156156216,-84.548394228,90.0,33.0,54.0,36.0,32.0
40,BC02 Saturday ,2024-03-09T23:58:26.000,39.156155964,-84.548386657,90.0,33.0,54.0,36.0,32.0
41,BC02 Saturday ,2024-03-09T23:58:27.000,39.156155964,-84.548386657,90.0,35.0,60.0,39.0,32.0
42,BC02 Saturday ,2024-03-09T23:58:28.000,39.156155964,-84.548386657,90.0,35.0,60.0,39.0,32.0
43,BC02 Saturday ,2024-03-09T23:58:29.000,39.156155964,-84.548386657,90.0,33.0,54.0,36.0,32.0
44,BC02 Saturday ,2024-03-09T23:58:30.000,39.156155964,-84.548386657,90.0,30.0,47.0,33.0,32.0
45,BC02 Saturday ,2024-03-09T23:58:31.000,39.156155964,-84.548386657,90.0,26.0,37.0,28.0,32.0
46,BC02 Saturday ,2024-03-09T23:58:32.000,39.156155964,-84.548386657,90.0,26.0,37.0,28.0,32.0
47,BC02 Saturday ,2024-03-09T23:58:33.000,39.156165185,-84.548376891,90.0,26.0,37.0,28.0,32.0
48,BC02 Saturday ,2024-03-09T23:58:34.000,39.156167579,-84.548374113,90.0,26.0,37.0,28.0,32.0
49,BC02 Saturday ,2024-03-09T23:58:35.000,39.156167579,-84.548374113,90.0,23.0,32.0,25.0,32.0
50,BC02 Saturday ,2024-03-09T23:58:36.000,39.156167456,-84.548371457,90.0,23.0,32.0,25.0,32.0
51,BC02 Saturday ,2024-03-09T23:58:37.000,39.156167456,-84.548371457,90.0,23.0,32.0,25.0,32.0
52,BC02 Saturday ,2024-03-09T23:58:38.000,39.156167456,-84.548371457,90.0,23.0,32.0,25.0,32.0
53,BC02 Saturday ,2024-03-09T23:58:39.000,39.156167456,-84.548371457,90.0,26.0,37.0,28.0,32.0
54,BC02 Saturday ,2024-03-09T23:58:40.000,39.156167456,-84.548371457,90.0,26.0,37.0,28.0,32.0
55,BC02 Saturday ,2024-03-09T23:58:41.000,39.156167456,-84.548371457,90.0,26.0,37.0,28.0,32.0
56,BC02 Saturday ,2024-03-09T23:58:42.000,39.156164896,-84.54837285,90.0,22.0,29.0,24.0,32.0
57,BC02 Saturday ,2024-03-09T23:58:43.000,39.156163057,-84.548373076,90.0,22.0,29.0,24.0,32.0
58,BC02 Saturday ,2024-03-09T23:58:44.000,39.156163057,-84.548373076,90.0,22.0,29.0,24.0,32.0
59,BC02 Saturday ,2024-03-09T23:58:45.000,39.15616191,-84.54838242,90.0,22.0,29.0,24.0,32.0
60,BC02 Saturday ,2024-03-09T23:58:46.000,39.15615959,-84.548382402,90.0,22.0,29.0,24.0,32.0
61,BC02 Saturday ,2024-03-09T23:58:47.000,39.15615959,-84.548382402,90.0,22.0,29.0,24.0,32.0
62,BC02 Saturday ,2024-03-09T23:58:48.000,39.156160577,-84.548384227,90.0,22.0,29.0,24.0,32.0
63,BC02 Saturday ,2024-03-09T23:58:49.000,39.156160577,-84.548384227,90.0,21.0,27.0,23.0,32.0
64,BC02 Saturday ,2024-03-09T23:58:50.000,39.156160577,-84.548384227,90.0,21.0,27.0,23.0,32.0
65,BC02 Saturday ,2024-03-09T23:58:51.000,39.156160577,-84.548384227,90.0,20.0,25.0,22.0,32.0
66,BC02 Saturday ,2024-03-09T23:58:52.000,39.156160577,-84.548384227,90.0,21.0,27.0,23.0,32.0
67,BC02 Saturday ,2024-03-09T23:58:53.000,39.156160577,-84.548384227,90.0,21.0,27.0,23.0,32.0
68,BC02 Saturday ,2024-03-09T23:58:54.000,39.156160577,-84.548384227,90.0,22.0,29.0,24.0,32.0
69,BC02 Saturday ,2024-03-09T23:58:55.000,39.156160577,-84.548384227,90.0,22.0,29.0,24.0,32.0
70,BC02 Saturday ,2024-03-09T23:58:56.000,39.156160577,-84.548384227,90.0,22.0,29.0,24.0,32.0
71,BC02 Saturday ,2024-03-09T23:58:57.000,39.156160577,-84.548384227,90.0,23.0,32.0,25.0,32.0
72,BC02 Saturday ,2024-03-09T23:58:58.000,39.156160577,-84.548384227,90.0,23.0,32.0,25.0,32.0
73,BC02 Saturday ,2024-03-09T23:58:59.000,39.156160577,-84.548384227,90.0,23.0,32.0,25.0,32.0
74,BC02 Saturday ,2024-03-09T23:59:00.000,39.156160577,-84.548384227,90.0,23.0,32.0,25.0,32.0
75,BC02 Saturday ,2024-03-09T23:59:01.000,39.156160577,-84.548384227,90.0,26.0,37.0,28.0,32.0
76,BC02 Saturday ,2024-03-09T23:59:02.000,39.156160577,-84.548384227,90.0,23.0,32.0,25.0,32.0
77,BC02 Saturday ,2024-03-09T23:59:03.000,39.156160577,-84.548384227,90.0,23.0,32.0,25.0,32.0
78,BC02 Saturday ,2024-03-09T23:59:04.000,39.156160577,-84.548384227,90.0,23.0,32.0,25.0,32.0
79,BC02 Saturday ,2024-03-09T23:59:05.000,39.156160577,-84.548384227,90.0,23.0,32.0,25.0,32.0
80,BC02 Saturday ,2024-03-09T23:59:06.000,39.156160577,-84.548384227,90.0,23.0,32.0,25.0,32.0
81,BC02 Saturday ,2024-03-09T23:59:07.000,39.156160577,-84.548384227,90.0,22.0,29.0,24.0,32.0
82,BC02 Saturday ,2024-03-09T23:59:08.000,39.156160577,-84.548384227,90.0,23.0,32.0,25.0,32.0
83,BC02 Saturday ,2024-03-09T23:59:09.000,39.156160577,-84.548384227,90.0,23.0,32.0,25.0,32.0
84,BC02 Saturday ,2024-03-09T23:59:10.000,39.156160577,-84.548384227,90.0,23.0,32.0,25.0,32.0
85,BC02 Saturday ,2024-03-09T23:59:11.000,39.156160577,-84.548384227,90.0,22.0,29.0,24.0,32.0
86,BC02 Saturday ,2024-03-09T23:59:12.000,39.156160577,-84.548384227,90.0,21.0,27.0,23.0,32.0
87,BC02 Saturday ,2024-03-09T23:59:13.000,39.156160577,-84.548384227,90.0,21.0,27.0,23.0,32.0
88,BC02 Saturday ,2024-03-09T23:59:14.000,39.156160577,-84.548384227,90.0,20.0,25.0,22.0,32.0
89,BC02 Saturday ,2024-03-09T23:59:15.000,39.156160577,-84.548384227,90.0,21.0,27.0,23.0,32.0
90,BC02 Saturday ,2024-03-09T23:59:16.000,39.156160577,-84.548384227,90.0,21.0,27.0,23.0,32.0
91,BC02 Saturday ,2024-03-09T23:59:17.000,39.156160577,-84.548384227,90.0,21.0,26.0,22.0,32.0
92,BC02 Saturday ,2024-03-09T23:59:18.000,39.156160577,-84.548384227,90.0,20.0,25.0,22.0,32.0
93,BC02 Saturday ,2024-03-09T23:59:19.000,39.156160577,-84.548384227,90.0,19.0,22.0,21.0,32.0
94,BC02 Saturday ,2024-03-09T23:59:20.000,39.156160577,-84.548384227,90.0,19.0,22.0,21.0,32.0
95,BC02 Saturday ,2024-03-09T23:59:21.000,39.156160577,-84.548384227,90.0,20.0,25.0,22.0,32.0
96,BC02 Saturday ,2024-03-09T23:59:22.000,39.156160577,-84.548384227,90.0,20.0,25.0,22.0,32.0
97,BC02 Saturday ,2024-03-09T23:59:23.000,39.156160577,-84.548384227,90.0,20.0,25.0,22.0,32.0
98,BC02 Saturday ,2024-03-09T23:59:24.000,39.156160577,-84.548384227,90.0,20.0,25.0,22.0,32.0
99,BC02 Saturday ,2024-03-09T23:59:25.000,39.156160577,-84.548384227,90.0,20.0,25.0,22.0,32.0
100,BC02 Saturday ,2024-03-09T23:59:26.000,39.156160577,-84.548384227,90.0,23.0,32.0,25.0,32.0
101,BC02 Saturday ,2024-03-09T23:59:27.000,39.156160577,-84.548384227,90.0,23.0,32.0,25.0,32.0
102,BC02 Saturday ,2024-03-09T23:59:28.000,39.156160577,-84.548384227,90.0,22.0,29.0,24.0,32.0
103,BC02 Saturday ,2024-03-09T23:59:29.000,39.156160577,-84.548384227,90.0,22.0,29.0,24.0,32.0
104,BC02 Saturday ,2024-03-09T23:59:30.000,39.156160577,-84.548384227,90.0,22.0,29.0,24.0,32.0
105,BC02 Saturday ,2024-03-09T23:59:31.000,39.156160577,-84.548384227,90.0,22.0,29.0,24.0,32.0
106,BC02 Saturday ,2024-03-09T23:59:32.000,39.156160577,-84.548384227,90.0,22.0,29.0,24.0,32.0
107,BC02 Saturday ,2024-03-09T23:59:33.000,39.156160577,-84.548384227,90.0,22.0,29.0,24.0,32.0
