,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,BC02 Sunday,2024-03-09T23:32:01.000,39.156178859,-84.548483117,91.0,60.0,,71.0,29.0
2,BC02 Sunday,2024-03-09T23:32:02.000,39.156183098,-84.548470635,91.0,60.0,123.0,71.0,29.0
3,BC02 Sunday,2024-03-09T23:32:03.000,39.156182964,-84.548464234,91.0,60.0,123.0,71.0,29.0
4,BC02 Sunday,2024-03-09T23:32:04.000,39.156182964,-84.548464234,91.0,60.0,123.0,71.0,29.0
5,BC02 Sunday,2024-03-09T23:32:05.000,39.156188493,-84.548469427,91.0,60.0,123.0,71.0,29.0
6,BC02 Sunday,2024-03-09T23:32:06.000,39.156195288,-84.548476194,91.0,60.0,123.0,71.0,29.0
7,BC02 Sunday,2024-03-09T23:32:07.000,39.156195288,-84.548476194,91.0,60.0,123.0,71.0,29.0
8,BC02 Sunday,2024-03-09T23:32:08.000,39.156195842,-84.548475831,91.0,57.0,117.0,68.0,29.0
9,BC02 Sunday,2024-03-09T23:32:09.000,39.156197446,-84.548482161,91.0,57.0,117.0,68.0,29.0
10,BC02 Sunday,2024-03-09T23:32:10.000,39.156197446,-84.548482161,91.0,55.0,110.0,65.0,29.0
11,BC02 Sunday,2024-03-09T23:32:11.000,39.156199326,-84.548497334,91.0,55.0,110.0,65.0,29.0
12,BC02 Sunday,2024-03-09T23:32:12.000,39.156199979,-84.548493855,91.0,60.0,123.0,71.0,29.0
13,BC02 Sunday,2024-03-09T23:32:13.000,39.156199979,-84.548493855,91.0,62.0,129.0,74.0,29.0
14,BC02 Sunday,2024-03-09T23:32:14.000,39.156200588,-84.548484121,91.0,64.0,133.0,76.0,29.0
15,BC02 Sunday,2024-03-09T23:32:15.000,39.156200873,-84.548484177,91.0,62.0,129.0,74.0,29.0
16,BC02 Sunday,2024-03-09T23:32:16.000,39.156200873,-84.548484177,91.0,62.0,129.0,74.0,29.0
17,BC02 Sunday,2024-03-09T23:32:17.000,39.15619349,-84.548486593,91.0,64.0,133.0,76.0,29.0
18,BC02 Sunday,2024-03-09T23:32:18.000,39.156195781,-84.548483937,91.0,64.0,133.0,76.0,29.0
19,BC02 Sunday,2024-03-09T23:32:19.000,39.156195781,-84.548483937,91.0,64.0,133.0,76.0,29.0
20,BC02 Sunday,2024-03-09T23:32:20.000,39.156201897,-84.54848011,91.0,65.0,136.0,77.0,29.0
21,BC02 Sunday,2024-03-09T23:32:21.000,39.15620486,-84.548478609,91.0,65.0,136.0,77.0,29.0
22,BC02 Sunday,2024-03-09T23:32:22.000,39.15620486,-84.548478609,91.0,65.0,136.0,77.0,29.0
23,BC02 Sunday,2024-03-09T23:32:23.000,39.15621265,-84.548471482,91.0,65.0,136.0,77.0,29.0
24,BC02 Sunday,2024-03-09T23:32:24.000,39.156214471,-84.548470531,91.0,64.0,133.0,76.0,29.0
25,BC02 Sunday,2024-03-09T23:32:25.000,39.156214471,-84.548470531,91.0,64.0,133.0,76.0,29.0
26,BC02 Sunday,2024-03-09T23:32:26.000,39.156204649,-84.548474287,91.0,62.0,129.0,74.0,29.0
27,BC02 Sunday,2024-03-09T23:32:27.000,39.156203961,-84.54847245,91.0,62.0,129.0,74.0,29.0
28,BC02 Sunday,2024-03-09T23:32:28.000,39.156203961,-84.54847245,91.0,60.0,123.0,71.0,29.0
29,BC02 Sunday,2024-03-09T23:32:29.000,39.15620316,-84.5484851,91.0,53.0,104.0,62.0,29.0
30,BC02 Sunday,2024-03-09T23:32:30.000,39.156198351,-84.548483183,91.0,50.0,98.0,58.0,29.0
31,BC02 Sunday,2024-03-09T23:32:31.000,39.156198351,-84.548483183,91.0,50.0,98.0,58.0,29.0
32,BC02 Sunday,2024-03-09T23:32:32.000,39.156196409,-84.54847747,91.0,48.0,91.0,55.0,29.0
33,BC02 Sunday,2024-03-09T23:32:33.000,39.156193953,-84.548475052,91.0,50.0,98.0,58.0,29.0
34,BC02 Sunday,2024-03-09T23:32:34.000,39.156193953,-84.548475052,91.0,50.0,98.0,58.0,29.0
35,BC02 Sunday,2024-03-09T23:32:35.000,39.156192721,-84.548474089,91.0,46.0,88.0,54.0,29.0
36,BC02 Sunday,2024-03-09T23:32:36.000,39.156189088,-84.548474879,91.0,45.0,85.0,52.0,29.0
37,BC02 Sunday,2024-03-09T23:32:37.000,39.156189088,-84.548474879,91.0,45.0,85.0,52.0,29.0
38,BC02 Sunday,2024-03-09T23:32:38.000,39.15618562,-84.548468183,91.0,45.0,85.0,52.0,29.0
39,BC02 Sunday,2024-03-09T23:32:39.000,39.156183903,-84.548465945,91.0,48.0,91.0,55.0,29.0
40,BC02 Sunday,2024-03-09T23:32:40.000,39.156183461,-84.548466523,91.0,48.0,91.0,55.0,29.0
41,BC02 Sunday,2024-03-09T23:32:41.000,39.156180268,-84.548463743,91.0,45.0,85.0,52.0,29.0
42,BC02 Sunday,2024-03-09T23:32:42.000,39.156176415,-84.548463484,91.0,45.0,85.0,52.0,29.0
43,BC02 Sunday,2024-03-09T23:32:43.000,39.156173906,-84.548460992,91.0,45.0,85.0,52.0,29.0
44,BC02 Sunday,2024-03-09T23:32:44.000,39.156173887,-84.548461638,91.0,43.0,79.0,49.0,29.0
45,BC02 Sunday,2024-03-09T23:32:45.000,39.156168243,-84.54846042,91.0,40.0,73.0,46.0,29.0
46,BC02 Sunday,2024-03-09T23:32:46.000,39.156166797,-84.54845782,91.0,43.0,79.0,49.0,29.0
47,BC02 Sunday,2024-03-09T23:32:47.000,39.156167249,-84.548456575,91.0,40.0,73.0,46.0,29.0
48,BC02 Sunday,2024-03-09T23:32:48.000,39.156165412,-84.548455885,91.0,40.0,73.0,46.0,29.0
49,BC02 Sunday,2024-03-09T23:32:49.000,39.15616154,-84.548456396,91.0,40.0,73.0,46.0,29.0
50,BC02 Sunday,2024-03-09T23:32:50.000,39.15615963,-84.548456704,91.0,40.0,73.0,46.0,29.0
51,BC02 Sunday,2024-03-09T23:32:51.000,39.156156744,-84.548453962,91.0,40.0,73.0,46.0,29.0
52,BC02 Sunday,2024-03-09T23:32:52.000,39.156156023,-84.54845162,91.0,40.0,73.0,46.0,29.0
53,BC02 Sunday,2024-03-09T23:32:53.000,39.156153527,-84.548452449,91.0,40.0,73.0,46.0,29.0
54,BC02 Sunday,2024-03-09T23:32:54.000,39.156152719,-84.548451714,91.0,40.0,73.0,46.0,29.0
55,BC02 Sunday,2024-03-09T23:32:55.000,39.156150531,-84.548451485,91.0,40.0,73.0,46.0,29.0
56,BC02 Sunday,2024-03-09T23:32:56.000,39.156147108,-84.548454789,91.0,40.0,73.0,46.0,29.0
57,BC02 Sunday,2024-03-09T23:32:57.000,39.156147586,-84.548451273,91.0,40.0,73.0,46.0,29.0
58,BC02 Sunday,2024-03-09T23:32:58.000,39.15615015,-84.548451802,91.0,43.0,79.0,49.0,29.0
59,BC02 Sunday,2024-03-09T23:32:59.000,39.156155325,-84.548460801,91.0,43.0,79.0,49.0,29.0
60,BC02 Sunday,2024-03-09T23:33:00.000,39.156157284,-84.548462203,90.0,40.0,73.0,46.0,29.0
61,BC02 Sunday,2024-03-09T23:33:01.000,39.156159665,-84.548463207,91.0,43.0,79.0,49.0,29.0
62,BC02 Sunday,2024-03-09T23:33:02.000,39.156160851,-84.5484654,91.0,45.0,85.0,52.0,29.0
63,BC02 Sunday,2024-03-09T23:33:03.000,39.156163823,-84.548464419,91.0,48.0,91.0,55.0,29.0
64,BC02 Sunday,2024-03-09T23:33:04.000,39.156165907,-84.548462488,91.0,50.0,98.0,58.0,29.0
65,BC02 Sunday,2024-03-09T23:33:05.000,39.15616577,-84.548464068,91.0,50.0,98.0,58.0,29.0
66,BC02 Sunday,2024-03-09T23:33:06.000,39.156163458,-84.548468214,91.0,53.0,104.0,62.0,29.0
67,BC02 Sunday,2024-03-09T23:33:07.000,39.156165645,-84.548472504,91.0,55.0,110.0,65.0,29.0
68,BC02 Sunday,2024-03-09T23:33:08.000,39.156166305,-84.5484734,91.0,57.0,117.0,68.0,29.0
69,BC02 Sunday,2024-03-09T23:33:09.000,39.156166062,-84.548473689,91.0,60.0,123.0,71.0,29.0
70,BC02 Sunday,2024-03-09T23:33:10.000,39.156168665,-84.548473224,91.0,59.0,120.0,69.0,29.0
71,BC02 Sunday,2024-03-09T23:33:11.000,39.1561702,-84.548476197,91.0,57.0,117.0,68.0,29.0
72,BC02 Sunday,2024-03-09T23:33:12.000,39.156172052,-84.548477094,91.0,57.0,117.0,68.0,29.0
73,BC02 Sunday,2024-03-09T23:33:13.000,39.156172531,-84.54848264,90.0,57.0,117.0,68.0,29.0
74,BC02 Sunday,2024-03-09T23:33:14.000,39.156173071,-84.548485772,91.0,60.0,123.0,71.0,29.0
75,BC02 Sunday,2024-03-09T23:33:15.000,39.156174476,-84.548488672,90.0,60.0,123.0,71.0,29.0
76,BC02 Sunday,2024-03-09T23:33:16.000,39.156174324,-84.548492404,90.0,60.0,123.0,71.0,29.0
77,BC02 Sunday,2024-03-09T23:33:17.000,39.156176049,-84.548495201,91.0,60.0,123.0,71.0,29.0
78,BC02 Sunday,2024-03-09T23:33:18.000,39.156176005,-84.548496645,90.0,60.0,123.0,71.0,29.0
79,BC02 Sunday,2024-03-09T23:33:19.000,39.156174883,-84.5484968,91.0,57.0,117.0,68.0,29.0
80,BC02 Sunday,2024-03-09T23:33:20.000,39.156172719,-84.548499515,91.0,55.0,110.0,65.0,29.0
81,BC02 Sunday,2024-03-09T23:33:21.000,39.156172281,-84.548500351,91.0,60.0,123.0,71.0,29.0
82,BC02 Sunday,2024-03-09T23:33:22.000,39.156172011,-84.548502238,91.0,60.0,123.0,71.0,29.0
83,BC02 Sunday,2024-03-09T23:33:23.000,39.156172159,-84.548504448,90.0,64.0,133.0,76.0,29.0
84,BC02 Sunday,2024-03-09T23:33:24.000,39.156168783,-84.548505607,90.0,64.0,133.0,76.0,29.0
85,BC02 Sunday,2024-03-09T23:33:25.000,39.156166271,-84.548505737,91.0,64.0,133.0,76.0,29.0
86,BC02 Sunday,2024-03-09T23:33:26.000,39.156164849,-84.548506785,90.0,64.0,133.0,76.0,29.0
87,BC02 Sunday,2024-03-09T23:33:27.000,39.156162745,-84.548506402,91.0,64.0,133.0,76.0,29.0
88,BC02 Sunday,2024-03-09T23:33:28.000,39.156164755,-84.5485081,91.0,66.0,139.0,79.0,29.0
89,BC02 Sunday,2024-03-09T23:33:29.000,39.156167761,-84.54850521,90.0,66.0,139.0,79.0,29.0
90,BC02 Sunday,2024-03-09T23:33:30.000,39.156170354,-84.548504172,90.0,66.0,139.0,79.0,29.0
91,BC02 Sunday,2024-03-09T23:33:31.000,39.156174846,-84.548508766,90.0,66.0,139.0,79.0,29.0
92,BC02 Sunday,2024-03-09T23:33:32.000,39.156175912,-84.548507522,90.0,65.0,136.0,77.0,29.0
93,BC02 Sunday,2024-03-09T23:33:33.000,39.156176867,-84.548506284,90.0,65.0,136.0,77.0,29.0
94,BC02 Sunday,2024-03-09T23:33:34.000,39.156173714,-84.548501062,90.0,65.0,136.0,77.0,29.0
95,BC02 Sunday,2024-03-09T23:33:35.000,39.156172712,-84.548499186,90.0,65.0,136.0,77.0,29.0
96,BC02 Sunday,2024-03-09T23:33:36.000,39.156173537,-84.548497176,90.0,65.0,136.0,77.0,29.0
97,BC02 Sunday,2024-03-09T23:33:37.000,39.156173409,-84.548492972,90.0,64.0,133.0,76.0,29.0
98,BC02 Sunday,2024-03-09T23:33:38.000,39.156170323,-84.548491308,90.0,62.0,129.0,74.0,29.0
99,BC02 Sunday,2024-03-09T23:33:39.000,39.156170299,-84.548492107,90.0,57.0,117.0,68.0,29.0
100,BC02 Sunday,2024-03-09T23:33:40.000,39.15617455,-84.548490558,90.0,57.0,117.0,68.0,29.0
101,BC02 Sunday,2024-03-09T23:33:41.000,39.156180966,-84.548494842,90.0,55.0,110.0,65.0,29.0
102,BC02 Sunday,2024-03-09T23:33:42.000,39.156183198,-84.548498473,91.0,53.0,104.0,62.0,29.0
103,BC02 Sunday,2024-03-09T23:33:43.000,39.156180501,-84.54850669,90.0,53.0,104.0,62.0,29.0
104,BC02 Sunday,2024-03-09T23:33:44.000,39.156174694,-84.548510198,90.0,53.0,104.0,62.0,29.0
105,BC02 Sunday,2024-03-09T23:33:45.000,39.156180683,-84.5484979,90.0,50.0,98.0,58.0,29.0
