,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,BC02 Sunday,2024-03-10T11:09:14.000,39.156243377,-84.548465157,91.0,0.0,0.0,0.0,29.0
2,BC02 Sunday,2024-03-10T11:09:19.000,39.156245154,-84.548465514,91.0,0.0,0.0,0.0,28.0
3,BC02 Sunday,2024-03-10T11:09:24.000,39.156232836,-84.548459311,91.0,0.0,0.0,0.0,28.0
4,BC02 Sunday,2024-03-10T11:09:29.000,39.156227514,-84.548467126,91.0,0.0,0.0,0.0,28.0
5,BC02 Sunday,2024-03-10T11:09:34.000,39.156206435,-84.548471695,91.0,0.0,0.0,0.0,28.0
6,BC02 Sunday,2024-03-10T11:09:39.000,39.156194899,-84.5484646,91.0,0.0,,,
7,BC02 Sunday,2024-03-10T11:09:39.000,39.156197408,-84.548469025,,,0.0,0.0,27.5
8,BC02 Sunday,2024-03-10T11:09:44.000,39.156198696,-84.548467965,91.0,0.0,0.0,0.0,27.0
9,BC02 Sunday,2024-03-10T11:09:49.000,39.156202655,-84.548462672,91.0,,,,
10,BC02 Sunday,2024-03-10T11:09:49.000,39.156203833,-84.548465105,,0.0,,,
11,BC02 Sunday,2024-03-10T11:09:49.000,39.156202655,-84.548462672,,,0.0,,
12,BC02 Sunday,2024-03-10T11:09:49.000,39.156203833,-84.548465105,,,,0.0,27.0
13,BC02 Sunday,2024-03-10T11:09:54.000,39.156193219,-84.548441386,91.0,0.0,0.0,,
14,BC02 Sunday,2024-03-10T11:09:54.000,39.15619274,-84.548441507,,,,0.0,26.5
15,BC02 Sunday,2024-03-10T11:09:59.000,39.15618728,-84.548443667,91.0,0.0,0.0,0.0,27.0
16,BC02 Sunday,2024-03-10T11:10:04.000,39.15617725,-84.548436862,91.0,0.0,0.0,0.0,27.333334
17,BC02 Sunday,2024-03-10T11:10:09.000,39.156184744,-84.548442571,91.0,,,,
18,BC02 Sunday,2024-03-10T11:10:09.000,39.156187172,-84.54844712,,0.0,0.0,0.0,
19,BC02 Sunday,2024-03-10T11:10:09.000,39.156184744,-84.548442571,,,,,27.2
20,BC02 Sunday,2024-03-10T11:10:14.000,39.156192798,-84.54846736,91.0,0.0,0.0,0.0,27.0
21,BC02 Sunday,2024-03-10T11:10:19.000,39.156198834,-84.548460291,91.0,,,,
22,BC02 Sunday,2024-03-10T11:10:19.000,39.156198925,-84.548462095,,0.0,,,
23,BC02 Sunday,2024-03-10T11:10:19.000,39.156198834,-84.548460291,,,0.0,,
24,BC02 Sunday,2024-03-10T11:10:19.000,39.156198925,-84.548462095,,,,0.0,27.0
25,BC02 Sunday,2024-03-10T11:10:24.000,39.156205691,-84.548454115,91.0,0.0,,,
26,BC02 Sunday,2024-03-10T11:10:24.000,39.156205803,-84.548456659,,,0.0,0.0,27.0
27,BC02 Sunday,2024-03-10T11:10:29.000,39.156207224,-84.54845343,91.0,0.0,0.0,0.0,27.0
28,BC02 Sunday,2024-03-10T11:10:34.000,39.156203592,-84.548450345,91.0,0.0,0.0,0.0,27.0
29,BC02 Sunday,2024-03-10T11:10:39.000,39.156203592,-84.548450345,91.0,0.0,0.0,0.0,27.0
30,BC02 Sunday,2024-03-10T11:10:44.000,39.156183744,-84.548460619,91.0,0.0,0.0,0.0,27.75
31,BC02 Sunday,2024-03-10T11:10:49.000,39.156189982,-84.548444334,91.0,0.0,0.0,0.0,27.0
32,BC02 Sunday,2024-03-10T11:10:54.000,39.156192963,-84.548462957,91.0,,,,
33,BC02 Sunday,2024-03-10T11:10:54.000,39.156191605,-84.548460776,,0.0,0.0,0.0,
34,BC02 Sunday,2024-03-10T11:10:54.000,39.156192963,-84.548462957,,,,,27.0
35,BC02 Sunday,2024-03-10T11:10:59.000,39.156195927,-84.548468336,91.0,0.0,0.0,0.0,27.0
36,BC02 Sunday,2024-03-10T11:11:04.000,39.156207613,-84.548467239,91.0,,,,
37,BC02 Sunday,2024-03-10T11:11:04.000,39.156211464,-84.548465061,,0.0,,,
38,BC02 Sunday,2024-03-10T11:11:04.000,39.156207613,-84.548467239,,,0.0,,
39,BC02 Sunday,2024-03-10T11:11:04.000,39.156211464,-84.548465061,,,,0.0,
40,BC02 Sunday,2024-03-10T11:11:04.000,39.156207613,-84.548467239,,,,,27.0
41,BC02 Sunday,2024-03-10T11:11:09.000,39.156227658,-84.548464547,91.0,0.0,0.0,0.0,27.5
42,BC02 Sunday,2024-03-10T11:11:14.000,39.156231169,-84.5484746,91.0,0.0,0.0,0.0,28.0
43,BC02 Sunday,2024-03-10T11:11:19.000,39.156214133,-84.548455188,91.0,,,,
44,BC02 Sunday,2024-03-10T11:11:19.000,39.15621622,-84.548457906,,0.0,0.0,,
45,BC02 Sunday,2024-03-10T11:11:19.000,39.156214133,-84.548455188,,,,0.0,
46,BC02 Sunday,2024-03-10T11:11:19.000,39.15621622,-84.548457906,,,,,27.4
47,BC02 Sunday,2024-03-10T11:11:24.000,39.156220831,-84.548462554,91.0,,,,
48,BC02 Sunday,2024-03-10T11:11:24.000,39.156219004,-84.548464135,,0.0,,,
49,BC02 Sunday,2024-03-10T11:11:24.000,39.156220831,-84.548462554,,,0.0,,
50,BC02 Sunday,2024-03-10T11:11:24.000,39.156219004,-84.548464135,,,,0.0,27.0
51,BC02 Sunday,2024-03-10T11:11:29.000,39.156223637,-84.54846139,91.0,0.0,0.0,0.0,26.75
52,BC02 Sunday,2024-03-10T11:11:34.000,39.156244511,-84.548464819,91.0,0.0,0.0,0.0,26.0
53,BC02 Sunday,2024-03-10T11:11:39.000,39.156244511,-84.548464819,91.0,0.0,0.0,0.0,26.0
54,BC02 Sunday,2024-03-10T11:11:44.000,39.156244511,-84.548464819,91.0,0.0,0.0,0.0,27.0
55,BC02 Sunday,2024-03-10T11:11:49.000,39.156243518,-84.548476937,91.0,,,,
56,BC02 Sunday,2024-03-10T11:11:49.000,39.156242975,-84.548477783,,0.0,,,
57,BC02 Sunday,2024-03-10T11:11:49.000,39.156243518,-84.548476937,,,0.0,0.0,
58,BC02 Sunday,2024-03-10T11:11:49.000,39.156242975,-84.548477783,,,,,26.8
59,BC02 Sunday,2024-03-10T11:11:54.000,39.156237991,-84.548479581,91.0,,,,
60,BC02 Sunday,2024-03-10T11:11:54.000,39.156236456,-84.548477739,,0.0,0.0,0.0,26.0
61,BC02 Sunday,2024-03-10T11:11:59.000,39.156237991,-84.548479581,91.0,0.0,0.0,0.0,26.0
62,BC02 Sunday,2024-03-10T11:12:04.000,39.156237991,-84.548479581,91.0,0.0,0.0,0.0,26.0
63,BC02 Sunday,2024-03-10T11:12:09.000,39.156253469,-84.548483162,91.0,0.0,0.0,,
64,BC02 Sunday,2024-03-10T11:12:09.000,39.156252688,-84.548484376,,,,0.0,
65,BC02 Sunday,2024-03-10T11:12:09.000,39.156253469,-84.548483162,,,,,26.0
66,BC02 Sunday,2024-03-10T11:12:14.000,39.15624643,-84.548477974,91.0,0.0,0.0,0.0,26.0
67,BC02 Sunday,2024-03-10T11:12:19.000,39.156243331,-84.548474041,91.0,0.0,0.0,0.0,26.0
68,BC02 Sunday,2024-03-10T11:12:24.000,39.156218981,-84.54847812,91.0,0.0,0.0,0.0,
69,BC02 Sunday,2024-03-10T11:12:24.000,39.156222653,-84.548475043,,,,,26.0
70,BC02 Sunday,2024-03-10T11:12:29.000,39.156212277,-84.548469598,91.0,0.0,0.0,0.0,26.0
71,BC02 Sunday,2024-03-10T11:12:34.000,39.156212277,-84.548469598,91.0,,,,
72,BC02 Sunday,2024-03-10T11:12:34.000,39.156211254,-84.548463614,,0.0,,,
73,BC02 Sunday,2024-03-10T11:12:34.000,39.156212277,-84.548469598,,,0.0,0.0,
74,BC02 Sunday,2024-03-10T11:12:34.000,39.156211254,-84.548463614,,,,,26.0
75,BC02 Sunday,2024-03-10T11:12:39.000,39.156200753,-84.548455069,91.0,0.0,,,
76,BC02 Sunday,2024-03-10T11:12:39.000,39.156198511,-84.548453441,,,0.0,0.0,
77,BC02 Sunday,2024-03-10T11:12:39.000,39.156200753,-84.548455069,,,,,26.0
78,BC02 Sunday,2024-03-10T11:12:44.000,39.15620373,-84.54845622,91.0,0.0,0.0,0.0,27.0
79,BC02 Sunday,2024-03-10T11:12:49.000,39.156208425,-84.548472412,91.0,,,,
80,BC02 Sunday,2024-03-10T11:12:49.000,39.156211588,-84.548471477,,0.0,0.0,,
81,BC02 Sunday,2024-03-10T11:12:49.000,39.156208425,-84.548472412,,,,0.0,27.0
82,BC02 Sunday,2024-03-10T11:12:54.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.333334
83,BC02 Sunday,2024-03-10T11:12:59.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
84,BC02 Sunday,2024-03-10T11:13:04.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
85,BC02 Sunday,2024-03-10T11:13:09.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
86,BC02 Sunday,2024-03-10T11:13:14.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
87,BC02 Sunday,2024-03-10T11:13:19.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
88,BC02 Sunday,2024-03-10T11:13:24.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
89,BC02 Sunday,2024-03-10T11:13:29.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
90,BC02 Sunday,2024-03-10T11:13:34.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
91,BC02 Sunday,2024-03-10T11:13:39.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
92,BC02 Sunday,2024-03-10T11:13:44.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
93,BC02 Sunday,2024-03-10T11:13:49.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
94,BC02 Sunday,2024-03-10T11:13:54.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
95,BC02 Sunday,2024-03-10T11:13:59.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
96,BC02 Sunday,2024-03-10T11:14:04.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
97,BC02 Sunday,2024-03-10T11:14:09.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
98,BC02 Sunday,2024-03-10T11:14:14.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
99,BC02 Sunday,2024-03-10T11:14:19.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
100,BC02 Sunday,2024-03-10T11:14:24.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
101,BC02 Sunday,2024-03-10T11:14:29.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
102,BC02 Sunday,2024-03-10T11:14:34.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
103,BC02 Sunday,2024-03-10T11:14:39.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
104,BC02 Sunday,2024-03-10T11:14:44.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
105,BC02 Sunday,2024-03-10T11:14:49.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
106,BC02 Sunday,2024-03-10T11:14:54.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
107,BC02 Sunday,2024-03-10T11:14:59.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
108,BC02 Sunday,2024-03-10T11:15:04.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
109,BC02 Sunday,2024-03-10T11:15:09.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
110,BC02 Sunday,2024-03-10T11:15:14.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
111,BC02 Sunday,2024-03-10T11:15:19.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
112,BC02 Sunday,2024-03-10T11:15:24.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
113,BC02 Sunday,2024-03-10T11:15:29.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
114,BC02 Sunday,2024-03-10T11:15:34.000,39.156205743,-84.548466846,91.0,0.0,0.0,0.0,26.0
