,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,BC02 Wednesday ,2024-03-06T11:24:41.000,39.156158645,-84.548507945,94.0,0.6363636,0.6363636,0.6363636,36.69091
2,BC02 Wednesday ,2024-03-06T11:25:41.000,39.156190845,-84.54845405,94.0,0.33333334,0.33333334,0.33333334,34.483334
3,BC02 Wednesday ,2024-03-06T11:26:41.000,39.156207817,-84.548435232,94.0,0.26666668,0.26666668,0.26666668,34.0
4,BC02 Wednesday ,2024-03-06T11:27:41.000,39.156195152,-84.548505776,94.0,0.28333333,0.28333333,0.28333333,34.0
5,BC02 Wednesday ,2024-03-06T11:28:41.000,39.156172856,-84.548482859,93.183334,0.8,0.8,0.8,34.0
6,BC02 Wednesday ,2024-03-06T11:29:41.000,39.156167015,-84.548460573,93.0,0.35,0.35,0.35,34.783333
7,BC02 Wednesday ,2024-03-06T11:30:41.000,39.156190499,-84.548527856,93.0,0.5777778,0.5777778,0.5777778,35.066666
8,BC02 Wednesday ,2024-03-06T11:31:41.000,39.156190499,-84.548527856,93.0,0.6722222,0.6722222,0.6722222,35.0
9,BC02 Wednesday ,2024-03-06T11:32:41.000,39.156190499,-84.548527856,93.0,0.33888888,0.33888888,0.33888888,35.0
10,BC02 Wednesday ,2024-03-06T11:33:41.000,39.156190499,-84.548527856,93.0,0.0,0.0,0.0,34.95
11,BC02 Wednesday ,2024-03-06T11:34:41.000,39.156190499,-84.548527856,93.0,0.23333333,0.23333333,0.23333333,34.35
12,BC02 Wednesday ,2024-03-06T11:35:41.000,39.156190499,-84.548527856,93.0,0.0,0.0,0.0,34.2
13,BC02 Wednesday ,2024-03-06T11:36:41.000,39.156190499,-84.548527856,93.0,0.36666667,0.36666667,0.36666667,34.0
14,BC02 Wednesday ,2024-03-06T11:37:41.000,39.156190499,-84.548527856,93.0,0.25,0.25,0.25,34.0
15,BC02 Wednesday ,2024-03-06T11:38:41.000,39.156190499,-84.548527856,93.0,0.0,0.0,0.0,33.9
16,BC02 Wednesday ,2024-03-06T11:39:41.000,39.156190499,-84.548527856,93.05,0.2,0.2,0.2,33.816666
17,BC02 Wednesday ,2024-03-06T11:40:41.000,39.156190499,-84.548527856,93.92917,0.06111111,0.06111111,0.06111111,33.345833
18,BC02 Wednesday ,2024-03-06T11:41:41.000,39.156190499,-84.548527856,94.0,0.33333334,0.33333334,0.33333334,33.319443
19,BC02 Wednesday ,2024-03-06T11:42:41.000,39.156190499,-84.548527856,94.0,0.1,0.1,0.1,33.0
20,BC02 Wednesday ,2024-03-06T11:43:41.000,39.156190499,-84.548527856,94.0,0.016666668,0.016666668,0.016666668,33.0
21,BC02 Wednesday ,2024-03-06T11:44:41.000,39.156190499,-84.548527856,94.0,0.3,0.3,0.3,33.0
22,BC02 Wednesday ,2024-03-06T11:45:41.000,39.156190499,-84.548527856,94.0,0.13333334,0.13333334,0.13333334,33.0
23,BC02 Wednesday ,2024-03-06T11:46:41.000,39.156199569,-84.548520223,94.0,0.2777778,0.2777778,0.2777778,33.0
24,BC02 Wednesday ,2024-03-06T11:47:41.000,39.156219336,-84.548518887,94.0,0.5,0.5,0.5,33.85
25,BC02 Wednesday ,2024-03-06T11:48:41.000,39.156194008,-84.548522281,94.01667,0.46666667,0.46666667,0.46666667,33.35
26,BC02 Wednesday ,2024-03-06T11:49:41.000,39.156194008,-84.548522281,94.76667,0.1,0.1,0.1,33.0
27,BC02 Wednesday ,2024-03-06T11:50:41.000,39.156194008,-84.548522281,95.0,0.36666667,0.36666667,0.36666667,33.0
28,BC02 Wednesday ,2024-03-06T11:51:41.000,39.156194008,-84.548522281,95.0,0.45277777,0.45277777,0.45277777,33.0
29,BC02 Wednesday ,2024-03-06T11:52:41.000,39.156194008,-84.548522281,95.0,0.6625,0.6625,0.6625,33.0
30,BC02 Wednesday ,2024-03-06T11:53:41.000,39.156194008,-84.548522281,95.0,0.2,0.2,0.2,33.0
31,BC02 Wednesday ,2024-03-06T11:54:41.000,39.156194008,-84.548522281,95.0,0.26666668,0.26666668,0.26666668,33.0
32,BC02 Wednesday ,2024-03-06T11:55:41.000,39.156194008,-84.548522281,95.0,0.6666667,0.6666667,0.6666667,33.0
33,BC02 Wednesday ,2024-03-06T11:56:41.000,39.156194008,-84.548522281,95.0,0.8666667,0.8666667,0.8666667,32.283333
34,BC02 Wednesday ,2024-03-06T11:57:41.000,39.156194008,-84.548522281,95.01667,0.38333333,0.38333333,0.38333333,32.0
35,BC02 Wednesday ,2024-03-06T11:58:41.000,39.156194008,-84.548522281,95.166664,0.78333336,0.78333336,0.78333336,32.3
36,BC02 Wednesday ,2024-03-06T11:59:41.000,39.156194008,-84.548522281,95.78333,0.71666664,0.71666664,0.71666664,32.0
37,BC02 Wednesday ,2024-03-06T12:00:41.000,39.156194008,-84.548522281,96.0,0.5,0.5,0.5,32.0
38,BC02 Wednesday ,2024-03-06T12:01:41.000,39.156194008,-84.548522281,96.0,0.26666668,0.26666668,0.26666668,32.333332
39,BC02 Wednesday ,2024-03-06T12:02:41.000,39.156194008,-84.548522281,96.0,0.2,0.2,0.2,32.0
40,BC02 Wednesday ,2024-03-06T12:03:41.000,39.156194008,-84.548522281,96.0,0.31666666,0.31666666,0.31666666,32.0
41,BC02 Wednesday ,2024-03-06T12:04:41.000,39.156194008,-84.548522281,96.0,0.96666664,0.96666664,0.96666664,32.316666
42,BC02 Wednesday ,2024-03-06T12:05:41.000,39.156194008,-84.548522281,96.0,0.7,0.7,0.7,32.0
43,BC02 Wednesday ,2024-03-06T12:06:41.000,39.156194008,-84.548522281,96.0,0.6333333,0.6333333,0.6333333,32.0
44,BC02 Wednesday ,2024-03-06T12:07:41.000,39.156194008,-84.548522281,96.0,0.6666667,0.6666667,0.6666667,32.316666
45,BC02 Wednesday ,2024-03-06T12:08:41.000,39.156194008,-84.548522281,96.0,1.1722223,1.1722223,1.1722223,32.0
46,BC02 Wednesday ,2024-03-06T12:09:41.000,39.156194008,-84.548522281,96.0,0.80833334,0.80833334,0.80833334,32.0
47,BC02 Wednesday ,2024-03-06T12:10:41.000,39.156194008,-84.548522281,96.0,0.65833336,0.65833336,0.65833336,32.158333
48,BC02 Wednesday ,2024-03-06T12:11:41.000,39.156194008,-84.548522281,96.0,0.9,0.9,0.9,32.0
49,BC02 Wednesday ,2024-03-06T12:12:41.000,39.156194008,-84.548522281,96.0,1.3,1.3,1.3,32.016666
50,BC02 Wednesday ,2024-03-06T12:13:41.000,39.156194008,-84.548522281,96.0,1.4833333,1.4833333,1.4833333,32.266666
51,BC02 Wednesday ,2024-03-06T12:14:41.000,39.156194008,-84.548522281,96.0,2.1833334,2.6833334,2.1833334,32.0
52,BC02 Wednesday ,2024-03-06T12:15:41.000,39.156194008,-84.548522281,96.0,3.8333333,4.616667,4.4666667,31.983334
53,BC02 Wednesday ,2024-03-06T12:16:41.000,39.156194008,-84.548522281,96.0,3.3,3.8666666,3.75,32.0
54,BC02 Wednesday ,2024-03-06T12:17:41.000,39.156194008,-84.548522281,96.0,4.0666666,4.8166666,4.7166667,31.766666
55,BC02 Wednesday ,2024-03-06T12:18:41.000,39.156194008,-84.548522281,96.0,5.55,6.5333333,6.4333334,31.6
56,BC02 Wednesday ,2024-03-06T12:19:41.000,39.156194008,-84.548522281,96.0,4.133333,5.0666666,4.65,31.833334
57,BC02 Wednesday ,2024-03-06T12:20:41.000,39.156194008,-84.548522281,96.0,5.366667,6.4,5.8333335,31.75
58,BC02 Wednesday ,2024-03-06T12:21:41.000,39.156194008,-84.548522281,96.0,8.35,9.366667,9.283334,31.0
59,BC02 Wednesday ,2024-03-06T12:22:41.000,39.156194008,-84.548522281,96.0,4.95,5.7833333,5.616667,31.6
60,BC02 Wednesday ,2024-03-06T12:23:41.000,39.156194008,-84.548522281,96.0,7.55,8.65,8.266666,31.116667
61,BC02 Wednesday ,2024-03-06T12:24:41.000,39.156194008,-84.548522281,96.0,7.165278,8.3125,8.005555,31.0
62,BC02 Wednesday ,2024-03-06T12:25:41.000,39.156194008,-84.548522281,96.0,3.5097222,4.226389,3.9819446,31.655556
63,BC02 Wednesday ,2024-03-06T12:26:41.000,39.156195638,-84.54847753,96.0,5.179167,6.179167,6.1291666,31.5
64,BC02 Wednesday ,2024-03-06T12:27:41.000,39.156195638,-84.54847753,96.0,3.7805555,4.7805557,4.313889,31.75
65,BC02 Wednesday ,2024-03-06T12:28:41.000,39.156195638,-84.54847753,95.96667,3.2791667,4.1625,3.675,32.0
66,BC02 Wednesday ,2024-03-06T12:29:41.000,39.156190634,-84.548489849,95.666664,3.6,4.6,4.2,32.0
67,BC02 Wednesday ,2024-03-06T12:30:41.000,39.156197511,-84.548487752,95.083336,3.2,4.1666665,3.4333334,32.0
68,BC02 Wednesday ,2024-03-06T12:31:41.000,39.156197511,-84.548487752,95.0,3.5833333,4.5666666,4.116667,32.0
69,BC02 Wednesday ,2024-03-06T12:32:41.000,39.156197511,-84.548487752,95.0,3.35,4.1666665,3.7333333,32.116665
70,BC02 Wednesday ,2024-03-06T12:33:41.000,39.156197511,-84.548487752,95.0,3.3166666,4.1666665,3.7833333,32.066666
71,BC02 Wednesday ,2024-03-06T12:34:41.000,39.156197511,-84.548487752,95.0,3.5833333,4.5333333,4.1666665,32.483334
72,BC02 Wednesday ,2024-03-06T12:35:41.000,39.156197511,-84.548487752,95.0,3.45,4.383333,3.9333334,32.3
73,BC02 Wednesday ,2024-03-06T12:36:41.000,39.156197511,-84.548487752,95.0,3.15,3.9666667,3.4833333,33.0
74,BC02 Wednesday ,2024-03-06T12:37:41.000,39.156197511,-84.548487752,95.0,3.8555555,4.822222,4.5277777,33.0
75,BC02 Wednesday ,2024-03-06T12:38:41.000,39.156197511,-84.548487752,95.0,3.3666666,4.2833333,3.7166667,33.0
76,BC02 Wednesday ,2024-03-06T12:39:41.000,39.156197511,-84.548487752,95.0,3.7,4.6666665,4.366667,33.0
77,BC02 Wednesday ,2024-03-06T12:40:41.000,39.156197511,-84.548487752,95.0,3.2652779,4.048611,3.6930556,33.0
78,BC02 Wednesday ,2024-03-06T12:41:41.000,39.156197511,-84.548487752,95.0,3.1333334,4.0833335,3.25,33.0
79,BC02 Wednesday ,2024-03-06T12:42:41.000,39.156197511,-84.548487752,95.0,3.4166667,4.366667,3.85,33.0
80,BC02 Wednesday ,2024-03-06T12:43:41.000,39.156197511,-84.548487752,95.0,3.1,3.9833333,3.3166666,33.0
81,BC02 Wednesday ,2024-03-06T12:44:41.000,39.156197511,-84.548487752,95.0,2.5166667,2.9833333,2.5166667,33.0
82,BC02 Wednesday ,2024-03-06T12:45:41.000,39.156197511,-84.548487752,95.0,3.65,4.65,4.233333,33.0
83,BC02 Wednesday ,2024-03-06T12:46:41.000,39.156197511,-84.548487752,95.0,3.0666666,3.9333334,3.3166666,33.0
84,BC02 Wednesday ,2024-03-06T12:47:41.000,39.156197511,-84.548487752,95.0,2.5833333,3.1,2.6666667,33.0
85,BC02 Wednesday ,2024-03-06T12:48:41.000,39.156197511,-84.548487752,95.0,2.8833334,3.5,3.0833333,33.0
86,BC02 Wednesday ,2024-03-06T12:49:41.000,39.156197511,-84.548487752,95.0,2.7125,3.3777778,2.7791667,33.0
87,BC02 Wednesday ,2024-03-06T12:50:41.000,39.156197511,-84.548487752,95.0,2.9333334,3.675,3.0916667,33.0
88,BC02 Wednesday ,2024-03-06T12:51:41.000,39.156197511,-84.548487752,95.0,3.05,3.9833333,3.1166666,33.0
89,BC02 Wednesday ,2024-03-06T12:52:41.000,39.156197511,-84.548487752,95.0,3.0166667,3.85,3.1666667,33.0
90,BC02 Wednesday ,2024-03-06T12:53:41.000,39.156197511,-84.548487752,95.0,2.8333333,3.55,2.9333334,33.183334
91,BC02 Wednesday ,2024-03-06T12:54:41.000,39.156197511,-84.548487752,95.0,2.4166667,2.8666666,2.4166667,33.383335
92,BC02 Wednesday ,2024-03-06T12:55:41.000,39.156197511,-84.548487752,95.0,2.2833333,2.5333333,2.2833333,33.0
93,BC02 Wednesday ,2024-03-06T12:56:41.000,39.156197511,-84.548487752,95.0,2.1833334,2.5666666,2.1833334,33.0
94,BC02 Wednesday ,2024-03-06T12:57:41.000,39.156197511,-84.548487752,95.0,2.6666667,3.3833334,2.6666667,33.0
