,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc03 Monday ,2024-03-11T08:03:43.000,39.146545478,-84.55198917,81.0,0.0,0.0,0.0,29.0
2,Bc03 Monday ,2024-03-11T08:03:48.000,39.146545478,-84.55198917,81.0,0.0,0.0,0.0,29.0
3,Bc03 Monday ,2024-03-11T08:03:53.000,39.146545478,-84.55198917,81.0,0.0,0.0,0.0,29.0
4,Bc03 Monday ,2024-03-11T08:03:58.000,39.146545478,-84.55198917,81.0,0.0,0.0,0.0,29.2
5,Bc03 Monday ,2024-03-11T08:04:03.000,39.146545478,-84.55198917,81.0,0.0,0.0,0.0,29.2
6,Bc03 Monday ,2024-03-11T08:04:08.000,39.146545478,-84.55198917,81.4,0.0,0.0,0.0,29.0
7,Bc03 Monday ,2024-03-11T08:04:13.000,39.146545478,-84.55198917,82.0,0.0,0.0,0.0,29.0
8,Bc03 Monday ,2024-03-11T08:04:18.000,39.146545478,-84.55198917,82.0,0.0,0.0,0.0,28.0
9,Bc03 Monday ,2024-03-11T08:04:23.000,39.146545478,-84.55198917,82.0,0.0,0.0,0.0,28.0
10,Bc03 Monday ,2024-03-11T08:04:28.000,39.146545478,-84.55198917,82.0,0.0,0.0,0.0,28.0
11,Bc03 Monday ,2024-03-11T08:04:33.000,39.146545478,-84.55198917,82.0,0.0,0.0,0.0,28.0
12,Bc03 Monday ,2024-03-11T08:04:38.000,39.146545478,-84.55198917,82.0,0.0,0.0,0.0,28.0
13,Bc03 Monday ,2024-03-11T08:04:43.000,39.146545478,-84.55198917,82.0,0.0,0.0,0.0,28.0
14,Bc03 Monday ,2024-03-11T08:04:48.000,39.146545478,-84.55198917,82.0,0.0,0.0,0.0,28.0
15,Bc03 Monday ,2024-03-11T08:04:53.000,39.146545478,-84.55198917,82.0,0.0,0.0,0.0,28.0
16,Bc03 Monday ,2024-03-11T08:04:58.000,39.146545478,-84.55198917,82.0,0.0,0.0,0.0,28.0
17,Bc03 Monday ,2024-03-11T08:05:03.000,39.146545478,-84.55198917,82.0,0.0,0.0,0.0,28.0
18,Bc03 Monday ,2024-03-11T08:05:08.000,39.146545478,-84.55198917,82.0,0.0,0.0,0.0,28.0
19,Bc03 Monday ,2024-03-11T08:05:13.000,39.146545478,-84.55198917,82.0,0.0,0.0,0.0,28.0
20,Bc03 Monday ,2024-03-11T08:05:18.000,39.146545478,-84.55198917,82.0,0.0,0.0,0.0,28.0
21,Bc03 Monday ,2024-03-11T08:05:23.000,39.146545478,-84.55198917,82.2,0.0,0.0,0.0,28.0
22,Bc03 Monday ,2024-03-11T08:05:28.000,39.146545478,-84.55198917,82.8,0.0,0.0,0.0,28.0
23,Bc03 Monday ,2024-03-11T08:05:33.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,28.0
24,Bc03 Monday ,2024-03-11T08:05:38.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,28.0
25,Bc03 Monday ,2024-03-11T08:05:43.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.5
26,Bc03 Monday ,2024-03-11T08:05:48.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
27,Bc03 Monday ,2024-03-11T08:05:53.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
28,Bc03 Monday ,2024-03-11T08:05:58.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
29,Bc03 Monday ,2024-03-11T08:06:03.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
30,Bc03 Monday ,2024-03-11T08:06:08.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
31,Bc03 Monday ,2024-03-11T08:06:13.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
32,Bc03 Monday ,2024-03-11T08:06:18.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
33,Bc03 Monday ,2024-03-11T08:06:23.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
34,Bc03 Monday ,2024-03-11T08:06:28.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
35,Bc03 Monday ,2024-03-11T08:06:33.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
36,Bc03 Monday ,2024-03-11T08:06:38.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
37,Bc03 Monday ,2024-03-11T08:06:43.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
38,Bc03 Monday ,2024-03-11T08:06:48.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
39,Bc03 Monday ,2024-03-11T08:06:53.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
40,Bc03 Monday ,2024-03-11T08:06:58.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
41,Bc03 Monday ,2024-03-11T08:07:03.000,39.146545478,-84.55198917,83.0,0.0,0.0,0.0,27.0
42,Bc03 Monday ,2024-03-11T08:07:08.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,27.0
43,Bc03 Monday ,2024-03-11T08:07:13.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,27.0
44,Bc03 Monday ,2024-03-11T08:07:18.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,27.0
45,Bc03 Monday ,2024-03-11T08:07:23.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,27.0
46,Bc03 Monday ,2024-03-11T08:07:28.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,27.0
47,Bc03 Monday ,2024-03-11T08:07:33.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,27.0
48,Bc03 Monday ,2024-03-11T08:07:38.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,27.0
49,Bc03 Monday ,2024-03-11T08:07:43.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,27.0
50,Bc03 Monday ,2024-03-11T08:07:48.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,27.0
51,Bc03 Monday ,2024-03-11T08:07:53.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,27.0
52,Bc03 Monday ,2024-03-11T08:07:58.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,26.6
53,Bc03 Monday ,2024-03-11T08:08:03.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,27.0
54,Bc03 Monday ,2024-03-11T08:08:08.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,27.0
55,Bc03 Monday ,2024-03-11T08:08:13.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,26.6
56,Bc03 Monday ,2024-03-11T08:08:18.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,26.2
57,Bc03 Monday ,2024-03-11T08:08:23.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,26.0
58,Bc03 Monday ,2024-03-11T08:08:28.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,26.0
59,Bc03 Monday ,2024-03-11T08:08:33.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,26.0
60,Bc03 Monday ,2024-03-11T08:08:38.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,26.0
61,Bc03 Monday ,2024-03-11T08:08:43.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,26.0
62,Bc03 Monday ,2024-03-11T08:08:48.000,39.146545478,-84.55198917,84.0,0.0,0.0,0.0,26.0
63,Bc03 Monday ,2024-03-11T08:08:53.000,39.146545478,-84.55198917,84.6,0.0,0.0,0.0,26.0
64,Bc03 Monday ,2024-03-11T08:08:58.000,39.146545478,-84.55198917,84.8,0.0,0.0,0.0,26.0
65,Bc03 Monday ,2024-03-11T08:09:03.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
66,Bc03 Monday ,2024-03-11T08:09:08.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
67,Bc03 Monday ,2024-03-11T08:09:13.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
68,Bc03 Monday ,2024-03-11T08:09:18.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
69,Bc03 Monday ,2024-03-11T08:09:23.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
70,Bc03 Monday ,2024-03-11T08:09:28.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
71,Bc03 Monday ,2024-03-11T08:09:33.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
72,Bc03 Monday ,2024-03-11T08:09:38.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
73,Bc03 Monday ,2024-03-11T08:09:43.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
74,Bc03 Monday ,2024-03-11T08:09:48.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
75,Bc03 Monday ,2024-03-11T08:09:53.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
76,Bc03 Monday ,2024-03-11T08:09:58.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
77,Bc03 Monday ,2024-03-11T08:10:03.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
78,Bc03 Monday ,2024-03-11T08:10:08.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
79,Bc03 Monday ,2024-03-11T08:10:13.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
80,Bc03 Monday ,2024-03-11T08:10:18.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
81,Bc03 Monday ,2024-03-11T08:10:23.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
82,Bc03 Monday ,2024-03-11T08:10:28.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
83,Bc03 Monday ,2024-03-11T08:10:33.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
84,Bc03 Monday ,2024-03-11T08:10:38.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
85,Bc03 Monday ,2024-03-11T08:10:43.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
86,Bc03 Monday ,2024-03-11T08:10:48.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
87,Bc03 Monday ,2024-03-11T08:10:53.000,39.146545478,-84.55198917,85.0,0.0,0.0,0.0,26.0
88,Bc03 Monday ,2024-03-11T08:10:58.000,39.146545478,-84.55198917,85.6,0.0,0.0,0.0,26.0
89,Bc03 Monday ,2024-03-11T08:11:03.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.4
90,Bc03 Monday ,2024-03-11T08:11:08.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.2
91,Bc03 Monday ,2024-03-11T08:11:13.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.2
92,Bc03 Monday ,2024-03-11T08:11:18.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
93,Bc03 Monday ,2024-03-11T08:11:23.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
94,Bc03 Monday ,2024-03-11T08:11:28.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
95,Bc03 Monday ,2024-03-11T08:11:33.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
96,Bc03 Monday ,2024-03-11T08:11:38.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
97,Bc03 Monday ,2024-03-11T08:11:43.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
98,Bc03 Monday ,2024-03-11T08:11:48.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
99,Bc03 Monday ,2024-03-11T08:11:53.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
100,Bc03 Monday ,2024-03-11T08:11:58.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
101,Bc03 Monday ,2024-03-11T08:12:03.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
102,Bc03 Monday ,2024-03-11T08:12:08.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
103,Bc03 Monday ,2024-03-11T08:12:13.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
104,Bc03 Monday ,2024-03-11T08:12:18.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
105,Bc03 Monday ,2024-03-11T08:12:23.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
106,Bc03 Monday ,2024-03-11T08:12:28.000,39.146545478,-84.55198917,86.0,0.0,0.0,0.0,25.0
