,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc03 Sunday ,2024-03-10T07:59:28.000,39.146515794,-84.551882304,91.030304,0.0,0.0,0.0,24.648485
2,Bc03 Sunday ,2024-03-10T08:00:28.000,39.146515794,-84.551882304,91.0,0.0,0.0,0.0,24.0
3,Bc03 Sunday ,2024-03-10T08:01:28.000,39.146515794,-84.551882304,91.083336,0.0,0.0,0.0,24.0
4,Bc03 Sunday ,2024-03-10T08:02:28.000,39.146515794,-84.551882304,91.38333,0.0,0.0,0.0,24.0
5,Bc03 Sunday ,2024-03-10T08:03:28.000,39.146515794,-84.551882304,91.9,0.0,0.0,0.0,24.0
6,Bc03 Sunday ,2024-03-10T08:04:28.000,39.146515794,-84.551882304,91.98333,0.0,0.0,0.0,24.0
7,Bc03 Sunday ,2024-03-10T08:05:28.000,39.146515794,-84.551882304,92.0,0.0,0.0,0.0,24.0
8,Bc03 Sunday ,2024-03-10T08:06:28.000,39.146515794,-84.551882304,92.0,0.0,0.0,0.0,24.0
9,Bc03 Sunday ,2024-03-10T08:07:28.000,39.146515794,-84.551882304,92.0,0.0,0.0,0.0,24.0
10,Bc03 Sunday ,2024-03-10T08:08:28.000,39.146515794,-84.551882304,92.0,0.0,0.0,0.0,24.0
11,Bc03 Sunday ,2024-03-10T08:09:28.000,39.146515794,-84.551882304,92.0,0.0,0.0,0.0,24.0
12,Bc03 Sunday ,2024-03-10T08:10:28.000,39.146515794,-84.551882304,92.0,0.0,0.0,0.0,24.0
13,Bc03 Sunday ,2024-03-10T08:11:28.000,39.146515794,-84.551882304,92.0,0.0,0.0,0.0,24.0
14,Bc03 Sunday ,2024-03-10T08:12:28.000,39.146515794,-84.551882304,92.0,0.0,0.0,0.0,24.0
15,Bc03 Sunday ,2024-03-10T08:13:28.000,39.146515794,-84.551882304,92.666664,0.0,0.0,0.0,24.0
16,Bc03 Sunday ,2024-03-10T08:14:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
17,Bc03 Sunday ,2024-03-10T08:15:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
18,Bc03 Sunday ,2024-03-10T08:16:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
19,Bc03 Sunday ,2024-03-10T08:17:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
20,Bc03 Sunday ,2024-03-10T08:18:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
21,Bc03 Sunday ,2024-03-10T08:19:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
22,Bc03 Sunday ,2024-03-10T08:20:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
23,Bc03 Sunday ,2024-03-10T08:21:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
24,Bc03 Sunday ,2024-03-10T08:22:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
25,Bc03 Sunday ,2024-03-10T08:23:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
26,Bc03 Sunday ,2024-03-10T08:24:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
27,Bc03 Sunday ,2024-03-10T08:25:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
28,Bc03 Sunday ,2024-03-10T08:26:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
29,Bc03 Sunday ,2024-03-10T08:27:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
30,Bc03 Sunday ,2024-03-10T08:28:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
31,Bc03 Sunday ,2024-03-10T08:29:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
32,Bc03 Sunday ,2024-03-10T08:30:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
33,Bc03 Sunday ,2024-03-10T08:31:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
34,Bc03 Sunday ,2024-03-10T08:32:28.000,39.146515794,-84.551882304,93.0,0.033333335,0.033333335,0.033333335,24.0
35,Bc03 Sunday ,2024-03-10T08:33:28.000,39.146515794,-84.551882304,93.0,0.5,0.5,0.5,24.683332
36,Bc03 Sunday ,2024-03-10T08:34:28.000,39.146515794,-84.551882304,93.0,0.48333332,0.48333332,0.48333332,25.0
37,Bc03 Sunday ,2024-03-10T08:35:28.000,39.146515794,-84.551882304,93.0,0.33333334,0.33333334,0.33333334,25.0
38,Bc03 Sunday ,2024-03-10T08:36:28.000,39.146515794,-84.551882304,93.0,0.05,0.05,0.05,25.0
39,Bc03 Sunday ,2024-03-10T08:37:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,25.0
40,Bc03 Sunday ,2024-03-10T08:38:28.000,39.146515794,-84.551882304,93.0,0.083333336,0.083333336,0.083333336,25.0
41,Bc03 Sunday ,2024-03-10T08:39:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.316668
42,Bc03 Sunday ,2024-03-10T08:40:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
43,Bc03 Sunday ,2024-03-10T08:41:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
44,Bc03 Sunday ,2024-03-10T08:42:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
45,Bc03 Sunday ,2024-03-10T08:43:28.000,39.146515794,-84.551882304,93.0,0.0,0.0,0.0,24.0
46,Bc03 Sunday ,2024-03-10T08:44:28.000,39.146515794,-84.551882304,93.0,0.1,0.1,0.1,24.0
47,Bc03 Sunday ,2024-03-10T08:45:28.000,39.146555117,-84.552020489,93.0,0.016666668,0.016666668,0.016666668,24.0
48,Bc03 Sunday ,2024-03-10T08:46:28.000,39.146555117,-84.552020489,93.0,0.0,0.0,0.0,24.0
49,Bc03 Sunday ,2024-03-10T08:47:28.000,39.146555117,-84.552020489,93.0,0.0,0.0,0.0,24.0
50,Bc03 Sunday ,2024-03-10T08:48:28.000,39.146555117,-84.552020489,93.0,0.0,0.0,0.0,24.0
51,Bc03 Sunday ,2024-03-10T08:49:28.000,39.146555117,-84.552020489,93.0,0.0,0.0,0.0,24.0
52,Bc03 Sunday ,2024-03-10T08:50:28.000,39.146555117,-84.552020489,93.0,0.0,0.0,0.0,24.0
53,Bc03 Sunday ,2024-03-10T08:51:28.000,39.146555117,-84.552020489,93.0,0.0,0.0,0.0,24.0
54,Bc03 Sunday ,2024-03-10T08:52:28.000,39.146555117,-84.552020489,93.0,0.0,0.0,0.0,24.0
55,Bc03 Sunday ,2024-03-10T08:53:28.000,39.146555117,-84.552020489,93.0,0.0,0.0,0.0,24.0
56,Bc03 Sunday ,2024-03-10T08:54:28.000,39.146555117,-84.552020489,93.0,0.0,0.0,0.0,24.0
57,Bc03 Sunday ,2024-03-10T08:55:28.000,39.146555117,-84.552020489,93.0,0.016666668,0.016666668,0.016666668,24.0
58,Bc03 Sunday ,2024-03-10T08:56:28.000,39.146555117,-84.552020489,93.0,0.0,0.0,0.0,24.0
59,Bc03 Sunday ,2024-03-10T08:57:28.000,39.146555117,-84.552020489,93.0,0.0,0.0,0.0,24.0
60,Bc03 Sunday ,2024-03-10T08:58:28.000,39.146555117,-84.552020489,93.0,0.1,0.1,0.1,24.0
61,Bc03 Sunday ,2024-03-10T08:59:28.000,39.146555117,-84.552020489,92.933334,0.0,0.0,0.0,24.0
62,Bc03 Sunday ,2024-03-10T09:00:28.000,39.146555117,-84.552020489,92.566666,0.26666668,0.26666668,0.26666668,24.0
63,Bc03 Sunday ,2024-03-10T09:01:28.000,39.14655951,-84.551958793,92.316666,0.033333335,0.033333335,0.033333335,24.616667
64,Bc03 Sunday ,2024-03-10T09:02:28.000,39.146497832,-84.551976818,92.0,0.0,0.0,0.0,25.133333
65,Bc03 Sunday ,2024-03-10T09:03:28.000,39.146497832,-84.551976818,91.15,0.0,0.0,0.0,25.0
66,Bc03 Sunday ,2024-03-10T09:04:28.000,39.146425763,-84.551905014,91.0,,,,
67,Bc03 Sunday ,2024-03-10T09:04:28.000,39.146434229,-84.551900673,,0.0,0.0,0.0,
68,Bc03 Sunday ,2024-03-10T09:04:28.000,39.146425763,-84.551905014,,,,,25.0
69,Bc03 Sunday ,2024-03-10T09:05:28.000,39.146372781,-84.552048378,91.0,0.0,0.0,0.0,22.069445
70,Bc03 Sunday ,2024-03-10T09:06:28.000,39.14634576,-84.552024822,90.316666,0.0,0.0,0.0,18.133333
71,Bc03 Sunday ,2024-03-10T09:07:28.000,39.14634576,-84.552024822,89.76667,0.0,0.0,0.0,17.083334
72,Bc03 Sunday ,2024-03-10T09:08:28.000,39.14634576,-84.552024822,89.0,0.0,0.0,0.0,17.0
73,Bc03 Sunday ,2024-03-10T09:09:28.000,39.14632177,-84.551936287,88.0,0.0,0.0,0.0,17.0
74,Bc03 Sunday ,2024-03-10T09:10:28.000,39.152813727,-84.55078846,87.28333,0.0,0.0,0.0,17.0
75,Bc03 Sunday ,2024-03-10T09:11:28.000,39.161489475,-84.551197626,86.638885,0.0,0.0,0.0,17.0
76,Bc03 Sunday ,2024-03-10T09:12:28.000,39.162257293,-84.551823395,86.0,0.0,0.0,0.0,17.233334
77,Bc03 Sunday ,2024-03-10T09:13:28.000,39.154315147,-84.542974199,85.183334,0.0,0.0,0.0,18.0
78,Bc03 Sunday ,2024-03-10T09:14:28.000,39.156817576,-84.535729477,85.0,0.0,0.0,0.0,18.0
79,Bc03 Sunday ,2024-03-10T09:15:28.000,39.162040387,-84.516743292,84.083336,0.0,0.0,0.0,18.95
80,Bc03 Sunday ,2024-03-10T09:16:28.000,39.169973904,-84.502718374,84.0,0.0,0.0,0.0,19.9
81,Bc03 Sunday ,2024-03-10T09:17:28.000,39.177561741,-84.487024207,84.0,,,,
82,Bc03 Sunday ,2024-03-10T09:17:28.000,39.177324253,-84.487146881,,0.0,,,
83,Bc03 Sunday ,2024-03-10T09:17:28.000,39.177561741,-84.487024207,,,0.0,,
84,Bc03 Sunday ,2024-03-10T09:17:28.000,39.177324253,-84.487146881,,,,0.0,20.1875
85,Bc03 Sunday ,2024-03-10T09:18:28.000,39.191723744,-84.478744959,84.0,0.0,0.0,0.0,20.965279
86,Bc03 Sunday ,2024-03-10T09:19:28.000,39.204479823,-84.466257532,84.0,0.0,0.0,0.0,21.0
87,Bc03 Sunday ,2024-03-10T09:20:28.000,39.212023886,-84.461373033,84.0,0.0,0.0,0.0,21.0
88,Bc03 Sunday ,2024-03-10T09:21:28.000,39.21235274,-84.472050647,84.0,0.0,0.0,0.0,21.0
89,Bc03 Sunday ,2024-03-10T09:22:28.000,39.211955634,-84.473582913,84.0,0.0,0.0,0.0,21.0
90,Bc03 Sunday ,2024-03-10T09:23:28.000,39.211955634,-84.473582913,84.0,0.0,0.0,0.0,20.966667
91,Bc03 Sunday ,2024-03-10T09:24:28.000,39.211955634,-84.473582913,84.0,0.0,0.0,0.0,20.0
92,Bc03 Sunday ,2024-03-10T09:25:28.000,39.211955634,-84.473582913,84.0,0.0,0.0,0.0,20.0
93,Bc03 Sunday ,2024-03-10T09:26:28.000,39.211955634,-84.473582913,84.0,0.0,0.0,0.0,20.0
94,Bc03 Sunday ,2024-03-10T09:27:28.000,39.211955634,-84.473582913,84.0,0.0,0.0,0.0,20.0
95,Bc03 Sunday ,2024-03-10T09:28:28.000,39.211864082,-84.473589684,84.0,0.0,0.0,0.0,19.95
96,Bc03 Sunday ,2024-03-10T09:29:28.000,39.211864082,-84.473589684,84.0,0.0,0.0,0.0,19.033333
97,Bc03 Sunday ,2024-03-10T09:30:28.000,39.211864082,-84.473589684,84.0,0.0,0.0,0.0,19.0
98,Bc03 Sunday ,2024-03-10T09:31:28.000,39.211864082,-84.473589684,83.85,0.0,0.0,0.0,19.0
99,Bc03 Sunday ,2024-03-10T09:32:28.000,39.212298629,-84.470664544,83.0,0.0,0.0,0.0,19.433332
100,Bc03 Sunday ,2024-03-10T09:33:28.000,39.21519761,-84.466572566,83.0,0.0,0.0,0.0,20.0
101,Bc03 Sunday ,2024-03-10T09:34:28.000,39.217868669,-84.462249817,83.0,0.0,0.0,0.0,20.0
102,Bc03 Sunday ,2024-03-10T09:35:28.000,39.222451098,-84.46126027,83.0,0.0,0.0,0.0,20.0
103,Bc03 Sunday ,2024-03-10T09:36:28.000,39.229712489,-84.460871351,83.666664,0.0,0.0,0.0,20.0
104,Bc03 Sunday ,2024-03-10T09:37:28.000,39.23587989,-84.460025245,84.0,0.0,0.0,0.0,20.516666
