,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc03 Thursday ,2024-03-07T08:08:31.000,39.1465692,-84.551965993,82.0,0.0,0.0,0.0,40.0
2,Bc03 Thursday ,2024-03-07T08:08:36.000,39.1465692,-84.551965993,82.0,0.0,0.0,0.0,40.0
3,Bc03 Thursday ,2024-03-07T08:08:41.000,39.1465692,-84.551965993,82.0,0.0,0.0,0.0,40.0
4,Bc03 Thursday ,2024-03-07T08:08:46.000,39.1465692,-84.551965993,82.0,0.0,0.0,0.0,40.0
5,Bc03 Thursday ,2024-03-07T08:08:51.000,39.1465692,-84.551965993,82.0,0.0,0.0,0.0,40.0
6,Bc03 Thursday ,2024-03-07T08:08:56.000,39.1465692,-84.551965993,82.0,0.0,0.0,0.0,40.0
7,Bc03 Thursday ,2024-03-07T08:09:01.000,39.1465692,-84.551965993,82.2,0.0,0.0,0.0,39.2
8,Bc03 Thursday ,2024-03-07T08:09:06.000,39.1465692,-84.551965993,82.8,0.0,0.0,0.0,39.0
9,Bc03 Thursday ,2024-03-07T08:09:11.000,39.1465692,-84.551965993,83.0,0.0,0.0,0.0,39.0
10,Bc03 Thursday ,2024-03-07T08:09:16.000,39.1465692,-84.551965993,83.0,0.0,0.0,0.0,39.0
11,Bc03 Thursday ,2024-03-07T08:09:21.000,39.1465692,-84.551965993,83.0,0.0,0.0,0.0,39.0
12,Bc03 Thursday ,2024-03-07T08:09:26.000,39.1465692,-84.551965993,83.0,0.0,0.0,0.0,39.0
13,Bc03 Thursday ,2024-03-07T08:09:31.000,39.1465692,-84.551965993,83.0,0.0,0.0,0.0,39.0
14,Bc03 Thursday ,2024-03-07T08:09:36.000,39.1465692,-84.551965993,83.0,0.0,0.0,0.0,39.0
15,Bc03 Thursday ,2024-03-07T08:09:41.000,39.1465692,-84.551965993,83.0,0.0,0.0,0.0,39.0
16,Bc03 Thursday ,2024-03-07T08:09:46.000,39.1465692,-84.551965993,83.0,0.0,0.0,0.0,39.0
17,Bc03 Thursday ,2024-03-07T08:09:51.000,39.1465692,-84.551965993,83.0,0.0,0.0,0.0,38.4
18,Bc03 Thursday ,2024-03-07T08:09:56.000,39.1465692,-84.551965993,83.0,0.0,0.0,0.0,38.0
19,Bc03 Thursday ,2024-03-07T08:10:01.000,39.1465692,-84.551965993,83.0,0.0,0.0,0.0,38.0
20,Bc03 Thursday ,2024-03-07T08:10:06.000,39.1465692,-84.551965993,83.0,0.0,0.0,0.0,38.0
21,Bc03 Thursday ,2024-03-07T08:10:11.000,39.1465692,-84.551965993,83.0,0.0,0.0,0.0,38.0
22,Bc03 Thursday ,2024-03-07T08:10:16.000,39.1465692,-84.551965993,83.2,0.0,0.0,0.0,38.0
23,Bc03 Thursday ,2024-03-07T08:10:21.000,39.1465692,-84.551965993,83.8,0.0,0.0,0.0,38.0
24,Bc03 Thursday ,2024-03-07T08:10:26.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,38.0
25,Bc03 Thursday ,2024-03-07T08:10:31.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,38.0
26,Bc03 Thursday ,2024-03-07T08:10:36.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,38.0
27,Bc03 Thursday ,2024-03-07T08:10:41.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,38.0
28,Bc03 Thursday ,2024-03-07T08:10:46.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,38.0
29,Bc03 Thursday ,2024-03-07T08:10:51.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,38.0
30,Bc03 Thursday ,2024-03-07T08:10:56.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,38.0
31,Bc03 Thursday ,2024-03-07T08:11:01.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,38.0
32,Bc03 Thursday ,2024-03-07T08:11:06.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,38.0
33,Bc03 Thursday ,2024-03-07T08:11:11.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,37.8
34,Bc03 Thursday ,2024-03-07T08:11:16.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,37.0
35,Bc03 Thursday ,2024-03-07T08:11:21.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,37.0
36,Bc03 Thursday ,2024-03-07T08:11:26.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,37.0
37,Bc03 Thursday ,2024-03-07T08:11:31.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,37.0
38,Bc03 Thursday ,2024-03-07T08:11:36.000,39.1465692,-84.551965993,84.0,0.0,0.0,0.0,37.0
39,Bc03 Thursday ,2024-03-07T08:11:41.000,39.1465692,-84.551965993,84.2,0.0,0.0,0.0,37.0
40,Bc03 Thursday ,2024-03-07T08:11:46.000,39.1465692,-84.551965993,84.8,0.0,0.0,0.0,37.0
41,Bc03 Thursday ,2024-03-07T08:11:51.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,37.0
42,Bc03 Thursday ,2024-03-07T08:11:56.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,37.0
43,Bc03 Thursday ,2024-03-07T08:12:01.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,37.0
44,Bc03 Thursday ,2024-03-07T08:12:06.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,37.0
45,Bc03 Thursday ,2024-03-07T08:12:11.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,37.0
46,Bc03 Thursday ,2024-03-07T08:12:16.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,37.0
47,Bc03 Thursday ,2024-03-07T08:12:21.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,37.0
48,Bc03 Thursday ,2024-03-07T08:12:26.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,37.0
49,Bc03 Thursday ,2024-03-07T08:12:31.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,37.0
50,Bc03 Thursday ,2024-03-07T08:12:36.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,37.0
51,Bc03 Thursday ,2024-03-07T08:12:41.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,37.0
52,Bc03 Thursday ,2024-03-07T08:12:46.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,37.0
53,Bc03 Thursday ,2024-03-07T08:12:51.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,36.6
54,Bc03 Thursday ,2024-03-07T08:12:56.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,36.0
55,Bc03 Thursday ,2024-03-07T08:13:01.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,36.0
56,Bc03 Thursday ,2024-03-07T08:13:06.000,39.1465692,-84.551965993,85.0,0.0,0.0,0.0,36.0
57,Bc03 Thursday ,2024-03-07T08:13:11.000,39.1465692,-84.551965993,85.6,0.0,0.0,0.0,36.0
58,Bc03 Thursday ,2024-03-07T08:13:16.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
59,Bc03 Thursday ,2024-03-07T08:13:21.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
60,Bc03 Thursday ,2024-03-07T08:13:26.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
61,Bc03 Thursday ,2024-03-07T08:13:31.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
62,Bc03 Thursday ,2024-03-07T08:13:36.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
63,Bc03 Thursday ,2024-03-07T08:13:41.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
64,Bc03 Thursday ,2024-03-07T08:13:46.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
65,Bc03 Thursday ,2024-03-07T08:13:51.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
66,Bc03 Thursday ,2024-03-07T08:13:56.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
67,Bc03 Thursday ,2024-03-07T08:14:01.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
68,Bc03 Thursday ,2024-03-07T08:14:06.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
69,Bc03 Thursday ,2024-03-07T08:14:11.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
70,Bc03 Thursday ,2024-03-07T08:14:16.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
71,Bc03 Thursday ,2024-03-07T08:14:21.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
72,Bc03 Thursday ,2024-03-07T08:14:26.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
73,Bc03 Thursday ,2024-03-07T08:14:31.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
74,Bc03 Thursday ,2024-03-07T08:14:36.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
75,Bc03 Thursday ,2024-03-07T08:14:41.000,39.1465692,-84.551965993,86.0,0.0,0.0,0.0,36.0
76,Bc03 Thursday ,2024-03-07T08:14:46.000,39.1465692,-84.551965993,86.8,0.0,0.0,0.0,35.2
77,Bc03 Thursday ,2024-03-07T08:14:51.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
78,Bc03 Thursday ,2024-03-07T08:14:56.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
79,Bc03 Thursday ,2024-03-07T08:15:01.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
80,Bc03 Thursday ,2024-03-07T08:15:06.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
81,Bc03 Thursday ,2024-03-07T08:15:11.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
82,Bc03 Thursday ,2024-03-07T08:15:16.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
83,Bc03 Thursday ,2024-03-07T08:15:21.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
84,Bc03 Thursday ,2024-03-07T08:15:26.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
85,Bc03 Thursday ,2024-03-07T08:15:31.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
86,Bc03 Thursday ,2024-03-07T08:15:36.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
87,Bc03 Thursday ,2024-03-07T08:15:41.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
88,Bc03 Thursday ,2024-03-07T08:15:46.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
89,Bc03 Thursday ,2024-03-07T08:15:51.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
90,Bc03 Thursday ,2024-03-07T08:15:56.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
91,Bc03 Thursday ,2024-03-07T08:16:01.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
92,Bc03 Thursday ,2024-03-07T08:16:06.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
93,Bc03 Thursday ,2024-03-07T08:16:11.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
94,Bc03 Thursday ,2024-03-07T08:16:16.000,39.1465692,-84.551965993,87.0,0.0,0.0,0.0,35.0
95,Bc03 Thursday ,2024-03-07T08:16:21.000,39.1465692,-84.551965993,87.2,0.0,0.0,0.0,35.0
96,Bc03 Thursday ,2024-03-07T08:16:26.000,39.1465692,-84.551965993,87.6,0.0,0.0,0.0,35.0
97,Bc03 Thursday ,2024-03-07T08:16:31.000,39.1465692,-84.551965993,88.0,0.0,0.0,0.0,35.0
98,Bc03 Thursday ,2024-03-07T08:16:36.000,39.1465692,-84.551965993,88.0,0.0,0.0,0.0,35.0
99,Bc03 Thursday ,2024-03-07T08:16:41.000,39.1465692,-84.551965993,88.0,0.0,0.0,0.0,35.0
100,Bc03 Thursday ,2024-03-07T08:16:46.000,39.1465692,-84.551965993,88.0,0.0,0.0,0.0,35.0
101,Bc03 Thursday ,2024-03-07T08:16:51.000,39.1465692,-84.551965993,88.0,0.0,0.0,0.0,35.0
102,Bc03 Thursday ,2024-03-07T08:16:56.000,39.1465692,-84.551965993,88.0,0.0,0.0,0.0,35.0
103,Bc03 Thursday ,2024-03-07T08:17:01.000,39.1465692,-84.551965993,88.0,0.0,0.0,0.0,34.8
104,Bc03 Thursday ,2024-03-07T08:17:06.000,39.1465692,-84.551965993,88.0,0.0,0.0,0.0,34.4
