,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc03 Wednesday ,2024-03-06T08:02:53.000,39.146549358,-84.551999084,76.666664,0.0,0.0,0.0,49.666668
2,Bc03 Wednesday ,2024-03-06T08:02:58.000,39.146549358,-84.551999084,77.0,0.0,0.0,0.0,49.0
3,Bc03 Wednesday ,2024-03-06T08:03:03.000,39.146549358,-84.551999084,77.0,0.0,0.0,0.0,49.0
4,Bc03 Wednesday ,2024-03-06T08:03:08.000,39.146549358,-84.551999084,77.0,0.4,0.4,0.4,49.0
5,Bc03 Wednesday ,2024-03-06T08:03:13.000,39.146549358,-84.551999084,77.0,0.2,0.2,0.2,49.0
6,Bc03 Wednesday ,2024-03-06T08:03:18.000,39.146549358,-84.551999084,77.0,0.0,0.0,0.0,49.0
7,Bc03 Wednesday ,2024-03-06T08:03:23.000,39.146549358,-84.551999084,77.0,0.0,0.0,0.0,48.2
8,Bc03 Wednesday ,2024-03-06T08:03:28.000,39.146549358,-84.551999084,77.0,0.0,0.0,0.0,48.0
9,Bc03 Wednesday ,2024-03-06T08:03:33.000,39.146549358,-84.551999084,77.0,0.0,0.0,0.0,48.0
10,Bc03 Wednesday ,2024-03-06T08:03:38.000,39.146549358,-84.551999084,78.0,0.6,0.6,0.6,48.0
11,Bc03 Wednesday ,2024-03-06T08:03:43.000,39.146549358,-84.551999084,78.0,0.0,0.0,0.0,48.0
12,Bc03 Wednesday ,2024-03-06T08:03:48.000,39.146549358,-84.551999084,78.0,0.0,0.0,0.0,48.0
13,Bc03 Wednesday ,2024-03-06T08:03:53.000,39.146549358,-84.551999084,78.0,0.0,0.0,0.0,48.0
14,Bc03 Wednesday ,2024-03-06T08:03:58.000,39.146549358,-84.551999084,78.0,0.4,0.4,0.4,48.0
15,Bc03 Wednesday ,2024-03-06T08:04:03.000,39.146549358,-84.551999084,78.0,0.4,0.4,0.4,48.0
16,Bc03 Wednesday ,2024-03-06T08:04:08.000,39.146549358,-84.551999084,78.0,0.0,0.0,0.0,48.0
17,Bc03 Wednesday ,2024-03-06T08:04:13.000,39.146549358,-84.551999084,78.0,0.0,0.0,0.0,47.6
18,Bc03 Wednesday ,2024-03-06T08:04:18.000,39.146549358,-84.551999084,78.0,0.0,0.0,0.0,47.0
19,Bc03 Wednesday ,2024-03-06T08:04:23.000,39.146549358,-84.551999084,78.0,0.0,0.0,0.0,47.0
20,Bc03 Wednesday ,2024-03-06T08:04:28.000,39.146549358,-84.551999084,78.0,1.0,1.0,1.0,47.0
21,Bc03 Wednesday ,2024-03-06T08:04:33.000,39.146549358,-84.551999084,78.0,1.0,1.0,1.0,47.0
22,Bc03 Wednesday ,2024-03-06T08:04:38.000,39.146549358,-84.551999084,78.0,1.0,1.0,1.0,47.0
23,Bc03 Wednesday ,2024-03-06T08:04:43.000,39.146549358,-84.551999084,78.0,1.2,1.2,1.2,47.0
24,Bc03 Wednesday ,2024-03-06T08:04:48.000,39.146549358,-84.551999084,78.6,1.0,1.0,1.0,47.0
25,Bc03 Wednesday ,2024-03-06T08:04:53.000,39.146549358,-84.551999084,79.0,1.0,1.0,1.0,47.0
26,Bc03 Wednesday ,2024-03-06T08:04:58.000,39.146549358,-84.551999084,79.0,1.0,1.0,1.0,47.0
27,Bc03 Wednesday ,2024-03-06T08:05:03.000,39.146549358,-84.551999084,79.0,0.0,0.0,0.0,47.0
28,Bc03 Wednesday ,2024-03-06T08:05:08.000,39.146549358,-84.551999084,79.0,0.6,0.6,0.6,47.0
29,Bc03 Wednesday ,2024-03-06T08:05:13.000,39.146549358,-84.551999084,79.0,1.0,1.0,1.0,47.0
30,Bc03 Wednesday ,2024-03-06T08:05:18.000,39.146549358,-84.551999084,79.0,1.0,1.0,1.0,46.2
31,Bc03 Wednesday ,2024-03-06T08:05:23.000,39.146549358,-84.551999084,79.0,1.0,1.0,1.0,46.0
32,Bc03 Wednesday ,2024-03-06T08:05:28.000,39.146549358,-84.551999084,79.0,0.0,0.0,0.0,46.0
33,Bc03 Wednesday ,2024-03-06T08:05:33.000,39.146549358,-84.551999084,79.0,0.0,0.0,0.0,46.0
34,Bc03 Wednesday ,2024-03-06T08:05:38.000,39.146549358,-84.551999084,79.0,0.0,0.0,0.0,46.0
35,Bc03 Wednesday ,2024-03-06T08:05:43.000,39.146549358,-84.551999084,79.0,0.4,0.4,0.4,46.0
36,Bc03 Wednesday ,2024-03-06T08:05:48.000,39.146549358,-84.551999084,79.0,0.2,0.2,0.2,46.0
37,Bc03 Wednesday ,2024-03-06T08:05:53.000,39.146549358,-84.551999084,79.0,0.2,0.2,0.2,46.0
38,Bc03 Wednesday ,2024-03-06T08:05:58.000,39.146549358,-84.551999084,79.0,0.0,0.0,0.0,46.0
39,Bc03 Wednesday ,2024-03-06T08:06:03.000,39.146549358,-84.551999084,79.4,0.0,0.0,0.0,46.0
40,Bc03 Wednesday ,2024-03-06T08:06:08.000,39.146549358,-84.551999084,80.0,0.4,0.4,0.4,46.0
41,Bc03 Wednesday ,2024-03-06T08:06:13.000,39.146549358,-84.551999084,80.0,0.6,0.6,0.6,46.0
42,Bc03 Wednesday ,2024-03-06T08:06:18.000,39.146549358,-84.551999084,80.0,0.2,0.2,0.2,46.0
43,Bc03 Wednesday ,2024-03-06T08:06:23.000,39.146549358,-84.551999084,80.0,0.2,0.2,0.2,46.0
44,Bc03 Wednesday ,2024-03-06T08:06:28.000,39.146549358,-84.551999084,80.0,0.6,0.6,0.6,45.4
45,Bc03 Wednesday ,2024-03-06T08:06:33.000,39.146549358,-84.551999084,80.0,0.6,0.6,0.6,45.0
46,Bc03 Wednesday ,2024-03-06T08:06:38.000,39.146549358,-84.551999084,80.0,0.0,0.0,0.0,45.0
47,Bc03 Wednesday ,2024-03-06T08:06:43.000,39.146549358,-84.551999084,80.0,0.6,0.6,0.6,45.0
48,Bc03 Wednesday ,2024-03-06T08:06:48.000,39.146549358,-84.551999084,80.0,1.0,1.0,1.0,45.0
49,Bc03 Wednesday ,2024-03-06T08:06:53.000,39.146549358,-84.551999084,80.0,1.0,1.0,1.0,45.0
50,Bc03 Wednesday ,2024-03-06T08:06:58.000,39.146549358,-84.551999084,80.0,1.0,1.0,1.0,45.0
51,Bc03 Wednesday ,2024-03-06T08:07:03.000,39.146549358,-84.551999084,80.0,0.6,0.6,0.6,45.0
52,Bc03 Wednesday ,2024-03-06T08:07:08.000,39.146549358,-84.551999084,80.0,0.8,0.8,0.8,45.0
53,Bc03 Wednesday ,2024-03-06T08:07:13.000,39.146549358,-84.551999084,80.0,0.4,0.4,0.4,45.0
54,Bc03 Wednesday ,2024-03-06T08:07:18.000,39.146549358,-84.551999084,80.0,0.0,0.0,0.0,45.0
55,Bc03 Wednesday ,2024-03-06T08:07:23.000,39.146549358,-84.551999084,80.0,0.0,0.0,0.0,45.0
56,Bc03 Wednesday ,2024-03-06T08:07:28.000,39.146549358,-84.551999084,80.0,0.5,0.5,0.5,45.0
57,Bc03 Wednesday ,2024-03-06T08:07:33.000,39.146549358,-84.551999084,80.0,1.0,1.0,1.0,45.0
58,Bc03 Wednesday ,2024-03-06T08:07:38.000,39.146549358,-84.551999084,80.833336,0.33333334,0.33333334,0.33333334,45.0
59,Bc03 Wednesday ,2024-03-06T08:07:43.000,39.146549358,-84.551999084,81.0,0.5,0.5,0.5,45.0
60,Bc03 Wednesday ,2024-03-06T08:07:48.000,39.146549358,-84.551999084,81.0,0.0,0.0,0.0,45.0
61,Bc03 Wednesday ,2024-03-06T08:07:53.000,39.146549358,-84.551999084,81.0,0.6666667,0.6666667,0.6666667,44.0
62,Bc03 Wednesday ,2024-03-06T08:07:58.000,39.146549358,-84.551999084,81.0,0.5,0.5,0.5,44.0
63,Bc03 Wednesday ,2024-03-06T08:08:03.000,39.146549358,-84.551999084,81.0,0.0,0.0,0.0,44.0
64,Bc03 Wednesday ,2024-03-06T08:08:08.000,39.146549358,-84.551999084,81.0,0.33333334,0.33333334,0.33333334,44.0
65,Bc03 Wednesday ,2024-03-06T08:08:13.000,39.146549358,-84.551999084,81.0,1.0,1.0,1.0,44.0
66,Bc03 Wednesday ,2024-03-06T08:08:18.000,39.146549358,-84.551999084,81.0,0.2,0.2,0.2,44.0
67,Bc03 Wednesday ,2024-03-06T08:08:23.000,39.146549358,-84.551999084,81.0,0.0,0.0,0.0,44.0
68,Bc03 Wednesday ,2024-03-06T08:08:28.000,39.146549358,-84.551999084,81.0,1.0,1.0,1.0,44.0
69,Bc03 Wednesday ,2024-03-06T08:08:33.000,39.146549358,-84.551999084,81.0,1.4,1.4,1.4,44.0
70,Bc03 Wednesday ,2024-03-06T08:08:38.000,39.146549358,-84.551999084,81.0,1.0,1.0,1.0,44.0
71,Bc03 Wednesday ,2024-03-06T08:08:43.000,39.146549358,-84.551999084,81.0,0.4,0.4,0.4,44.0
72,Bc03 Wednesday ,2024-03-06T08:08:48.000,39.146549358,-84.551999084,81.0,0.6,0.6,0.6,44.0
73,Bc03 Wednesday ,2024-03-06T08:08:53.000,39.146549358,-84.551999084,81.0,0.0,0.0,0.0,44.0
74,Bc03 Wednesday ,2024-03-06T08:08:58.000,39.146549358,-84.551999084,81.0,0.0,0.0,0.0,44.0
75,Bc03 Wednesday ,2024-03-06T08:09:03.000,39.146549358,-84.551999084,81.0,0.4,0.4,0.4,44.0
76,Bc03 Wednesday ,2024-03-06T08:09:08.000,39.146549358,-84.551999084,81.0,0.6,0.6,0.6,44.0
77,Bc03 Wednesday ,2024-03-06T08:09:13.000,39.146549358,-84.551999084,81.0,1.0,1.0,1.0,44.0
78,Bc03 Wednesday ,2024-03-06T08:09:18.000,39.146549358,-84.551999084,81.4,1.0,1.0,1.0,44.0
79,Bc03 Wednesday ,2024-03-06T08:09:23.000,39.146549358,-84.551999084,81.6,0.4,0.4,0.4,44.0
80,Bc03 Wednesday ,2024-03-06T08:09:28.000,39.146549358,-84.551999084,82.0,0.4,0.4,0.4,43.0
81,Bc03 Wednesday ,2024-03-06T08:09:33.000,39.146549358,-84.551999084,82.0,0.4,0.4,0.4,43.0
82,Bc03 Wednesday ,2024-03-06T08:09:38.000,39.146549358,-84.551999084,82.0,0.2,0.2,0.2,43.0
83,Bc03 Wednesday ,2024-03-06T08:09:43.000,39.146549358,-84.551999084,82.0,1.0,1.0,1.0,43.0
84,Bc03 Wednesday ,2024-03-06T08:09:48.000,39.146549358,-84.551999084,82.0,0.4,0.4,0.4,43.0
85,Bc03 Wednesday ,2024-03-06T08:09:53.000,39.146549358,-84.551999084,82.0,0.2,0.2,0.2,43.0
86,Bc03 Wednesday ,2024-03-06T08:09:58.000,39.146549358,-84.551999084,82.0,0.2,0.2,0.2,43.0
87,Bc03 Wednesday ,2024-03-06T08:10:03.000,39.146549358,-84.551999084,82.0,0.0,0.0,0.0,43.0
88,Bc03 Wednesday ,2024-03-06T08:10:08.000,39.146549358,-84.551999084,82.0,0.2,0.2,0.2,43.0
89,Bc03 Wednesday ,2024-03-06T08:10:13.000,39.146549358,-84.551999084,82.0,1.0,1.0,1.0,43.0
90,Bc03 Wednesday ,2024-03-06T08:10:18.000,39.146549358,-84.551999084,82.0,0.8,0.8,0.8,43.0
91,Bc03 Wednesday ,2024-03-06T08:10:23.000,39.146549358,-84.551999084,82.0,0.0,0.0,0.0,43.0
92,Bc03 Wednesday ,2024-03-06T08:10:28.000,39.146549358,-84.551999084,82.0,0.0,0.0,0.0,43.0
93,Bc03 Wednesday ,2024-03-06T08:10:33.000,39.146549358,-84.551999084,82.0,0.6,0.6,0.6,43.0
94,Bc03 Wednesday ,2024-03-06T08:10:38.000,39.146549358,-84.551999084,82.0,0.0,0.0,0.0,43.0
95,Bc03 Wednesday ,2024-03-06T08:10:43.000,39.146549358,-84.551999084,82.0,0.8,0.8,0.8,43.0
96,Bc03 Wednesday ,2024-03-06T08:10:48.000,39.146549358,-84.551999084,82.0,1.0,1.0,1.0,43.0
97,Bc03 Wednesday ,2024-03-06T08:10:53.000,39.146549358,-84.551999084,82.0,0.8,0.8,0.8,43.0
98,Bc03 Wednesday ,2024-03-06T08:10:58.000,39.146549358,-84.551999084,82.0,0.4,0.4,0.4,43.0
99,Bc03 Wednesday ,2024-03-06T08:11:03.000,39.146549358,-84.551999084,82.0,0.2,0.2,0.2,43.0
100,Bc03 Wednesday ,2024-03-06T08:11:08.000,39.146549358,-84.551999084,82.0,0.6,0.6,0.6,43.0
101,Bc03 Wednesday ,2024-03-06T08:11:13.000,39.146549358,-84.551999084,82.0,0.8,0.8,0.8,42.4
102,Bc03 Wednesday ,2024-03-06T08:11:18.000,39.146549358,-84.551999084,82.6,1.6,1.6,1.6,42.0
