,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc03Friday ,2024-03-08T08:08:00.000,39.146576644,-84.551971483,91.0,15.555555,17.555555,16.555555,31.166666
2,Bc03Friday ,2024-03-08T08:09:00.000,39.146576644,-84.551971483,91.0,15.35,17.366667,16.366667,31.0
3,Bc03Friday ,2024-03-08T08:10:00.000,39.146576644,-84.551971483,91.0,15.466666,17.466667,16.466667,31.0
4,Bc03Friday ,2024-03-08T08:11:00.000,39.146576644,-84.551971483,91.0,14.383333,16.05,15.4,31.0
5,Bc03Friday ,2024-03-08T08:12:00.000,39.146576644,-84.551971483,91.0,15.616667,17.666666,16.666666,31.466667
6,Bc03Friday ,2024-03-08T08:13:00.000,39.146576644,-84.551971483,91.0,16.1,18.183332,17.183332,31.383333
7,Bc03Friday ,2024-03-08T08:14:00.000,39.146576644,-84.551971483,91.0,15.7,17.716667,16.716667,31.0
8,Bc03Friday ,2024-03-08T08:15:00.000,39.146576644,-84.551971483,91.05,14.783334,16.783333,15.783334,31.0
9,Bc03Friday ,2024-03-08T08:16:00.000,39.146576644,-84.551971483,91.96528,15.366667,17.366667,16.366667,31.0
10,Bc03Friday ,2024-03-08T08:17:00.000,39.146576644,-84.551971483,92.0,14.666667,16.6,15.666667,30.6
11,Bc03Friday ,2024-03-08T08:18:00.000,39.146576644,-84.551971483,92.0,14.45,16.333334,15.45,30.0
12,Bc03Friday ,2024-03-08T08:19:00.000,39.146576644,-84.551971483,92.0,14.433333,16.3,15.433333,30.0
13,Bc03Friday ,2024-03-08T08:20:00.000,39.146576644,-84.551971483,92.35,14.916667,16.85,15.95,30.0
14,Bc03Friday ,2024-03-08T08:21:00.000,39.146576644,-84.551971483,93.0,13.416667,14.916667,14.416667,30.0
15,Bc03Friday ,2024-03-08T08:22:00.000,39.146576644,-84.551971483,93.0,13.5,14.95,14.516666,30.0
16,Bc03Friday ,2024-03-08T08:23:00.000,39.146576644,-84.551971483,93.0,14.366667,16.204166,15.404166,30.0
17,Bc03Friday ,2024-03-08T08:24:00.000,39.146576644,-84.551971483,93.0,14.497222,16.377777,15.527778,30.0
18,Bc03Friday ,2024-03-08T08:25:00.000,39.146576644,-84.551971483,93.0,14.166667,15.966666,15.183333,29.1
19,Bc03Friday ,2024-03-08T08:26:00.000,39.146576644,-84.551971483,93.0,13.65,15.2,14.65,29.0
20,Bc03Friday ,2024-03-08T08:27:00.000,39.146576644,-84.551971483,93.416664,14.033334,15.833333,15.066667,29.0
21,Bc03Friday ,2024-03-08T08:28:00.000,39.146576644,-84.551971483,94.0,13.416667,15.0,14.433333,29.0
22,Bc03Friday ,2024-03-08T08:29:00.000,39.146576644,-84.551971483,94.0,11.883333,12.983334,12.883333,29.0
23,Bc03Friday ,2024-03-08T08:30:00.000,39.146576644,-84.551971483,94.0,12.166667,13.3,13.166667,29.0
24,Bc03Friday ,2024-03-08T08:31:00.000,39.146576644,-84.551971483,94.0,11.283334,12.283334,12.2,29.0
25,Bc03Friday ,2024-03-08T08:32:00.000,39.146576644,-84.551971483,94.0,11.780556,12.815278,12.729167,29.0
26,Bc03Friday ,2024-03-08T08:33:00.000,39.146576644,-84.551971483,94.0,11.3347225,12.3347225,12.159722,29.0
27,Bc03Friday ,2024-03-08T08:34:00.000,39.146576644,-84.551971483,94.4,9.05,10.366667,9.766666,29.0
28,Bc03Friday ,2024-03-08T08:35:00.000,39.146576644,-84.551971483,95.0,9.883333,11.033334,10.35,29.0
29,Bc03Friday ,2024-03-08T08:36:00.000,39.146576644,-84.551971483,95.0,10.25,11.383333,10.783334,29.0
30,Bc03Friday ,2024-03-08T08:37:00.000,39.146576644,-84.551971483,95.0,9.6,10.8,10.25,29.0
31,Bc03Friday ,2024-03-08T08:38:00.000,39.146576644,-84.551971483,95.0,9.666667,10.933333,10.133333,28.633333
32,Bc03Friday ,2024-03-08T08:39:00.000,39.146576644,-84.551971483,95.0,9.418056,10.729167,10.069445,28.0
33,Bc03Friday ,2024-03-08T08:40:00.000,39.146576644,-84.551971483,95.0,9.968056,11.158334,10.488889,28.0
34,Bc03Friday ,2024-03-08T08:41:00.000,39.146576644,-84.551971483,95.0,9.763889,10.901389,10.2125,28.0
35,Bc03Friday ,2024-03-08T08:42:00.000,39.146576644,-84.551971483,95.0,9.9875,11.1875,10.561111,28.0
36,Bc03Friday ,2024-03-08T08:43:00.000,39.146576644,-84.551971483,95.0,8.766666,10.083333,9.45,28.0
37,Bc03Friday ,2024-03-08T08:44:00.000,39.146576644,-84.551971483,95.0,8.680555,10.055555,9.291667,28.0
38,Bc03Friday ,2024-03-08T08:45:00.000,39.146576644,-84.551971483,95.0,9.306945,10.538889,9.786111,28.0
39,Bc03Friday ,2024-03-08T08:46:00.000,39.146576644,-84.551971483,95.0,7.9791665,9.473611,8.815278,28.0
40,Bc03Friday ,2024-03-08T08:47:00.000,39.146576644,-84.551971483,95.0,8.466666,10.044444,9.35,28.0
41,Bc03Friday ,2024-03-08T08:48:00.000,39.146576644,-84.551971483,95.0,9.559722,10.743055,10.1375,28.0
42,Bc03Friday ,2024-03-08T08:49:00.000,39.146576644,-84.551971483,95.0,9.119445,10.238889,9.463889,28.0
43,Bc03Friday ,2024-03-08T08:50:00.000,39.146576644,-84.551971483,95.0,7.7777777,9.434722,8.677778,28.0
44,Bc03Friday ,2024-03-08T08:51:00.000,39.146576644,-84.551971483,95.0,8.345834,9.673611,9.145833,28.0
45,Bc03Friday ,2024-03-08T08:52:00.000,39.146576644,-84.551971483,95.0,7.6666665,9.016666,8.55,28.0
46,Bc03Friday ,2024-03-08T08:53:00.000,39.146576644,-84.551971483,95.0,9.483334,10.816667,9.966666,28.0
47,Bc03Friday ,2024-03-08T08:54:00.000,39.146576644,-84.551971483,95.0,8.316667,9.716666,9.0,28.0
48,Bc03Friday ,2024-03-08T08:55:00.000,39.146576644,-84.551971483,95.0,9.183333,10.533334,9.616667,28.0
49,Bc03Friday ,2024-03-08T08:56:00.000,39.146576644,-84.551971483,94.96667,8.116667,9.7,8.933333,28.0
50,Bc03Friday ,2024-03-08T08:57:00.000,39.146576644,-84.551971483,94.71667,9.15,10.383333,9.666667,28.0
51,Bc03Friday ,2024-03-08T08:58:00.000,39.146576644,-84.551971483,94.1,8.033334,9.6,8.866667,28.0
52,Bc03Friday ,2024-03-08T08:59:00.000,39.146576644,-84.551971483,94.0,8.166667,9.466666,8.833333,28.116667
53,Bc03Friday ,2024-03-08T09:00:00.000,39.146576644,-84.551971483,94.0,8.0,9.583333,8.866667,28.816668
54,Bc03Friday ,2024-03-08T09:01:00.000,39.146576644,-84.551971483,94.01667,7.75,9.4,8.716666,28.983334
55,Bc03Friday ,2024-03-08T09:02:00.000,39.146576644,-84.551971483,94.3,6.866667,8.05,7.866667,29.0
56,Bc03Friday ,2024-03-08T09:03:00.000,39.146576644,-84.551971483,94.96667,6.85,8.083333,7.8,29.0
57,Bc03Friday ,2024-03-08T09:04:00.000,39.146576644,-84.551971483,95.0,6.1666665,7.1666665,7.133333,29.0
58,Bc03Friday ,2024-03-08T09:05:00.000,39.146576644,-84.551971483,95.0,6.4666667,7.5666666,7.4166665,29.0
59,Bc03Friday ,2024-03-08T09:06:00.000,39.146576644,-84.551971483,95.0,5.7,6.7,6.6833334,29.0
60,Bc03Friday ,2024-03-08T09:07:00.000,39.146576644,-84.551971483,95.0,5.8166666,6.8166666,6.8,28.983334
61,Bc03Friday ,2024-03-08T09:08:00.000,39.146576644,-84.551971483,95.0,4.7833333,5.75,5.75,28.0
62,Bc03Friday ,2024-03-08T09:09:00.000,39.146576644,-84.551971483,95.0,5.4333334,6.4166665,6.366667,28.0
63,Bc03Friday ,2024-03-08T09:10:00.000,39.146576644,-84.551971483,95.0,5.25,6.25,6.2166667,28.0
64,Bc03Friday ,2024-03-08T09:11:00.000,39.146576644,-84.551971483,95.0,6.45,7.45,7.45,28.0
65,Bc03Friday ,2024-03-08T09:12:00.000,39.146576644,-84.551971483,95.0,5.883333,6.883333,6.883333,28.0
66,Bc03Friday ,2024-03-08T09:13:00.000,39.146576644,-84.551971483,95.0,5.75,6.75,6.75,28.0
67,Bc03Friday ,2024-03-08T09:14:00.000,39.146576644,-84.551971483,95.0,5.483333,6.483333,6.45,28.0
68,Bc03Friday ,2024-03-08T09:15:00.000,39.146576644,-84.551971483,95.0,5.883333,6.883333,6.866667,28.0
69,Bc03Friday ,2024-03-08T09:16:00.000,39.146576644,-84.551971483,95.0,5.5666666,6.55,6.5333333,28.0
70,Bc03Friday ,2024-03-08T09:17:00.000,39.146576644,-84.551971483,95.0,5.5333333,6.5333333,6.516667,28.0
71,Bc03Friday ,2024-03-08T09:18:00.000,39.146576644,-84.551971483,95.0,5.1833334,6.1666665,6.15,28.0
72,Bc03Friday ,2024-03-08T09:19:00.000,39.146576644,-84.551971483,95.0,4.75,5.733333,5.733333,28.0
73,Bc03Friday ,2024-03-08T09:20:00.000,39.146576644,-84.551971483,95.0,6.0666666,7.05,7.0333333,28.0
74,Bc03Friday ,2024-03-08T09:21:00.000,39.146576644,-84.551971483,95.0,5.633333,6.633333,6.6,28.0
75,Bc03Friday ,2024-03-08T09:22:00.000,39.146576644,-84.551971483,95.0,5.7,6.7,6.6833334,28.0
76,Bc03Friday ,2024-03-08T09:23:00.000,39.146576644,-84.551971483,95.0,4.9333334,5.9333334,5.9166665,28.0
77,Bc03Friday ,2024-03-08T09:24:00.000,39.146576644,-84.551971483,95.0,5.766667,6.766667,6.766667,28.0
78,Bc03Friday ,2024-03-08T09:25:00.000,39.146576644,-84.551971483,95.0,4.9166665,5.9166665,5.9166665,28.0
79,Bc03Friday ,2024-03-08T09:26:00.000,39.146576644,-84.551971483,95.0,4.866667,5.85,5.8333335,28.0
80,Bc03Friday ,2024-03-08T09:27:00.000,39.146576644,-84.551971483,94.96667,5.366667,6.366667,6.3333335,28.0
81,Bc03Friday ,2024-03-08T09:28:00.000,39.146576644,-84.551971483,94.46667,5.233333,6.2166667,6.1666665,28.0
82,Bc03Friday ,2024-03-08T09:29:00.000,39.146576644,-84.551971483,94.0,5.4666667,6.4666667,6.4666667,28.0
83,Bc03Friday ,2024-03-08T09:30:00.000,39.146576644,-84.551971483,94.0,5.233333,6.2166667,6.2166667,28.0
84,Bc03Friday ,2024-03-08T09:31:00.000,39.146576644,-84.551971483,94.0,5.3333335,6.3333335,6.3333335,28.266666
85,Bc03Friday ,2024-03-08T09:32:00.000,39.146576644,-84.551971483,94.0,4.516667,5.516667,5.4666667,28.2
86,Bc03Friday ,2024-03-08T09:33:00.000,39.146576644,-84.551971483,94.0,4.383333,5.366667,5.35,28.6
87,Bc03Friday ,2024-03-08T09:34:00.000,39.146576644,-84.551971483,94.0,4.7166667,5.7,5.65,28.866667
88,Bc03Friday ,2024-03-08T09:35:00.000,39.146576644,-84.551971483,94.566666,4.366667,5.366667,5.3,28.966667
89,Bc03Friday ,2024-03-08T09:36:00.000,39.146576644,-84.551971483,95.0,4.4666667,5.4666667,5.383333,28.983334
90,Bc03Friday ,2024-03-08T09:37:00.000,39.146576644,-84.551971483,95.0,3.8166666,4.7833333,4.55,28.666666
91,Bc03Friday ,2024-03-08T09:38:00.000,39.146576644,-84.551971483,95.0,3.7833333,4.75,4.383333,28.233334
92,Bc03Friday ,2024-03-08T09:39:00.000,39.146576644,-84.551971483,95.0,3.3166666,4.25,3.7,28.0
93,Bc03Friday ,2024-03-08T09:40:00.000,39.146576644,-84.551971483,95.0,3.7833333,4.7,4.35,28.0
94,Bc03Friday ,2024-03-08T09:41:00.000,39.146576644,-84.551971483,95.0,4.5,5.483333,5.4166665,28.0
95,Bc03Friday ,2024-03-08T09:42:00.000,39.146576644,-84.551971483,95.0,3.7666667,4.75,4.516667,28.0
96,Bc03Friday ,2024-03-08T09:43:00.000,39.146576644,-84.551971483,95.0,3.8333333,4.8166666,4.5,28.0
97,Bc03Friday ,2024-03-08T09:44:00.000,39.146576644,-84.551971483,95.0,3.7666667,4.733333,4.4333334,28.0
98,Bc03Friday ,2024-03-08T09:45:00.000,39.146576644,-84.551971483,95.0,3.7333333,4.733333,4.4666667,28.0
99,Bc03Friday ,2024-03-08T09:46:00.000,39.146576644,-84.551971483,95.0,4.05,4.983333,4.8166666,28.0
100,Bc03Friday ,2024-03-08T09:47:00.000,39.146576644,-84.551971483,95.0,4.013889,5.013889,4.85,28.0
101,Bc03Friday ,2024-03-08T09:48:00.000,39.146576644,-84.551971483,95.0,4.240278,5.240278,5.1291666,28.0
102,Bc03Friday ,2024-03-08T09:49:00.000,39.146576644,-84.551971483,95.0,4.411111,5.411111,5.2527776,28.0
