,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc03monday,2024-03-04T16:45:09.000,39.109228583,-84.563626388,77.75,3.0,3.75,3.25,46.25
2,Bc03monday,2024-03-04T16:45:14.000,39.109222564,-84.563656482,78.0,2.4,2.8,2.4,46.0
3,Bc03monday,2024-03-04T16:45:19.000,39.109259709,-84.563663385,78.0,2.4,2.6,2.4,46.0
4,Bc03monday,2024-03-04T16:45:24.000,39.10930142,-84.563726385,78.0,1.6,1.6,1.6,46.4
5,Bc03monday,2024-03-04T16:45:29.000,39.10930142,-84.563726385,78.0,1.4,1.4,1.4,47.0
6,Bc03monday,2024-03-04T16:45:34.000,39.10930142,-84.563726385,78.0,2.0,2.0,2.0,47.0
7,Bc03monday,2024-03-04T16:45:39.000,39.10930142,-84.563726385,78.0,2.4,2.8,2.4,47.0
8,Bc03monday,2024-03-04T16:45:44.000,39.10930142,-84.563726385,78.0,2.8,3.6,2.8,47.0
9,Bc03monday,2024-03-04T16:45:49.000,39.10930142,-84.563726385,78.0,3.0,4.0,3.0,46.6
10,Bc03monday,2024-03-04T16:45:54.000,39.10930142,-84.563726385,78.0,3.6,4.6,4.2,46.0
11,Bc03monday,2024-03-04T16:45:59.000,39.10930142,-84.563726385,78.0,3.4,4.4,3.8,46.0
12,Bc03monday,2024-03-04T16:46:04.000,39.10930142,-84.563726385,78.0,3.0,4.0,3.0,46.0
13,Bc03monday,2024-03-04T16:46:09.000,39.10930142,-84.563726385,78.0,3.0,4.0,3.0,46.0
14,Bc03monday,2024-03-04T16:46:14.000,39.10930142,-84.563726385,78.0,2.6,3.2,2.6,46.0
15,Bc03monday,2024-03-04T16:46:19.000,39.10930142,-84.563726385,78.0,2.6,3.2,2.6,46.0
16,Bc03monday,2024-03-04T16:46:24.000,39.10930142,-84.563726385,78.0,3.0,4.0,3.0,46.0
17,Bc03monday,2024-03-04T16:46:29.000,39.10930142,-84.563726385,78.0,3.0,4.0,3.0,46.0
18,Bc03monday,2024-03-04T16:46:34.000,39.10930142,-84.563726385,78.0,3.0,4.0,3.0,46.0
19,Bc03monday,2024-03-04T16:46:39.000,39.10930142,-84.563726385,78.0,3.0,4.0,3.0,46.0
20,Bc03monday,2024-03-04T16:46:44.000,39.10930142,-84.563726385,78.0,3.0,4.0,3.0,46.0
21,Bc03monday,2024-03-04T16:46:49.000,39.10930142,-84.563726385,78.4,3.0,4.0,3.0,45.8
22,Bc03monday,2024-03-04T16:46:54.000,39.10930142,-84.563726385,79.0,3.0,4.0,3.0,45.0
23,Bc03monday,2024-03-04T16:46:59.000,39.10930142,-84.563726385,79.0,3.0,4.0,3.0,45.0
24,Bc03monday,2024-03-04T16:47:04.000,39.10930142,-84.563726385,79.0,2.2,2.4,2.2,45.0
25,Bc03monday,2024-03-04T16:47:09.000,39.10930142,-84.563726385,79.0,3.0,4.0,3.0,45.0
26,Bc03monday,2024-03-04T16:47:14.000,39.109246171,-84.563782521,79.0,3.0,4.0,3.0,45.0
27,Bc03monday,2024-03-04T16:47:19.000,39.10927361,-84.563808603,79.0,2.6,3.2,2.6,45.0
28,Bc03monday,2024-03-04T16:47:24.000,39.109276681,-84.563820295,79.0,2.2,2.6,2.2,45.0
29,Bc03monday,2024-03-04T16:47:29.000,39.109276681,-84.563820295,79.0,1.6,1.6,1.6,45.0
30,Bc03monday,2024-03-04T16:47:34.000,39.109276681,-84.563820295,79.0,1.6,1.6,1.6,45.0
31,Bc03monday,2024-03-04T16:47:39.000,39.109276681,-84.563820295,79.0,1.0,1.0,1.0,45.0
32,Bc03monday,2024-03-04T16:47:44.000,39.109276681,-84.563820295,79.0,1.6,1.6,1.6,45.0
33,Bc03monday,2024-03-04T16:47:49.000,39.109276681,-84.563820295,79.0,2.0,2.0,2.0,44.4
34,Bc03monday,2024-03-04T16:47:54.000,39.109276681,-84.563820295,79.0,2.0,2.0,2.0,45.0
35,Bc03monday,2024-03-04T16:47:59.000,39.109276681,-84.563820295,79.0,2.0,2.0,2.0,44.8
36,Bc03monday,2024-03-04T16:48:04.000,39.109276681,-84.563820295,79.0,1.6,1.6,1.6,44.0
37,Bc03monday,2024-03-04T16:48:09.000,39.109276681,-84.563820295,79.0,1.8,1.8,1.8,44.0
38,Bc03monday,2024-03-04T16:48:14.000,39.109276681,-84.563820295,79.0,1.5,1.5,1.5,44.0
39,Bc03monday,2024-03-04T16:48:19.000,39.109276681,-84.563820295,79.0,1.0,1.0,1.0,44.0
40,Bc03monday,2024-03-04T16:48:24.000,39.109276681,-84.563820295,79.0,1.2,1.2,1.2,44.0
41,Bc03monday,2024-03-04T16:48:29.000,39.109276681,-84.563820295,79.0,2.0,2.0,2.0,44.6
42,Bc03monday,2024-03-04T16:48:34.000,39.109276681,-84.563820295,79.0,2.2,2.4,2.2,45.0
43,Bc03monday,2024-03-04T16:48:39.000,39.109276681,-84.563820295,79.0,2.4,2.8,2.4,45.0
44,Bc03monday,2024-03-04T16:48:44.000,39.109276681,-84.563820295,79.0,3.0,4.0,3.0,44.4
45,Bc03monday,2024-03-04T16:48:49.000,39.109276681,-84.563820295,79.0,2.2,2.2,2.2,44.0
46,Bc03monday,2024-03-04T16:48:54.000,39.109276681,-84.563820295,79.0,2.4,2.8,2.4,44.0
47,Bc03monday,2024-03-04T16:48:59.000,39.109276681,-84.563820295,79.0,1.6,1.6,1.6,44.0
48,Bc03monday,2024-03-04T16:49:04.000,39.109276681,-84.563820295,79.0,1.6,1.6,1.6,44.0
49,Bc03monday,2024-03-04T16:49:09.000,39.109276681,-84.563820295,79.0,1.8,1.8,1.8,44.0
50,Bc03monday,2024-03-04T16:49:14.000,39.109276681,-84.563820295,79.0,1.6,1.6,1.6,44.0
51,Bc03monday,2024-03-04T16:49:19.000,39.109276681,-84.563820295,79.0,1.0,1.0,1.0,44.0
52,Bc03monday,2024-03-04T16:49:24.000,39.109276681,-84.563820295,79.0,1.0,1.0,1.0,44.0
53,Bc03monday,2024-03-04T16:49:29.000,39.109276681,-84.563820295,79.0,1.0,1.0,1.0,44.0
54,Bc03monday,2024-03-04T16:49:34.000,39.109276681,-84.563820295,79.6,1.4,1.4,1.4,44.0
55,Bc03monday,2024-03-04T16:49:39.000,39.109276681,-84.563820295,79.6,2.0,2.0,2.0,44.0
56,Bc03monday,2024-03-04T16:49:44.000,39.109276681,-84.563820295,80.0,2.6,3.2,2.6,44.0
57,Bc03monday,2024-03-04T16:49:49.000,39.109276681,-84.563820295,80.0,2.6,3.2,2.6,44.0
58,Bc03monday,2024-03-04T16:49:54.000,39.109276681,-84.563820295,80.0,2.8,3.6,2.8,44.0
59,Bc03monday,2024-03-04T16:49:59.000,39.109276681,-84.563820295,80.0,2.2,2.4,2.2,44.0
60,Bc03monday,2024-03-04T16:50:04.000,39.109276681,-84.563820295,80.0,1.4,1.4,1.4,44.0
61,Bc03monday,2024-03-04T16:50:09.000,39.109276681,-84.563820295,80.0,1.4,1.4,1.4,44.0
62,Bc03monday,2024-03-04T16:50:14.000,39.109276681,-84.563820295,80.0,2.0,2.0,2.0,44.0
63,Bc03monday,2024-03-04T16:50:19.000,39.109276681,-84.563820295,80.0,2.0,2.0,2.0,44.0
64,Bc03monday,2024-03-04T16:50:24.000,39.109276681,-84.563820295,80.0,2.0,2.0,2.0,44.0
65,Bc03monday,2024-03-04T16:50:29.000,39.109276681,-84.563820295,80.0,2.0,2.0,2.0,44.0
66,Bc03monday,2024-03-04T16:50:34.000,39.109276681,-84.563820295,80.0,2.6,3.2,2.6,44.0
67,Bc03monday,2024-03-04T16:50:39.000,39.109276681,-84.563820295,80.0,1.4,1.4,1.4,43.4
68,Bc03monday,2024-03-04T16:50:44.000,39.109235834,-84.563965178,80.0,2.0,2.0,2.0,43.0
69,Bc03monday,2024-03-04T16:50:49.000,39.109241085,-84.563969768,80.0,1.6,1.6,1.6,43.0
70,Bc03monday,2024-03-04T16:50:54.000,39.109244967,-84.563977736,80.0,1.6,1.6,1.6,43.0
71,Bc03monday,2024-03-04T16:50:59.000,39.109239807,-84.563960888,80.0,2.6,3.2,2.6,43.0
72,Bc03monday,2024-03-04T16:51:04.000,39.10925778,-84.563942702,80.0,2.2,2.4,2.2,43.0
73,Bc03monday,2024-03-04T16:51:09.000,39.109276429,-84.563932,80.0,1.0,1.0,1.0,43.0
74,Bc03monday,2024-03-04T16:51:14.000,39.109267553,-84.563910305,80.0,1.6,1.6,1.6,43.0
75,Bc03monday,2024-03-04T16:51:19.000,39.109270686,-84.563901445,80.0,1.0,1.0,1.0,43.0
76,Bc03monday,2024-03-04T16:51:24.000,39.109251319,-84.5639092,80.0,1.0,1.0,1.0,43.0
77,Bc03monday,2024-03-04T16:51:29.000,39.109245364,-84.563906242,80.0,1.4,1.4,1.4,43.0
78,Bc03monday,2024-03-04T16:51:34.000,39.109248811,-84.563905184,80.0,2.0,2.0,2.0,43.0
79,Bc03monday,2024-03-04T16:51:39.000,39.109243498,-84.563886604,80.0,2.0,2.0,2.0,43.0
80,Bc03monday,2024-03-04T16:51:44.000,39.109240994,-84.563874289,80.0,2.4,2.8,2.4,43.0
81,Bc03monday,2024-03-04T16:51:49.000,39.109234126,-84.563857302,80.0,1.8,1.8,1.8,43.0
82,Bc03monday,2024-03-04T16:51:54.000,39.109225943,-84.563834667,80.0,1.0,1.0,1.0,43.0
83,Bc03monday,2024-03-04T16:51:59.000,39.109225943,-84.563834667,80.0,2.0,2.0,2.0,43.0
84,Bc03monday,2024-03-04T16:52:04.000,39.109225943,-84.563834667,80.0,2.0,2.0,2.0,43.0
85,Bc03monday,2024-03-04T16:52:09.000,39.109225943,-84.563834667,80.0,2.0,2.0,2.0,43.0
86,Bc03monday,2024-03-04T16:52:14.000,39.109270999,-84.563794357,80.0,3.0,3.8,3.0,43.0
87,Bc03monday,2024-03-04T16:52:19.000,39.109238846,-84.563812149,80.0,2.6,3.2,2.6,43.0
88,Bc03monday,2024-03-04T16:52:24.000,39.109223496,-84.563829828,80.0,1.8,2.2,1.8,43.0
89,Bc03monday,2024-03-04T16:52:29.000,39.109204903,-84.563831792,80.0,2.0,2.0,2.0,43.0
90,Bc03monday,2024-03-04T16:52:34.000,39.109146496,-84.563865425,80.0,1.8,,,
91,Bc03monday,2024-03-04T16:52:34.000,39.10915792,-84.563866417,,,1.8,1.8,43.0
92,Bc03monday,2024-03-04T16:52:39.000,39.109114898,-84.563854326,80.0,1.0,1.0,1.0,43.0
93,Bc03monday,2024-03-04T16:52:44.000,39.109110057,-84.563832576,80.0,1.0,,,
94,Bc03monday,2024-03-04T16:52:44.000,39.109100557,-84.563837281,,,1.0,1.0,43.0
95,Bc03monday,2024-03-04T16:52:49.000,39.10914941,-84.563810679,80.0,1.1666666,,,
96,Bc03monday,2024-03-04T16:52:49.000,39.109157039,-84.563813168,,,1.1666666,,
97,Bc03monday,2024-03-04T16:52:49.000,39.10914941,-84.563810679,,,,1.1666666,
98,Bc03monday,2024-03-04T16:52:49.000,39.109157039,-84.563813168,,,,,43.0
99,Bc03monday,2024-03-04T16:52:54.000,39.109192616,-84.563809738,80.0,2.0,2.0,2.0,43.0
100,Bc03monday,2024-03-04T16:52:59.000,39.10918085,-84.563807922,80.0,2.0,2.0,2.0,43.0
101,Bc03monday,2024-03-04T16:53:04.000,39.109193663,-84.563827415,80.0,2.4,2.8,2.4,43.0
102,Bc03monday,2024-03-04T16:53:09.000,39.109158371,-84.563803202,80.0,2.4,2.8,2.4,43.0
103,Bc03monday,2024-03-04T16:53:14.000,39.109139901,-84.563798879,80.0,3.0,4.0,3.0,43.0
104,Bc03monday,2024-03-04T16:53:19.000,39.109146988,-84.563814087,80.0,3.0,4.0,3.0,43.0
105,Bc03monday,2024-03-04T16:53:24.000,39.109169124,-84.563823232,80.0,2.4,2.8,2.4,43.0
106,Bc03monday,2024-03-04T16:53:29.000,39.109203333,-84.563816087,80.0,2.8,3.6,2.8,43.0
107,Bc03monday,2024-03-04T16:53:34.000,39.109231188,-84.563799119,80.0,2.2,2.4,2.2,43.0
108,Bc03monday,2024-03-04T16:53:39.000,39.109244006,-84.563778954,80.0,3.0,4.0,3.0,43.0
109,Bc03monday,2024-03-04T16:53:44.000,39.109239008,-84.56378264,80.0,2.4,2.8,2.4,43.0
110,Bc03monday,2024-03-04T16:53:49.000,39.109239008,-84.56378264,80.0,1.6,1.6,1.6,42.2
111,Bc03monday,2024-03-04T16:53:54.000,39.109239008,-84.56378264,80.2,3.0,4.0,3.0,42.0
112,Bc03monday,2024-03-04T16:53:59.000,39.109256419,-84.563793629,80.4,2.6,3.2,2.6,42.0
113,Bc03monday,2024-03-04T16:54:04.000,39.109253114,-84.563794003,80.6,3.0,4.0,3.0,42.0
