,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc05 Thursday,2024-03-04T17:47:53.000,39.109318189,-84.563796077,76.0,1.0,1.0,1.0,47.0
2,Bc05 Thursday,2024-03-04T17:47:54.000,39.109318189,-84.563796077,76.0,0.0,0.0,0.0,47.0
3,Bc05 Thursday,2024-03-04T17:47:55.000,39.109318189,-84.563796077,76.0,0.0,0.0,0.0,47.0
4,Bc05 Thursday,2024-03-04T17:47:56.000,39.109394274,-84.56382823,76.0,0.0,0.0,0.0,47.0
5,Bc05 Thursday,2024-03-04T17:47:57.000,39.109394274,-84.56382823,76.0,1.0,1.0,1.0,47.0
6,Bc05 Thursday,2024-03-04T17:47:58.000,39.109394274,-84.56382823,76.0,1.0,1.0,1.0,47.0
7,Bc05 Thursday,2024-03-04T17:47:59.000,39.109394274,-84.56382823,76.0,1.0,1.0,1.0,47.0
8,Bc05 Thursday,2024-03-04T17:48:00.000,39.109394274,-84.56382823,76.0,1.0,1.0,1.0,47.0
9,Bc05 Thursday,2024-03-04T17:48:01.000,39.109398896,-84.563830184,76.0,2.0,2.0,2.0,47.0
10,Bc05 Thursday,2024-03-04T17:48:02.000,39.109398896,-84.563830184,76.0,2.0,2.0,2.0,47.0
11,Bc05 Thursday,2024-03-04T17:48:03.000,39.109398896,-84.563830184,76.0,2.0,2.0,2.0,47.0
12,Bc05 Thursday,2024-03-04T17:48:04.000,39.109398896,-84.563830184,76.0,2.0,2.0,2.0,47.0
13,Bc05 Thursday,2024-03-04T17:48:05.000,39.109398896,-84.563830184,76.0,2.0,2.0,2.0,47.0
14,Bc05 Thursday,2024-03-04T17:48:06.000,39.109398896,-84.563830184,76.0,2.0,2.0,2.0,47.0
15,Bc05 Thursday,2024-03-04T17:48:07.000,39.109398896,-84.563830184,76.0,2.0,2.0,2.0,47.0
16,Bc05 Thursday,2024-03-04T17:48:08.000,39.109407283,-84.563830954,76.0,2.0,2.0,2.0,47.0
17,Bc05 Thursday,2024-03-04T17:48:09.000,39.109407283,-84.563830954,76.0,2.0,2.0,2.0,47.0
18,Bc05 Thursday,2024-03-04T17:48:10.000,39.109407283,-84.563830954,76.0,2.0,2.0,2.0,47.0
19,Bc05 Thursday,2024-03-04T17:48:11.000,39.109407283,-84.563830954,76.0,2.0,2.0,2.0,46.0
20,Bc05 Thursday,2024-03-04T17:48:12.000,39.109407283,-84.563830954,76.0,1.0,1.0,1.0,46.0
21,Bc05 Thursday,2024-03-04T17:48:13.000,39.109407283,-84.563830954,76.0,1.0,1.0,1.0,46.0
22,Bc05 Thursday,2024-03-04T17:48:14.000,39.109407283,-84.563830954,76.0,1.0,1.0,1.0,46.0
23,Bc05 Thursday,2024-03-04T17:48:15.000,39.109407283,-84.563830954,76.0,1.0,1.0,1.0,46.0
24,Bc05 Thursday,2024-03-04T17:48:16.000,39.109407283,-84.563830954,76.0,1.0,1.0,1.0,46.0
25,Bc05 Thursday,2024-03-04T17:48:17.000,39.109404458,-84.563840699,76.0,0.0,0.0,0.0,46.0
26,Bc05 Thursday,2024-03-04T17:48:18.000,39.109404458,-84.563840699,76.0,0.0,0.0,0.0,46.0
27,Bc05 Thursday,2024-03-04T17:48:19.000,39.109404458,-84.563840699,76.0,0.0,0.0,0.0,46.0
28,Bc05 Thursday,2024-03-04T17:48:20.000,39.109404458,-84.563840699,76.0,0.0,0.0,0.0,46.0
29,Bc05 Thursday,2024-03-04T17:48:21.000,39.109404458,-84.563840699,76.0,0.0,0.0,0.0,46.0
30,Bc05 Thursday,2024-03-04T17:48:22.000,39.109404458,-84.563840699,76.0,0.0,0.0,0.0,46.0
31,Bc05 Thursday,2024-03-04T17:48:23.000,39.109404458,-84.563840699,76.0,0.0,0.0,0.0,46.0
32,Bc05 Thursday,2024-03-04T17:48:24.000,39.109404458,-84.563840699,76.0,1.0,1.0,1.0,46.0
33,Bc05 Thursday,2024-03-04T17:48:25.000,39.109404458,-84.563840699,76.0,1.0,1.0,1.0,46.0
34,Bc05 Thursday,2024-03-04T17:48:26.000,39.109404458,-84.563840699,76.0,1.0,1.0,1.0,46.0
35,Bc05 Thursday,2024-03-04T17:48:27.000,39.109404458,-84.563840699,76.0,1.0,1.0,1.0,46.0
36,Bc05 Thursday,2024-03-04T17:48:28.000,39.109404458,-84.563840699,76.0,1.0,1.0,1.0,46.0
