,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc05 wednesday,2024-03-07T00:39:58.000,39.134910547,-84.553239193,78.0,2.0,,2.0,40.0
2,Bc05 wednesday,2024-03-07T13:46:22.000,39.134935416,-84.553212929,78.0,1.0,2.0,1.0,40.0
3,Bc05 wednesday,2024-03-07T13:46:24.000,39.134935416,-84.553212929,78.0,2.0,1.0,2.0,40.0
4,Bc05 wednesday,2024-03-07T13:46:26.000,39.134935416,-84.553212929,78.0,2.0,2.0,2.0,40.0
5,Bc05 wednesday,2024-03-07T13:46:27.000,39.134935416,-84.553212929,78.0,2.0,2.0,2.0,40.0
6,Bc05 wednesday,2024-03-07T13:46:29.000,39.134935416,-84.553212929,78.0,,,,
7,Bc05 wednesday,2024-03-07T13:46:29.000,39.134936096,-84.553216168,78.0,,,,
8,Bc05 wednesday,2024-03-07T13:46:29.000,39.134935416,-84.553212929,,2.0,,,
9,Bc05 wednesday,2024-03-07T13:46:29.000,39.134936096,-84.553216168,,2.0,,,
10,Bc05 wednesday,2024-03-07T13:46:29.000,39.134935416,-84.553212929,,,2.0,,
11,Bc05 wednesday,2024-03-07T13:46:29.000,39.134936096,-84.553216168,,,2.0,,
12,Bc05 wednesday,2024-03-07T13:46:29.000,39.134935416,-84.553212929,,,,2.0,
13,Bc05 wednesday,2024-03-07T13:46:29.000,39.134936096,-84.553216168,,,,2.0,
14,Bc05 wednesday,2024-03-07T13:46:29.000,39.134935416,-84.553212929,,,,,40.0
