,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc05 Wednesday ,2024-03-06T14:22:28.000,39.102691728,-84.551484106,79.8,0.8363636,,,
2,Bc05 Wednesday ,2024-03-06T14:22:28.000,39.102695263,-84.551493142,,,0.8363636,0.8363636,42.0
3,Bc05 Wednesday ,2024-03-06T14:23:28.000,39.102666167,-84.551399427,80.0,0.96666664,0.96666664,0.96666664,42.0
4,Bc05 Wednesday ,2024-03-06T14:24:28.000,39.102692577,-84.551477938,80.0,0.68333334,0.68333334,0.68333334,42.0
5,Bc05 Wednesday ,2024-03-06T14:25:28.000,39.102711447,-84.551496963,80.0,0.7,0.7,0.7,41.283333
6,Bc05 Wednesday ,2024-03-06T14:26:28.000,39.102702107,-84.551458988,80.0,0.68333334,0.68333334,0.68333334,41.0
7,Bc05 Wednesday ,2024-03-06T14:27:28.000,39.102698021,-84.551488741,80.51667,0.35,0.35,0.35,41.0
8,Bc05 Wednesday ,2024-03-06T14:28:28.000,39.10267004,-84.551455539,81.0,1.0666667,1.0666667,1.0666667,41.0
9,Bc05 Wednesday ,2024-03-06T14:29:28.000,39.102695235,-84.551512662,81.0,1.0,1.0,1.0,41.0
10,Bc05 Wednesday ,2024-03-06T14:30:28.000,39.102675015,-84.551475608,81.0,,,,
11,Bc05 Wednesday ,2024-03-06T14:30:28.000,39.102674407,-84.551478895,,0.71666664,,,
12,Bc05 Wednesday ,2024-03-06T14:30:28.000,39.102675015,-84.551475608,,,0.71666664,0.71666664,
13,Bc05 Wednesday ,2024-03-06T14:30:28.000,39.102674407,-84.551478895,,,,,40.5
14,Bc05 Wednesday ,2024-03-06T14:31:28.000,39.102719812,-84.551451705,81.0,1.1166667,1.1166667,1.1166667,41.866665
15,Bc05 Wednesday ,2024-03-06T14:32:28.000,39.102709435,-84.551519155,81.51667,0.05,0.05,0.05,42.65
16,Bc05 Wednesday ,2024-03-06T14:33:28.000,39.102828325,-84.551536387,82.0,0.0,0.0,0.0,42.183334
17,Bc05 Wednesday ,2024-03-06T14:34:28.000,39.103070335,-84.551324027,82.0,0.0,0.0,0.0,40.733334
18,Bc05 Wednesday ,2024-03-06T14:35:28.000,39.10317403,-84.55209156,82.01667,0.0,0.0,0.0,38.033333
19,Bc05 Wednesday ,2024-03-06T14:36:28.000,39.10399904,-84.553575718,82.76667,0.0,0.0,0.0,38.45
20,Bc05 Wednesday ,2024-03-06T14:37:28.000,39.105220393,-84.553209636,83.0,0.0,0.0,0.0,39.15
21,Bc05 Wednesday ,2024-03-06T14:38:28.000,39.107866133,-84.552392714,83.0,0.0,0.0,0.0,40.0
22,Bc05 Wednesday ,2024-03-06T14:39:28.000,39.113428247,-84.550296112,83.0,0.0,0.0,0.0,40.0
23,Bc05 Wednesday ,2024-03-06T14:40:28.000,39.119166985,-84.545775305,83.0,0.0,0.0,0.0,40.0
24,Bc05 Wednesday ,2024-03-06T14:41:28.000,39.125334909,-84.544417168,83.25,0.0,0.0,0.0,40.0
25,Bc05 Wednesday ,2024-03-06T14:42:28.000,39.12980584,-84.544085086,84.0,0.0,0.0,0.0,40.0
26,Bc05 Wednesday ,2024-03-06T14:43:28.000,39.1316528,-84.545519219,84.0,0.0,0.0,0.0,40.0
27,Bc05 Wednesday ,2024-03-06T14:44:28.000,39.131660223,-84.545542308,84.0,0.0,0.0,0.0,40.0
28,Bc05 Wednesday ,2024-03-06T14:45:28.000,39.132419302,-84.546121773,84.03333,0.0,0.0,0.0,40.0
29,Bc05 Wednesday ,2024-03-06T14:46:28.000,39.133376275,-84.546796449,84.98333,0.0,0.0,0.0,40.0
30,Bc05 Wednesday ,2024-03-06T14:47:28.000,39.132951524,-84.547555209,85.0,0.0,0.0,0.0,40.0
31,Bc05 Wednesday ,2024-03-06T14:48:28.000,39.13091075,-84.54602423,85.0,0.0,0.0,0.0,40.0
32,Bc05 Wednesday ,2024-03-06T14:49:28.000,39.129703512,-84.545116877,85.0,0.0,0.0,0.0,39.416668
33,Bc05 Wednesday ,2024-03-06T14:50:28.000,39.130033973,-84.544309672,85.26667,0.0,0.0,0.0,39.0
34,Bc05 Wednesday ,2024-03-06T14:51:28.000,39.133822521,-84.547368123,86.0,0.0,0.0,0.0,38.983334
35,Bc05 Wednesday ,2024-03-06T14:52:28.000,39.133005883,-84.552917365,86.0,0.0,0.0,0.0,38.0
