,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc06,2024-03-11T17:21:20.000,39.102733124,-84.551518702,72.0,0.0,0.0,0.0,36.0
2,Bc06,2024-03-11T17:21:21.000,39.102733124,-84.551518702,73.0,0.0,0.0,0.0,35.0
3,Bc06,2024-03-11T17:21:22.000,39.102700355,-84.55143924,73.0,0.0,0.0,0.0,35.0
4,Bc06,2024-03-11T17:21:23.000,39.102700355,-84.55143924,73.0,0.0,0.0,0.0,35.0
5,Bc06,2024-03-11T17:21:24.000,39.10270244,-84.551449401,73.0,0.0,0.0,0.0,35.0
6,Bc06,2024-03-11T17:21:25.000,39.102704056,-84.551456177,73.0,0.0,0.0,0.0,35.0
7,Bc06,2024-03-11T17:21:26.000,39.102704056,-84.551456177,73.0,0.0,0.0,0.0,35.0
8,Bc06,2024-03-11T17:21:27.000,39.102704153,-84.551464088,73.0,0.0,0.0,0.0,35.0
9,Bc06,2024-03-11T17:21:28.000,39.102711443,-84.551473464,73.0,0.0,0.0,0.0,35.0
10,Bc06,2024-03-11T17:21:29.000,39.102715125,-84.551481622,73.0,0.0,0.0,0.0,35.0
11,Bc06,2024-03-11T17:21:30.000,39.102719759,-84.551490509,73.0,0.0,0.0,0.0,35.0
12,Bc06,2024-03-11T17:21:31.000,39.102723513,-84.551496716,73.0,0.0,0.0,0.0,35.0
13,Bc06,2024-03-11T17:21:32.000,39.102725208,-84.551494148,73.0,0.0,0.0,0.0,35.0
14,Bc06,2024-03-11T17:21:33.000,39.102731821,-84.551490569,73.0,0.0,0.0,0.0,35.0
15,Bc06,2024-03-11T17:21:34.000,39.102731821,-84.551490569,73.0,0.0,0.0,0.0,35.0
16,Bc06,2024-03-11T17:21:35.000,39.102730158,-84.551490305,73.0,0.0,0.0,0.0,35.0
17,Bc06,2024-03-11T17:21:36.000,39.102730158,-84.551490305,73.0,0.0,0.0,0.0,35.0
18,Bc06,2024-03-11T17:21:37.000,39.102730158,-84.551490305,73.0,0.0,0.0,0.0,35.0
19,Bc06,2024-03-11T17:21:38.000,39.102730158,-84.551490305,73.0,0.0,0.0,0.0,35.0
20,Bc06,2024-03-11T17:21:39.000,39.102730158,-84.551490305,73.0,0.0,0.0,0.0,35.0
21,Bc06,2024-03-11T17:21:40.000,39.102730158,-84.551490305,73.0,0.0,0.0,0.0,35.0
22,Bc06,2024-03-11T17:21:41.000,39.102730158,-84.551490305,73.0,0.0,0.0,0.0,35.0
23,Bc06,2024-03-11T17:21:42.000,39.102730158,-84.551490305,73.0,0.0,0.0,0.0,35.0
24,Bc06,2024-03-11T17:21:43.000,39.102730158,-84.551490305,73.0,0.0,0.0,0.0,35.0
25,Bc06,2024-03-11T17:21:44.000,39.102730158,-84.551490305,73.0,0.0,0.0,0.0,35.0
