,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc06 Monday,2024-03-18T07:45:27.000,39.157409779,-84.553726764,62.0,0.0,0.0,0.0,48.0
2,Bc06 Monday,2024-03-18T07:45:32.000,39.15741363,-84.553796958,62.0,0.0,0.0,0.0,48.0
3,Bc06 Monday,2024-03-18T07:45:37.000,39.157409981,-84.55380081,62.0,0.0,0.0,0.0,48.2
4,Bc06 Monday,2024-03-18T07:45:42.000,39.157433122,-84.55378651,62.0,0.0,0.0,0.0,49.0
5,Bc06 Monday,2024-03-18T07:45:47.000,39.157423958,-84.553788546,62.0,0.0,0.0,0.0,49.8
6,Bc06 Monday,2024-03-18T07:45:52.000,39.157383774,-84.553824626,62.0,0.2,0.2,0.2,50.0
7,Bc06 Monday,2024-03-18T07:45:57.000,39.157369684,-84.553879978,62.0,0.6,0.6,0.6,49.8
8,Bc06 Monday,2024-03-18T07:46:02.000,39.157364617,-84.553900841,62.0,1.0,1.0,1.0,49.0
9,Bc06 Monday,2024-03-18T07:46:07.000,39.157339335,-84.553917736,62.0,1.0,1.0,1.0,49.0
10,Bc06 Monday,2024-03-18T07:46:12.000,39.157318287,-84.553919706,62.0,1.0,1.0,1.0,49.0
11,Bc06 Monday,2024-03-18T07:46:17.000,39.157334593,-84.553922711,62.0,0.0,0.0,0.0,49.0
12,Bc06 Monday,2024-03-18T07:46:22.000,39.157341821,-84.553906369,62.0,0.0,0.0,0.0,48.0
13,Bc06 Monday,2024-03-18T07:46:27.000,39.157341821,-84.553906369,62.4,0.0,0.0,0.0,48.0
14,Bc06 Monday,2024-03-18T07:46:32.000,39.157341821,-84.553906369,63.0,0.0,0.0,0.0,48.0
15,Bc06 Monday,2024-03-18T07:46:37.000,39.157341821,-84.553906369,63.0,0.0,0.0,0.0,48.0
16,Bc06 Monday,2024-03-18T07:46:42.000,39.15735901,-84.553887757,63.0,0.0,0.0,0.0,48.0
17,Bc06 Monday,2024-03-18T07:46:47.000,39.157344153,-84.55389774,63.0,0.0,0.0,0.0,48.0
18,Bc06 Monday,2024-03-18T07:46:52.000,39.157321959,-84.553919503,63.0,0.0,0.0,0.0,48.0
19,Bc06 Monday,2024-03-18T07:46:57.000,39.157318371,-84.553893796,63.0,0.0,0.0,0.0,48.0
20,Bc06 Monday,2024-03-18T07:47:02.000,39.157362397,-84.553857861,63.0,0.0,0.0,0.0,48.0
21,Bc06 Monday,2024-03-18T07:47:07.000,39.15738077,-84.553829043,63.0,0.0,0.0,0.0,48.0
22,Bc06 Monday,2024-03-18T07:47:12.000,39.1574191,-84.553815024,63.0,0.0,0.0,0.0,48.6
23,Bc06 Monday,2024-03-18T07:47:17.000,39.157423737,-84.553816416,63.0,0.0,0.0,0.0,49.0
24,Bc06 Monday,2024-03-18T07:47:22.000,39.157428934,-84.553846257,63.0,0.0,0.0,0.0,49.0
25,Bc06 Monday,2024-03-18T07:47:27.000,39.157432884,-84.553910912,63.4,0.0,0.0,0.0,50.0
26,Bc06 Monday,2024-03-18T07:47:32.000,39.157459434,-84.554032755,64.0,0.0,0.0,0.0,50.0
27,Bc06 Monday,2024-03-18T07:47:37.000,39.157493712,-84.554073683,64.0,0.0,0.0,0.0,50.0
28,Bc06 Monday,2024-03-18T07:47:42.000,39.157459182,-84.554066742,64.0,0.0,0.0,0.0,50.0
29,Bc06 Monday,2024-03-18T07:47:47.000,39.157441283,-84.554093058,64.0,0.0,0.0,0.0,50.0
30,Bc06 Monday,2024-03-18T07:47:52.000,39.157457799,-84.554100479,64.0,0.0,0.0,0.0,49.0
31,Bc06 Monday,2024-03-18T07:47:57.000,39.157421111,-84.554115328,64.0,0.0,0.0,0.0,49.0
32,Bc06 Monday,2024-03-18T07:48:02.000,39.15743171,-84.554096054,64.0,0.0,0.0,0.0,48.2
33,Bc06 Monday,2024-03-18T07:48:07.000,39.157418664,-84.554088167,64.0,0.0,0.0,0.0,48.0
34,Bc06 Monday,2024-03-18T07:48:12.000,39.157363258,-84.55410088,64.4,0.0,0.0,0.0,48.0
35,Bc06 Monday,2024-03-18T07:48:17.000,39.157305189,-84.554041883,65.0,0.0,0.0,0.0,47.2
36,Bc06 Monday,2024-03-18T07:48:22.000,39.157306017,-84.5539773,65.0,0.0,0.0,0.0,47.0
37,Bc06 Monday,2024-03-18T07:48:27.000,39.157317555,-84.553984801,65.0,0.0,0.0,0.0,46.8
38,Bc06 Monday,2024-03-18T07:48:32.000,39.157329856,-84.553986997,65.0,0.0,0.0,0.0,45.6
39,Bc06 Monday,2024-03-18T07:48:37.000,39.15732649,-84.553989147,65.0,0.0,0.0,0.0,44.4
40,Bc06 Monday,2024-03-18T07:48:42.000,39.15732649,-84.553989147,65.0,0.0,0.0,0.0,43.2
41,Bc06 Monday,2024-03-18T07:48:47.000,39.15732649,-84.553989147,65.0,0.0,0.0,0.0,42.4
42,Bc06 Monday,2024-03-18T07:48:52.000,39.15732649,-84.553989147,65.0,0.0,0.0,0.0,42.0
43,Bc06 Monday,2024-03-18T07:48:57.000,39.157334115,-84.554014399,65.0,0.0,0.0,0.0,41.0
44,Bc06 Monday,2024-03-18T07:49:02.000,39.157340315,-84.553998759,65.6,0.0,0.0,0.0,40.8
45,Bc06 Monday,2024-03-18T07:49:07.000,39.15733966,-84.553993592,66.0,0.0,0.0,0.0,40.0
46,Bc06 Monday,2024-03-18T07:49:12.000,39.15733966,-84.553993592,66.0,0.0,0.0,0.0,40.0
47,Bc06 Monday,2024-03-18T07:49:17.000,39.15733966,-84.553993592,66.0,0.0,0.0,0.0,39.6
48,Bc06 Monday,2024-03-18T07:49:22.000,39.15733966,-84.553993592,66.0,0.0,0.0,0.0,39.0
49,Bc06 Monday,2024-03-18T07:49:27.000,39.15733966,-84.553993592,66.0,0.0,0.0,0.0,39.0
50,Bc06 Monday,2024-03-18T07:49:32.000,39.15733966,-84.553993592,66.0,0.0,0.0,0.0,39.0
51,Bc06 Monday,2024-03-18T07:49:37.000,39.15733966,-84.553993592,66.0,0.0,0.0,0.0,38.166668
52,Bc06 Monday,2024-03-18T07:49:42.000,39.15733966,-84.553993592,66.0,0.0,0.0,0.0,38.0
53,Bc06 Monday,2024-03-18T07:49:47.000,39.157329142,-84.554016081,66.0,0.0,0.0,0.0,38.0
54,Bc06 Monday,2024-03-18T07:49:52.000,39.157318495,-84.554030404,66.0,0.0,0.0,0.0,37.8
55,Bc06 Monday,2024-03-18T07:49:57.000,39.157318495,-84.554030404,66.2,0.0,0.0,0.0,37.0
56,Bc06 Monday,2024-03-18T07:50:02.000,39.157318495,-84.554030404,67.0,0.0,0.0,0.0,37.0
57,Bc06 Monday,2024-03-18T07:50:07.000,39.157318495,-84.554030404,67.0,0.0,0.0,0.0,37.0
58,Bc06 Monday,2024-03-18T07:50:12.000,39.157318495,-84.554030404,67.0,0.0,0.0,0.0,37.0
59,Bc06 Monday,2024-03-18T07:50:17.000,39.157342048,-84.553991654,67.0,0.0,0.0,0.0,36.2
60,Bc06 Monday,2024-03-18T07:50:22.000,39.157372131,-84.553975393,67.0,0.0,0.0,0.0,36.0
61,Bc06 Monday,2024-03-18T07:50:27.000,39.15738167,-84.553957851,67.0,0.0,0.0,0.0,36.0
62,Bc06 Monday,2024-03-18T07:50:32.000,39.15738167,-84.553957851,67.0,0.0,0.0,0.0,36.0
63,Bc06 Monday,2024-03-18T07:50:37.000,39.15738167,-84.553957851,67.0,0.0,0.0,0.0,36.0
64,Bc06 Monday,2024-03-18T07:50:42.000,39.15738167,-84.553957851,67.0,0.0,0.0,0.0,35.2
65,Bc06 Monday,2024-03-18T07:50:47.000,39.15738167,-84.553957851,67.0,0.0,0.0,0.0,35.0
