,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc06 sunday,2024-03-17T15:33:33.000,39.157327455,-84.553763014,67.0,0.0,0.0,0.0,44.666668
2,Bc06 sunday,2024-03-17T15:33:38.000,39.157327455,-84.553763014,67.0,0.0,0.0,0.0,45.0
3,Bc06 sunday,2024-03-17T15:33:43.000,39.157327455,-84.553763014,67.0,0.0,0.0,0.0,45.0
4,Bc06 sunday,2024-03-17T15:33:48.000,39.157327455,-84.553763014,67.0,0.0,0.0,0.0,45.0
5,Bc06 sunday,2024-03-17T15:33:53.000,39.157327455,-84.553763014,67.0,0.0,0.0,0.0,45.0
6,Bc06 sunday,2024-03-17T15:33:58.000,39.157327455,-84.553763014,67.0,0.0,0.0,0.0,45.0
7,Bc06 sunday,2024-03-17T15:34:03.000,39.157327455,-84.553763014,68.0,0.0,0.0,0.0,45.0
8,Bc06 sunday,2024-03-17T15:34:08.000,39.157327455,-84.553763014,68.0,0.0,0.0,0.0,45.0
9,Bc06 sunday,2024-03-17T15:34:13.000,39.157362639,-84.553883097,68.0,0.0,0.0,0.0,45.0
10,Bc06 sunday,2024-03-17T15:34:18.000,39.157357216,-84.553868812,68.0,0.0,0.0,0.0,45.0
11,Bc06 sunday,2024-03-17T15:34:23.000,39.157372507,-84.553906926,68.0,0.0,0.0,0.0,45.0
12,Bc06 sunday,2024-03-17T15:34:28.000,39.157338737,-84.553912851,68.0,0.0,0.0,0.0,45.0
13,Bc06 sunday,2024-03-17T15:34:33.000,39.157385694,-84.553916655,68.0,0.0,0.0,0.0,45.0
14,Bc06 sunday,2024-03-17T15:34:38.000,39.157369862,-84.553906571,68.0,0.0,0.0,0.0,44.6
15,Bc06 sunday,2024-03-17T15:34:43.000,39.157390945,-84.553907933,68.0,0.0,0.0,0.0,44.0
16,Bc06 sunday,2024-03-17T15:34:48.000,39.15739245,-84.553914862,68.0,0.0,0.0,0.0,44.2
17,Bc06 sunday,2024-03-17T15:34:53.000,39.157387597,-84.553921471,68.0,0.0,0.0,0.0,45.0
18,Bc06 sunday,2024-03-17T15:34:58.000,39.157387597,-84.553921471,68.0,0.0,0.0,0.0,45.0
19,Bc06 sunday,2024-03-17T15:35:03.000,39.157387597,-84.553921471,68.0,0.0,0.0,0.0,45.0
20,Bc06 sunday,2024-03-17T15:35:08.000,39.157387597,-84.553921471,68.0,0.0,0.0,0.0,45.0
21,Bc06 sunday,2024-03-17T15:35:13.000,39.157387597,-84.553921471,68.4,0.0,0.0,0.0,45.0
22,Bc06 sunday,2024-03-17T15:35:18.000,39.157387597,-84.553921471,69.0,0.0,0.0,0.0,45.0
23,Bc06 sunday,2024-03-17T15:35:23.000,39.157387597,-84.553921471,69.0,0.0,0.0,0.0,45.0
24,Bc06 sunday,2024-03-17T15:35:28.000,39.157387597,-84.553921471,69.0,0.0,0.0,0.0,45.0
25,Bc06 sunday,2024-03-17T15:35:33.000,39.157387597,-84.553921471,69.0,0.0,0.0,0.0,45.0
26,Bc06 sunday,2024-03-17T15:35:38.000,39.157387597,-84.553921471,69.0,0.0,0.0,0.0,44.2
27,Bc06 sunday,2024-03-17T15:35:43.000,39.157387597,-84.553921471,69.0,0.0,0.0,0.0,44.0
28,Bc06 sunday,2024-03-17T15:35:48.000,39.157387597,-84.553921471,69.0,0.0,0.0,0.0,44.0
29,Bc06 sunday,2024-03-17T15:35:53.000,39.157387597,-84.553921471,69.0,0.0,0.0,0.0,44.0
30,Bc06 sunday,2024-03-17T15:35:58.000,39.157387597,-84.553921471,69.0,0.0,0.0,0.0,44.0
31,Bc06 sunday,2024-03-17T15:36:03.000,39.157387597,-84.553921471,69.0,0.0,0.0,0.0,44.0
32,Bc06 sunday,2024-03-17T15:36:08.000,39.157387597,-84.553921471,69.0,0.0,0.0,0.0,44.0
33,Bc06 sunday,2024-03-17T15:36:13.000,39.157387597,-84.553921471,69.2,0.0,0.0,0.0,44.0
34,Bc06 sunday,2024-03-17T15:36:18.000,39.157387597,-84.553921471,70.0,0.0,0.0,0.0,44.0
35,Bc06 sunday,2024-03-17T15:36:23.000,39.157387597,-84.553921471,70.0,0.0,0.0,0.0,43.4
36,Bc06 sunday,2024-03-17T15:36:28.000,39.157387597,-84.553921471,70.0,0.0,0.0,0.0,43.0
37,Bc06 sunday,2024-03-17T15:36:33.000,39.157387597,-84.553921471,70.0,0.0,0.0,0.0,43.0
38,Bc06 sunday,2024-03-17T15:36:38.000,39.157387597,-84.553921471,70.0,0.0,0.0,0.0,43.0
39,Bc06 sunday,2024-03-17T15:36:43.000,39.157387597,-84.553921471,70.0,0.0,0.0,0.0,43.0
40,Bc06 sunday,2024-03-17T15:36:48.000,39.157453609,-84.553883165,70.0,0.0,0.0,0.0,43.0
41,Bc06 sunday,2024-03-17T15:36:53.000,39.157452511,-84.553881103,70.0,0.0,0.0,0.0,43.0
42,Bc06 sunday,2024-03-17T15:36:58.000,39.157452511,-84.553881103,70.0,0.0,0.0,0.0,43.0
43,Bc06 sunday,2024-03-17T15:37:03.000,39.157452511,-84.553881103,70.0,0.0,0.0,0.0,43.0
44,Bc06 sunday,2024-03-17T15:37:08.000,39.157452511,-84.553881103,70.0,0.0,0.0,0.0,43.0
45,Bc06 sunday,2024-03-17T15:37:13.000,39.157452511,-84.553881103,70.0,0.0,0.0,0.0,43.0
46,Bc06 sunday,2024-03-17T15:37:18.000,39.157452511,-84.553881103,70.0,0.0,0.0,0.0,43.0
47,Bc06 sunday,2024-03-17T15:37:23.000,39.157452511,-84.553881103,70.0,0.0,0.0,0.0,43.0
48,Bc06 sunday,2024-03-17T15:37:28.000,39.157452511,-84.553881103,70.8,0.0,0.0,0.0,43.0
49,Bc06 sunday,2024-03-17T15:37:33.000,39.157452511,-84.553881103,71.0,0.0,0.0,0.0,43.0
50,Bc06 sunday,2024-03-17T15:37:38.000,39.157452511,-84.553881103,71.0,0.0,0.0,0.0,43.0
51,Bc06 sunday,2024-03-17T15:37:43.000,39.157452511,-84.553881103,71.0,0.0,0.0,0.0,43.0
52,Bc06 sunday,2024-03-17T15:37:48.000,39.157452511,-84.553881103,71.0,0.0,0.0,0.0,43.0
53,Bc06 sunday,2024-03-17T15:37:53.000,39.157452511,-84.553881103,71.0,0.0,0.0,0.0,43.0
54,Bc06 sunday,2024-03-17T15:37:58.000,39.157452511,-84.553881103,71.0,0.0,0.0,0.0,43.0
55,Bc06 sunday,2024-03-17T15:38:03.000,39.157452511,-84.553881103,71.0,0.0,0.0,0.0,42.833332
56,Bc06 sunday,2024-03-17T15:38:08.000,39.157452511,-84.553881103,71.0,0.0,0.0,0.0,42.0
57,Bc06 sunday,2024-03-17T15:38:13.000,39.157452511,-84.553881103,71.0,0.0,0.0,0.0,42.0
58,Bc06 sunday,2024-03-17T15:38:18.000,39.157452511,-84.553881103,71.0,0.0,0.0,0.0,42.0
59,Bc06 sunday,2024-03-17T15:38:23.000,39.157452511,-84.553881103,71.0,0.0,0.0,0.0,42.0
60,Bc06 sunday,2024-03-17T15:38:28.000,39.157452511,-84.553881103,71.0,0.0,0.0,0.0,42.0
61,Bc06 sunday,2024-03-17T15:38:33.000,39.157452511,-84.553881103,71.0,0.0,0.0,0.0,42.0
62,Bc06 sunday,2024-03-17T15:38:38.000,39.157452511,-84.553881103,71.25,0.0,0.0,0.0,42.0
63,Bc06 sunday,2024-03-17T15:38:43.000,39.157452511,-84.553881103,72.0,0.0,0.0,0.0,42.0
64,Bc06 sunday,2024-03-17T15:38:48.000,39.157452511,-84.553881103,72.0,0.0,0.0,0.0,42.0
65,Bc06 sunday,2024-03-17T15:38:53.000,39.157452511,-84.553881103,72.0,0.0,0.0,0.0,42.0
