,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc06 Thursday,2024-03-14T06:17:13.000,39.158882478,-84.408981473,78.0,112.94091,259.2409,139.14546,38.909092
2,Bc06 Thursday,2024-03-14T06:18:13.000,39.158890399,-84.40898964,78.0,62.5,129.96666,74.53333,37.866665
3,Bc06 Thursday,2024-03-14T06:19:13.000,39.158890399,-84.40898964,78.0,46.230556,89.94861,54.26389,36.36111
4,Bc06 Thursday,2024-03-14T06:20:13.000,39.158890399,-84.40898964,78.0,14.683333,17.633333,15.933333,36.0
5,Bc06 Thursday,2024-03-14T06:21:13.000,39.158890399,-84.40898964,78.0,8.65,10.216666,9.45,36.0
6,Bc06 Thursday,2024-03-14T06:22:13.000,39.158890399,-84.40898964,78.0,9.65,10.833333,10.116667,36.0
7,Bc06 Thursday,2024-03-14T06:23:13.000,39.158890399,-84.40898964,78.0,8.383333,9.683333,9.116667,36.0
8,Bc06 Thursday,2024-03-14T06:24:13.000,39.158890399,-84.40898964,78.21667,7.7833333,9.083333,8.583333,36.0
9,Bc06 Thursday,2024-03-14T06:25:13.000,39.158890399,-84.40898964,79.0,9.670834,10.8875,9.991667,36.0
10,Bc06 Thursday,2024-03-14T06:26:13.000,39.158890399,-84.40898964,79.0,8.683333,10.216666,9.466666,36.0
11,Bc06 Thursday,2024-03-14T06:27:13.000,39.158890399,-84.40898964,79.0,8.916667,10.316667,9.466666,35.9
12,Bc06 Thursday,2024-03-14T06:28:13.000,39.158890399,-84.40898964,79.0,7.116667,8.233334,8.1,35.2
13,Bc06 Thursday,2024-03-14T06:29:13.000,39.158890399,-84.40898964,79.0,8.533334,10.1,9.266666,35.0
14,Bc06 Thursday,2024-03-14T06:30:13.000,39.158890399,-84.40898964,79.0,8.544444,10.013889,9.186111,35.0
15,Bc06 Thursday,2024-03-14T06:31:13.000,39.158890399,-84.40898964,79.0,7.6,8.8,8.383333,35.0
16,Bc06 Thursday,2024-03-14T06:32:13.000,39.158890399,-84.40898964,79.166664,7.5333333,8.883333,8.483334,35.0
17,Bc06 Thursday,2024-03-14T06:33:13.000,39.158890399,-84.40898964,79.98333,8.683333,10.016666,9.35,35.0
18,Bc06 Thursday,2024-03-14T06:34:13.000,39.158890399,-84.40898964,80.0,7.7,8.95,8.566667,35.0
19,Bc06 Thursday,2024-03-14T06:35:13.000,39.158890399,-84.40898964,80.0,7.6,9.1625,8.6,35.0
20,Bc06 Thursday,2024-03-14T06:36:13.000,39.158890399,-84.40898964,80.0,8.233334,9.783334,9.016666,34.183334
21,Bc06 Thursday,2024-03-14T06:37:13.000,39.158890399,-84.40898964,80.0,9.2,10.4,9.766666,34.0
22,Bc06 Thursday,2024-03-14T06:38:13.000,39.158890399,-84.40898964,80.0,13.216666,19.383333,14.633333,34.016666
23,Bc06 Thursday,2024-03-14T06:39:13.000,39.158890399,-84.40898964,80.1,224.5,576.26666,297.63333,35.0
24,Bc06 Thursday,2024-03-14T06:40:13.000,39.158890399,-84.40898964,81.0,40.891666,77.736115,47.85,35.0
25,Bc06 Thursday,2024-03-14T06:41:13.000,39.158890399,-84.40898964,81.0,10.133333,11.483334,10.783334,35.0
26,Bc06 Thursday,2024-03-14T06:42:13.000,39.158890399,-84.40898964,81.0,8.033334,9.516666,8.866667,35.0
27,Bc06 Thursday,2024-03-14T06:43:13.000,39.158890399,-84.40898964,81.0,7.85,9.5,8.8,34.7
28,Bc06 Thursday,2024-03-14T06:44:13.000,39.158890399,-84.40898964,81.0,7.233333,8.616667,8.233334,35.0
29,Bc06 Thursday,2024-03-14T06:45:13.000,39.158890399,-84.40898964,81.0,7.327778,8.688889,8.327778,35.0
30,Bc06 Thursday,2024-03-14T06:46:13.000,39.158890399,-84.40898964,81.0,6.983333,8.083333,7.983333,35.0
31,Bc06 Thursday,2024-03-14T06:47:13.000,39.158890399,-84.40898964,81.0,6.7166667,7.8,7.7166667,35.0
32,Bc06 Thursday,2024-03-14T06:48:13.000,39.158890399,-84.40898964,81.0,6.85,8.1,7.8166666,35.0
33,Bc06 Thursday,2024-03-14T06:49:13.000,39.158890399,-84.40898964,81.0,6.366667,7.366667,7.35,35.0
34,Bc06 Thursday,2024-03-14T06:50:13.000,39.158890399,-84.40898964,81.0,5.661111,6.661111,6.6194444,35.0
35,Bc06 Thursday,2024-03-14T06:51:13.000,39.158890399,-84.40898964,81.0,5.133333,6.116667,6.0833335,35.0
36,Bc06 Thursday,2024-03-14T06:52:13.000,39.158890399,-84.40898964,81.0,5.65,6.65,6.616667,35.0
37,Bc06 Thursday,2024-03-14T06:53:13.000,39.158890399,-84.40898964,81.0,5.483333,6.4666667,6.4333334,35.0
38,Bc06 Thursday,2024-03-14T06:54:13.000,39.158890399,-84.40898964,81.0,5.5,6.5,6.5,35.0
39,Bc06 Thursday,2024-03-14T06:55:13.000,39.158890399,-84.40898964,81.0,5.3055553,6.3055553,6.3055553,35.0
40,Bc06 Thursday,2024-03-14T06:56:13.000,39.158890399,-84.40898964,81.0,4.95,5.95,5.85,35.0
41,Bc06 Thursday,2024-03-14T06:57:13.000,39.158890399,-84.40898964,81.0,4.766667,5.75,5.733333,35.0
42,Bc06 Thursday,2024-03-14T06:58:13.000,39.158890399,-84.40898964,80.6,4.7,5.6833334,5.633333,35.0
43,Bc06 Thursday,2024-03-14T06:59:13.000,39.158890399,-84.40898964,80.05,3.9666667,4.9333334,4.6,35.0
44,Bc06 Thursday,2024-03-14T07:00:13.000,39.158890399,-84.40898964,80.0,4.054167,5.0041666,4.954167,35.0
45,Bc06 Thursday,2024-03-14T07:01:13.000,39.158890399,-84.40898964,80.0,4.4666667,5.4333334,5.4333334,35.0
46,Bc06 Thursday,2024-03-14T07:02:13.000,39.158890399,-84.40898964,80.0,4.25,5.2166667,5.1,35.0
47,Bc06 Thursday,2024-03-14T07:03:13.000,39.158890399,-84.40898964,80.0,4.5333333,5.5,5.4666667,35.0
48,Bc06 Thursday,2024-03-14T07:04:13.000,39.158890399,-84.40898964,80.0,4.05,5.05,4.8,35.0
49,Bc06 Thursday,2024-03-14T07:05:13.000,39.158890399,-84.40898964,80.0,3.8166666,4.766667,4.5833335,35.0
50,Bc06 Thursday,2024-03-14T07:06:13.000,39.158890399,-84.40898964,80.0,3.4680555,4.251389,3.973611,35.0
51,Bc06 Thursday,2024-03-14T07:07:13.000,39.158890399,-84.40898964,80.0,4.197222,5.1805553,5.077778,35.0
52,Bc06 Thursday,2024-03-14T07:08:13.000,39.158890399,-84.40898964,80.0,3.8666666,4.8,4.6,35.0
53,Bc06 Thursday,2024-03-14T07:09:13.000,39.158874895,-84.409052689,80.0,3.65,4.5833335,4.3,35.3
54,Bc06 Thursday,2024-03-14T07:10:13.000,39.158874895,-84.409052689,80.0,3.6833334,4.616667,4.366667,36.0
55,Bc06 Thursday,2024-03-14T07:11:13.000,39.158874895,-84.409052689,80.0,4.0333333,4.983333,4.9,36.0
56,Bc06 Thursday,2024-03-14T07:12:13.000,39.158874895,-84.409052689,80.0,4.383333,5.35,5.3166666,36.016666
57,Bc06 Thursday,2024-03-14T07:13:13.000,39.158874895,-84.409052689,80.0,4.1833334,5.1666665,5.116667,36.05
58,Bc06 Thursday,2024-03-14T07:14:13.000,39.158874895,-84.409052689,80.0,3.4666667,4.1,4.0,36.0
59,Bc06 Thursday,2024-03-14T07:15:13.000,39.158874895,-84.409052689,80.0,2.9722223,3.713889,3.1694446,36.0
60,Bc06 Thursday,2024-03-14T07:16:13.000,39.158874895,-84.409052689,80.0,3.5138888,4.4,4.0972223,36.0
61,Bc06 Thursday,2024-03-14T07:17:13.000,39.158874895,-84.409052689,80.0,3.2666667,3.9833333,3.5666666,36.0
