,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bc06 tuesday,2024-03-12T06:06:36.000,39.145900754,-84.429204619,70.666664,21.666666,44.0,25.333334,38.333332
2,Bc06 tuesday,2024-03-12T06:06:41.000,39.145900754,-84.429204619,71.0,1.0,1.0,1.0,38.0
3,Bc06 tuesday,2024-03-12T06:06:46.000,39.145900754,-84.429204619,71.0,1.0,1.0,1.0,38.0
4,Bc06 tuesday,2024-03-12T06:06:51.000,39.145910963,-84.429202645,71.6,1.6,1.6,,
5,Bc06 tuesday,2024-03-12T06:06:51.000,39.14591106,-84.429202453,,,,1.6,
6,Bc06 tuesday,2024-03-12T06:06:51.000,39.145910963,-84.429202645,,,,,37.8
7,Bc06 tuesday,2024-03-12T06:06:56.000,39.145911008,-84.429202725,72.0,0.8333333,0.8333333,0.8333333,37.0
8,Bc06 tuesday,2024-03-12T06:07:01.000,39.145916323,-84.429205878,72.0,0.0,0.0,0.0,37.0
9,Bc06 tuesday,2024-03-12T06:07:06.000,39.145918552,-84.429206447,72.0,1.0,1.0,1.0,36.4
10,Bc06 tuesday,2024-03-12T06:07:11.000,39.145917524,-84.429207851,72.0,0.4,0.4,0.4,36.0
11,Bc06 tuesday,2024-03-12T06:07:16.000,39.145917421,-84.429207784,72.0,0.0,0.0,0.0,36.0
12,Bc06 tuesday,2024-03-12T06:07:21.000,39.145919056,-84.429207353,72.0,0.8,0.8,0.8,35.2
13,Bc06 tuesday,2024-03-12T06:07:26.000,39.14591967,-84.429207479,72.0,0.0,0.0,0.0,35.0
14,Bc06 tuesday,2024-03-12T06:07:31.000,39.14591967,-84.429207479,72.0,0.6,0.6,0.6,35.4
15,Bc06 tuesday,2024-03-12T06:07:36.000,39.14591967,-84.429207479,72.0,0.0,0.0,0.0,36.0
16,Bc06 tuesday,2024-03-12T06:07:41.000,39.14591967,-84.429207479,72.0,0.0,0.0,0.0,35.4
17,Bc06 tuesday,2024-03-12T06:07:46.000,39.14591967,-84.429207479,72.6,0.0,0.0,0.0,35.0
18,Bc06 tuesday,2024-03-12T06:07:51.000,39.14591967,-84.429207479,73.0,0.0,0.0,0.0,35.0
19,Bc06 tuesday,2024-03-12T06:07:56.000,39.14591967,-84.429207479,73.0,0.0,0.0,0.0,35.0
20,Bc06 tuesday,2024-03-12T06:08:01.000,39.14591967,-84.429207479,73.0,0.0,0.0,0.0,35.0
21,Bc06 tuesday,2024-03-12T06:08:06.000,39.14591967,-84.429207479,73.0,0.4,0.4,0.4,34.0
22,Bc06 tuesday,2024-03-12T06:08:11.000,39.145921682,-84.429198376,73.0,0.4,0.4,0.4,34.0
23,Bc06 tuesday,2024-03-12T06:08:16.000,39.145921078,-84.429195571,73.0,1.0,1.0,1.0,34.0
24,Bc06 tuesday,2024-03-12T06:08:21.000,39.14592024,-84.429192442,73.0,0.4,0.4,0.4,34.0
25,Bc06 tuesday,2024-03-12T06:08:26.000,39.145919553,-84.429190807,73.0,0.8,0.8,0.8,34.0
26,Bc06 tuesday,2024-03-12T06:08:31.000,39.145918937,-84.429189552,73.0,0.4,0.4,0.4,34.0
27,Bc06 tuesday,2024-03-12T06:08:36.000,39.145918959,-84.429188345,73.0,1.0,1.0,1.0,34.0
28,Bc06 tuesday,2024-03-12T06:08:41.000,39.145926168,-84.429175387,73.0,0.6,0.6,0.6,34.0
29,Bc06 tuesday,2024-03-12T06:08:46.000,39.145934315,-84.429155087,73.2,34.4,65.4,40.0,34.0
30,Bc06 tuesday,2024-03-12T06:08:51.000,39.145937128,-84.42914511,74.0,74.2,160.2,89.8,34.0
31,Bc06 tuesday,2024-03-12T06:08:56.000,39.145937498,-84.429153372,74.0,38.0,70.0,43.8,34.0
32,Bc06 tuesday,2024-03-12T06:09:01.000,39.145923646,-84.429178821,74.0,5.2,6.2,6.2,34.0
33,Bc06 tuesday,2024-03-12T06:09:06.000,39.145941917,-84.429267813,74.0,2.6,3.0,3.0,34.0
34,Bc06 tuesday,2024-03-12T06:09:11.000,39.145959761,-84.429253608,74.0,1.0,1.0,1.0,34.0
35,Bc06 tuesday,2024-03-12T06:09:16.000,39.145958604,-84.429219154,74.0,0.0,0.0,0.0,34.0
36,Bc06 tuesday,2024-03-12T06:09:21.000,39.145958604,-84.429219154,74.0,0.0,0.0,0.0,34.0
37,Bc06 tuesday,2024-03-12T06:09:26.000,39.145958604,-84.429219154,74.0,0.0,0.0,0.0,34.0
38,Bc06 tuesday,2024-03-12T06:09:31.000,39.145945147,-84.429198706,74.0,0.0,0.0,0.0,34.0
39,Bc06 tuesday,2024-03-12T06:09:36.000,39.145943545,-84.429216465,74.0,0.0,0.0,0.0,34.0
40,Bc06 tuesday,2024-03-12T06:09:41.000,39.145937407,-84.42921545,74.0,0.8,0.8,0.8,34.0
41,Bc06 tuesday,2024-03-12T06:09:46.000,39.145937407,-84.42921545,74.0,0.0,0.0,0.0,33.4
42,Bc06 tuesday,2024-03-12T06:09:51.000,39.145937407,-84.42921545,74.0,0.4,0.4,0.4,33.0
43,Bc06 tuesday,2024-03-12T06:09:56.000,39.145937407,-84.42921545,74.4,0.0,0.0,0.0,33.0
44,Bc06 tuesday,2024-03-12T06:10:01.000,39.145937407,-84.42921545,75.0,1.6,1.6,1.6,33.0
45,Bc06 tuesday,2024-03-12T06:10:06.000,39.145937407,-84.42921545,75.0,1.2,1.2,1.2,33.0
46,Bc06 tuesday,2024-03-12T06:10:11.000,39.145937407,-84.42921545,75.0,1.2,1.2,1.2,33.0
47,Bc06 tuesday,2024-03-12T06:10:16.000,39.145937407,-84.42921545,75.0,1.0,1.0,1.0,33.0
48,Bc06 tuesday,2024-03-12T06:10:21.000,39.145937407,-84.42921545,75.0,0.6,0.6,0.6,33.0
49,Bc06 tuesday,2024-03-12T06:10:26.000,39.145937407,-84.42921545,75.0,1.4,1.4,1.4,33.0
50,Bc06 tuesday,2024-03-12T06:10:31.000,39.146000614,-84.429254781,75.0,1.0,1.0,1.0,33.0
51,Bc06 tuesday,2024-03-12T06:10:36.000,39.145995644,-84.42924899,75.0,0.4,0.4,0.4,33.0
52,Bc06 tuesday,2024-03-12T06:10:41.000,39.145995644,-84.42924899,75.0,0.8,0.8,0.8,33.0
53,Bc06 tuesday,2024-03-12T06:10:46.000,39.145995644,-84.42924899,75.0,0.4,0.4,0.4,33.0
54,Bc06 tuesday,2024-03-12T06:10:51.000,39.145995644,-84.42924899,75.0,0.2,0.2,0.2,33.0
55,Bc06 tuesday,2024-03-12T06:10:56.000,39.145995644,-84.42924899,75.0,0.0,0.0,0.0,33.0
56,Bc06 tuesday,2024-03-12T06:11:01.000,39.145995644,-84.42924899,75.0,0.2,0.2,0.2,33.0
57,Bc06 tuesday,2024-03-12T06:11:06.000,39.145995644,-84.42924899,75.0,0.0,0.0,0.0,33.0
58,Bc06 tuesday,2024-03-12T06:11:11.000,39.145995644,-84.42924899,75.2,0.0,0.0,0.0,33.0
59,Bc06 tuesday,2024-03-12T06:11:16.000,39.145949483,-84.429216453,75.8,0.0,0.0,0.0,33.0
60,Bc06 tuesday,2024-03-12T06:11:21.000,39.14594075,-84.429210139,76.0,0.0,0.0,0.0,33.0
61,Bc06 tuesday,2024-03-12T06:11:26.000,39.145923177,-84.429221748,76.0,0.0,0.0,0.0,33.0
62,Bc06 tuesday,2024-03-12T06:11:31.000,39.145940728,-84.429227974,76.0,0.0,0.0,0.0,33.0
63,Bc06 tuesday,2024-03-12T06:11:36.000,39.145962465,-84.429209628,76.0,0.0,0.0,0.0,33.0
64,Bc06 tuesday,2024-03-12T06:11:41.000,39.145949391,-84.429212272,76.0,0.0,0.0,0.0,33.0
