,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc67d981c,AirBeam3:943cc67d981c,AirBeam3:943cc67d981c,AirBeam3:943cc67d981c,AirBeam3:943cc67d981c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bhr01 Monday,2024-03-18T17:05:47.000,39.168934602,-84.497284005,70.666664,0.0,0.0,0.0,28.666666
2,Bhr01 Monday,2024-03-18T17:05:52.000,39.168930427,-84.497283548,71.0,0.0,0.0,0.0,28.0
3,Bhr01 Monday,2024-03-18T17:05:57.000,39.168930427,-84.497283548,71.0,0.0,0.0,0.0,28.0
4,Bhr01 Monday,2024-03-18T17:06:02.000,39.168930427,-84.497283548,71.0,0.0,0.0,0.0,28.0
5,Bhr01 Monday,2024-03-18T17:06:07.000,39.168930427,-84.497283548,71.0,0.0,0.0,0.0,28.0
6,Bhr01 Monday,2024-03-18T17:06:12.000,39.168930427,-84.497283548,71.0,0.0,0.0,0.0,28.0
7,Bhr01 Monday,2024-03-18T17:06:17.000,39.168930427,-84.497283548,71.0,0.0,0.0,0.0,28.0
8,Bhr01 Monday,2024-03-18T17:06:22.000,39.168930427,-84.497283548,71.0,0.0,0.0,0.0,28.0
9,Bhr01 Monday,2024-03-18T17:06:27.000,39.168930427,-84.497283548,71.0,0.0,0.0,0.0,27.0
10,Bhr01 Monday,2024-03-18T17:06:32.000,39.168930427,-84.497283548,71.0,0.0,0.0,0.0,27.0
11,Bhr01 Monday,2024-03-18T17:06:37.000,39.168930427,-84.497283548,71.0,0.0,0.0,0.0,27.0
12,Bhr01 Monday,2024-03-18T17:06:42.000,39.168930427,-84.497283548,71.0,0.0,0.0,0.0,27.0
13,Bhr01 Monday,2024-03-18T17:06:47.000,39.168930427,-84.497283548,71.6,0.0,0.0,0.0,27.0
