,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,BHR02Monday,2024-03-18T16:28:13.000,39.168852937,-84.497271493,72.0,0.0,0.0,0.0,23.0
2,BHR02Monday,2024-03-18T16:28:14.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
3,BHR02Monday,2024-03-18T16:28:15.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
4,BHR02Monday,2024-03-18T16:28:16.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
5,BHR02Monday,2024-03-18T16:28:17.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,24.0
6,BHR02Monday,2024-03-18T16:28:18.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,24.0
7,BHR02Monday,2024-03-18T16:28:19.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,24.0
8,BHR02Monday,2024-03-18T16:28:20.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,24.0
9,BHR02Monday,2024-03-18T16:28:21.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
10,BHR02Monday,2024-03-18T16:28:22.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
11,BHR02Monday,2024-03-18T16:28:23.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
12,BHR02Monday,2024-03-18T16:28:24.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
13,BHR02Monday,2024-03-18T16:28:25.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
14,BHR02Monday,2024-03-18T16:28:26.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
15,BHR02Monday,2024-03-18T16:28:27.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
16,BHR02Monday,2024-03-18T16:28:28.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
17,BHR02Monday,2024-03-18T16:28:29.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
18,BHR02Monday,2024-03-18T16:28:30.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
19,BHR02Monday,2024-03-18T16:28:31.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
20,BHR02Monday,2024-03-18T16:28:32.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
21,BHR02Monday,2024-03-18T16:28:33.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
22,BHR02Monday,2024-03-18T16:28:34.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
23,BHR02Monday,2024-03-18T16:28:35.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
24,BHR02Monday,2024-03-18T16:28:36.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
25,BHR02Monday,2024-03-18T16:28:37.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
26,BHR02Monday,2024-03-18T16:28:38.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
27,BHR02Monday,2024-03-18T16:28:39.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
28,BHR02Monday,2024-03-18T16:28:40.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
29,BHR02Monday,2024-03-18T16:28:41.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
30,BHR02Monday,2024-03-18T16:28:42.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
31,BHR02Monday,2024-03-18T16:28:43.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
32,BHR02Monday,2024-03-18T16:28:44.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
33,BHR02Monday,2024-03-18T16:28:45.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
34,BHR02Monday,2024-03-18T16:28:46.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
35,BHR02Monday,2024-03-18T16:28:47.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
36,BHR02Monday,2024-03-18T16:28:48.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
37,BHR02Monday,2024-03-18T16:28:49.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
38,BHR02Monday,2024-03-18T16:28:50.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
39,BHR02Monday,2024-03-18T16:28:51.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
40,BHR02Monday,2024-03-18T16:28:52.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
41,BHR02Monday,2024-03-18T16:28:53.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
42,BHR02Monday,2024-03-18T16:28:54.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
43,BHR02Monday,2024-03-18T16:28:55.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
44,BHR02Monday,2024-03-18T16:28:56.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
45,BHR02Monday,2024-03-18T16:28:57.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
46,BHR02Monday,2024-03-18T16:28:58.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
47,BHR02Monday,2024-03-18T16:28:59.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
48,BHR02Monday,2024-03-18T16:29:00.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
49,BHR02Monday,2024-03-18T16:29:01.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
50,BHR02Monday,2024-03-18T16:29:02.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
51,BHR02Monday,2024-03-18T16:29:03.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
52,BHR02Monday,2024-03-18T16:29:04.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
53,BHR02Monday,2024-03-18T16:29:05.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
54,BHR02Monday,2024-03-18T16:29:06.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
55,BHR02Monday,2024-03-18T16:29:07.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
56,BHR02Monday,2024-03-18T16:29:08.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
57,BHR02Monday,2024-03-18T16:29:09.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
58,BHR02Monday,2024-03-18T16:29:10.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
59,BHR02Monday,2024-03-18T16:29:11.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
60,BHR02Monday,2024-03-18T16:29:12.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
61,BHR02Monday,2024-03-18T16:29:13.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
62,BHR02Monday,2024-03-18T16:29:14.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
63,BHR02Monday,2024-03-18T16:29:15.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,23.0
64,BHR02Monday,2024-03-18T16:29:16.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
65,BHR02Monday,2024-03-18T16:29:17.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
66,BHR02Monday,2024-03-18T16:29:18.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
67,BHR02Monday,2024-03-18T16:29:19.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
68,BHR02Monday,2024-03-18T16:29:20.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
69,BHR02Monday,2024-03-18T16:29:21.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
70,BHR02Monday,2024-03-18T16:29:22.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
71,BHR02Monday,2024-03-18T16:29:23.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
72,BHR02Monday,2024-03-18T16:29:24.000,39.168852937,-84.497271493,76.0,0.0,0.0,0.0,22.0
73,BHR02Monday,2024-03-18T16:29:25.000,39.168864781,-84.497313508,76.0,0.0,0.0,0.0,22.0
74,BHR02Monday,2024-03-18T16:29:26.000,39.168862375,-84.497310859,76.0,0.0,0.0,0.0,22.0
75,BHR02Monday,2024-03-18T16:29:27.000,39.168862642,-84.497310236,76.0,0.0,0.0,0.0,22.0
76,BHR02Monday,2024-03-18T16:29:28.000,39.168863899,-84.497308157,76.0,0.0,0.0,0.0,22.0
77,BHR02Monday,2024-03-18T16:29:29.000,39.168863109,-84.497311841,76.0,0.0,0.0,0.0,22.0
78,BHR02Monday,2024-03-18T16:29:30.000,39.168863109,-84.497311841,76.0,0.0,0.0,0.0,22.0
79,BHR02Monday,2024-03-18T16:29:31.000,39.168863109,-84.497311841,76.0,0.0,0.0,0.0,23.0
80,BHR02Monday,2024-03-18T16:29:32.000,39.168863109,-84.497311841,76.0,0.0,0.0,0.0,23.0
81,BHR02Monday,2024-03-18T16:29:33.000,39.168863109,-84.497311841,76.0,0.0,0.0,0.0,23.0
82,BHR02Monday,2024-03-18T16:29:34.000,39.168863109,-84.497311841,76.0,0.0,0.0,0.0,23.0
83,BHR02Monday,2024-03-18T16:29:35.000,39.168863109,-84.497311841,76.0,0.0,0.0,0.0,23.0
84,BHR02Monday,2024-03-18T16:29:36.000,39.168863109,-84.497311841,76.0,0.0,0.0,0.0,23.0
85,BHR02Monday,2024-03-18T16:29:37.000,39.168863109,-84.497311841,76.0,0.0,0.0,0.0,23.0
86,BHR02Monday,2024-03-18T16:29:38.000,39.168863109,-84.497311841,76.0,0.0,0.0,0.0,23.0
87,BHR02Monday,2024-03-18T16:29:39.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
88,BHR02Monday,2024-03-18T16:29:40.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
89,BHR02Monday,2024-03-18T16:29:41.000,39.168863109,-84.497311841,76.0,0.0,0.0,0.0,23.0
90,BHR02Monday,2024-03-18T16:29:42.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
91,BHR02Monday,2024-03-18T16:29:43.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
92,BHR02Monday,2024-03-18T16:29:44.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
93,BHR02Monday,2024-03-18T16:29:45.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
94,BHR02Monday,2024-03-18T16:29:46.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
95,BHR02Monday,2024-03-18T16:29:47.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
96,BHR02Monday,2024-03-18T16:29:48.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
97,BHR02Monday,2024-03-18T16:29:49.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
98,BHR02Monday,2024-03-18T16:29:50.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
99,BHR02Monday,2024-03-18T16:29:51.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
100,BHR02Monday,2024-03-18T16:29:52.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
101,BHR02Monday,2024-03-18T16:29:53.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
102,BHR02Monday,2024-03-18T16:29:54.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,24.0
103,BHR02Monday,2024-03-18T16:29:55.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,24.0
104,BHR02Monday,2024-03-18T16:29:56.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
105,BHR02Monday,2024-03-18T16:29:57.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
106,BHR02Monday,2024-03-18T16:29:58.000,39.168863109,-84.497311841,77.0,0.0,0.0,0.0,23.0
