,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,BHR04 Monday,2024-03-18T16:24:32.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,26.0
2,BHR04 Monday,2024-03-18T16:24:33.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
3,BHR04 Monday,2024-03-18T16:24:34.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
4,BHR04 Monday,2024-03-18T16:24:35.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
5,BHR04 Monday,2024-03-18T16:24:36.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
6,BHR04 Monday,2024-03-18T16:24:37.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
7,BHR04 Monday,2024-03-18T16:24:38.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
8,BHR04 Monday,2024-03-18T16:24:39.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
9,BHR04 Monday,2024-03-18T16:24:40.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
10,BHR04 Monday,2024-03-18T16:24:41.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
11,BHR04 Monday,2024-03-18T16:24:42.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
12,BHR04 Monday,2024-03-18T16:24:43.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
13,BHR04 Monday,2024-03-18T16:24:44.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
14,BHR04 Monday,2024-03-18T16:24:45.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
15,BHR04 Monday,2024-03-18T16:24:46.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
16,BHR04 Monday,2024-03-18T16:24:47.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
17,BHR04 Monday,2024-03-18T16:24:48.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
18,BHR04 Monday,2024-03-18T16:24:49.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
19,BHR04 Monday,2024-03-18T16:24:50.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
20,BHR04 Monday,2024-03-18T16:24:51.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
21,BHR04 Monday,2024-03-18T16:24:52.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
22,BHR04 Monday,2024-03-18T16:24:53.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,24.0
23,BHR04 Monday,2024-03-18T16:24:54.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,23.0
24,BHR04 Monday,2024-03-18T16:24:55.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,23.0
25,BHR04 Monday,2024-03-18T16:24:56.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,23.0
26,BHR04 Monday,2024-03-18T16:24:57.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,23.0
27,BHR04 Monday,2024-03-18T16:24:58.000,39.16888213,-84.497289083,73.0,0.0,0.0,0.0,23.0
28,BHR04 Monday,2024-03-18T16:24:59.000,39.16888213,-84.497289083,74.0,0.0,0.0,0.0,23.0
29,BHR04 Monday,2024-03-18T16:25:00.000,39.16888213,-84.497289083,74.0,0.0,0.0,0.0,23.0
30,BHR04 Monday,2024-03-18T16:25:01.000,39.16888213,-84.497289083,74.0,0.0,0.0,0.0,23.0
31,BHR04 Monday,2024-03-18T16:25:02.000,39.16888213,-84.497289083,74.0,0.0,0.0,0.0,23.0
32,BHR04 Monday,2024-03-18T16:25:03.000,39.16888213,-84.497289083,74.0,0.0,0.0,0.0,23.0
33,BHR04 Monday,2024-03-18T16:25:04.000,39.16888213,-84.497289083,74.0,0.0,0.0,0.0,23.0
34,BHR04 Monday,2024-03-18T16:25:05.000,39.16888213,-84.497289083,74.0,0.0,0.0,0.0,23.0
35,BHR04 Monday,2024-03-18T16:25:06.000,39.16888213,-84.497289083,74.0,0.0,0.0,0.0,23.0
36,BHR04 Monday,2024-03-18T16:25:07.000,39.16888213,-84.497289083,74.0,0.0,0.0,0.0,23.0
