,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,BHR04 Sunday,2024-03-24T13:27:35.000,39.193154268,-84.464013658,79.0,72.25,154.25,87.0,28.0
2,BHR04 Sunday,2024-03-24T13:27:40.000,39.193154268,-84.464013658,79.0,69.4,147.0,83.0,28.0
3,BHR04 Sunday,2024-03-24T13:27:45.000,39.193154268,-84.464013658,79.0,58.6,119.2,69.4,27.0
4,BHR04 Sunday,2024-03-24T13:27:50.000,39.193154268,-84.464013658,79.0,53.0,104.0,62.0,26.6
5,BHR04 Sunday,2024-03-24T13:27:55.000,39.193154268,-84.464013658,79.0,53.6,105.8,62.8,26.0
6,BHR04 Sunday,2024-03-24T13:28:00.000,39.193154268,-84.464013658,79.0,67.4,142.0,80.6,26.0
7,BHR04 Sunday,2024-03-24T13:28:05.000,39.193154268,-84.464013658,79.0,86.8,192.2,105.6,26.8
8,BHR04 Sunday,2024-03-24T13:28:10.000,39.193154268,-84.464013658,79.0,87.4,194.0,106.4,27.0
9,BHR04 Sunday,2024-03-24T13:28:15.000,39.193154268,-84.464013658,79.0,88.2,195.4,107.2,27.4
10,BHR04 Sunday,2024-03-24T13:28:20.000,39.193154268,-84.464013658,79.0,97.2,216.0,118.8,28.0
11,BHR04 Sunday,2024-03-24T13:28:25.000,39.193154268,-84.464013658,79.0,108.333336,247.33333,133.33333,28.0
12,BHR04 Sunday,2024-03-24T13:28:30.000,39.193154268,-84.464013658,79.0,109.8,251.4,135.0,27.4
13,BHR04 Sunday,2024-03-24T13:28:35.000,39.193154268,-84.464013658,79.0,103.4,234.6,126.6,27.0
14,BHR04 Sunday,2024-03-24T13:28:40.000,39.193154268,-84.464013658,79.0,98.2,221.4,120.2,27.0
15,BHR04 Sunday,2024-03-24T13:28:45.000,39.193154268,-84.464013658,79.0,98.2,221.2,119.8,27.0
16,BHR04 Sunday,2024-03-24T13:28:50.000,39.193154268,-84.464013658,79.0,100.0,225.8,122.2,27.0
17,BHR04 Sunday,2024-03-24T13:28:55.000,39.193154268,-84.464013658,79.0,99.6,224.2,121.8,27.0
18,BHR04 Sunday,2024-03-24T13:29:00.000,39.193154268,-84.464013658,79.0,100.6,227.6,123.4,27.0
19,BHR04 Sunday,2024-03-24T13:29:05.000,39.193154268,-84.464013658,79.0,97.0,218.0,118.6,27.0
20,BHR04 Sunday,2024-03-24T13:29:10.000,39.193154268,-84.464013658,79.0,92.2,205.0,111.8,26.0
21,BHR04 Sunday,2024-03-24T13:29:15.000,39.193154268,-84.464013658,79.0,80.4,175.8,97.2,26.0
22,BHR04 Sunday,2024-03-24T13:29:20.000,39.193154268,-84.464013658,79.0,75.6,163.6,91.4,26.0
23,BHR04 Sunday,2024-03-24T13:29:25.000,39.193154268,-84.464013658,79.0,77.8,168.8,93.6,25.6
24,BHR04 Sunday,2024-03-24T13:29:30.000,39.193154268,-84.464013658,79.0,65.2,136.4,77.8,25.0
25,BHR04 Sunday,2024-03-24T13:29:35.000,39.193154268,-84.464013658,79.0,63.2,131.4,75.0,25.0
26,BHR04 Sunday,2024-03-24T13:29:40.000,39.193154268,-84.464013658,79.0,74.4,160.2,89.6,25.0
27,BHR04 Sunday,2024-03-24T13:29:45.000,39.193154268,-84.464013658,79.0,73.4,157.6,88.4,25.0
28,BHR04 Sunday,2024-03-24T13:29:50.000,39.193154268,-84.464013658,79.0,60.4,124.4,71.8,24.8
29,BHR04 Sunday,2024-03-24T13:29:55.000,39.193154268,-84.464013658,79.0,53.8,107.0,63.4,24.0
30,BHR04 Sunday,2024-03-24T13:30:00.000,39.193154268,-84.464013658,79.0,56.6,114.0,66.8,24.0
31,BHR04 Sunday,2024-03-24T13:30:05.000,39.193154268,-84.464013658,79.0,56.6,114.2,66.8,24.8
32,BHR04 Sunday,2024-03-24T13:30:10.000,39.193154268,-84.464013658,79.0,49.2,95.2,57.2,24.0
33,BHR04 Sunday,2024-03-24T13:30:15.000,39.193154268,-84.464013658,79.0,31.4,50.2,34.4,24.0
34,BHR04 Sunday,2024-03-24T13:30:20.000,39.193154268,-84.464013658,79.0,30.8,48.8,33.6,24.0
35,BHR04 Sunday,2024-03-24T13:30:25.000,39.193154268,-84.464013658,79.0,38.4,67.4,43.4,24.0
36,BHR04 Sunday,2024-03-24T13:30:30.000,39.193181004,-84.46398556,79.0,46.8,88.8,54.0,24.0
37,BHR04 Sunday,2024-03-24T13:30:35.000,39.193187166,-84.463972351,79.0,60.8,125.6,72.2,24.0
38,BHR04 Sunday,2024-03-24T13:30:40.000,39.19319998,-84.463965782,79.0,74.6,160.8,90.0,25.0
39,BHR04 Sunday,2024-03-24T13:30:45.000,39.19319557,-84.46397234,79.0,76.2,164.8,91.6,25.2
40,BHR04 Sunday,2024-03-24T13:30:50.000,39.193197242,-84.463984234,79.0,71.0,151.8,85.4,26.0
41,BHR04 Sunday,2024-03-24T13:30:55.000,39.193190836,-84.463967765,79.0,55.2,110.8,65.0,26.0
42,BHR04 Sunday,2024-03-24T13:31:00.000,39.193200894,-84.464021489,79.0,50.8,99.0,59.0,26.2
43,BHR04 Sunday,2024-03-24T13:31:05.000,39.193230722,-84.464004894,79.0,39.8,71.4,45.2,27.0
44,BHR04 Sunday,2024-03-24T13:31:10.000,39.193242192,-84.46401107,79.0,24.2,34.4,26.4,27.0
45,BHR04 Sunday,2024-03-24T13:31:15.000,39.193247463,-84.463988878,79.0,17.0,19.8,18.4,27.0
46,BHR04 Sunday,2024-03-24T13:31:20.000,39.19324914,-84.463995914,79.0,12.6,13.6,13.6,27.0
47,BHR04 Sunday,2024-03-24T13:31:25.000,39.193236776,-84.463996921,79.0,10.0,11.0,10.0,27.0
48,BHR04 Sunday,2024-03-24T13:31:30.000,39.193256654,-84.464019743,79.0,10.4,11.4,10.8,27.0
49,BHR04 Sunday,2024-03-24T13:31:35.000,39.193247912,-84.464024962,79.0,10.4,11.4,10.8,27.0
50,BHR04 Sunday,2024-03-24T13:31:40.000,39.193232345,-84.464009578,79.0,11.0,12.0,12.0,27.0
51,BHR04 Sunday,2024-03-24T13:31:45.000,39.193221332,-84.46400663,79.0,9.6,11.0,10.4,27.0
52,BHR04 Sunday,2024-03-24T13:31:50.000,39.193216348,-84.464010373,79.0,7.4,9.0,8.4,27.0
53,BHR04 Sunday,2024-03-24T13:31:55.000,39.193216339,-84.464016192,79.0,5.6,6.6,6.6,27.0
54,BHR04 Sunday,2024-03-24T13:32:00.000,39.193223858,-84.464018153,79.0,5.0,6.0,6.0,27.0
55,BHR04 Sunday,2024-03-24T13:32:05.000,39.193223963,-84.463996925,79.0,3.6,4.6,4.2,27.0
56,BHR04 Sunday,2024-03-24T13:32:10.000,39.193229509,-84.464007858,79.0,4.6,5.4,5.4,27.0
57,BHR04 Sunday,2024-03-24T13:32:15.000,39.193238487,-84.4640106,79.0,5.2,6.2,6.2,27.0
58,BHR04 Sunday,2024-03-24T13:32:20.000,39.193243921,-84.464015083,79.0,7.0,8.2,8.0,27.0
59,BHR04 Sunday,2024-03-24T13:32:25.000,39.193234734,-84.463997203,79.0,8.8,10.4,9.6,27.0
60,BHR04 Sunday,2024-03-24T13:32:30.000,39.193209378,-84.463970537,79.0,10.2,11.2,10.4,27.0
61,BHR04 Sunday,2024-03-24T13:32:35.000,39.193211246,-84.463954247,79.0,8.4,10.2,9.2,27.0
62,BHR04 Sunday,2024-03-24T13:32:40.000,39.193207634,-84.463945624,79.0,6.8,7.8,7.6,27.0
63,BHR04 Sunday,2024-03-24T13:32:45.000,39.193241665,-84.463991779,79.0,5.4,6.4,6.4,27.0
64,BHR04 Sunday,2024-03-24T13:32:50.000,39.19327068,-84.463985615,79.0,5.0,6.0,6.0,26.6
65,BHR04 Sunday,2024-03-24T13:32:55.000,39.193300907,-84.46395616,79.0,5.0,6.0,6.0,26.0
66,BHR04 Sunday,2024-03-24T13:33:00.000,39.193266913,-84.463933836,79.0,4.0,5.0,4.75,25.75
67,BHR04 Sunday,2024-03-24T13:33:05.000,39.193263775,-84.463949555,79.0,,,,
68,BHR04 Sunday,2024-03-24T13:33:05.000,39.193265572,-84.463949134,,2.8,3.4,,
69,BHR04 Sunday,2024-03-24T13:33:05.000,39.193263775,-84.463949555,,,,2.8,25.0
70,BHR04 Sunday,2024-03-24T13:33:10.000,39.193261451,-84.463954135,79.0,1.5,1.5,1.5,
71,BHR04 Sunday,2024-03-24T13:33:10.000,39.193260691,-84.463954977,,,,,24.833334
72,BHR04 Sunday,2024-03-24T13:33:15.000,39.193272412,-84.463951023,79.0,0.5,0.5,0.5,25.0
73,BHR04 Sunday,2024-03-24T13:33:20.000,39.193290725,-84.463960651,79.0,0.4,0.4,0.4,25.0
74,BHR04 Sunday,2024-03-24T13:33:25.000,39.193267788,-84.463968114,79.0,,,,
75,BHR04 Sunday,2024-03-24T13:33:25.000,39.193275142,-84.463964362,,0.0,0.0,,
76,BHR04 Sunday,2024-03-24T13:33:25.000,39.193267788,-84.463968114,,,,0.0,25.0
77,BHR04 Sunday,2024-03-24T13:33:30.000,39.193264083,-84.463971629,79.0,0.0,0.0,0.0,25.0
78,BHR04 Sunday,2024-03-24T13:33:35.000,39.193215623,-84.463954002,79.0,0.0,0.0,0.0,25.0
79,BHR04 Sunday,2024-03-24T13:33:40.000,39.193131196,-84.463939182,79.0,0.0,,,
80,BHR04 Sunday,2024-03-24T13:33:40.000,39.193147739,-84.463945644,,,0.0,,
81,BHR04 Sunday,2024-03-24T13:33:40.000,39.193131196,-84.463939182,,,,0.0,
82,BHR04 Sunday,2024-03-24T13:33:40.000,39.193147739,-84.463945644,,,,,24.0
83,BHR04 Sunday,2024-03-24T13:33:45.000,39.193074887,-84.463946849,79.0,0.0,0.0,0.0,23.25
84,BHR04 Sunday,2024-03-24T13:33:50.000,39.193030215,-84.46395578,79.0,0.0,0.0,0.0,22.8
85,BHR04 Sunday,2024-03-24T13:33:55.000,39.193006901,-84.463999312,79.0,0.0,0.0,0.0,
86,BHR04 Sunday,2024-03-24T13:33:55.000,39.193000405,-84.464004054,,,,,22.0
87,BHR04 Sunday,2024-03-24T13:34:00.000,39.192990644,-84.46391022,79.0,0.0,0.0,0.0,22.0
88,BHR04 Sunday,2024-03-24T13:34:05.000,39.192978918,-84.463661347,79.0,0.0,0.0,,
89,BHR04 Sunday,2024-03-24T13:34:05.000,39.192976236,-84.463580847,,,,0.0,22.0
90,BHR04 Sunday,2024-03-24T13:34:10.000,39.192971448,-84.462999139,79.0,,,,
91,BHR04 Sunday,2024-03-24T13:34:10.000,39.192968949,-84.463096866,,0.0,0.0,,
92,BHR04 Sunday,2024-03-24T13:34:10.000,39.192971448,-84.462999139,,,,0.0,22.0
93,BHR04 Sunday,2024-03-24T13:34:15.000,39.192952638,-84.462652033,79.0,1.0,1.0,1.0,22.0
94,BHR04 Sunday,2024-03-24T13:34:20.000,39.19294054,-84.46247608,79.0,0.8,0.8,0.8,22.0
95,BHR04 Sunday,2024-03-24T13:34:25.000,39.19294178,-84.46223088,79.0,0.16666667,,,
96,BHR04 Sunday,2024-03-24T13:34:25.000,39.192941457,-84.462308155,,,0.16666667,,
97,BHR04 Sunday,2024-03-24T13:34:25.000,39.19294178,-84.46223088,,,,0.16666667,22.0
98,BHR04 Sunday,2024-03-24T13:34:30.000,39.192909865,-84.461861478,79.0,0.25,0.25,0.25,22.0
99,BHR04 Sunday,2024-03-24T13:34:35.000,39.192833461,-84.461530349,79.0,,,,
100,BHR04 Sunday,2024-03-24T13:34:35.000,39.192808871,-84.461476148,,0.0,,,
101,BHR04 Sunday,2024-03-24T13:34:35.000,39.192833461,-84.461530349,,,0.0,,
102,BHR04 Sunday,2024-03-24T13:34:35.000,39.192808871,-84.461476148,,,,0.0,
103,BHR04 Sunday,2024-03-24T13:34:35.000,39.192833461,-84.461530349,,,,,22.0
104,BHR04 Sunday,2024-03-24T13:34:40.000,39.192604482,-84.4613793,79.0,0.0,0.0,0.0,22.0
105,BHR04 Sunday,2024-03-24T13:34:45.000,39.192237996,-84.461601721,79.0,0.0,0.0,0.0,22.0
106,BHR04 Sunday,2024-03-24T13:34:50.000,39.191671221,-84.461939665,79.0,0.6,0.6,0.6,22.0
107,BHR04 Sunday,2024-03-24T13:34:55.000,39.190930463,-84.462428528,79.0,0.8333333,0.8333333,0.8333333,22.0
