,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,BHR04Saturday,2024-03-23T12:39:56.000,39.193249061,-84.463983207,66.0,19.0,23.0,21.0,34.0
2,BHR04Saturday,2024-03-23T12:39:57.000,39.193249061,-84.463983207,66.0,19.0,23.0,21.0,35.0
3,BHR04Saturday,2024-03-23T12:39:58.000,39.19324289,-84.463976266,66.0,21.0,27.0,23.0,35.0
4,BHR04Saturday,2024-03-23T12:40:00.000,39.193241808,-84.463974321,66.0,21.0,27.0,23.0,35.0
5,BHR04Saturday,2024-03-23T12:40:01.000,39.193229162,-84.463968795,66.0,,,,
6,BHR04Saturday,2024-03-23T12:40:01.000,39.193231116,-84.463966001,66.0,22.0,,,
7,BHR04Saturday,2024-03-23T12:40:01.000,39.193229162,-84.463968795,,22.0,,,
8,BHR04Saturday,2024-03-23T12:40:01.000,39.193231116,-84.463966001,,,29.0,,
9,BHR04Saturday,2024-03-23T12:40:01.000,39.193229162,-84.463968795,,,29.0,,
10,BHR04Saturday,2024-03-23T12:40:01.000,39.193231116,-84.463966001,,,,24.0,
11,BHR04Saturday,2024-03-23T12:40:01.000,39.193229162,-84.463968795,,,,24.0,35.0
12,BHR04Saturday,2024-03-23T12:40:01.000,39.193231116,-84.463966001,,,,,35.0
13,BHR04Saturday,2024-03-23T12:40:03.000,39.193225004,-84.463960328,66.0,23.0,30.0,25.0,35.0
14,BHR04Saturday,2024-03-23T12:40:04.000,39.193223655,-84.463955455,66.0,,,,
15,BHR04Saturday,2024-03-23T12:40:04.000,39.1932204,-84.463949707,66.0,22.0,,,
16,BHR04Saturday,2024-03-23T12:40:04.000,39.193223655,-84.463955455,,22.0,29.0,,
17,BHR04Saturday,2024-03-23T12:40:04.000,39.1932204,-84.463949707,,,29.0,,
18,BHR04Saturday,2024-03-23T12:40:04.000,39.193223655,-84.463955455,,,,24.0,
19,BHR04Saturday,2024-03-23T12:40:04.000,39.1932204,-84.463949707,,,,24.0,
20,BHR04Saturday,2024-03-23T12:40:04.000,39.193223655,-84.463955455,,,,,35.0
21,BHR04Saturday,2024-03-23T12:40:04.000,39.1932204,-84.463949707,,,,,35.0
22,BHR04Saturday,2024-03-23T12:40:06.000,39.193219596,-84.463934057,66.0,23.0,32.0,25.0,35.0
23,BHR04Saturday,2024-03-23T12:40:07.000,39.193219596,-84.463934057,66.0,23.0,32.0,25.0,35.0
24,BHR04Saturday,2024-03-23T12:40:09.000,39.193219596,-84.463934057,66.0,30.0,47.0,33.0,35.0
25,BHR04Saturday,2024-03-23T12:40:10.000,39.193212137,-84.463938229,66.0,,,,
26,BHR04Saturday,2024-03-23T12:40:10.000,39.193211766,-84.463926852,66.0,,,,
27,BHR04Saturday,2024-03-23T12:40:10.000,39.193212137,-84.463938229,,33.0,,,
28,BHR04Saturday,2024-03-23T12:40:10.000,39.193211766,-84.463926852,,33.0,54.0,,
29,BHR04Saturday,2024-03-23T12:40:10.000,39.193212137,-84.463938229,,,54.0,,
30,BHR04Saturday,2024-03-23T12:40:10.000,39.193211766,-84.463926852,,,,36.0,
31,BHR04Saturday,2024-03-23T12:40:10.000,39.193212137,-84.463938229,,,,36.0,
32,BHR04Saturday,2024-03-23T12:40:10.000,39.193211766,-84.463926852,,,,,35.0
33,BHR04Saturday,2024-03-23T12:40:10.000,39.193212137,-84.463938229,,,,,35.0
34,BHR04Saturday,2024-03-23T12:40:12.000,39.193215131,-84.463945277,66.0,30.0,47.0,33.0,35.0
35,BHR04Saturday,2024-03-23T12:40:13.000,39.193215131,-84.463945277,66.0,,,,
36,BHR04Saturday,2024-03-23T12:40:13.000,39.193217518,-84.46394774,66.0,30.0,,,
37,BHR04Saturday,2024-03-23T12:40:13.000,39.193215131,-84.463945277,,33.0,54.0,,
38,BHR04Saturday,2024-03-23T12:40:13.000,39.193217518,-84.46394774,,,47.0,,
39,BHR04Saturday,2024-03-23T12:40:13.000,39.193215131,-84.463945277,,,,36.0,
40,BHR04Saturday,2024-03-23T12:40:13.000,39.193217518,-84.46394774,,,,33.0,35.0
41,BHR04Saturday,2024-03-23T12:40:13.000,39.193215131,-84.463945277,,,,,35.0
42,BHR04Saturday,2024-03-23T12:40:15.000,39.193227376,-84.463958172,66.0,30.0,47.0,33.0,35.0
43,BHR04Saturday,2024-03-23T12:40:16.000,39.193230928,-84.463964116,66.0,,,,
44,BHR04Saturday,2024-03-23T12:40:16.000,39.193227376,-84.463958172,66.0,,,,
45,BHR04Saturday,2024-03-23T12:40:16.000,39.193230928,-84.463964116,,30.0,,,
46,BHR04Saturday,2024-03-23T12:40:16.000,39.193227376,-84.463958172,,30.0,47.0,,
47,BHR04Saturday,2024-03-23T12:40:16.000,39.193230928,-84.463964116,,,47.0,,
48,BHR04Saturday,2024-03-23T12:40:16.000,39.193227376,-84.463958172,,,,33.0,
49,BHR04Saturday,2024-03-23T12:40:16.000,39.193230928,-84.463964116,,,,33.0,35.0
50,BHR04Saturday,2024-03-23T12:40:16.000,39.193227376,-84.463958172,,,,,35.0
51,BHR04Saturday,2024-03-23T12:40:18.000,39.193230555,-84.463969045,66.0,28.0,42.0,30.0,35.0
52,BHR04Saturday,2024-03-23T12:40:19.000,39.19323189,-84.463968638,66.0,28.0,42.0,30.0,35.0
53,BHR04Saturday,2024-03-23T12:40:21.000,39.193233021,-84.463966384,66.0,28.0,42.0,30.0,35.0
54,BHR04Saturday,2024-03-23T12:40:22.000,39.193233848,-84.463967046,66.0,23.0,32.0,25.0,35.0
55,BHR04Saturday,2024-03-23T12:40:24.000,39.193227718,-84.463970332,66.0,23.0,32.0,25.0,35.0
56,BHR04Saturday,2024-03-23T12:40:25.000,39.193228119,-84.46396819,66.0,22.0,32.0,24.0,35.0
57,BHR04Saturday,2024-03-23T12:40:27.000,39.193230969,-84.463966376,66.0,22.0,29.0,24.0,35.0
58,BHR04Saturday,2024-03-23T12:40:28.000,39.193236523,-84.463968622,66.0,21.0,27.0,23.0,35.0
59,BHR04Saturday,2024-03-23T12:40:30.000,39.193240078,-84.463969681,66.0,22.0,29.0,24.0,35.0
60,BHR04Saturday,2024-03-23T12:40:31.000,39.19324108,-84.463967988,66.0,22.0,29.0,24.0,35.0
61,BHR04Saturday,2024-03-23T12:40:33.000,39.193242412,-84.463957678,66.0,22.0,29.0,24.0,35.0
62,BHR04Saturday,2024-03-23T12:40:34.000,39.193241085,-84.463955266,66.0,22.0,29.0,22.0,35.0
63,BHR04Saturday,2024-03-23T12:40:36.000,39.193240608,-84.463952464,66.0,20.0,25.0,22.0,35.0
64,BHR04Saturday,2024-03-23T12:40:37.000,39.193240726,-84.463953058,66.0,20.0,25.0,22.0,35.0
65,BHR04Saturday,2024-03-23T12:40:39.000,39.193243211,-84.463955813,66.0,19.0,22.0,21.0,35.0
66,BHR04Saturday,2024-03-23T12:40:40.000,39.193247375,-84.463953821,66.0,19.0,22.0,21.0,35.0
67,BHR04Saturday,2024-03-23T12:40:41.000,39.193247375,-84.463953821,66.0,20.0,25.0,22.0,35.0
68,BHR04Saturday,2024-03-23T12:40:42.000,39.193247587,-84.463954329,66.0,20.0,25.0,22.0,35.0
69,BHR04Saturday,2024-03-23T12:40:43.000,39.193248208,-84.463959576,66.0,19.0,22.0,21.0,35.0
70,BHR04Saturday,2024-03-23T12:40:44.000,39.193248208,-84.463959576,66.0,19.0,22.0,21.0,35.0
71,BHR04Saturday,2024-03-23T12:40:45.000,39.193249335,-84.463958574,66.0,18.0,21.0,20.0,34.0
72,BHR04Saturday,2024-03-23T12:40:46.000,39.193253161,-84.463962498,66.0,19.0,22.0,21.0,34.0
73,BHR04Saturday,2024-03-23T12:40:47.000,39.193253161,-84.463962498,66.0,20.0,25.0,22.0,34.0
74,BHR04Saturday,2024-03-23T12:40:48.000,39.193242971,-84.463958808,66.0,20.0,25.0,22.0,34.0
75,BHR04Saturday,2024-03-23T12:40:49.000,39.193241063,-84.46396153,66.0,21.0,27.0,23.0,34.0
76,BHR04Saturday,2024-03-23T12:40:50.000,39.193241063,-84.46396153,66.0,22.0,29.0,24.0,34.0
77,BHR04Saturday,2024-03-23T12:40:51.000,39.193239207,-84.46396571,66.0,23.0,32.0,25.0,35.0
78,BHR04Saturday,2024-03-23T12:40:52.000,39.193241022,-84.463963629,66.0,26.0,37.0,28.0,35.0
79,BHR04Saturday,2024-03-23T12:40:53.000,39.193241022,-84.463963629,66.0,28.0,42.0,30.0,35.0
80,BHR04Saturday,2024-03-23T12:40:54.000,39.193236282,-84.463960067,66.0,28.0,42.0,30.0,35.0
81,BHR04Saturday,2024-03-23T12:40:55.000,39.193233385,-84.463961983,66.0,28.0,42.0,30.0,35.0
82,BHR04Saturday,2024-03-23T12:40:56.000,39.193233385,-84.463961983,66.0,30.0,47.0,33.0,35.0
83,BHR04Saturday,2024-03-23T12:40:57.000,39.193234877,-84.463961136,66.0,28.0,42.0,30.0,35.0
84,BHR04Saturday,2024-03-23T12:40:58.000,39.193234819,-84.463962163,66.0,28.0,42.0,30.0,35.0
85,BHR04Saturday,2024-03-23T12:40:59.000,39.193234819,-84.463962163,66.0,27.0,39.0,29.0,35.0
86,BHR04Saturday,2024-03-23T12:41:00.000,39.193237054,-84.463966115,66.0,26.0,37.0,28.0,35.0
87,BHR04Saturday,2024-03-23T12:41:01.000,39.193233672,-84.463961558,66.0,26.0,37.0,28.0,35.0
88,BHR04Saturday,2024-03-23T12:41:02.000,39.193233672,-84.463961558,66.0,26.0,37.0,28.0,36.0
89,BHR04Saturday,2024-03-23T12:41:03.000,39.193234102,-84.463958489,66.0,26.0,37.0,28.0,36.0
90,BHR04Saturday,2024-03-23T12:41:04.000,39.193236119,-84.463955423,66.0,26.0,37.0,28.0,36.0
91,BHR04Saturday,2024-03-23T12:41:05.000,39.193236119,-84.463955423,66.0,26.0,37.0,28.0,36.0
92,BHR04Saturday,2024-03-23T12:41:06.000,39.193237845,-84.463953012,66.0,23.0,32.0,25.0,35.0
93,BHR04Saturday,2024-03-23T12:41:07.000,39.193239817,-84.463950635,67.0,22.0,29.0,24.0,35.0
94,BHR04Saturday,2024-03-23T12:41:08.000,39.193239817,-84.463950635,67.0,23.0,32.0,25.0,35.0
95,BHR04Saturday,2024-03-23T12:41:09.000,39.193242955,-84.463950222,67.0,21.0,27.0,23.0,35.0
96,BHR04Saturday,2024-03-23T12:41:10.000,39.193242955,-84.463950222,67.0,21.0,27.0,23.0,35.0
97,BHR04Saturday,2024-03-23T12:41:11.000,39.193242955,-84.463950222,67.0,20.0,25.0,22.0,35.0
98,BHR04Saturday,2024-03-23T12:41:12.000,39.193242955,-84.463950222,67.0,20.0,25.0,22.0,35.0
99,BHR04Saturday,2024-03-23T12:41:13.000,39.193247616,-84.463952643,67.0,19.0,22.0,21.0,35.0
100,BHR04Saturday,2024-03-23T12:41:14.000,39.193247616,-84.463952643,67.0,19.0,22.0,21.0,35.0
101,BHR04Saturday,2024-03-23T12:41:15.000,39.193246963,-84.463949139,67.0,18.0,21.0,20.0,35.0
102,BHR04Saturday,2024-03-23T12:41:16.000,39.19324865,-84.46395153,67.0,19.0,22.0,21.0,34.0
103,BHR04Saturday,2024-03-23T12:41:17.000,39.19324865,-84.46395153,67.0,19.0,22.0,21.0,34.0
104,BHR04Saturday,2024-03-23T12:41:18.000,39.193252214,-84.463951145,67.0,19.0,22.0,21.0,34.0
105,BHR04Saturday,2024-03-23T12:41:19.000,39.193248495,-84.463955647,67.0,19.0,22.0,21.0,34.0
106,BHR04Saturday,2024-03-23T12:41:20.000,39.193248495,-84.463955647,67.0,19.0,22.0,21.0,34.0
107,BHR04Saturday,2024-03-23T12:41:21.000,39.193245923,-84.463962343,67.0,19.0,22.0,21.0,34.0
108,BHR04Saturday,2024-03-23T12:41:22.000,39.193246338,-84.463964538,67.0,19.0,22.0,21.0,34.0
109,BHR04Saturday,2024-03-23T12:41:23.000,39.193246338,-84.463964538,67.0,19.0,22.0,21.0,34.0
110,BHR04Saturday,2024-03-23T12:41:24.000,39.193245623,-84.463972184,67.0,19.0,22.0,21.0,34.0
111,BHR04Saturday,2024-03-23T12:41:25.000,39.193246421,-84.463970064,67.0,20.0,25.0,22.0,34.0
112,BHR04Saturday,2024-03-23T12:41:26.000,39.193246421,-84.463970064,67.0,21.0,27.0,23.0,34.0
