,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bhr05 Friday,2024-03-22T14:46:03.000,39.201476382,-84.457647591,91.0,0.6,0.6,0.6,18.266666
2,Bhr05 Friday,2024-03-22T14:47:03.000,39.201476382,-84.457647591,91.0,0.46944445,0.46944445,0.46944445,18.8
3,Bhr05 Friday,2024-03-22T14:48:03.000,39.201476382,-84.457647591,91.0,0.29027778,0.29027778,0.29027778,18.0
4,Bhr05 Friday,2024-03-22T14:49:03.000,39.201476382,-84.457647591,91.13333,0.56666666,0.56666666,0.56666666,18.633333
5,Bhr05 Friday,2024-03-22T14:50:03.000,39.201476382,-84.457647591,91.73333,1.0,1.0,1.0,18.95
6,Bhr05 Friday,2024-03-22T14:51:03.000,39.201476382,-84.457647591,92.0,0.68333334,0.68333334,0.68333334,18.15
7,Bhr05 Friday,2024-03-22T14:52:03.000,39.201476382,-84.457647591,92.0,0.5,0.5,0.5,18.0
8,Bhr05 Friday,2024-03-22T14:53:03.000,39.201476382,-84.457647591,92.0,0.51666665,0.51666665,0.51666665,18.0
9,Bhr05 Friday,2024-03-22T14:54:03.000,39.201476382,-84.457647591,92.0,0.46666667,0.46666667,0.46666667,18.0
10,Bhr05 Friday,2024-03-22T14:55:03.000,39.201476382,-84.457647591,92.0,1.15,1.15,1.15,18.0
11,Bhr05 Friday,2024-03-22T14:56:03.000,39.201476382,-84.457647591,92.0,0.29027778,0.29027778,0.29027778,18.0
12,Bhr05 Friday,2024-03-22T14:57:03.000,39.201476382,-84.457647591,92.0,0.26666668,0.26666668,0.26666668,18.0
13,Bhr05 Friday,2024-03-22T14:58:03.000,39.201476382,-84.457647591,92.0,0.33333334,0.33333334,0.33333334,18.0
14,Bhr05 Friday,2024-03-22T14:59:03.000,39.201476382,-84.457647591,92.0,0.6666667,0.6666667,0.6666667,18.0
15,Bhr05 Friday,2024-03-22T15:00:03.000,39.201476382,-84.457647591,92.0,0.48333332,0.48333332,0.48333332,18.0
16,Bhr05 Friday,2024-03-22T15:01:03.000,39.201476382,-84.457647591,92.0,0.20694445,0.20694445,0.20694445,18.0
17,Bhr05 Friday,2024-03-22T15:02:03.000,39.201476382,-84.457647591,92.0,0.3125,0.3125,0.3125,18.0
18,Bhr05 Friday,2024-03-22T15:03:03.000,39.201476382,-84.457647591,92.01667,0.5,0.5,0.5,18.0
19,Bhr05 Friday,2024-03-22T15:04:03.000,39.201476382,-84.457647591,92.55,0.33333334,0.33333334,0.33333334,18.0
20,Bhr05 Friday,2024-03-22T15:05:03.000,39.201476382,-84.457647591,92.9,0.083333336,0.083333336,0.083333336,18.0
21,Bhr05 Friday,2024-03-22T15:06:03.000,39.201476382,-84.457647591,93.0,0.33333334,0.33333334,0.33333334,18.316668
22,Bhr05 Friday,2024-03-22T15:07:03.000,39.201476382,-84.457647591,93.0,0.4,0.4,0.4,19.0
23,Bhr05 Friday,2024-03-22T15:08:03.000,39.201476382,-84.457647591,93.0,0.2,0.2,0.2,18.533333
24,Bhr05 Friday,2024-03-22T15:09:03.000,39.201476382,-84.457647591,93.0,0.23194444,0.23194444,0.23194444,18.0
25,Bhr05 Friday,2024-03-22T15:10:03.000,39.201476382,-84.457647591,93.0,0.28055555,0.28055555,0.28055555,18.0
26,Bhr05 Friday,2024-03-22T15:11:03.000,39.201476382,-84.457647591,93.0,0.17222223,0.17222223,0.17222223,18.0
27,Bhr05 Friday,2024-03-22T15:12:03.000,39.201476382,-84.457647591,93.0,0.7,0.7,0.7,18.0
28,Bhr05 Friday,2024-03-22T15:13:03.000,39.201476382,-84.457647591,93.0,0.8,0.8,0.8,18.0
29,Bhr05 Friday,2024-03-22T15:14:03.000,39.201476382,-84.457647591,93.0,1.0166667,1.0166667,1.0166667,18.0
30,Bhr05 Friday,2024-03-22T15:15:03.000,39.201476382,-84.457647591,93.0,0.78333336,0.78333336,0.78333336,18.0
31,Bhr05 Friday,2024-03-22T15:16:03.000,39.201476382,-84.457647591,93.0,0.55,0.55,0.55,18.0
32,Bhr05 Friday,2024-03-22T15:17:03.000,39.201476382,-84.457647591,93.0,0.275,0.275,0.275,18.0
33,Bhr05 Friday,2024-03-22T15:18:03.000,39.201476382,-84.457647591,93.0,0.3472222,0.3472222,0.3472222,18.0
34,Bhr05 Friday,2024-03-22T15:19:03.000,39.201476382,-84.457647591,93.0,0.35,0.35,0.35,18.0
35,Bhr05 Friday,2024-03-22T15:20:03.000,39.201476382,-84.457647591,93.0,0.43333334,0.43333334,0.43333334,18.0
36,Bhr05 Friday,2024-03-22T15:21:03.000,39.201476382,-84.457647591,93.0,0.56666666,0.56666666,0.56666666,17.7
37,Bhr05 Friday,2024-03-22T15:22:03.000,39.201476382,-84.457647591,93.0,0.65,0.65,0.65,17.0
38,Bhr05 Friday,2024-03-22T15:23:03.000,39.201476382,-84.457647591,93.0,0.68333334,0.68333334,0.68333334,17.133333
39,Bhr05 Friday,2024-03-22T15:24:03.000,39.201476382,-84.457647591,93.0,0.7125,0.7125,0.7125,17.645834
40,Bhr05 Friday,2024-03-22T15:25:03.000,39.201476382,-84.457647591,93.0,0.6666667,0.6666667,0.6666667,17.116667
41,Bhr05 Friday,2024-03-22T15:26:03.000,39.201476382,-84.457647591,93.0,0.68333334,0.68333334,0.68333334,17.333334
42,Bhr05 Friday,2024-03-22T15:27:03.000,39.201476382,-84.457647591,93.0,0.5277778,0.5277778,0.5277778,17.102777
43,Bhr05 Friday,2024-03-22T15:28:03.000,39.201492688,-84.457706778,93.0,0.39444444,0.39444444,0.39444444,17.5375
44,Bhr05 Friday,2024-03-22T15:29:03.000,39.201479973,-84.457706528,93.0,0.32083333,0.32083333,0.32083333,17.691668
45,Bhr05 Friday,2024-03-22T15:30:03.000,39.201479973,-84.457706528,93.0,1.1333333,1.1333333,1.1333333,17.516666
46,Bhr05 Friday,2024-03-22T15:31:03.000,39.201471397,-84.457657448,93.0,0.55,0.55,0.55,17.0
47,Bhr05 Friday,2024-03-22T15:32:03.000,39.201471397,-84.457657448,93.0,0.85,0.85,0.85,17.0
48,Bhr05 Friday,2024-03-22T15:33:03.000,39.201471397,-84.457657448,93.0,0.6333333,0.6333333,0.6333333,17.0
49,Bhr05 Friday,2024-03-22T15:34:03.000,39.201471397,-84.457657448,93.0,0.45,0.45,0.45,17.0
50,Bhr05 Friday,2024-03-22T15:35:03.000,39.201471397,-84.457657448,93.0,1.0291667,1.0291667,1.0291667,17.0
51,Bhr05 Friday,2024-03-22T15:36:03.000,39.201471397,-84.457657448,93.0,0.975,0.975,0.975,17.208334
52,Bhr05 Friday,2024-03-22T15:37:03.000,39.201459955,-84.457679607,93.0,0.43333334,0.43333334,0.43333334,17.116667
53,Bhr05 Friday,2024-03-22T15:38:03.000,39.201459955,-84.457679607,93.0,0.82222223,0.82222223,0.82222223,17.616667
54,Bhr05 Friday,2024-03-22T15:39:03.000,39.201459955,-84.457679607,93.0,0.8,0.8,0.8,17.0
55,Bhr05 Friday,2024-03-22T15:40:03.000,39.201459955,-84.457679607,93.0,0.25277779,0.25277779,0.25277779,17.0
56,Bhr05 Friday,2024-03-22T15:41:03.000,39.201459955,-84.457679607,93.0,0.76666665,0.76666665,0.76666665,17.0
57,Bhr05 Friday,2024-03-22T15:42:03.000,39.201459955,-84.457679607,93.0,0.51666665,0.51666665,0.51666665,17.066668
58,Bhr05 Friday,2024-03-22T15:43:03.000,39.201459955,-84.457679607,93.0,0.50416666,0.50416666,0.50416666,17.55
59,Bhr05 Friday,2024-03-22T15:44:03.000,39.201459955,-84.457679607,93.0,0.7375,0.7375,0.7375,17.2375
60,Bhr05 Friday,2024-03-22T15:45:03.000,39.201459955,-84.457679607,93.0,0.6402778,0.6402778,0.6402778,17.833334
61,Bhr05 Friday,2024-03-22T15:46:03.000,39.201459955,-84.457679607,93.0,0.7,0.7,0.7,18.0
62,Bhr05 Friday,2024-03-22T15:47:03.000,39.201459955,-84.457679607,93.0,0.8333333,0.8333333,0.8333333,18.0
63,Bhr05 Friday,2024-03-22T15:48:03.000,39.201459955,-84.457679607,93.0,1.0166667,1.0166667,1.0166667,18.0
64,Bhr05 Friday,2024-03-22T15:49:03.000,39.201459955,-84.457679607,93.0,0.6486111,0.6486111,0.6486111,18.0
65,Bhr05 Friday,2024-03-22T15:50:03.000,39.201439982,-84.457701064,93.0,0.82361114,0.82361114,0.82361114,18.0
66,Bhr05 Friday,2024-03-22T15:51:03.000,39.201439982,-84.457701064,92.34028,0.79583335,0.79583335,0.79583335,18.0
