,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bhr05 Monday,2024-03-18T17:20:12.000,39.168870783,-84.497355573,71.666664,0.0,0.0,0.0,27.333334
2,Bhr05 Monday,2024-03-18T17:20:17.000,39.168870783,-84.497355573,72.0,0.0,0.0,0.0,27.0
3,Bhr05 Monday,2024-03-18T17:20:22.000,39.168870783,-84.497355573,72.0,0.0,0.0,0.0,27.0
4,Bhr05 Monday,2024-03-18T17:20:27.000,39.168870783,-84.497355573,72.0,0.0,0.0,0.0,27.0
5,Bhr05 Monday,2024-03-18T17:20:32.000,39.168870783,-84.497355573,72.0,0.0,0.0,0.0,27.0
6,Bhr05 Monday,2024-03-18T17:20:37.000,39.168870783,-84.497355573,72.0,0.0,0.0,0.0,27.0
7,Bhr05 Monday,2024-03-18T17:20:42.000,39.168884053,-84.497365066,72.0,0.0,0.0,0.0,26.0
8,Bhr05 Monday,2024-03-18T17:20:47.000,39.168904731,-84.497350525,72.4,0.0,0.0,0.0,26.0
9,Bhr05 Monday,2024-03-18T17:20:52.000,39.168918207,-84.497334116,73.0,0.0,0.0,0.0,26.0
10,Bhr05 Monday,2024-03-18T17:20:57.000,39.168907517,-84.497343919,73.0,0.0,0.0,0.0,26.0
11,Bhr05 Monday,2024-03-18T17:21:02.000,39.168901228,-84.497331492,73.0,0.0,0.0,0.0,26.0
12,Bhr05 Monday,2024-03-18T17:21:07.000,39.168910761,-84.497344069,73.0,0.0,0.0,0.0,26.0
13,Bhr05 Monday,2024-03-18T17:21:12.000,39.168923128,-84.497354061,73.0,0.0,0.0,0.0,26.0
14,Bhr05 Monday,2024-03-18T17:21:17.000,39.168923128,-84.497354061,73.0,0.0,0.0,0.0,26.0
15,Bhr05 Monday,2024-03-18T17:21:22.000,39.168946945,-84.497333986,73.0,0.0,0.0,0.0,26.0
16,Bhr05 Monday,2024-03-18T17:21:27.000,39.168962702,-84.497327941,73.0,0.0,0.0,0.0,26.0
17,Bhr05 Monday,2024-03-18T17:21:32.000,39.168931835,-84.497321514,73.0,0.0,0.0,0.0,26.0
18,Bhr05 Monday,2024-03-18T17:21:37.000,39.168919345,-84.497299308,73.0,0.0,0.0,0.0,26.0
19,Bhr05 Monday,2024-03-18T17:21:42.000,39.168927638,-84.497312241,73.0,0.0,0.0,0.0,26.0
20,Bhr05 Monday,2024-03-18T17:21:47.000,39.168941013,-84.4973063,73.4,0.0,0.0,0.0,26.0
21,Bhr05 Monday,2024-03-18T17:21:52.000,39.168941013,-84.4973063,74.0,0.0,0.0,0.0,26.0
22,Bhr05 Monday,2024-03-18T17:21:57.000,39.168941637,-84.497298794,74.0,0.0,0.0,0.0,26.0
23,Bhr05 Monday,2024-03-18T17:22:02.000,39.168901347,-84.497340008,74.0,0.0,0.0,0.0,26.0
24,Bhr05 Monday,2024-03-18T17:22:07.000,39.168883364,-84.497346469,74.0,0.0,0.0,0.0,26.0
25,Bhr05 Monday,2024-03-18T17:22:12.000,39.168879146,-84.497308504,74.0,0.0,0.0,0.0,26.0
26,Bhr05 Monday,2024-03-18T17:22:17.000,39.168889184,-84.497311906,74.0,0.0,0.0,0.0,26.0
27,Bhr05 Monday,2024-03-18T17:22:22.000,39.168899557,-84.497318555,74.0,0.0,0.0,0.0,26.0
28,Bhr05 Monday,2024-03-18T17:22:27.000,39.168893394,-84.497308472,74.0,0.0,0.0,0.0,26.0
29,Bhr05 Monday,2024-03-18T17:22:32.000,39.168893469,-84.497312582,74.0,0.0,0.0,0.0,26.0
30,Bhr05 Monday,2024-03-18T17:22:37.000,39.168908262,-84.497299674,74.0,0.0,0.0,0.0,26.0
31,Bhr05 Monday,2024-03-18T17:22:42.000,39.168909209,-84.497320425,74.0,0.0,0.0,0.0,26.0
32,Bhr05 Monday,2024-03-18T17:22:47.000,39.168909428,-84.497299281,74.2,0.0,0.0,0.0,26.0
33,Bhr05 Monday,2024-03-18T17:22:52.000,39.168899633,-84.49730045,75.0,0.0,0.0,0.0,26.0
34,Bhr05 Monday,2024-03-18T17:22:57.000,39.168903069,-84.497290864,75.0,0.0,0.0,0.0,26.0
35,Bhr05 Monday,2024-03-18T17:23:02.000,39.168892988,-84.49730662,75.0,0.0,0.0,0.0,26.0
36,Bhr05 Monday,2024-03-18T17:23:07.000,39.168905734,-84.497306485,75.0,,,,
37,Bhr05 Monday,2024-03-18T17:23:07.000,39.168911487,-84.497309921,,0.0,,,
38,Bhr05 Monday,2024-03-18T17:23:07.000,39.168905734,-84.497306485,,,0.0,0.0,26.0
39,Bhr05 Monday,2024-03-18T17:23:12.000,39.168911223,-84.497313794,75.0,0.0,0.0,0.0,26.0
40,Bhr05 Monday,2024-03-18T17:23:17.000,39.168917511,-84.497295763,75.0,0.0,0.0,0.0,26.0
41,Bhr05 Monday,2024-03-18T17:23:22.000,39.168900927,-84.497296435,75.0,0.0,0.0,0.0,26.0
42,Bhr05 Monday,2024-03-18T17:23:27.000,39.168895169,-84.497294516,75.0,0.0,0.0,0.0,26.0
43,Bhr05 Monday,2024-03-18T17:23:32.000,39.168895169,-84.497294516,75.0,0.0,0.0,0.0,26.0
44,Bhr05 Monday,2024-03-18T17:23:37.000,39.168895169,-84.497294516,75.0,0.0,0.0,0.0,26.0
45,Bhr05 Monday,2024-03-18T17:23:42.000,39.168895169,-84.497294516,75.0,0.0,0.0,0.0,26.0
46,Bhr05 Monday,2024-03-18T17:23:47.000,39.168895169,-84.497294516,75.0,0.0,0.0,0.0,26.0
47,Bhr05 Monday,2024-03-18T17:23:52.000,39.168895169,-84.497294516,75.2,0.0,0.0,0.0,26.0
48,Bhr05 Monday,2024-03-18T17:23:57.000,39.168895169,-84.497294516,76.0,0.0,0.0,0.0,26.0
49,Bhr05 Monday,2024-03-18T17:24:02.000,39.168895169,-84.497294516,76.0,0.0,0.0,0.0,26.0
50,Bhr05 Monday,2024-03-18T17:24:07.000,39.168895169,-84.497294516,76.0,0.0,0.0,0.0,26.0
51,Bhr05 Monday,2024-03-18T17:24:12.000,39.168895169,-84.497294516,76.0,0.0,0.0,0.0,26.0
52,Bhr05 Monday,2024-03-18T17:24:17.000,39.168895169,-84.497294516,76.0,0.0,0.0,0.0,26.0
53,Bhr05 Monday,2024-03-18T17:24:22.000,39.168895169,-84.497294516,76.0,0.0,0.0,0.0,26.0
54,Bhr05 Monday,2024-03-18T17:24:27.000,39.168895169,-84.497294516,76.0,0.0,0.0,0.0,26.0
55,Bhr05 Monday,2024-03-18T17:24:32.000,39.168895169,-84.497294516,76.0,0.0,0.0,0.0,26.0
56,Bhr05 Monday,2024-03-18T17:24:37.000,39.168895169,-84.497294516,76.0,0.0,0.0,0.0,25.8
57,Bhr05 Monday,2024-03-18T17:24:42.000,39.168895169,-84.497294516,76.0,0.0,0.0,0.0,25.0
58,Bhr05 Monday,2024-03-18T17:24:47.000,39.168895169,-84.497294516,76.0,0.0,0.0,0.0,25.0
59,Bhr05 Monday,2024-03-18T17:24:52.000,39.168895169,-84.497294516,76.0,0.0,0.0,0.0,24.0
60,Bhr05 Monday,2024-03-18T17:24:57.000,39.168895169,-84.497294516,76.0,0.0,0.0,0.0,24.0
61,Bhr05 Monday,2024-03-18T17:25:02.000,39.168895169,-84.497294516,76.2,0.0,0.0,0.0,23.4
62,Bhr05 Monday,2024-03-18T17:25:07.000,39.168895169,-84.497294516,77.0,0.0,0.0,0.0,23.0
63,Bhr05 Monday,2024-03-18T17:25:12.000,39.168895169,-84.497294516,77.0,0.0,0.0,0.0,23.0
64,Bhr05 Monday,2024-03-18T17:25:17.000,39.168895169,-84.497294516,77.0,0.0,0.0,0.0,22.8
65,Bhr05 Monday,2024-03-18T17:25:22.000,39.168895169,-84.497294516,77.0,0.0,0.0,0.0,22.0
66,Bhr05 Monday,2024-03-18T17:25:27.000,39.168895169,-84.497294516,77.0,0.0,0.0,0.0,22.0
67,Bhr05 Monday,2024-03-18T17:25:32.000,39.168895169,-84.497294516,77.0,0.0,0.0,0.0,22.0
68,Bhr05 Monday,2024-03-18T17:25:37.000,39.168895169,-84.497294516,77.0,0.0,0.0,0.0,22.0
69,Bhr05 Monday,2024-03-18T17:25:42.000,39.168895169,-84.497294516,77.0,0.0,0.0,0.0,22.0
70,Bhr05 Monday,2024-03-18T17:25:47.000,39.168895169,-84.497294516,77.0,0.0,0.0,0.0,22.0
71,Bhr05 Monday,2024-03-18T17:25:52.000,39.168895169,-84.497294516,77.0,0.0,0.0,0.0,22.0
72,Bhr05 Monday,2024-03-18T17:25:57.000,39.168895169,-84.497294516,77.0,0.0,0.0,0.0,22.0
