,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bhr05 Sunday,2024-03-23T03:35:11.000,39.201465806,-84.457681136,94.0,1.0,,1.0,13.0
2,Bhr05 Sunday,2024-03-24T09:20:58.000,39.201557796,-84.457691525,94.0,0.43333334,0.43333334,0.43333334,13.0
3,Bhr05 Sunday,2024-03-24T09:21:58.000,39.201557796,-84.457691525,94.0,0.53333336,0.55,0.53333336,13.0
4,Bhr05 Sunday,2024-03-24T09:22:58.000,39.201557796,-84.457691525,94.0,0.083333336,0.0875,0.083333336,13.0
5,Bhr05 Sunday,2024-03-24T09:23:58.000,39.201557796,-84.457691525,93.76667,0.5777778,0.58055556,0.5777778,13.0
6,Bhr05 Sunday,2024-03-24T09:24:58.000,39.201557796,-84.457691525,93.0,0.68333334,0.6666667,0.68333334,13.0
7,Bhr05 Sunday,2024-03-24T09:25:58.000,39.201557796,-84.457691525,93.0,0.81527776,0.8333333,0.81527776,13.683333
8,Bhr05 Sunday,2024-03-24T09:26:58.000,39.201557796,-84.457691525,93.0,0.5208333,0.50416666,0.5208333,13.704166
9,Bhr05 Sunday,2024-03-24T09:27:58.000,39.201433259,-84.45770712,93.0,0.41666666,0.43333334,0.41666666,14.0
10,Bhr05 Sunday,2024-03-24T09:28:58.000,39.201433259,-84.45770712,93.0,0.6944444,0.68194443,0.6944444,14.0
11,Bhr05 Sunday,2024-03-24T09:29:58.000,39.201433259,-84.45770712,93.0,0.73333335,0.73333335,0.73333335,14.0
12,Bhr05 Sunday,2024-03-24T09:30:58.000,39.201433259,-84.45770712,93.0,0.9166667,0.9166667,0.9166667,14.0
13,Bhr05 Sunday,2024-03-24T09:31:58.000,39.201433259,-84.45770712,93.0,0.6666667,0.67083335,0.6666667,14.0
14,Bhr05 Sunday,2024-03-24T09:32:58.000,39.201433259,-84.45770712,93.0,1.2,1.2,1.2,14.0
15,Bhr05 Sunday,2024-03-24T09:33:58.000,39.201546443,-84.457735624,93.0,0.74444443,0.74583334,0.74444443,14.0
16,Bhr05 Sunday,2024-03-24T09:34:58.000,39.201546443,-84.457735624,93.0,0.68333334,0.7,0.68333334,14.0
17,Bhr05 Sunday,2024-03-24T09:35:58.000,39.201546443,-84.457735624,93.0,0.625,0.62916666,0.625,14.0
18,Bhr05 Sunday,2024-03-24T09:36:58.000,39.201546443,-84.457735624,93.0,0.76666665,0.76666665,0.76666665,14.0
19,Bhr05 Sunday,2024-03-24T09:37:58.000,39.201546443,-84.457735624,93.0,0.5833333,0.5833333,0.5833333,14.0
20,Bhr05 Sunday,2024-03-24T09:38:58.000,39.201546443,-84.457735624,93.0,0.5375,0.5138889,0.5375,14.0
21,Bhr05 Sunday,2024-03-24T09:39:58.000,39.201546443,-84.457735624,93.0,0.69166666,0.7125,0.69166666,14.0
22,Bhr05 Sunday,2024-03-24T09:40:58.000,39.201546443,-84.457735624,93.0,0.8,0.78333336,0.8,14.0
23,Bhr05 Sunday,2024-03-24T09:41:58.000,39.201546443,-84.457735624,93.0,0.53333336,0.53333336,0.53333336,14.0
24,Bhr05 Sunday,2024-03-24T09:42:58.000,39.201546443,-84.457735624,93.0,0.98333335,0.96666664,0.98333335,14.0
25,Bhr05 Sunday,2024-03-24T09:43:58.000,39.201546443,-84.457735624,93.0,0.68194443,0.7097222,0.68194443,14.0
26,Bhr05 Sunday,2024-03-24T09:44:58.000,39.201546443,-84.457735624,93.0,0.80833334,0.80833334,0.80833334,14.0
27,Bhr05 Sunday,2024-03-24T09:45:58.000,39.201546443,-84.457735624,93.0,0.96666664,0.96666664,0.96666664,14.0
28,Bhr05 Sunday,2024-03-24T09:46:58.000,39.201546443,-84.457735624,93.0,0.8833333,0.8833333,0.8833333,14.0
29,Bhr05 Sunday,2024-03-24T09:47:58.000,39.201546443,-84.457735624,93.0,0.8472222,0.8472222,0.8472222,14.0
30,Bhr05 Sunday,2024-03-24T09:48:58.000,39.201546443,-84.457735624,93.0,0.73333335,0.73333335,0.73333335,14.0
31,Bhr05 Sunday,2024-03-24T09:49:58.000,39.201546443,-84.457735624,93.0,0.5125,0.5125,0.5125,14.0
32,Bhr05 Sunday,2024-03-24T09:50:58.000,39.201546443,-84.457735624,93.0,0.90833336,0.90833336,0.90833336,14.0
33,Bhr05 Sunday,2024-03-24T09:51:58.000,39.201546443,-84.457735624,93.0,0.65,0.65,0.65,14.0
34,Bhr05 Sunday,2024-03-24T09:52:58.000,39.201546443,-84.457735624,93.0,0.8111111,0.8111111,0.8111111,14.0
35,Bhr05 Sunday,2024-03-24T09:53:58.000,39.201546443,-84.457735624,93.0,0.81666666,0.81666666,0.81666666,14.0
36,Bhr05 Sunday,2024-03-24T09:54:58.000,39.201546443,-84.457735624,93.0,0.29583332,0.29583332,0.29583332,14.0
37,Bhr05 Sunday,2024-03-24T09:55:58.000,39.201519588,-84.457670391,93.0,0.65,0.65,0.65,14.0
38,Bhr05 Sunday,2024-03-24T09:56:58.000,39.201519588,-84.457670391,93.0,0.71666664,0.71666664,0.71666664,14.45
39,Bhr05 Sunday,2024-03-24T09:57:58.000,39.201519588,-84.457670391,93.0,0.50277776,0.50277776,0.50277776,15.0
40,Bhr05 Sunday,2024-03-24T09:58:58.000,39.201519588,-84.457670391,93.0,0.26666668,0.26666668,0.26666668,15.0
41,Bhr05 Sunday,2024-03-24T09:59:58.000,39.201519588,-84.457670391,93.0,0.5833333,0.5833333,0.5833333,15.0
42,Bhr05 Sunday,2024-03-24T10:00:58.000,39.201507399,-84.45770309,93.0,1.1791667,1.2916666,1.1958333,15.0
43,Bhr05 Sunday,2024-03-24T10:01:58.000,39.201507399,-84.45770309,93.0,3.7666667,4.75,4.35,15.0
44,Bhr05 Sunday,2024-03-24T10:02:58.000,39.201507399,-84.45770309,93.0,3.2333333,3.8,3.65,15.0
45,Bhr05 Sunday,2024-03-24T10:03:58.000,39.201497417,-84.457716363,92.88333,8.766666,9.883333,9.6,15.0
46,Bhr05 Sunday,2024-03-24T10:04:58.000,39.201497417,-84.457716363,92.47083,15.366667,19.5,16.633333,15.0
47,Bhr05 Sunday,2024-03-24T10:05:58.000,39.201497417,-84.457716363,92.55,40.744446,73.620834,46.22222,15.0
48,Bhr05 Sunday,2024-03-24T10:06:58.000,39.201497417,-84.457716363,92.9,45.15,84.96667,51.883335,15.0
49,Bhr05 Sunday,2024-03-24T10:07:58.000,39.201497417,-84.457716363,93.0,20.806944,26.79861,22.681944,15.0
50,Bhr05 Sunday,2024-03-24T10:08:58.000,39.201497417,-84.457716363,93.0,20.4625,26.529167,22.179167,15.0
51,Bhr05 Sunday,2024-03-24T10:09:58.000,39.201497417,-84.457716363,93.0,30.4,48.2,33.316666,15.0
52,Bhr05 Sunday,2024-03-24T10:10:58.000,39.201497417,-84.457716363,93.0,29.943056,46.96389,32.681946,15.0
53,Bhr05 Sunday,2024-03-24T10:11:58.000,39.201497417,-84.457716363,93.0,30.933332,49.35,33.883335,15.0
54,Bhr05 Sunday,2024-03-24T10:12:58.000,39.201497417,-84.457716363,93.0,31.8625,51.645832,35.118057,15.0
55,Bhr05 Sunday,2024-03-24T10:13:58.000,39.201497417,-84.457716363,93.0,29.85,46.666668,32.633335,15.0
56,Bhr05 Sunday,2024-03-24T10:14:58.000,39.201497417,-84.457716363,93.0,27.155556,40.336113,29.38889,15.0
57,Bhr05 Sunday,2024-03-24T10:15:58.000,39.201497417,-84.457716363,93.0,23.633333,32.766666,25.633333,15.0
58,Bhr05 Sunday,2024-03-24T10:16:58.000,39.201485097,-84.457678648,93.0,23.35,32.133335,25.35,15.0
59,Bhr05 Sunday,2024-03-24T10:17:58.000,39.201485097,-84.457678648,93.0,22.216667,29.9,24.216667,14.45
60,Bhr05 Sunday,2024-03-24T10:18:58.000,39.201485097,-84.457678648,93.0,29.836111,47.57639,33.081944,14.7277775
61,Bhr05 Sunday,2024-03-24T10:19:58.000,39.201485097,-84.457678648,93.0,23.116667,31.716667,25.116667,14.0
62,Bhr05 Sunday,2024-03-24T10:20:58.000,39.201485097,-84.457678648,93.0,21.316668,27.65,23.3,14.0
63,Bhr05 Sunday,2024-03-24T10:21:58.000,39.201485097,-84.457678648,93.0,25.595833,37.604168,28.020834,14.0
64,Bhr05 Sunday,2024-03-24T10:22:58.000,39.201485097,-84.457678648,93.0,22.227777,29.780556,24.191668,14.0
65,Bhr05 Sunday,2024-03-24T10:23:58.000,39.201485097,-84.457678648,93.0,61.616665,127.25,73.083336,14.2
66,Bhr05 Sunday,2024-03-24T10:24:58.000,39.201485097,-84.457678648,93.0,71.59028,151.14305,85.125,14.733334
