,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bhr05 Thursday,2024-03-21T16:02:47.000,39.201494422,-84.457679728,93.0,0.0,0.0,0.0,15.0
2,Bhr05 Thursday,2024-03-21T16:02:52.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
3,Bhr05 Thursday,2024-03-21T16:02:57.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
4,Bhr05 Thursday,2024-03-21T16:03:02.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
5,Bhr05 Thursday,2024-03-21T16:03:07.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
6,Bhr05 Thursday,2024-03-21T16:03:12.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.6
7,Bhr05 Thursday,2024-03-21T16:03:17.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
8,Bhr05 Thursday,2024-03-21T16:03:22.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
9,Bhr05 Thursday,2024-03-21T16:03:27.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
10,Bhr05 Thursday,2024-03-21T16:03:32.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
11,Bhr05 Thursday,2024-03-21T16:03:37.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
12,Bhr05 Thursday,2024-03-21T16:03:42.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
13,Bhr05 Thursday,2024-03-21T16:03:47.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
14,Bhr05 Thursday,2024-03-21T16:03:52.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
15,Bhr05 Thursday,2024-03-21T16:03:57.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
16,Bhr05 Thursday,2024-03-21T16:04:02.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
17,Bhr05 Thursday,2024-03-21T16:04:07.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
18,Bhr05 Thursday,2024-03-21T16:04:12.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
19,Bhr05 Thursday,2024-03-21T16:04:17.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
20,Bhr05 Thursday,2024-03-21T16:04:22.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
21,Bhr05 Thursday,2024-03-21T16:04:27.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
22,Bhr05 Thursday,2024-03-21T16:04:32.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
23,Bhr05 Thursday,2024-03-21T16:04:37.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
24,Bhr05 Thursday,2024-03-21T16:04:42.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
25,Bhr05 Thursday,2024-03-21T16:04:47.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
26,Bhr05 Thursday,2024-03-21T16:04:52.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
27,Bhr05 Thursday,2024-03-21T16:04:57.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
28,Bhr05 Thursday,2024-03-21T16:05:02.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
29,Bhr05 Thursday,2024-03-21T16:05:07.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
30,Bhr05 Thursday,2024-03-21T16:05:12.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
31,Bhr05 Thursday,2024-03-21T16:05:17.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
32,Bhr05 Thursday,2024-03-21T16:05:22.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
33,Bhr05 Thursday,2024-03-21T16:05:27.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
34,Bhr05 Thursday,2024-03-21T16:05:32.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
35,Bhr05 Thursday,2024-03-21T16:05:37.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
36,Bhr05 Thursday,2024-03-21T16:05:42.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
37,Bhr05 Thursday,2024-03-21T16:05:47.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
38,Bhr05 Thursday,2024-03-21T16:05:52.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
39,Bhr05 Thursday,2024-03-21T16:05:57.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
40,Bhr05 Thursday,2024-03-21T16:06:02.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
41,Bhr05 Thursday,2024-03-21T16:06:07.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
42,Bhr05 Thursday,2024-03-21T16:06:12.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
43,Bhr05 Thursday,2024-03-21T16:06:17.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.2
44,Bhr05 Thursday,2024-03-21T16:06:22.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
45,Bhr05 Thursday,2024-03-21T16:06:27.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
46,Bhr05 Thursday,2024-03-21T16:06:32.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
47,Bhr05 Thursday,2024-03-21T16:06:37.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
48,Bhr05 Thursday,2024-03-21T16:06:42.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
49,Bhr05 Thursday,2024-03-21T16:06:47.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
50,Bhr05 Thursday,2024-03-21T16:06:52.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
51,Bhr05 Thursday,2024-03-21T16:06:57.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
52,Bhr05 Thursday,2024-03-21T16:07:02.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
53,Bhr05 Thursday,2024-03-21T16:07:07.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
54,Bhr05 Thursday,2024-03-21T16:07:12.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
55,Bhr05 Thursday,2024-03-21T16:07:17.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
56,Bhr05 Thursday,2024-03-21T16:07:22.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
57,Bhr05 Thursday,2024-03-21T16:07:27.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
58,Bhr05 Thursday,2024-03-21T16:07:32.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
59,Bhr05 Thursday,2024-03-21T16:07:37.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,15.0
60,Bhr05 Thursday,2024-03-21T16:07:42.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.2
61,Bhr05 Thursday,2024-03-21T16:07:47.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
62,Bhr05 Thursday,2024-03-21T16:07:52.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
63,Bhr05 Thursday,2024-03-21T16:07:57.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
64,Bhr05 Thursday,2024-03-21T16:08:02.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
65,Bhr05 Thursday,2024-03-21T16:08:07.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
66,Bhr05 Thursday,2024-03-21T16:08:12.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
67,Bhr05 Thursday,2024-03-21T16:08:17.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
68,Bhr05 Thursday,2024-03-21T16:08:22.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
69,Bhr05 Thursday,2024-03-21T16:08:27.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
70,Bhr05 Thursday,2024-03-21T16:08:32.000,39.201464141,-84.457670933,93.0,0.0,0.0,0.0,14.0
