,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,BHr06,2024-03-20T08:38:31.000,39.206625874,-84.460177504,89.0,2.0,2.0,2.0,23.0
2,BHr06,2024-03-20T08:38:32.000,39.206625874,-84.460177504,89.0,3.0,4.0,3.0,22.0
3,BHr06,2024-03-20T08:38:33.000,39.206625874,-84.460177504,89.0,3.0,3.0,3.0,22.0
4,BHr06,2024-03-20T08:38:34.000,39.206625874,-84.460177504,89.0,2.0,2.0,2.0,22.0
5,BHr06,2024-03-20T08:38:35.000,39.206625874,-84.460177504,89.0,3.0,4.0,3.0,22.0
6,BHr06,2024-03-20T08:38:36.000,39.206625874,-84.460177504,89.0,3.0,4.0,3.0,22.0
7,BHr06,2024-03-20T08:38:37.000,39.206625874,-84.460177504,89.0,3.0,4.0,3.0,22.0
8,BHr06,2024-03-20T08:38:38.000,39.206625874,-84.460177504,89.0,3.0,4.0,3.0,22.0
9,BHr06,2024-03-20T08:38:39.000,39.206625874,-84.460177504,89.0,2.0,2.0,2.0,22.0
10,BHr06,2024-03-20T08:38:40.000,39.206625874,-84.460177504,89.0,2.0,2.0,2.0,22.0
11,BHr06,2024-03-20T08:38:41.000,39.206625874,-84.460177504,89.0,2.0,2.0,2.0,22.0
12,BHr06,2024-03-20T08:38:42.000,39.206625874,-84.460177504,89.0,2.0,2.0,2.0,22.0
13,BHr06,2024-03-20T08:38:43.000,39.20658547,-84.460183626,89.0,2.0,2.0,2.0,22.0
