,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bhr06 Saturday,2024-03-22T10:56:47.000,39.206601749,-84.460120117,71.0,0.0,,0.0,36.0
2,Bhr06 Saturday,2024-03-23T09:14:18.000,39.206539559,-84.460165982,71.0,0.0,0.0,0.0,36.0
3,Bhr06 Saturday,2024-03-23T09:14:19.000,39.206539559,-84.460165982,71.0,0.0,0.0,0.0,36.0
4,Bhr06 Saturday,2024-03-23T09:14:20.000,39.206539559,-84.460165982,71.0,1.0,0.0,1.0,35.0
5,Bhr06 Saturday,2024-03-23T09:14:21.000,39.206539559,-84.460165982,71.0,1.0,1.0,1.0,35.0
6,Bhr06 Saturday,2024-03-23T09:14:22.000,39.206539559,-84.460165982,71.0,1.0,1.0,1.0,35.0
7,Bhr06 Saturday,2024-03-23T09:14:23.000,39.206539559,-84.460165982,71.0,0.0,1.0,0.0,35.0
8,Bhr06 Saturday,2024-03-23T09:14:24.000,39.206551684,-84.460177618,71.0,0.0,0.0,0.0,35.0
9,Bhr06 Saturday,2024-03-23T09:14:25.000,39.206551545,-84.460175328,71.0,0.0,0.0,0.0,34.0
10,Bhr06 Saturday,2024-03-23T09:14:26.000,39.206550944,-84.460178017,71.0,0.0,0.0,0.0,34.0
11,Bhr06 Saturday,2024-03-23T09:14:27.000,39.206548547,-84.460176372,71.0,0.0,0.0,0.0,34.0
12,Bhr06 Saturday,2024-03-23T09:14:28.000,39.206546899,-84.46017344,71.0,0.0,0.0,0.0,34.0
