,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bhr06FRIDAY,2024-03-22T08:33:21.000,39.206568662,-84.460141957,78.97727,0.0,0.0,0.0,23.422728
2,Bhr06FRIDAY,2024-03-22T08:34:21.000,39.206568662,-84.460141957,79.2,0.0,0.0,0.0,23.0
3,Bhr06FRIDAY,2024-03-22T08:35:21.000,39.206568662,-84.460141957,80.0,0.0,0.0,0.0,22.883333
4,Bhr06FRIDAY,2024-03-22T08:36:21.000,39.206568662,-84.460141957,80.01667,0.0,0.0,0.0,22.0
5,Bhr06FRIDAY,2024-03-22T08:37:21.000,39.206568662,-84.460141957,80.95,0.0,0.0,0.0,22.0
6,Bhr06FRIDAY,2024-03-22T08:38:21.000,39.206565218,-84.460130331,81.0,0.0,0.0,0.0,22.0
7,Bhr06FRIDAY,2024-03-22T08:39:21.000,39.206554163,-84.460139768,81.5,0.0,0.0,0.0,22.0
8,Bhr06FRIDAY,2024-03-22T08:40:21.000,39.206559422,-84.460162122,82.0,0.0,0.0,0.0,22.0
9,Bhr06FRIDAY,2024-03-22T08:41:21.000,39.206563842,-84.460131991,82.0,0.0,0.0,0.0,21.316668
10,Bhr06FRIDAY,2024-03-22T08:42:21.000,39.206563842,-84.460131991,82.75,0.0,0.0,0.0,21.0
11,Bhr06FRIDAY,2024-03-22T08:43:21.000,39.206563842,-84.460131991,83.0,0.0,0.0,0.0,21.0
12,Bhr06FRIDAY,2024-03-22T08:44:21.000,39.206563842,-84.460131991,83.0,0.0,0.0,0.0,21.0
