,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bhr06Monday,2024-03-18T17:30:11.000,39.168959517,-84.497371858,70.8,0.0,0.0,0.0,27.0
2,Bhr06Monday,2024-03-18T17:30:16.000,39.168955909,-84.497370179,71.0,0.0,0.0,0.0,27.0
3,Bhr06Monday,2024-03-18T17:30:21.000,39.168947872,-84.497358625,71.0,0.0,0.0,0.0,27.0
4,Bhr06Monday,2024-03-18T17:30:26.000,39.168940867,-84.497367874,71.0,0.0,0.0,0.0,27.0
5,Bhr06Monday,2024-03-18T17:30:31.000,39.168918764,-84.497346997,71.0,0.0,0.0,0.0,27.0
6,Bhr06Monday,2024-03-18T17:30:36.000,39.168894409,-84.497310725,71.0,0.0,0.0,0.0,27.0
7,Bhr06Monday,2024-03-18T17:30:41.000,39.168898426,-84.497316486,71.0,0.0,0.0,0.0,27.0
8,Bhr06Monday,2024-03-18T17:30:46.000,39.168885841,-84.49734628,71.0,0.0,0.0,0.0,26.2
9,Bhr06Monday,2024-03-18T17:30:51.000,39.168868867,-84.497327993,71.0,0.0,0.0,0.0,26.0
10,Bhr06Monday,2024-03-18T17:30:56.000,39.168850587,-84.497302386,71.0,0.0,0.0,0.0,26.0
11,Bhr06Monday,2024-03-18T17:31:01.000,39.168858693,-84.497332671,71.6,0.0,0.0,0.0,26.0
12,Bhr06Monday,2024-03-18T17:31:06.000,39.168872287,-84.497294109,72.0,0.0,0.0,0.0,26.0
