,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,BHR06Sunday,2024-03-23T10:11:46.000,39.206562225,-84.460264096,72.0,0.0,,0.0,28.0
2,BHR06Sunday,2024-03-24T09:55:55.000,39.206618317,-84.460122803,73.0,0.0,0.0,0.0,27.0
3,BHR06Sunday,2024-03-24T09:56:00.000,39.206612978,-84.46014908,73.0,0.0,0.0,0.0,27.6
4,BHR06Sunday,2024-03-24T09:56:05.000,39.206612978,-84.46014908,73.0,0.0,0.0,0.0,28.6
5,BHR06Sunday,2024-03-24T09:56:10.000,39.206612978,-84.46014908,73.0,0.0,0.0,0.0,29.0
6,BHR06Sunday,2024-03-24T09:56:15.000,39.206612978,-84.46014908,73.0,0.0,0.0,0.0,29.0
7,BHR06Sunday,2024-03-24T09:56:20.000,39.206612978,-84.46014908,73.0,0.0,0.0,0.0,29.0
8,BHR06Sunday,2024-03-24T09:56:25.000,39.206612978,-84.46014908,73.0,0.0,0.0,0.0,28.6
9,BHR06Sunday,2024-03-24T09:56:30.000,39.206612978,-84.46014908,73.0,0.0,0.0,0.0,28.0
10,BHR06Sunday,2024-03-24T09:56:35.000,39.206584781,-84.460187837,73.0,0.0,0.0,0.0,28.0
11,BHR06Sunday,2024-03-24T09:56:40.000,39.206595876,-84.460192244,73.0,0.0,0.0,0.0,28.0
12,BHR06Sunday,2024-03-24T09:56:45.000,39.2065579,-84.460157267,73.0,0.0,0.0,0.0,27.8
