,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900,AirBeam3:409151114900
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bhr06thur,2024-03-21T08:25:22.000,39.206526563,-84.460205791,82.0,0.0,0.0,0.0,24.0
2,Bhr06thur,2024-03-21T08:25:23.000,39.206536382,-84.460178339,83.0,0.0,0.0,0.0,24.0
3,Bhr06thur,2024-03-21T08:25:24.000,39.206531425,-84.460174967,82.0,0.0,0.0,0.0,24.0
4,Bhr06thur,2024-03-21T08:25:25.000,39.206521454,-84.460175608,82.0,1.0,1.0,1.0,24.0
5,Bhr06thur,2024-03-21T08:25:26.000,39.206521454,-84.460175608,83.0,1.0,1.0,1.0,24.0
6,Bhr06thur,2024-03-21T08:25:27.000,39.206519886,-84.460185737,83.0,0.0,0.0,0.0,24.0
7,Bhr06thur,2024-03-21T08:25:28.000,39.206519886,-84.460185737,83.0,0.0,0.0,0.0,24.0
8,Bhr06thur,2024-03-21T08:25:29.000,39.206529303,-84.460189166,83.0,0.0,0.0,0.0,24.0
9,Bhr06thur,2024-03-21T08:25:30.000,39.206527983,-84.460188856,83.0,0.0,0.0,0.0,24.0
10,Bhr06thur,2024-03-21T08:25:31.000,39.206527983,-84.460188856,83.0,0.0,0.0,0.0,24.0
11,Bhr06thur,2024-03-21T08:25:32.000,39.206527973,-84.460180103,83.0,0.0,0.0,0.0,24.0
12,Bhr06thur,2024-03-21T08:25:33.000,39.206527973,-84.460180103,83.0,0.0,0.0,0.0,24.0
13,Bhr06thur,2024-03-21T08:25:34.000,39.206527253,-84.460178547,83.0,0.0,0.0,0.0,24.0
