,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Jedwards friday,2024-03-01T12:23:29.000,39.102780931,-84.551546986,71.0,1.0,1.0,1.0,27.0
2,Jedwards friday,2024-03-01T12:23:30.000,39.102785065,-84.55154933,71.0,1.0,1.0,1.0,27.0
3,Jedwards friday,2024-03-01T12:23:31.000,39.102789208,-84.551541214,71.0,0.0,0.0,0.0,27.0
4,Jedwards friday,2024-03-01T12:23:32.000,39.102797287,-84.551533386,71.0,1.0,1.0,1.0,27.0
5,Jedwards friday,2024-03-01T12:23:33.000,39.102783213,-84.551535922,71.0,1.0,1.0,1.0,27.0
6,Jedwards friday,2024-03-01T12:23:34.000,39.102777607,-84.551538077,71.0,0.0,0.0,0.0,27.0
7,Jedwards friday,2024-03-01T12:23:35.000,39.102771903,-84.551543305,71.0,0.0,0.0,0.0,27.0
8,Jedwards friday,2024-03-01T12:23:36.000,39.102768038,-84.551545909,71.0,1.0,1.0,1.0,27.0
9,Jedwards friday,2024-03-01T12:23:37.000,39.102763512,-84.551540545,71.0,1.0,1.0,1.0,27.0
10,Jedwards friday,2024-03-01T12:23:38.000,39.102762116,-84.551538275,71.0,1.0,1.0,1.0,27.0
11,Jedwards friday,2024-03-01T12:23:39.000,39.102759448,-84.551535039,71.0,1.0,1.0,1.0,27.0
12,Jedwards friday,2024-03-01T12:23:40.000,39.102752708,-84.551531956,71.0,1.0,1.0,1.0,27.0
13,Jedwards friday,2024-03-01T12:23:41.000,39.102749338,-84.551531678,71.0,1.0,1.0,1.0,27.0
14,Jedwards friday,2024-03-01T12:23:42.000,39.102753489,-84.551533809,71.0,1.0,1.0,1.0,27.0
15,Jedwards friday,2024-03-01T12:23:43.000,39.102756246,-84.551534024,71.0,0.0,0.0,0.0,27.0
16,Jedwards friday,2024-03-01T12:23:44.000,39.102759817,-84.551534589,71.0,0.0,0.0,0.0,27.0
17,Jedwards friday,2024-03-01T12:23:45.000,39.102755044,-84.55152819,71.0,0.0,0.0,0.0,27.0
18,Jedwards friday,2024-03-01T12:23:46.000,39.102753321,-84.551527896,71.0,0.0,0.0,0.0,27.0
19,Jedwards friday,2024-03-01T12:23:47.000,39.102750895,-84.55153133,71.0,0.0,0.0,0.0,27.0
20,Jedwards friday,2024-03-01T12:23:48.000,39.102748376,-84.551536245,71.0,0.0,0.0,0.0,27.0
21,Jedwards friday,2024-03-01T12:23:49.000,39.102748906,-84.551533608,71.0,0.0,0.0,0.0,27.0
22,Jedwards friday,2024-03-01T12:23:50.000,39.102751082,-84.551526346,71.0,0.0,0.0,0.0,27.0
23,Jedwards friday,2024-03-01T12:23:51.000,39.102750697,-84.551526462,71.0,0.0,0.0,0.0,27.0
24,Jedwards friday,2024-03-01T12:23:52.000,39.102747732,-84.551528028,71.0,0.0,0.0,0.0,27.0
25,Jedwards friday,2024-03-01T12:23:53.000,39.102745684,-84.551532525,71.0,0.0,0.0,0.0,27.0
26,Jedwards friday,2024-03-01T12:23:54.000,39.102746961,-84.551531378,71.0,0.0,0.0,0.0,27.0
27,Jedwards friday,2024-03-01T12:23:55.000,39.102744981,-84.551533098,71.0,0.0,0.0,0.0,27.0
28,Jedwards friday,2024-03-01T12:23:56.000,39.102740173,-84.551539416,71.0,0.0,0.0,0.0,27.0
29,Jedwards friday,2024-03-01T12:23:57.000,39.10273761,-84.551545775,71.0,0.0,0.0,0.0,27.0
30,Jedwards friday,2024-03-01T12:23:58.000,39.102737851,-84.551550319,71.0,0.0,0.0,0.0,27.0
31,Jedwards friday,2024-03-01T12:23:59.000,39.102738368,-84.551550727,71.0,0.0,0.0,0.0,27.0
32,Jedwards friday,2024-03-01T12:24:00.000,39.102739913,-84.551547934,71.0,0.0,0.0,0.0,27.0
33,Jedwards friday,2024-03-01T12:24:01.000,39.102741186,-84.551542631,71.0,0.0,0.0,0.0,27.0
34,Jedwards friday,2024-03-01T12:24:02.000,39.102743286,-84.551537234,71.0,0.0,0.0,0.0,27.0
35,Jedwards friday,2024-03-01T12:24:03.000,39.102744695,-84.551536033,71.0,0.0,0.0,0.0,27.0
36,Jedwards friday,2024-03-01T12:24:04.000,39.102746201,-84.551534701,71.0,0.0,0.0,0.0,27.0
37,Jedwards friday,2024-03-01T12:24:05.000,39.102750544,-84.55153096,71.0,0.0,0.0,0.0,27.0
38,Jedwards friday,2024-03-01T12:24:06.000,39.102750023,-84.551529083,72.0,0.0,0.0,0.0,27.0
