,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,RwilliamsMonday,2024-03-04T08:58:32.000,39.16791752,-84.453779143,73.0,106.0,241.0,130.0,47.0
2,RwilliamsMonday,2024-03-04T08:58:33.000,39.167919887,-84.453779067,75.0,113.0,260.0,140.0,45.0
3,RwilliamsMonday,2024-03-04T08:58:34.000,39.167922723,-84.45377679,75.0,115.0,264.0,141.0,45.0
4,RwilliamsMonday,2024-03-04T08:58:35.000,39.167924161,-84.45377787,75.0,115.0,264.0,141.0,45.0
5,RwilliamsMonday,2024-03-04T08:58:45.000,39.167925034,-84.45375498,75.0,112.0,256.0,137.0,45.0
6,RwilliamsMonday,2024-03-04T08:58:46.000,39.167925034,-84.45375498,75.0,111.0,253.0,136.0,45.0
7,RwilliamsMonday,2024-03-04T08:58:47.000,39.167927423,-84.453743094,75.0,111.0,253.0,136.0,45.0
8,RwilliamsMonday,2024-03-04T08:58:48.000,39.167926809,-84.45374255,75.0,111.0,253.0,136.0,45.0
9,RwilliamsMonday,2024-03-04T08:58:49.000,39.167926954,-84.453743606,75.0,111.0,253.0,136.0,45.0
10,RwilliamsMonday,2024-03-04T08:58:50.000,39.167927439,-84.453747838,75.0,111.0,253.0,136.0,45.0
11,RwilliamsMonday,2024-03-04T08:58:51.000,39.167926693,-84.453748421,75.0,109.0,250.0,134.0,45.0
12,RwilliamsMonday,2024-03-04T08:58:52.000,39.167926428,-84.453745961,75.0,108.0,246.0,133.0,45.0
13,RwilliamsMonday,2024-03-04T08:58:53.000,39.167923965,-84.453740419,75.0,111.0,253.0,136.0,45.0
14,RwilliamsMonday,2024-03-04T08:58:54.000,39.167924408,-84.453737339,75.0,111.0,253.0,136.0,45.0
15,RwilliamsMonday,2024-03-04T08:58:55.000,39.167924531,-84.453736206,75.0,108.0,246.0,133.0,45.0
16,RwilliamsMonday,2024-03-04T08:58:56.000,39.16792337,-84.453737012,75.0,108.0,246.0,133.0,45.0
17,RwilliamsMonday,2024-03-04T08:58:57.000,39.167924021,-84.453735357,75.0,107.0,243.0,131.0,45.0
18,RwilliamsMonday,2024-03-04T08:58:58.000,39.167928151,-84.45373495,75.0,107.0,243.0,131.0,45.0
19,RwilliamsMonday,2024-03-04T08:58:59.000,39.167927282,-84.453730469,75.0,107.0,243.0,131.0,45.0
