,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Trail ,2024-03-05T17:44:36.000,39.104580039,-84.553374647,70.0,3.0,4.0,4.0,66.0
2,Trail ,2024-03-05T17:44:37.000,39.104580039,-84.553374647,71.0,3.0,4.0,4.0,68.0
3,Trail ,2024-03-05T17:44:38.000,39.104580039,-84.553374647,71.0,4.0,5.0,5.0,68.0
4,Trail ,2024-03-05T17:44:39.000,39.104580039,-84.553374647,71.0,3.0,4.0,3.0,68.0
5,Trail ,2024-03-05T17:44:40.000,39.104580039,-84.553374647,71.0,3.0,4.0,3.0,68.0
6,Trail ,2024-03-05T17:44:41.000,39.104580039,-84.553374647,71.0,3.0,4.0,3.0,68.0
7,Trail ,2024-03-05T17:44:42.000,39.104580039,-84.553374647,71.0,3.0,4.0,3.0,68.0
8,Trail ,2024-03-05T17:44:43.000,39.104580039,-84.553374647,71.0,4.0,5.0,5.0,68.0
9,Trail ,2024-03-05T17:44:44.000,39.104580039,-84.553374647,71.0,4.0,5.0,5.0,67.0
10,Trail ,2024-03-05T17:44:45.000,39.104580039,-84.553374647,71.0,3.0,4.0,3.0,67.0
11,Trail ,2024-03-05T17:44:46.000,39.104580039,-84.553374647,71.0,3.0,4.0,3.0,67.0
12,Trail ,2024-03-05T17:44:47.000,39.104580039,-84.553374647,71.0,3.0,4.0,3.0,67.0
13,Trail ,2024-03-05T17:44:48.000,39.104580039,-84.553374647,71.0,4.0,5.0,5.0,67.0
14,Trail ,2024-03-05T17:44:49.000,39.104580039,-84.553374647,71.0,4.0,5.0,5.0,67.0
15,Trail ,2024-03-05T17:44:50.000,39.104580039,-84.553374647,71.0,3.0,4.0,3.0,67.0
16,Trail ,2024-03-05T17:44:51.000,39.104580039,-84.553374647,71.0,3.0,4.0,3.0,66.0
17,Trail ,2024-03-05T17:44:52.000,39.104580039,-84.553374647,71.0,4.0,5.0,5.0,66.0
18,Trail ,2024-03-05T17:44:53.000,39.104580039,-84.553374647,71.0,4.0,5.0,5.0,66.0
19,Trail ,2024-03-05T17:44:54.000,39.104580039,-84.553374647,71.0,4.0,5.0,5.0,66.0
20,Trail ,2024-03-05T17:44:55.000,39.104580039,-84.553374647,71.0,3.0,4.0,3.0,66.0
21,Trail ,2024-03-05T17:44:56.000,39.104580039,-84.553374647,71.0,3.0,4.0,3.0,66.0
