,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,A01 Friday,2024-04-05T08:58:08.000,39.150731208,-84.491067415,69.0,0.0,0.0,0.0,48.030304
2,A01 Friday,2024-04-05T08:59:08.000,39.150731208,-84.491067415,69.666664,0.0,0.0,0.0,47.35
3,A01 Friday,2024-04-05T09:00:08.000,39.150731208,-84.491067415,70.45,0.0,0.0,0.0,46.55
4,A01 Friday,2024-04-05T09:01:08.000,39.150731208,-84.491067415,71.2,0.0,0.0,0.0,45.86111
5,A01 Friday,2024-04-05T09:02:08.000,39.150731208,-84.491067415,72.0,0.0,0.0,0.0,45.0
6,A01 Friday,2024-04-05T09:03:08.000,39.150731208,-84.491067415,72.88333,0.0,0.0,0.0,44.083332
7,A01 Friday,2024-04-05T09:04:08.000,39.150731208,-84.491067415,73.36667,0.0,0.0,0.0,43.683334
8,A01 Friday,2024-04-05T09:05:08.000,39.150731208,-84.491067415,74.0,0.0,0.0,0.0,43.0
9,A01 Friday,2024-04-05T09:06:08.000,39.150772412,-84.491235556,74.666664,0.0,0.0,0.0,42.65
10,A01 Friday,2024-04-05T09:07:08.000,39.150772412,-84.491235556,75.0,0.0,0.0,0.0,42.0
11,A01 Friday,2024-04-05T09:08:08.000,39.150772412,-84.491235556,75.63333,0.0,0.0,0.0,41.833332
12,A01 Friday,2024-04-05T09:09:08.000,39.150696369,-84.491106631,76.0,0.0,0.0,0.0,41.0
13,A01 Friday,2024-04-05T09:10:08.000,39.150696369,-84.491106631,76.21667,0.0,0.0,0.0,41.0
14,A01 Friday,2024-04-05T09:11:08.000,39.150816403,-84.491159004,77.0,0.0,0.0,0.0,40.3
15,A01 Friday,2024-04-05T09:12:08.000,39.150816403,-84.491159004,77.0,0.0,0.0,0.0,40.0
16,A01 Friday,2024-04-05T09:13:08.000,39.150816403,-84.491159004,77.23333,0.0,0.0,0.0,40.0
17,A01 Friday,2024-04-05T09:14:08.000,39.15071938,-84.491087583,78.0,0.0,0.0,0.0,39.533333
18,A01 Friday,2024-04-05T09:15:08.000,39.15071938,-84.491087583,78.0,0.0,0.0,0.0,39.0
19,A01 Friday,2024-04-05T09:16:08.000,39.15071938,-84.491087583,78.0,0.0,0.0,0.0,39.0
20,A01 Friday,2024-04-05T09:17:08.000,39.15071938,-84.491087583,78.05,0.0,0.0,0.0,39.0
21,A01 Friday,2024-04-05T09:18:08.000,39.15071938,-84.491087583,78.916664,0.0,0.0,0.0,38.98611
22,A01 Friday,2024-04-05T09:19:08.000,39.15071938,-84.491087583,79.0,0.0,0.0,0.0,38.177776
23,A01 Friday,2024-04-05T09:20:08.000,39.15071938,-84.491087583,79.0,0.0,0.0,0.0,38.0
24,A01 Friday,2024-04-05T09:21:08.000,39.15071938,-84.491087583,79.0,0.0,0.0,0.0,38.0
25,A01 Friday,2024-04-05T09:22:08.000,39.15071938,-84.491087583,79.0,0.0,0.0,0.0,38.0
26,A01 Friday,2024-04-05T09:23:08.000,39.15071938,-84.491087583,79.48333,0.0,0.0,0.0,37.6
27,A01 Friday,2024-04-05T09:24:08.000,39.15071938,-84.491087583,80.0,0.0,0.0,0.0,37.0
28,A01 Friday,2024-04-05T09:25:08.000,39.15071938,-84.491087583,80.0,0.0,0.0,0.0,37.0
29,A01 Friday,2024-04-05T09:26:08.000,39.15071938,-84.491087583,80.0,0.0,0.0,0.0,37.0
30,A01 Friday,2024-04-05T09:27:08.000,39.150742825,-84.491083498,80.0,0.0,0.0,0.0,37.0
31,A01 Friday,2024-04-05T09:28:08.000,39.150742825,-84.491083498,80.0,0.0,0.0,0.0,36.433334
32,A01 Friday,2024-04-05T09:29:08.000,39.150742825,-84.491083498,80.0,0.0,0.0,0.0,36.0
33,A01 Friday,2024-04-05T09:30:08.000,39.150742825,-84.491083498,80.0,0.0,0.0,0.0,36.383335
34,A01 Friday,2024-04-05T09:31:08.000,39.150742825,-84.491083498,80.229164,0.0,0.0,0.0,36.35
35,A01 Friday,2024-04-05T09:32:08.000,39.150742825,-84.491083498,80.95,0.0,0.0,0.0,36.0
36,A01 Friday,2024-04-05T09:33:08.000,39.150742825,-84.491083498,81.0,0.0,0.0,0.0,36.0
37,A01 Friday,2024-04-05T09:34:08.000,39.150742825,-84.491083498,81.0,0.0,0.0,0.0,36.0
38,A01 Friday,2024-04-05T09:35:08.000,39.150742825,-84.491083498,81.0,0.0,0.0,0.0,36.0
39,A01 Friday,2024-04-05T09:36:08.000,39.150742825,-84.491083498,81.0,0.0,0.0,0.0,36.0
40,A01 Friday,2024-04-05T09:37:08.000,39.150764037,-84.491239747,81.0,0.0,0.0,0.0,35.716667
41,A01 Friday,2024-04-05T09:38:08.000,39.150707757,-84.491105215,81.0,0.0,0.0,0.0,35.0
42,A01 Friday,2024-04-05T09:39:08.000,39.150707757,-84.491105215,81.0,0.0,0.0,0.0,35.0
43,A01 Friday,2024-04-05T09:40:08.000,39.150707757,-84.491105215,81.0,0.0,0.0,0.0,35.0
44,A01 Friday,2024-04-05T09:41:08.000,39.150707757,-84.491105215,81.0,0.0,0.0,0.0,35.0
45,A01 Friday,2024-04-05T09:42:08.000,39.150817874,-84.49115374,81.0,0.0,0.0,0.0,35.0
46,A01 Friday,2024-04-05T09:43:08.000,39.150817874,-84.49115374,81.0,0.0,0.0,0.0,35.0
47,A01 Friday,2024-04-05T09:44:08.000,39.150817874,-84.49115374,81.0,0.0,0.0,0.0,35.0
48,A01 Friday,2024-04-05T09:45:08.000,39.150817874,-84.49115374,81.0,0.0,0.0,0.0,35.0
49,A01 Friday,2024-04-05T09:46:08.000,39.150817874,-84.49115374,81.03333,0.0,0.0,0.0,35.0
50,A01 Friday,2024-04-05T09:47:08.000,39.150817874,-84.49115374,81.76667,0.0,0.0,0.0,35.0
51,A01 Friday,2024-04-05T09:48:08.000,39.150817874,-84.49115374,82.0,0.0,0.0,0.0,35.0
52,A01 Friday,2024-04-05T09:49:08.000,39.150817874,-84.49115374,82.0,0.0,0.0,0.0,34.866665
53,A01 Friday,2024-04-05T09:50:08.000,39.150817874,-84.49115374,82.0,0.0,0.0,0.0,34.466667
54,A01 Friday,2024-04-05T09:51:08.000,39.150817874,-84.49115374,82.0,0.0,0.0,0.0,34.0
55,A01 Friday,2024-04-05T09:52:08.000,39.150817874,-84.49115374,82.0,0.0,0.0,0.0,34.0
56,A01 Friday,2024-04-05T09:53:08.000,39.15076721,-84.491105639,82.0,0.0,0.0,0.0,34.283333
57,A01 Friday,2024-04-05T09:54:08.000,39.15076721,-84.491105639,82.0,0.0,0.0,0.0,35.0
58,A01 Friday,2024-04-05T09:55:08.000,39.15076721,-84.491105639,82.0,0.0,0.0,0.0,34.55
59,A01 Friday,2024-04-05T09:56:08.000,39.15076721,-84.491105639,82.0,0.0,0.0,0.0,34.883335
60,A01 Friday,2024-04-05T09:57:08.000,39.15076721,-84.491105639,82.0,0.0,0.0,0.0,35.0
61,A01 Friday,2024-04-05T09:58:08.000,39.15076721,-84.491105639,82.0,0.0,0.0,0.0,35.0
62,A01 Friday,2024-04-05T09:59:08.000,39.15076721,-84.491105639,82.0,3.2194445,3.551389,3.6694446,35.0
63,A01 Friday,2024-04-05T10:00:08.000,39.150888373,-84.491163136,82.0,11.8,13.0,12.583333,35.0
64,A01 Friday,2024-04-05T10:01:08.000,39.150888373,-84.491163136,82.0,14.25,15.95,15.35,35.0
65,A01 Friday,2024-04-05T10:02:08.000,39.150767325,-84.491128122,82.0,19.233334,23.591667,20.902779,35.0
66,A01 Friday,2024-04-05T10:03:08.000,39.150767325,-84.491128122,82.0,18.36389,22.23889,19.983334,35.0
67,A01 Friday,2024-04-05T10:04:08.000,39.150767325,-84.491128122,82.183334,21.166666,27.283333,23.133333,35.0
68,A01 Friday,2024-04-05T10:05:08.000,39.150767325,-84.491128122,82.96667,25.220833,36.18611,27.475,35.0
69,A01 Friday,2024-04-05T10:06:08.000,39.150767325,-84.491128122,83.0,25.208334,36.163887,27.325,35.0
70,A01 Friday,2024-04-05T10:07:08.000,39.150767325,-84.491128122,83.0,27.633333,41.466667,30.283333,35.0
71,A01 Friday,2024-04-05T10:08:08.000,39.150767325,-84.491128122,83.0,38.418056,68.2125,43.416668,35.0
72,A01 Friday,2024-04-05T10:09:08.000,39.150767325,-84.491128122,83.0,38.293056,67.306946,43.254166,35.0
73,A01 Friday,2024-04-05T10:10:08.000,39.150767325,-84.491128122,83.0,40.6,73.65,46.333332,35.0
74,A01 Friday,2024-04-05T10:11:08.000,39.150767325,-84.491128122,83.0,37.670834,66.173615,42.533333,35.0
75,A01 Friday,2024-04-05T10:12:08.000,39.150767325,-84.491128122,83.0,38.822224,68.95,44.004166,35.0
76,A01 Friday,2024-04-05T10:13:08.000,39.150767325,-84.491128122,83.0,49.95,97.166664,58.15,35.0
77,A01 Friday,2024-04-05T10:14:08.000,39.150767325,-84.491128122,83.0,43.968056,82.07361,50.491665,35.0
78,A01 Friday,2024-04-05T10:15:08.000,39.150767325,-84.491128122,83.05,44.845833,84.41111,51.675,35.0
79,A01 Friday,2024-04-05T10:16:08.000,39.150767325,-84.491128122,83.85,51.933334,101.71667,60.6,35.0
80,A01 Friday,2024-04-05T10:17:08.000,39.150767325,-84.491128122,84.0,50.47778,99.11389,58.68611,35.0
81,A01 Friday,2024-04-05T10:18:08.000,39.150767325,-84.491128122,84.0,50.733334,98.816666,59.004166,35.0
82,A01 Friday,2024-04-05T10:19:08.000,39.150662738,-84.491090947,84.0,53.616665,106.416664,62.966667,35.0
83,A01 Friday,2024-04-05T10:20:08.000,39.150662738,-84.491090947,84.0,54.208332,108.11528,63.581944,35.0
84,A01 Friday,2024-04-05T10:21:08.000,39.150662738,-84.491090947,84.0,54.305557,108.29583,63.758335,35.0
85,A01 Friday,2024-04-05T10:22:08.000,39.150662738,-84.491090947,84.0,63.075,130.27916,75.120834,35.0
86,A01 Friday,2024-04-05T10:23:08.000,39.150662738,-84.491090947,84.0,60.944443,125.52778,72.42778,35.0
87,A01 Friday,2024-04-05T10:24:08.000,39.150662738,-84.491090947,84.0,61.733334,127.84583,73.36667,35.0
88,A01 Friday,2024-04-05T10:25:08.000,39.150662738,-84.491090947,84.0,62.7,130.23334,74.6,35.0
89,A01 Friday,2024-04-05T10:26:08.000,39.150662738,-84.491090947,84.0,63.983334,133.43333,76.15,35.0
90,A01 Friday,2024-04-05T10:27:08.000,39.150662738,-84.491090947,84.0,65.745834,137.7889,78.48055,35.0
91,A01 Friday,2024-04-05T10:28:08.000,39.150662738,-84.491090947,84.0,69.98333,148.78334,83.916664,35.0
92,A01 Friday,2024-04-05T10:29:08.000,39.150662738,-84.491090947,84.0,65.15,136.5,77.666664,35.0
93,A01 Friday,2024-04-05T10:30:08.000,39.150662738,-84.491090947,84.0,69.25833,147.03612,82.89861,35.0
94,A01 Friday,2024-04-05T10:31:08.000,39.150662738,-84.491090947,84.0,70.61667,150.46666,84.8,35.0
95,A01 Friday,2024-04-05T10:32:08.000,39.150662738,-84.491090947,84.0,75.1,162.2,90.683334,35.0
96,A01 Friday,2024-04-05T10:33:08.000,39.150662738,-84.491090947,84.0,73.87361,158.82639,88.958336,35.0
97,A01 Friday,2024-04-05T10:34:08.000,39.150662738,-84.491090947,84.0,73.683334,158.4,88.78333,35.0
98,A01 Friday,2024-04-05T10:35:08.000,39.150662738,-84.491090947,84.0,72.333336,154.68333,86.833336,35.0
99,A01 Friday,2024-04-05T10:36:08.000,39.150662738,-84.491090947,84.0,74.548615,160.6,89.93056,35.0
100,A01 Friday,2024-04-05T10:37:08.000,39.150662738,-84.491090947,84.0,78.583336,171.11667,95.05,35.0
101,A01 Friday,2024-04-05T10:38:08.000,39.150662738,-84.491090947,84.0,78.38333,170.58333,94.71667,35.0
102,A01 Friday,2024-04-05T10:39:08.000,39.150662738,-84.491090947,84.013885,84.833336,187.13472,103.056946,35.066666
103,A01 Friday,2024-04-05T10:40:08.000,39.150662738,-84.491090947,84.0,75.28333,162.51666,90.71667,35.0
104,A01 Friday,2024-04-05T10:41:08.000,39.150662738,-84.491090947,84.0,82.88333,182.33333,100.6,35.0
105,A01 Friday,2024-04-05T10:42:08.000,39.150662738,-84.491090947,84.0,75.72639,163.65416,91.27639,35.0
106,A01 Friday,2024-04-05T10:43:08.000,39.150662738,-84.491090947,84.0,77.816666,169.0,93.916664,35.0
