,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,A01 Monday,2024-04-01T16:27:07.000,39.142480687,-84.514965469,80.666664,5.0,6.0,6.0,45.333332
2,A01 Monday,2024-04-01T16:27:12.000,39.142466623,-84.514974477,81.0,5.4,6.4,6.4,45.0
3,A01 Monday,2024-04-01T16:27:17.000,39.142464531,-84.514982581,81.0,5.2,6.2,6.2,45.0
4,A01 Monday,2024-04-01T16:27:22.000,39.142464396,-84.514983105,81.0,4.4,5.4,5.4,45.0
5,A01 Monday,2024-04-01T16:27:27.000,39.142464366,-84.514983217,81.0,4.3333335,5.3333335,5.3333335,45.0
6,A01 Monday,2024-04-01T16:27:32.000,39.142464363,-84.514983231,81.0,4.4,5.4,5.4,45.0
7,A01 Monday,2024-04-01T16:27:37.000,39.142464363,-84.514983231,81.0,3.5,4.25,3.75,45.0
8,A01 Monday,2024-04-01T16:27:42.000,39.142464363,-84.514983231,81.0,3.4,4.4,3.6,45.0
9,A01 Monday,2024-04-01T16:27:47.000,39.142506513,-84.515022262,81.0,4.1666665,5.1666665,5.1666665,45.0
10,A01 Monday,2024-04-01T16:27:52.000,39.142552111,-84.515042212,81.0,4.0,5.0,5.0,45.0
11,A01 Monday,2024-04-01T16:27:57.000,39.142560746,-84.515061606,81.0,4.4,5.4,,
12,A01 Monday,2024-04-01T16:27:57.000,39.142559701,-84.515062816,,,,5.4,45.0
13,A01 Monday,2024-04-01T16:28:02.000,39.14255835,-84.515063063,81.0,4.2,5.2,5.2,45.4
14,A01 Monday,2024-04-01T16:28:07.000,39.14255835,-84.515063063,81.0,4.25,5.25,5.25,46.0
15,A01 Monday,2024-04-01T16:28:12.000,39.14255835,-84.515063063,81.0,4.6,5.6,5.6,46.0
16,A01 Monday,2024-04-01T16:28:17.000,39.142441204,-84.515048802,81.0,4.6666665,5.6666665,5.6666665,46.0
17,A01 Monday,2024-04-01T16:28:22.000,39.142441204,-84.515048802,81.0,4.5,5.5,5.5,46.0
18,A01 Monday,2024-04-01T16:28:27.000,39.142441204,-84.515048802,81.0,4.4,5.4,5.4,46.0
19,A01 Monday,2024-04-01T16:28:32.000,39.142439119,-84.515061455,81.0,4.8333335,5.6666665,5.6666665,45.166668
20,A01 Monday,2024-04-01T16:28:37.000,39.142439119,-84.515061455,81.0,5.0,6.0,6.0,45.0
21,A01 Monday,2024-04-01T16:28:42.000,39.142439119,-84.515061455,81.0,4.4,5.4,5.4,45.0
22,A01 Monday,2024-04-01T16:28:47.000,39.142428762,-84.515068048,81.0,5.0,6.0,6.0,45.0
23,A01 Monday,2024-04-01T16:28:52.000,39.142428762,-84.515068048,81.0,4.25,5.25,5.25,45.0
24,A01 Monday,2024-04-01T16:28:57.000,39.142428762,-84.515068048,81.0,4.0,5.0,5.0,45.0
25,A01 Monday,2024-04-01T16:29:02.000,39.142431996,-84.515071538,81.0,4.5,5.5,5.5,45.0
26,A01 Monday,2024-04-01T16:29:07.000,39.142426659,-84.515109763,81.0,5.0,6.0,6.0,45.0
27,A01 Monday,2024-04-01T16:29:12.000,39.142434366,-84.515080269,81.0,5.4,6.4,6.4,45.0
28,A01 Monday,2024-04-01T16:29:17.000,39.142434366,-84.515080269,81.0,5.5,6.5,6.5,45.666668
29,A01 Monday,2024-04-01T16:29:22.000,39.142429802,-84.515064379,81.0,5.0,5.75,5.75,45.25
30,A01 Monday,2024-04-01T16:29:27.000,39.142403979,-84.515047879,81.0,5.4,6.4,6.4,45.0
31,A01 Monday,2024-04-01T16:29:32.000,39.142416411,-84.51505571,81.0,4.8333335,5.8333335,5.8333335,45.0
32,A01 Monday,2024-04-01T16:29:37.000,39.142416411,-84.51505571,81.0,5.25,6.25,6.25,44.25
33,A01 Monday,2024-04-01T16:29:42.000,39.142422733,-84.515046745,81.0,5.0,6.0,6.0,44.0
34,A01 Monday,2024-04-01T16:29:47.000,39.142422733,-84.515046745,81.0,4.1666665,5.0,5.0,44.0
35,A01 Monday,2024-04-01T16:29:52.000,39.142422733,-84.515046745,81.0,4.0,5.0,5.0,44.0
36,A01 Monday,2024-04-01T16:29:57.000,39.142422733,-84.515046745,81.0,4.4,5.4,5.4,44.0
37,A01 Monday,2024-04-01T16:30:02.000,39.142422733,-84.515046745,81.0,5.1666665,6.1666665,6.1666665,44.0
38,A01 Monday,2024-04-01T16:30:07.000,39.142501725,-84.515104016,81.25,5.5,6.5,,
39,A01 Monday,2024-04-01T16:30:07.000,39.142499645,-84.515101614,,,,6.5,44.0
40,A01 Monday,2024-04-01T16:30:12.000,39.142504335,-84.51511302,82.0,5.2,6.2,6.2,44.0
41,A01 Monday,2024-04-01T16:30:17.000,39.142521757,-84.515071172,82.0,5.0,6.0,6.0,44.0
42,A01 Monday,2024-04-01T16:30:22.000,39.142554334,-84.515132109,82.0,4.5,5.5,5.5,44.0
43,A01 Monday,2024-04-01T16:30:27.000,39.142554334,-84.515132109,82.0,4.0,5.0,5.0,44.0
44,A01 Monday,2024-04-01T16:30:32.000,39.142436561,-84.515058183,82.0,4.8333335,5.8333335,5.8333335,44.0
45,A01 Monday,2024-04-01T16:30:37.000,39.142436561,-84.515058183,82.0,5.0,6.0,6.0,44.0
46,A01 Monday,2024-04-01T16:30:42.000,39.142436561,-84.515058183,82.0,4.8,5.8,5.8,44.0
47,A01 Monday,2024-04-01T16:30:47.000,39.142436561,-84.515058183,82.0,4.1666665,5.1666665,4.8333335,44.0
48,A01 Monday,2024-04-01T16:30:52.000,39.142414082,-84.515042444,82.0,3.75,4.75,4.5,44.0
49,A01 Monday,2024-04-01T16:30:57.000,39.142459532,-84.515068455,82.0,4.2,5.0,4.8,44.0
50,A01 Monday,2024-04-01T16:31:02.000,39.142459532,-84.515068455,82.0,4.3333335,5.1666665,5.1666665,44.0
51,A01 Monday,2024-04-01T16:31:07.000,39.142425777,-84.515035648,82.0,4.0,5.0,5.0,44.0
52,A01 Monday,2024-04-01T16:31:12.000,39.142404649,-84.515031605,82.0,4.0,5.0,5.0,44.0
53,A01 Monday,2024-04-01T16:31:17.000,39.142402821,-84.515033437,82.0,4.6,5.4,5.4,44.0
54,A01 Monday,2024-04-01T16:31:22.000,39.142416075,-84.515007752,82.0,5.0,6.0,6.0,43.6
55,A01 Monday,2024-04-01T16:31:27.000,39.142416075,-84.515007752,82.0,5.0,6.0,6.0,43.0
56,A01 Monday,2024-04-01T16:31:32.000,39.142416075,-84.515007752,82.0,5.4,6.4,6.4,43.0
57,A01 Monday,2024-04-01T16:31:37.000,39.142417706,-84.515005938,82.0,4.4,5.2,5.2,43.0
58,A01 Monday,2024-04-01T16:31:42.000,39.142417706,-84.515005938,82.0,4.8,5.8,5.8,43.0
59,A01 Monday,2024-04-01T16:31:47.000,39.142417706,-84.515005938,82.0,5.0,6.0,6.0,43.0
60,A01 Monday,2024-04-01T16:31:52.000,39.142418368,-84.51500531,82.0,6.0,7.0,6.8,43.0
61,A01 Monday,2024-04-01T16:31:57.000,39.142418368,-84.51500531,82.0,5.0,6.0,6.0,43.0
62,A01 Monday,2024-04-01T16:32:02.000,39.142418368,-84.51500531,82.0,4.6,5.6,5.6,43.0
63,A01 Monday,2024-04-01T16:32:07.000,39.142418699,-84.515004996,82.0,4.6,5.6,5.6,43.0
64,A01 Monday,2024-04-01T16:32:12.000,39.142418699,-84.515004996,82.0,4.4,5.4,5.4,43.0
65,A01 Monday,2024-04-01T16:32:17.000,39.142472156,-84.515003914,82.0,4.6,5.6,5.6,43.0
66,A01 Monday,2024-04-01T16:32:22.000,39.142529886,-84.515031287,82.0,5.0,6.0,6.0,43.0
67,A01 Monday,2024-04-01T16:32:27.000,39.142475029,-84.51501114,82.0,5.4,6.4,6.4,43.0
68,A01 Monday,2024-04-01T16:32:32.000,39.142475029,-84.51501114,82.0,6.0,7.0,7.0,43.0
69,A01 Monday,2024-04-01T16:32:37.000,39.142421964,-84.51504103,82.0,5.4,6.4,6.4,43.0
70,A01 Monday,2024-04-01T16:32:42.000,39.142425291,-84.515003369,82.0,5.8,6.8,6.8,43.0
71,A01 Monday,2024-04-01T16:32:47.000,39.142425398,-84.515000493,82.0,5.6,6.6,6.6,43.0
72,A01 Monday,2024-04-01T16:32:52.000,39.142432676,-84.515045025,82.0,5.6,6.6,6.6,43.0
73,A01 Monday,2024-04-01T16:32:57.000,39.142412754,-84.515054422,82.0,6.0,7.0,7.0,43.0
74,A01 Monday,2024-04-01T16:33:02.000,39.142412754,-84.515054422,82.0,7.0,8.0,7.8,43.2
75,A01 Monday,2024-04-01T16:33:07.000,39.142412754,-84.515054422,82.0,6.0,7.0,7.0,44.0
76,A01 Monday,2024-04-01T16:33:12.000,39.142409619,-84.515053454,82.0,5.2,6.2,6.2,43.4
77,A01 Monday,2024-04-01T16:33:17.000,39.142444299,-84.515064897,82.0,4.8,5.6,5.6,43.0
78,A01 Monday,2024-04-01T16:33:22.000,39.142444299,-84.515064897,82.0,5.0,6.0,6.0,43.0
79,A01 Monday,2024-04-01T16:33:27.000,39.142444299,-84.515064897,82.0,5.2,6.0,6.0,43.0
80,A01 Monday,2024-04-01T16:33:32.000,39.142452836,-84.515067714,82.0,6.0,7.0,7.0,43.0
81,A01 Monday,2024-04-01T16:33:37.000,39.142452836,-84.515067714,82.2,5.8,6.8,6.8,43.8
82,A01 Monday,2024-04-01T16:33:42.000,39.142452836,-84.515067714,82.4,5.4,6.4,6.4,43.6
83,A01 Monday,2024-04-01T16:33:47.000,39.142464809,-84.515007631,82.6,5.2,6.2,6.2,43.0
84,A01 Monday,2024-04-01T16:33:52.000,39.142464809,-84.515007631,83.0,6.0,7.0,7.0,43.0
85,A01 Monday,2024-04-01T16:33:57.000,39.142474178,-84.514969528,83.0,5.0,6.0,6.0,43.0
86,A01 Monday,2024-04-01T16:34:02.000,39.142474178,-84.514969528,83.0,5.2,6.2,6.2,43.0
87,A01 Monday,2024-04-01T16:34:07.000,39.142459446,-84.514979587,83.0,5.4,6.4,6.4,44.0
88,A01 Monday,2024-04-01T16:34:12.000,39.142459446,-84.514979587,83.0,5.4,6.4,6.4,43.0
89,A01 Monday,2024-04-01T16:34:17.000,39.142465388,-84.514979875,83.0,5.2,6.2,6.0,43.0
90,A01 Monday,2024-04-01T16:34:22.000,39.142465388,-84.514979875,83.0,4.6,5.6,5.6,43.0
91,A01 Monday,2024-04-01T16:34:27.000,39.142437455,-84.515049226,83.0,5.0,6.0,6.0,43.0
92,A01 Monday,2024-04-01T16:34:32.000,39.142437455,-84.515049226,83.0,4.2,5.2,5.2,43.0
93,A01 Monday,2024-04-01T16:34:37.000,39.142472674,-84.514982694,83.0,5.0,6.0,6.0,43.0
94,A01 Monday,2024-04-01T16:34:42.000,39.142454545,-84.514969371,83.0,5.4,6.4,6.4,43.0
95,A01 Monday,2024-04-01T16:34:47.000,39.142469921,-84.514970043,83.0,5.0,6.0,6.0,43.0
96,A01 Monday,2024-04-01T16:34:52.000,39.142469921,-84.514970043,83.0,5.6,6.6,6.6,42.0
97,A01 Monday,2024-04-01T16:34:57.000,39.142465346,-84.514970509,83.0,4.6,5.4,5.4,42.0
98,A01 Monday,2024-04-01T16:35:02.000,39.142452603,-84.514960677,83.0,3.2,4.2,3.4,42.0
99,A01 Monday,2024-04-01T16:35:07.000,39.142424771,-84.514936898,83.0,4.0,5.0,5.0,41.0
100,A01 Monday,2024-04-01T16:35:12.000,39.142424771,-84.514936898,83.0,4.2,5.2,5.2,41.0
101,A01 Monday,2024-04-01T16:35:17.000,39.142419721,-84.514980815,83.0,5.0,6.0,6.0,41.0
102,A01 Monday,2024-04-01T16:35:22.000,39.142431678,-84.514990647,83.0,5.0,6.0,6.0,41.2
103,A01 Monday,2024-04-01T16:35:27.000,39.142431678,-84.514990647,83.0,5.0,6.0,6.0,42.0
104,A01 Monday,2024-04-01T16:35:32.000,39.142420033,-84.515114924,83.0,4.0,5.0,5.0,42.0
105,A01 Monday,2024-04-01T16:35:37.000,39.142452152,-84.515212784,83.0,5.4,6.4,6.4,43.2
106,A01 Monday,2024-04-01T16:35:42.000,39.142406186,-84.515200432,83.0,5.6,6.6,6.6,45.6
107,A01 Monday,2024-04-01T16:35:47.000,39.142398352,-84.51528664,83.0,6.6,7.6,7.4,46.8
108,A01 Monday,2024-04-01T16:35:52.000,39.142393291,-84.515220804,83.0,8.0,9.6,9.0,47.8
