,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,A01 Sunday,2024-04-07T08:35:16.000,39.150693122,-84.491104377,67.6,0.19090909,0.19090909,0.19090909,49.109093
2,A01 Sunday,2024-04-07T08:36:16.000,39.150689943,-84.491135214,68.61667,0.31666666,0.31666666,0.31666666,50.0
3,A01 Sunday,2024-04-07T08:37:16.000,39.150670736,-84.491121031,69.8375,0.0,0.0,0.0,49.15
4,A01 Sunday,2024-04-07T08:38:16.000,39.150679345,-84.491103289,71.236115,0.06111111,0.06111111,0.06111111,47.831944
5,A01 Sunday,2024-04-07T08:39:16.000,39.15078752,-84.491118519,72.3,0.35,0.35,0.35,43.565277
6,A01 Sunday,2024-04-07T08:40:16.000,39.15078752,-84.491118519,73.21667,0.6,0.6,0.6,41.083332
7,A01 Sunday,2024-04-07T08:41:16.000,39.15078752,-84.491118519,74.0,0.4,0.4,0.4,40.133335
8,A01 Sunday,2024-04-07T08:42:16.000,39.15078752,-84.491118519,74.85,0.5,0.5,0.5,39.0
9,A01 Sunday,2024-04-07T08:43:16.000,39.150930308,-84.491099946,75.23333,0.4,0.4,0.4,38.416668
10,A01 Sunday,2024-04-07T08:44:16.000,39.150930308,-84.491099946,76.0,0.38333333,0.38333333,0.38333333,37.883335
11,A01 Sunday,2024-04-07T08:45:16.000,39.150930308,-84.491099946,76.21667,0.55,0.55,0.55,37.0
12,A01 Sunday,2024-04-07T08:46:16.000,39.150800319,-84.491146243,77.0,0.53333336,0.53333336,0.53333336,36.966667
13,A01 Sunday,2024-04-07T08:47:16.000,39.150800319,-84.491146243,77.0,0.80277777,0.80277777,0.80277777,36.15
14,A01 Sunday,2024-04-07T08:48:16.000,39.150800319,-84.491146243,77.673615,0.51666665,0.51666665,0.51666665,36.0
15,A01 Sunday,2024-04-07T08:49:16.000,39.150800319,-84.491146243,78.0,0.45,0.45,0.45,35.616665
16,A01 Sunday,2024-04-07T08:50:16.000,39.150800319,-84.491146243,78.0,0.45,0.45,0.45,35.0
17,A01 Sunday,2024-04-07T08:51:16.000,39.150800319,-84.491146243,78.416664,0.7,0.7,0.7,35.0
18,A01 Sunday,2024-04-07T08:52:16.000,39.150800319,-84.491146243,79.0,0.9638889,0.9638889,0.9638889,34.891666
19,A01 Sunday,2024-04-07T08:53:16.000,39.150800319,-84.491146243,79.0,0.5833333,0.5833333,0.5833333,34.016666
20,A01 Sunday,2024-04-07T08:54:16.000,39.150800319,-84.491146243,79.0,0.35833332,0.35833332,0.35833332,34.0
21,A01 Sunday,2024-04-07T08:55:16.000,39.150823073,-84.49110203,79.05,0.51111114,0.51111114,0.51111114,34.0
22,A01 Sunday,2024-04-07T08:56:16.000,39.150784114,-84.491119098,79.8875,0.6666667,0.6666667,0.6666667,34.0
23,A01 Sunday,2024-04-07T08:57:16.000,39.150795007,-84.491122862,79.98333,0.55,0.55,0.55,34.0
24,A01 Sunday,2024-04-07T08:58:16.000,39.150809434,-84.491088036,80.0,0.76666665,0.76666665,0.76666665,34.0
25,A01 Sunday,2024-04-07T08:59:16.000,39.150813078,-84.491054973,80.0,1.0666667,1.0666667,1.0666667,34.0
26,A01 Sunday,2024-04-07T09:00:16.000,39.150785242,-84.491033395,79.73333,1.2333333,1.2333333,1.2333333,30.8
27,A01 Sunday,2024-04-07T09:01:16.000,39.153088824,-84.491522737,79.083336,0.041666668,0.041666668,0.041666668,29.15
28,A01 Sunday,2024-04-07T09:02:16.000,39.153244311,-84.485605181,80.0,0.0,0.0,0.0,29.0
29,A01 Sunday,2024-04-07T09:03:16.000,39.152229175,-84.483878069,80.53333,0.0,0.0,0.0,28.516666
30,A01 Sunday,2024-04-07T09:04:16.000,39.147609032,-84.479774864,81.5,0.0,0.0,0.0,28.716667
31,A01 Sunday,2024-04-07T09:05:16.000,39.146642603,-84.473419224,82.2,0.0,0.0,0.0,28.0
32,A01 Sunday,2024-04-07T09:06:16.000,39.14609861,-84.466144998,83.0,0.0,0.0,0.0,28.0
33,A01 Sunday,2024-04-07T09:07:16.000,39.144504548,-84.456909629,83.354164,0.0,0.0,0.0,27.48889
34,A01 Sunday,2024-04-07T09:08:16.000,39.144496946,-84.456895827,84.0,0.0,0.0,0.0,27.916666
35,A01 Sunday,2024-04-07T09:09:16.000,39.149756136,-84.445856921,84.0,0.0,0.0,0.0,28.95
36,A01 Sunday,2024-04-07T09:10:16.000,39.162228459,-84.435697862,84.0,0.0,0.0,0.0,28.0
37,A01 Sunday,2024-04-07T09:11:16.000,39.169853502,-84.419225316,84.0,0.0,0.0,0.0,27.016666
38,A01 Sunday,2024-04-07T09:12:16.000,39.171535626,-84.399504252,84.0,0.0,0.0,0.0,27.0
39,A01 Sunday,2024-04-07T09:13:16.000,39.163805931,-84.402337721,84.083336,0.0,0.0,0.0,26.05
40,A01 Sunday,2024-04-07T09:14:16.000,39.155852315,-84.405955185,84.0,0.0,0.0,0.0,26.0
41,A01 Sunday,2024-04-07T09:15:16.000,39.145714831,-84.404935309,84.0,0.0,0.0,0.0,26.216667
42,A01 Sunday,2024-04-07T09:16:16.000,39.136983438,-84.403100549,84.0,0.0,0.0,0.0,26.820833
43,A01 Sunday,2024-04-07T09:17:16.000,39.138738131,-84.395939625,84.01667,0.0,0.0,0.0,27.0
44,A01 Sunday,2024-04-07T09:18:16.000,39.142829615,-84.388933524,84.51667,0.0,0.0,0.0,27.0
45,A01 Sunday,2024-04-07T09:19:16.000,39.145311547,-84.381028072,85.0,0.0,0.0,0.0,26.983334
46,A01 Sunday,2024-04-07T09:20:16.000,39.144962293,-84.375048248,85.0,0.0,0.0,0.0,26.783333
47,A01 Sunday,2024-04-07T09:21:16.000,39.144252203,-84.366582721,85.0,0.0,0.0,0.0,26.95
48,A01 Sunday,2024-04-07T09:22:16.000,39.140969814,-84.357640105,85.0,0.0,0.0,0.0,27.0
49,A01 Sunday,2024-04-07T09:23:16.000,39.140767721,-84.358415536,85.0,0.0,0.0,0.0,26.944445
50,A01 Sunday,2024-04-07T09:24:16.000,39.140861936,-84.358465075,85.0,0.0,,,
51,A01 Sunday,2024-04-07T09:24:16.000,39.140862844,-84.35846521,,,0.0,0.0,26.341667
52,A01 Sunday,2024-04-07T09:25:16.000,39.140492874,-84.358092811,85.0,0.0,0.0,0.0,26.0
53,A01 Sunday,2024-04-07T09:26:16.000,39.140624791,-84.357764894,85.01667,0.0,0.0,0.0,26.0
54,A01 Sunday,2024-04-07T09:27:16.000,39.14065205,-84.35782064,85.85,0.15,0.15,0.15,25.816668
55,A01 Sunday,2024-04-07T09:28:16.000,39.140387882,-84.357898369,86.0,0.51666665,0.51666665,0.51666665,26.133333
56,A01 Sunday,2024-04-07T09:29:16.000,39.140442966,-84.358000385,85.95,0.81666666,0.81666666,0.81666666,24.0
57,A01 Sunday,2024-04-07T09:30:16.000,39.140442966,-84.358000385,85.01667,0.84166664,0.84166664,0.84166664,22.333334
58,A01 Sunday,2024-04-07T09:31:16.000,39.140424887,-84.357963106,84.34722,1.2166667,1.2166667,1.2166667,22.583334
59,A01 Sunday,2024-04-07T09:32:16.000,39.140425532,-84.357968096,83.4375,0.7583333,0.7583333,0.7583333,22.583334
60,A01 Sunday,2024-04-07T09:33:16.000,39.140425532,-84.357968096,82.683334,1.1166667,1.1166667,1.1166667,24.933332
61,A01 Sunday,2024-04-07T09:34:16.000,39.140425532,-84.357968096,81.96667,0.95,0.95,0.95,24.383333
62,A01 Sunday,2024-04-07T09:35:16.000,39.140425532,-84.357968096,81.0,0.96666664,0.96666664,0.96666664,23.916666
63,A01 Sunday,2024-04-07T09:36:16.000,39.140425532,-84.357968096,80.28333,0.9722222,0.9722222,0.9722222,24.5
64,A01 Sunday,2024-04-07T09:37:16.000,39.140425532,-84.357968096,79.683334,0.95,0.95,0.95,24.7875
65,A01 Sunday,2024-04-07T09:38:16.000,39.140425532,-84.357968096,79.0,0.53333336,0.53333336,0.53333336,24.016666
66,A01 Sunday,2024-04-07T09:39:16.000,39.140323641,-84.35799049,78.26667,0.8333333,0.8333333,0.8333333,25.0
67,A01 Sunday,2024-04-07T09:40:16.000,39.14032648,-84.358029123,77.65,0.85,0.85,0.85,25.15
68,A01 Sunday,2024-04-07T09:41:16.000,39.14032648,-84.358029123,77.0,1.05,1.05,1.05,26.316668
69,A01 Sunday,2024-04-07T09:42:16.000,39.140373057,-84.358041819,76.95,0.95,0.95,0.95,26.016666
70,A01 Sunday,2024-04-07T09:43:16.000,39.140285912,-84.358148924,76.0,1.2291666,1.2291666,1.2291666,27.32361
71,A01 Sunday,2024-04-07T09:44:16.000,39.140278277,-84.358109405,76.0,0.5833333,0.5833333,0.5833333,26.0
72,A01 Sunday,2024-04-07T09:45:16.000,39.140313222,-84.358070463,75.6,0.23333333,0.23333333,0.23333333,26.0
73,A01 Sunday,2024-04-07T09:46:16.000,39.140490832,-84.357939222,75.0,0.3,0.3,0.3,27.216667
74,A01 Sunday,2024-04-07T09:47:16.000,39.140497177,-84.357925499,75.0,0.6166667,0.6166667,0.6166667,27.3
75,A01 Sunday,2024-04-07T09:48:16.000,39.140497177,-84.357925499,75.0,0.73333335,0.73333335,0.73333335,27.6
76,A01 Sunday,2024-04-07T09:49:16.000,39.140497177,-84.357925499,74.183334,0.0,0.0,0.0,28.0
77,A01 Sunday,2024-04-07T09:50:16.000,39.140515038,-84.357926003,74.0,0.75972223,0.75972223,0.75972223,28.8
78,A01 Sunday,2024-04-07T09:51:16.000,39.140515038,-84.357926003,74.0,0.39166668,0.39166668,0.39166668,28.897223
79,A01 Sunday,2024-04-07T09:52:16.000,39.140515038,-84.357926003,74.0,0.92083335,0.92083335,0.92083335,28.483334
80,A01 Sunday,2024-04-07T09:53:16.000,39.140439294,-84.358018383,74.0,0.8333333,0.8333333,0.8333333,28.1
81,A01 Sunday,2024-04-07T09:54:16.000,39.140448873,-84.358013407,73.05,0.3,0.3,0.3,27.35
82,A01 Sunday,2024-04-07T09:55:16.000,39.14046736,-84.357958926,73.0,0.81666666,0.81666666,0.81666666,28.9
83,A01 Sunday,2024-04-07T09:56:16.000,39.14046736,-84.357958926,73.0,1.0833334,1.0833334,1.0833334,29.2
84,A01 Sunday,2024-04-07T09:57:16.000,39.14046736,-84.357958926,73.0,1.0,1.0,1.0,29.0
85,A01 Sunday,2024-04-07T09:58:16.000,39.14046736,-84.357958926,73.0,0.4375,0.4375,0.4375,29.854166
86,A01 Sunday,2024-04-07T09:59:16.000,39.140405894,-84.357951647,72.933334,0.28333333,0.28333333,0.28333333,29.583334
87,A01 Sunday,2024-04-07T10:00:16.000,39.140503902,-84.357930222,72.916664,0.16666667,0.16666667,0.16666667,31.466667
88,A01 Sunday,2024-04-07T10:01:16.000,39.143396862,-84.364280107,73.0,0.25,0.25,0.25,32.766666
89,A01 Sunday,2024-04-07T10:02:16.000,39.145196405,-84.374324765,73.0,0.24583334,0.24583334,0.24583334,33.175
90,A01 Sunday,2024-04-07T10:03:16.000,39.145399684,-84.380817076,73.15972,0.0,0.0,0.0,33.016666
91,A01 Sunday,2024-04-07T10:04:16.000,39.142593447,-84.389862196,74.0,0.18333334,0.18333334,0.18333334,33.833332
92,A01 Sunday,2024-04-07T10:05:16.000,39.139974432,-84.401030254,74.01667,0.083333336,0.083333336,0.083333336,33.0
93,A01 Sunday,2024-04-07T10:06:16.000,39.145546645,-84.404886844,75.0,0.31666666,0.31666666,0.31666666,33.0
94,A01 Sunday,2024-04-07T10:07:16.000,39.151462355,-84.403718952,75.0,0.16666667,0.16666667,0.16666667,33.0
95,A01 Sunday,2024-04-07T10:08:16.000,39.159659207,-84.404908743,75.71667,0.083333336,0.083333336,0.083333336,33.0
96,A01 Sunday,2024-04-07T10:09:16.000,39.161164293,-84.403617878,76.0,0.22361112,0.22361112,0.22361112,33.083332
97,A01 Sunday,2024-04-07T10:10:16.000,39.16172914,-84.407866611,76.566666,0.0,0.0,0.0,35.044445
98,A01 Sunday,2024-04-07T10:11:16.000,39.159958916,-84.418122371,77.0,0.06666667,0.06666667,0.06666667,34.25
99,A01 Sunday,2024-04-07T10:12:16.000,39.160617796,-84.420840768,77.46667,0.083333336,0.083333336,0.083333336,33.85
100,A01 Sunday,2024-04-07T10:13:16.000,39.160840644,-84.424527886,78.0,0.05,0.05,0.05,33.133335
