,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,A02 Monday ,2024-04-01T16:35:26.000,39.142427123,-84.515043615,78.0,6.0,7.0,7.0,49.0
2,A02 Monday ,2024-04-01T16:35:27.000,39.142427123,-84.515043615,79.0,7.0,8.0,7.0,48.0
3,A02 Monday ,2024-04-01T16:35:28.000,39.142427123,-84.515043615,79.0,6.0,7.0,7.0,48.0
4,A02 Monday ,2024-04-01T16:35:29.000,39.142427123,-84.515043615,79.0,6.0,7.0,7.0,48.0
5,A02 Monday ,2024-04-01T16:35:30.000,39.142427123,-84.515043615,79.0,6.0,7.0,7.0,48.0
6,A02 Monday ,2024-04-01T16:35:31.000,39.142427123,-84.515043615,79.0,7.0,8.0,8.0,48.0
7,A02 Monday ,2024-04-01T16:35:32.000,39.142427123,-84.515043615,79.0,7.0,8.0,8.0,48.0
8,A02 Monday ,2024-04-01T16:35:33.000,39.142427123,-84.515043615,79.0,7.0,8.0,8.0,48.0
9,A02 Monday ,2024-04-01T16:35:34.000,39.142427123,-84.515043615,79.0,7.0,8.0,8.0,48.0
10,A02 Monday ,2024-04-01T16:35:35.000,39.142427123,-84.515043615,79.0,7.0,8.0,8.0,48.0
11,A02 Monday ,2024-04-01T16:35:36.000,39.142427123,-84.515043615,79.0,7.0,8.0,8.0,48.0
12,A02 Monday ,2024-04-01T16:35:37.000,39.142427123,-84.515043615,79.0,7.0,8.0,8.0,48.0
13,A02 Monday ,2024-04-01T16:35:38.000,39.142427123,-84.515043615,79.0,8.0,10.0,9.0,48.0
14,A02 Monday ,2024-04-01T16:35:39.000,39.142427123,-84.515043615,79.0,8.0,10.0,9.0,47.0
15,A02 Monday ,2024-04-01T16:35:40.000,39.142425821,-84.51504394,79.0,7.0,8.0,8.0,47.0
16,A02 Monday ,2024-04-01T16:35:41.000,39.142425821,-84.51504394,79.0,6.0,7.0,7.0,47.0
17,A02 Monday ,2024-04-01T16:35:42.000,39.142425821,-84.51504394,79.0,6.0,7.0,7.0,47.0
18,A02 Monday ,2024-04-01T16:35:43.000,39.142425821,-84.51504394,79.0,8.0,10.0,9.0,47.0
19,A02 Monday ,2024-04-01T16:35:44.000,39.142425821,-84.51504394,80.0,8.0,10.0,9.0,47.0
20,A02 Monday ,2024-04-01T16:35:45.000,39.142425821,-84.51504394,79.0,8.0,10.0,9.0,47.0
21,A02 Monday ,2024-04-01T16:35:46.000,39.142425821,-84.51504394,80.0,7.0,8.0,8.0,47.0
22,A02 Monday ,2024-04-01T16:35:47.000,39.142425821,-84.51504394,80.0,6.0,7.0,7.0,47.0
23,A02 Monday ,2024-04-01T16:35:48.000,39.142425821,-84.51504394,80.0,6.0,7.0,7.0,47.0
24,A02 Monday ,2024-04-01T16:35:49.000,39.142425821,-84.51504394,80.0,6.0,7.0,7.0,47.0
25,A02 Monday ,2024-04-01T16:35:50.000,39.142425821,-84.51504394,80.0,5.0,6.0,6.0,47.0
26,A02 Monday ,2024-04-01T16:35:51.000,39.142425821,-84.51504394,80.0,5.0,6.0,6.0,47.0
27,A02 Monday ,2024-04-01T16:35:52.000,39.142425821,-84.51504394,80.0,5.0,6.0,6.0,47.0
28,A02 Monday ,2024-04-01T16:35:53.000,39.142425821,-84.51504394,80.0,6.0,7.0,7.0,47.0
29,A02 Monday ,2024-04-01T16:35:54.000,39.142425821,-84.51504394,80.0,6.0,7.0,7.0,47.0
30,A02 Monday ,2024-04-01T16:35:55.000,39.142425381,-84.515044049,80.0,4.0,5.0,5.0,47.0
31,A02 Monday ,2024-04-01T16:35:56.000,39.142425381,-84.515044049,80.0,4.0,5.0,5.0,47.0
32,A02 Monday ,2024-04-01T16:35:57.000,39.142425381,-84.515044049,80.0,4.0,5.0,5.0,47.0
33,A02 Monday ,2024-04-01T16:35:58.000,39.142425381,-84.515044049,80.0,5.0,6.0,6.0,47.0
34,A02 Monday ,2024-04-01T16:35:59.000,39.142425381,-84.515044049,80.0,6.0,7.0,7.0,47.0
35,A02 Monday ,2024-04-01T16:36:00.000,39.142425381,-84.515044049,80.0,6.0,7.0,7.0,47.0
36,A02 Monday ,2024-04-01T16:36:01.000,39.142425381,-84.515044049,80.0,5.0,5.0,5.0,47.0
37,A02 Monday ,2024-04-01T16:36:02.000,39.142425381,-84.515044049,80.0,5.0,6.0,6.0,47.0
38,A02 Monday ,2024-04-01T16:36:03.000,39.142425381,-84.515044049,80.0,5.0,6.0,6.0,47.0
39,A02 Monday ,2024-04-01T16:36:04.000,39.142425381,-84.515044049,80.0,5.0,6.0,6.0,47.0
40,A02 Monday ,2024-04-01T16:36:05.000,39.142425381,-84.515044049,80.0,5.0,6.0,6.0,47.0
41,A02 Monday ,2024-04-01T16:36:06.000,39.142425381,-84.515044049,80.0,5.0,6.0,6.0,47.0
42,A02 Monday ,2024-04-01T16:36:07.000,39.142425381,-84.515044049,80.0,5.0,6.0,6.0,47.0
43,A02 Monday ,2024-04-01T16:36:08.000,39.142425381,-84.515044049,80.0,5.0,6.0,6.0,47.0
44,A02 Monday ,2024-04-01T16:36:09.000,39.142425381,-84.515044049,80.0,5.0,6.0,6.0,47.0
45,A02 Monday ,2024-04-01T16:36:10.000,39.142425233,-84.515044086,80.0,6.0,7.0,7.0,47.0
46,A02 Monday ,2024-04-01T16:36:11.000,39.142425233,-84.515044086,80.0,7.0,8.0,8.0,47.0
47,A02 Monday ,2024-04-01T16:36:12.000,39.142425233,-84.515044086,80.0,7.0,8.0,8.0,47.0
48,A02 Monday ,2024-04-01T16:36:13.000,39.142425233,-84.515044086,80.0,7.0,8.0,8.0,47.0
49,A02 Monday ,2024-04-01T16:36:14.000,39.142425233,-84.515044086,80.0,7.0,8.0,8.0,47.0
50,A02 Monday ,2024-04-01T16:36:15.000,39.142425233,-84.515044086,80.0,7.0,8.0,8.0,47.0
51,A02 Monday ,2024-04-01T16:36:16.000,39.142425233,-84.515044086,80.0,7.0,8.0,8.0,47.0
52,A02 Monday ,2024-04-01T16:36:17.000,39.142425233,-84.515044086,80.0,7.0,8.0,8.0,47.0
53,A02 Monday ,2024-04-01T16:36:18.000,39.142425233,-84.515044086,80.0,7.0,8.0,8.0,47.0
54,A02 Monday ,2024-04-01T16:36:19.000,39.142425233,-84.515044086,80.0,6.0,7.0,7.0,47.0
55,A02 Monday ,2024-04-01T16:36:20.000,39.142425233,-84.515044086,80.0,6.0,7.0,7.0,47.0
56,A02 Monday ,2024-04-01T16:36:21.000,39.142425233,-84.515044086,80.0,6.0,7.0,7.0,47.0
57,A02 Monday ,2024-04-01T16:36:22.000,39.142425233,-84.515044086,80.0,5.0,6.0,6.0,47.0
58,A02 Monday ,2024-04-01T16:36:23.000,39.142425233,-84.515044086,80.0,5.0,6.0,6.0,46.0
59,A02 Monday ,2024-04-01T16:36:24.000,39.142425233,-84.515044086,80.0,5.0,6.0,6.0,46.0
60,A02 Monday ,2024-04-01T16:36:25.000,39.142449243,-84.515071767,80.0,5.0,6.0,6.0,46.0
61,A02 Monday ,2024-04-01T16:36:26.000,39.142449243,-84.515071767,80.0,5.0,6.0,6.0,46.0
62,A02 Monday ,2024-04-01T16:36:27.000,39.142449243,-84.515071767,80.0,6.0,7.0,7.0,46.0
63,A02 Monday ,2024-04-01T16:36:28.000,39.142449243,-84.515071767,80.0,6.0,7.0,7.0,46.0
64,A02 Monday ,2024-04-01T16:36:29.000,39.142449243,-84.515071767,80.0,5.0,6.0,6.0,46.0
65,A02 Monday ,2024-04-01T16:36:30.000,39.142449243,-84.515071767,80.0,5.0,6.0,6.0,46.0
66,A02 Monday ,2024-04-01T16:36:31.000,39.142452328,-84.515068877,80.0,5.0,6.0,6.0,46.0
67,A02 Monday ,2024-04-01T16:36:32.000,39.142452328,-84.515068877,80.0,5.0,6.0,6.0,46.0
68,A02 Monday ,2024-04-01T16:36:33.000,39.142452328,-84.515068877,80.0,5.0,6.0,6.0,46.0
69,A02 Monday ,2024-04-01T16:36:34.000,39.142452328,-84.515068877,80.0,6.0,7.0,7.0,46.0
70,A02 Monday ,2024-04-01T16:36:35.000,39.142452328,-84.515068877,80.0,6.0,7.0,7.0,46.0
71,A02 Monday ,2024-04-01T16:36:36.000,39.142452328,-84.515068877,80.0,6.0,7.0,7.0,46.0
72,A02 Monday ,2024-04-01T16:36:37.000,39.142452328,-84.515068877,80.0,6.0,7.0,7.0,46.0
73,A02 Monday ,2024-04-01T16:36:38.000,39.142452328,-84.515068877,80.0,6.0,7.0,7.0,46.0
74,A02 Monday ,2024-04-01T16:36:39.000,39.142452328,-84.515068877,80.0,5.0,6.0,6.0,46.0
