,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,A03 fri,2024-04-05T06:55:51.000,39.142238072,-84.496553933,82.0,0.0,0.0,0.0,37.0
2,A03 fri,2024-04-05T06:55:52.000,39.142238072,-84.496553933,82.0,0.0,0.0,0.0,37.0
3,A03 fri,2024-04-05T06:55:53.000,39.142238072,-84.496553933,82.0,0.0,0.0,0.0,37.0
4,A03 fri,2024-04-05T06:55:54.000,39.142238072,-84.496553933,82.0,0.0,0.0,0.0,36.0
5,A03 fri,2024-04-05T06:55:55.000,39.142238072,-84.496553933,82.0,0.0,0.0,0.0,36.0
6,A03 fri,2024-04-05T06:55:57.000,39.142240157,-84.496581457,82.0,,,,
7,A03 fri,2024-04-05T06:55:57.000,39.142236094,-84.496577965,82.0,,,,
8,A03 fri,2024-04-05T06:55:57.000,39.142240157,-84.496581457,,1.0,,,
9,A03 fri,2024-04-05T06:55:57.000,39.142236094,-84.496577965,,1.0,1.0,,
10,A03 fri,2024-04-05T06:55:57.000,39.142240157,-84.496581457,,,1.0,1.0,
11,A03 fri,2024-04-05T06:55:57.000,39.142236094,-84.496577965,,,,1.0,36.0
12,A03 fri,2024-04-05T06:55:57.000,39.142240157,-84.496581457,,,,,36.0
13,A03 fri,2024-04-05T06:55:58.000,39.142240802,-84.496580132,82.0,2.0,2.0,2.0,36.0
14,A03 fri,2024-04-05T06:55:59.000,39.142242827,-84.496577424,82.0,2.0,2.0,2.0,35.0
15,A03 fri,2024-04-05T06:56:01.000,39.142244948,-84.496576407,82.0,2.0,2.0,2.0,35.0
16,A03 fri,2024-04-05T06:56:02.000,39.142256497,-84.496570972,82.0,,,,
17,A03 fri,2024-04-05T06:56:02.000,39.142250211,-84.496577306,82.0,1.0,,,
18,A03 fri,2024-04-05T06:56:02.000,39.142256497,-84.496570972,,0.0,,,
19,A03 fri,2024-04-05T06:56:02.000,39.142250211,-84.496577306,,,1.0,,
20,A03 fri,2024-04-05T06:56:02.000,39.142256497,-84.496570972,,,0.0,,
21,A03 fri,2024-04-05T06:56:02.000,39.142250211,-84.496577306,,,,1.0,
22,A03 fri,2024-04-05T06:56:02.000,39.142256497,-84.496570972,,,,0.0,
23,A03 fri,2024-04-05T06:56:02.000,39.142250211,-84.496577306,,,,,34.0
24,A03 fri,2024-04-05T06:56:02.000,39.142256497,-84.496570972,,,,,34.0
25,A03 fri,2024-04-05T06:56:04.000,39.142257163,-84.496560925,82.0,,,,
26,A03 fri,2024-04-05T06:56:04.000,39.142259014,-84.496567221,82.0,,,,
27,A03 fri,2024-04-05T06:56:04.000,39.142257163,-84.496560925,,0.0,,,
28,A03 fri,2024-04-05T06:56:04.000,39.142259014,-84.496567221,,0.0,0.0,,
29,A03 fri,2024-04-05T06:56:04.000,39.142257163,-84.496560925,,,0.0,,
30,A03 fri,2024-04-05T06:56:04.000,39.142259014,-84.496567221,,,,0.0,
31,A03 fri,2024-04-05T06:56:04.000,39.142257163,-84.496560925,,,,0.0,
32,A03 fri,2024-04-05T06:56:04.000,39.142259014,-84.496567221,,,,,34.0
33,A03 fri,2024-04-05T06:56:04.000,39.142257163,-84.496560925,,,,,33.0
34,A03 fri,2024-04-05T06:56:06.000,39.142257462,-84.496559275,82.0,0.0,0.0,0.0,33.0
35,A03 fri,2024-04-05T06:56:07.000,39.14225989,-84.496555597,82.0,,,,
36,A03 fri,2024-04-05T06:56:07.000,39.142263954,-84.496555155,82.0,0.0,,,
37,A03 fri,2024-04-05T06:56:07.000,39.14225989,-84.496555597,,0.0,,,
38,A03 fri,2024-04-05T06:56:07.000,39.142263954,-84.496555155,,,0.0,,
39,A03 fri,2024-04-05T06:56:07.000,39.14225989,-84.496555597,,,0.0,,
40,A03 fri,2024-04-05T06:56:07.000,39.142263954,-84.496555155,,,,0.0,
41,A03 fri,2024-04-05T06:56:07.000,39.14225989,-84.496555597,,,,0.0,33.0
42,A03 fri,2024-04-05T06:56:07.000,39.142263954,-84.496555155,,,,,33.0
43,A03 fri,2024-04-05T06:56:09.000,39.142265532,-84.496552604,82.0,,,,
44,A03 fri,2024-04-05T06:56:09.000,39.142267772,-84.496552597,82.0,0.0,,,
45,A03 fri,2024-04-05T06:56:09.000,39.142265532,-84.496552604,,0.0,,,
46,A03 fri,2024-04-05T06:56:09.000,39.142267772,-84.496552597,,,0.0,,
