,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,A03 mon 2,2024-04-08T00:08:43.000,39.14220981,-84.496421676,87.0,0.0,0.0,0.0,21.0
2,A03 mon 2,2024-04-08T00:09:43.000,39.142336106,-84.496477102,87.0,0.0,0.0,0.0,21.0
3,A03 mon 2,2024-04-08T00:10:43.000,39.142336106,-84.496477102,87.0,0.0,0.0,0.0,21.0
4,A03 mon 2,2024-04-08T00:11:43.000,39.142336106,-84.496477102,87.0,0.06666667,0.06666667,0.06666667,21.0
5,A03 mon 2,2024-04-08T00:12:43.000,39.142336106,-84.496477102,87.0,0.033333335,0.033333335,0.033333335,21.0
6,A03 mon 2,2024-04-08T00:13:43.000,39.142336106,-84.496477102,87.0,0.083333336,0.083333336,0.083333336,21.0
7,A03 mon 2,2024-04-08T00:14:43.000,39.142336106,-84.496477102,87.0,0.0,0.0,0.0,21.0
8,A03 mon 2,2024-04-08T00:15:43.000,39.142336106,-84.496477102,87.0,0.0,0.0,0.0,21.0
9,A03 mon 2,2024-04-08T00:16:43.000,39.142336106,-84.496477102,87.0,0.0,0.0,0.0,21.0
10,A03 mon 2,2024-04-08T00:17:43.000,39.142260391,-84.496349114,87.0,0.0,0.0,0.0,21.0
11,A03 mon 2,2024-04-08T00:18:43.000,39.142260391,-84.496349114,87.0,0.0,0.0,0.0,21.0
12,A03 mon 2,2024-04-08T00:19:43.000,39.142260391,-84.496349114,87.0,0.0,0.0,0.0,21.0
13,A03 mon 2,2024-04-08T00:20:43.000,39.142260391,-84.496349114,87.0,0.0,0.0,0.0,21.0
14,A03 mon 2,2024-04-08T00:21:43.000,39.142260391,-84.496349114,87.0,0.0,0.0,0.0,21.0
15,A03 mon 2,2024-04-08T00:22:43.000,39.142255357,-84.49650553,87.0,0.0,0.0,0.0,21.0
16,A03 mon 2,2024-04-08T00:23:43.000,39.142255357,-84.49650553,87.0,0.0,0.0,0.0,21.0
17,A03 mon 2,2024-04-08T00:24:43.000,39.142255357,-84.49650553,87.0,0.0,0.0,0.0,21.0
18,A03 mon 2,2024-04-08T00:25:43.000,39.14228501,-84.496543227,87.0,0.0,0.0,0.0,21.0
19,A03 mon 2,2024-04-08T00:26:43.000,39.14228501,-84.496543227,87.0,0.0,0.0,0.0,21.0
20,A03 mon 2,2024-04-08T00:27:43.000,39.14228501,-84.496543227,87.0,0.06666667,0.06666667,0.06666667,21.0
21,A03 mon 2,2024-04-08T00:28:43.000,39.14228501,-84.496543227,87.0,0.0,0.0,0.0,21.0
22,A03 mon 2,2024-04-08T00:29:43.000,39.14228501,-84.496543227,87.0,0.0,0.0,0.0,21.0
23,A03 mon 2,2024-04-08T00:30:43.000,39.14228501,-84.496543227,87.0,0.0,0.0,0.0,21.0
24,A03 mon 2,2024-04-08T00:31:43.000,39.14228501,-84.496543227,87.0,0.0,0.0,0.0,21.0
25,A03 mon 2,2024-04-08T00:32:43.000,39.14228501,-84.496543227,87.0,0.0,0.0,0.0,21.0
26,A03 mon 2,2024-04-08T00:33:43.000,39.14228501,-84.496543227,87.0,0.0,0.0,0.0,21.0
27,A03 mon 2,2024-04-08T00:34:43.000,39.14228501,-84.496543227,87.0,0.0,0.0,0.0,21.0
28,A03 mon 2,2024-04-08T00:35:43.000,39.14235701,-84.496407353,87.0,0.0,0.0,0.0,21.0
29,A03 mon 2,2024-04-08T00:36:43.000,39.142278123,-84.496513303,87.0,0.0,0.0,0.0,21.0
30,A03 mon 2,2024-04-08T00:37:43.000,39.142278123,-84.496513303,87.0,0.0,0.0,0.0,21.0
31,A03 mon 2,2024-04-08T00:38:43.000,39.142278123,-84.496513303,87.0,0.0,0.0,0.0,21.0
32,A03 mon 2,2024-04-08T00:39:43.000,39.142278123,-84.496513303,87.0,0.0,0.0,0.0,21.0
33,A03 mon 2,2024-04-08T00:40:43.000,39.142278123,-84.496513303,87.0,0.0,0.0,0.0,21.0
34,A03 mon 2,2024-04-08T00:41:43.000,39.142278123,-84.496513303,87.0,0.0,0.0,0.0,21.0
35,A03 mon 2,2024-04-08T00:42:43.000,39.142278123,-84.496513303,87.0,0.0,0.0,0.0,21.0
36,A03 mon 2,2024-04-08T00:43:43.000,39.142278123,-84.496513303,87.0,0.0,0.0,0.0,21.0
