,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,A03 Monday ,2024-04-01T17:09:50.000,39.142498418,-84.515069907,75.0,4.0,5.0,4.0,50.0
2,A03 Monday ,2024-04-01T17:09:51.000,39.142498418,-84.515069907,76.0,5.0,6.0,6.0,49.0
3,A03 Monday ,2024-04-01T17:09:52.000,39.142498418,-84.515069907,76.0,4.0,5.0,5.0,49.0
4,A03 Monday ,2024-04-01T17:09:53.000,39.142498418,-84.515069907,76.0,4.0,5.0,5.0,49.0
5,A03 Monday ,2024-04-01T17:09:54.000,39.142498418,-84.515069907,76.0,4.0,5.0,5.0,49.0
6,A03 Monday ,2024-04-01T17:09:55.000,39.142498418,-84.515069907,76.0,5.0,6.0,6.0,49.0
7,A03 Monday ,2024-04-01T17:09:56.000,39.142498418,-84.515069907,76.0,5.0,6.0,6.0,49.0
8,A03 Monday ,2024-04-01T17:09:57.000,39.142498418,-84.515069907,76.0,5.0,6.0,6.0,49.0
9,A03 Monday ,2024-04-01T17:09:58.000,39.142498418,-84.515069907,76.0,5.0,6.0,6.0,49.0
10,A03 Monday ,2024-04-01T17:09:59.000,39.142498418,-84.515069907,76.0,4.0,5.0,5.0,49.0
11,A03 Monday ,2024-04-01T17:10:00.000,39.142498487,-84.515070191,76.0,4.0,5.0,5.0,49.0
12,A03 Monday ,2024-04-01T17:10:01.000,39.142498487,-84.515070191,76.0,4.0,5.0,5.0,49.0
13,A03 Monday ,2024-04-01T17:10:02.000,39.142498487,-84.515070191,76.0,4.0,5.0,5.0,49.0
14,A03 Monday ,2024-04-01T17:10:03.000,39.142498487,-84.515070191,76.0,4.0,5.0,5.0,49.0
15,A03 Monday ,2024-04-01T17:10:04.000,39.142498487,-84.515070191,76.0,3.0,4.0,3.0,49.0
16,A03 Monday ,2024-04-01T17:10:05.000,39.142498487,-84.515070191,76.0,3.0,4.0,3.0,49.0
17,A03 Monday ,2024-04-01T17:10:06.000,39.142498487,-84.515070191,76.0,3.0,4.0,3.0,49.0
18,A03 Monday ,2024-04-01T17:10:07.000,39.142498487,-84.515070191,76.0,3.0,4.0,3.0,49.0
19,A03 Monday ,2024-04-01T17:10:08.000,39.142498487,-84.515070191,76.0,3.0,4.0,3.0,49.0
20,A03 Monday ,2024-04-01T17:10:09.000,39.142498487,-84.515070191,76.0,3.0,4.0,3.0,49.0
21,A03 Monday ,2024-04-01T17:10:10.000,39.142498487,-84.515070191,76.0,3.0,4.0,3.0,49.0
22,A03 Monday ,2024-04-01T17:10:11.000,39.142498487,-84.515070191,76.0,3.0,4.0,3.0,49.0
23,A03 Monday ,2024-04-01T17:10:12.000,39.142498487,-84.515070191,76.0,4.0,4.0,4.0,49.0
24,A03 Monday ,2024-04-01T17:10:13.000,39.142498487,-84.515070191,76.0,5.0,6.0,6.0,49.0
25,A03 Monday ,2024-04-01T17:10:14.000,39.142498487,-84.515070191,76.0,5.0,6.0,6.0,49.0
26,A03 Monday ,2024-04-01T17:10:15.000,39.142498512,-84.515070292,76.0,5.0,6.0,6.0,49.0
27,A03 Monday ,2024-04-01T17:10:16.000,39.142498512,-84.515070292,76.0,5.0,6.0,6.0,49.0
28,A03 Monday ,2024-04-01T17:10:17.000,39.142498512,-84.515070292,76.0,5.0,6.0,6.0,49.0
29,A03 Monday ,2024-04-01T17:10:18.000,39.142498512,-84.515070292,76.0,5.0,6.0,6.0,49.0
30,A03 Monday ,2024-04-01T17:10:19.000,39.142498512,-84.515070292,76.0,4.0,5.0,5.0,49.0
31,A03 Monday ,2024-04-01T17:10:20.000,39.142498512,-84.515070292,76.0,4.0,5.0,5.0,49.0
32,A03 Monday ,2024-04-01T17:10:21.000,39.142498512,-84.515070292,76.0,4.0,5.0,5.0,49.0
33,A03 Monday ,2024-04-01T17:10:22.000,39.142498512,-84.515070292,76.0,4.0,5.0,5.0,49.0
34,A03 Monday ,2024-04-01T17:10:23.000,39.142498512,-84.515070292,76.0,4.0,5.0,5.0,49.0
35,A03 Monday ,2024-04-01T17:10:24.000,39.142498512,-84.515070292,76.0,4.0,5.0,5.0,49.0
36,A03 Monday ,2024-04-01T17:10:25.000,39.142498512,-84.515070292,76.0,5.0,6.0,6.0,49.0
37,A03 Monday ,2024-04-01T17:10:26.000,39.142498512,-84.515070292,76.0,5.0,6.0,6.0,49.0
