,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,A03 thur,2024-04-04T13:45:59.000,39.145905397,-84.476724967,87.0,0.0,0.0,0.0,24.0
2,A03 thur,2024-04-04T13:46:59.000,39.145889675,-84.476700557,87.0,0.0,0.0,0.0,24.0
3,A03 thur,2024-04-04T13:47:59.000,39.145867285,-84.476799141,87.0,0.0,,,
4,A03 thur,2024-04-04T13:47:59.000,39.145887904,-84.476792796,,,0.0,,
5,A03 thur,2024-04-04T13:47:59.000,39.145867285,-84.476799141,,,,0.0,24.1
6,A03 thur,2024-04-04T13:48:59.000,39.145685914,-84.477458539,86.683334,,,,
7,A03 thur,2024-04-04T13:48:59.000,39.145681834,-84.477470039,,0.18333334,0.18333334,0.18333334,23.066668
8,A03 thur,2024-04-04T13:49:59.000,39.145877338,-84.477628988,85.166664,0.96666664,1.0333333,1.0333333,23.816668
9,A03 thur,2024-04-04T13:50:59.000,39.146594732,-84.47705838,83.5,0.5833333,0.6666667,0.6666667,25.0
10,A03 thur,2024-04-04T13:51:59.000,39.146679091,-84.474508774,82.333336,0.0,0.0,0.0,25.683332
11,A03 thur,2024-04-04T13:52:59.000,39.147740487,-84.473635323,81.35,0.0,0.0,0.0,26.0
12,A03 thur,2024-04-04T13:53:59.000,39.146890763,-84.473234558,80.416664,0.1,0.1,0.1,26.0
13,A03 thur,2024-04-04T13:54:59.000,39.146892383,-84.473266527,79.5,0.0,0.0,0.0,26.895834
14,A03 thur,2024-04-04T13:55:59.000,39.14718156,-84.473665217,78.566666,0.98333335,1.0,0.98333335,27.4875
15,A03 thur,2024-04-04T13:56:59.000,39.147182893,-84.473891198,77.083336,0.33333334,0.35,0.33333334,29.516666
16,A03 thur,2024-04-04T13:57:59.000,39.146917145,-84.474075823,76.78333,0.46666667,0.53333336,0.53333336,30.133333
17,A03 thur,2024-04-04T13:58:59.000,39.14692829,-84.474178029,76.26667,0.53333336,0.6166667,0.6166667,30.0
18,A03 thur,2024-04-04T13:59:59.000,39.146945253,-84.474095521,76.95,0.0,0.0,0.0,30.0
19,A03 thur,2024-04-04T14:00:59.000,39.146951254,-84.474104871,77.0,0.0,0.0,0.0,29.7
20,A03 thur,2024-04-04T14:01:59.000,39.146897916,-84.474113412,77.0,0.0,0.0,0.0,29.05
21,A03 thur,2024-04-04T14:02:59.000,39.146897916,-84.474113412,77.0,0.0,0.0,0.0,29.0
22,A03 thur,2024-04-04T14:03:59.000,39.146906032,-84.474129429,77.38333,0.0,0.0,0.0,29.0
23,A03 thur,2024-04-04T14:04:59.000,39.146906032,-84.474129429,78.0,0.0,0.0,0.0,29.0
24,A03 thur,2024-04-04T14:05:59.000,39.146969744,-84.474021915,78.0,0.0,0.0,0.0,29.0
25,A03 thur,2024-04-04T14:06:59.000,39.146969744,-84.474021915,78.0,0.0,0.0,0.0,29.0
26,A03 thur,2024-04-04T14:07:59.000,39.146962688,-84.474230535,78.0,0.0,0.0,0.0,28.783333
27,A03 thur,2024-04-04T14:08:59.000,39.146966199,-84.474300818,78.816666,0.0,0.0,0.0,28.0
28,A03 thur,2024-04-04T14:09:59.000,39.146983561,-84.474098448,79.0,0.0,0.0,0.0,28.0
29,A03 thur,2024-04-04T14:10:59.000,39.146983561,-84.474098448,79.0,0.0,0.0,0.0,28.0
30,A03 thur,2024-04-04T14:11:59.000,39.146983561,-84.474098448,79.0,0.0,0.0,0.0,28.0
31,A03 thur,2024-04-04T14:12:59.000,39.146971009,-84.474099412,79.0,0.0,0.0,0.0,28.0
32,A03 thur,2024-04-04T14:13:59.000,39.146971009,-84.474099412,79.066666,0.0,0.0,0.0,28.0
33,A03 thur,2024-04-04T14:14:59.000,39.146953494,-84.474018037,79.86667,0.0,0.0,0.0,28.0
34,A03 thur,2024-04-04T14:15:59.000,39.146935116,-84.473994598,80.0,0.0,0.0,0.0,28.0
35,A03 thur,2024-04-04T14:16:59.000,39.146935116,-84.473994598,80.0,0.0,0.0,0.0,28.0
36,A03 thur,2024-04-04T14:17:59.000,39.146935116,-84.473994598,80.0,0.0,0.0,0.0,28.0
37,A03 thur,2024-04-04T14:18:59.000,39.146935116,-84.473994598,80.0,0.0,0.0,0.0,28.0
38,A03 thur,2024-04-04T14:19:59.000,39.146947758,-84.474090236,80.0,0.0,0.0,0.0,27.3
