,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,A03 Tue 2,2024-04-08T21:20:27.000,39.142346906,-84.496488816,90.0,,,,
2,A03 Tue 2,2024-04-09T06:58:37.000,39.142305186,-84.496545103,90.0,6.733333,7.866667,7.7166667,30.933332
3,A03 Tue 2,2024-04-09T06:59:37.000,39.142305186,-84.496545103,89.71667,7.3,8.566667,8.183333,31.0
4,A03 Tue 2,2024-04-09T07:00:37.000,39.142305186,-84.496545103,89.0,6.8625,8.1125,7.829167,31.0
5,A03 Tue 2,2024-04-09T07:01:37.000,39.142305186,-84.496545103,89.0,5.6,6.6,6.6,31.0
6,A03 Tue 2,2024-04-09T07:02:37.000,39.142305186,-84.496545103,88.48333,5.9333334,6.9333334,6.9166665,31.533333
7,A03 Tue 2,2024-04-09T07:03:37.000,39.142305186,-84.496545103,88.0,5.483333,6.483333,6.4166665,32.0
8,A03 Tue 2,2024-04-09T07:04:37.000,39.142347333,-84.49666217,88.0,6.0666666,7.0666666,7.0333333,32.0
9,A03 Tue 2,2024-04-09T07:05:37.000,39.142347333,-84.49666217,87.48333,5.983333,6.983333,6.983333,32.85
10,A03 Tue 2,2024-04-09T07:06:37.000,39.142351776,-84.496579115,87.0,4.5208335,5.3375,5.304167,32.9125
11,A03 Tue 2,2024-04-09T07:07:37.000,39.142351776,-84.496579115,86.933334,0.75,0.75,0.75,28.383333
12,A03 Tue 2,2024-04-09T07:08:37.000,39.142351776,-84.496579115,86.0,2.75,3.4,3.0666666,28.566668
13,A03 Tue 2,2024-04-09T07:09:37.000,39.142351776,-84.496579115,85.933334,4.016667,5.0,4.95,29.933332
14,A03 Tue 2,2024-04-09T07:10:37.000,39.142341987,-84.496733879,85.0,4.5333333,5.516667,5.4666667,30.083334
15,A03 Tue 2,2024-04-09T07:11:37.000,39.140268349,-84.496146326,84.98333,6.0,7.0666666,6.983333,30.116667
16,A03 Tue 2,2024-04-09T07:12:37.000,39.135166158,-84.496875174,84.1,5.95,6.95,6.9166665,30.8875
17,A03 Tue 2,2024-04-09T07:13:37.000,39.134693261,-84.493954461,84.0,5.3333335,6.3333335,6.3333335,32.65
18,A03 Tue 2,2024-04-09T07:14:37.000,39.134703491,-84.493514838,84.0,5.2,6.1666665,6.1666665,33.3
19,A03 Tue 2,2024-04-09T07:15:37.000,39.142813491,-84.481683856,83.88333,4.0333333,5.0333333,4.866667,34.0
20,A03 Tue 2,2024-04-09T07:16:37.000,39.143091106,-84.46062641,83.05,3.4,4.2833333,3.7666667,34.816666
21,A03 Tue 2,2024-04-09T07:17:37.000,39.149376436,-84.445511876,83.01667,3.8166666,4.75,4.55,35.266666
22,A03 Tue 2,2024-04-09T07:18:37.000,39.146042824,-84.442829616,83.0,3.9333334,4.9166665,4.85,36.0
23,A03 Tue 2,2024-04-09T07:19:37.000,39.141352783,-84.443208759,83.0,3.1833334,4.016667,3.45,36.0
24,A03 Tue 2,2024-04-09T07:20:37.000,39.138416298,-84.443709476,83.0,2.976389,3.8972223,3.0319445,36.729168
25,A03 Tue 2,2024-04-09T07:21:37.000,39.138462645,-84.444078087,83.05,2.85,3.6666667,2.8833334,37.0
26,A03 Tue 2,2024-04-09T07:22:37.000,39.138319934,-84.444042092,83.458336,2.4666667,2.8666666,2.5666666,37.033333
27,A03 Tue 2,2024-04-09T07:23:37.000,39.137663697,-84.44455564,83.96667,2.2875,2.6583333,2.2875,37.072224
28,A03 Tue 2,2024-04-09T07:24:37.000,39.137941258,-84.451252499,84.0,2.4166667,2.8666666,2.45,37.8
29,A03 Tue 2,2024-04-09T07:25:37.000,39.138363116,-84.454235628,84.0,2.85,3.65,2.9,37.916668
30,A03 Tue 2,2024-04-09T07:26:37.000,39.141961486,-84.454961249,84.0,2.3,2.6333334,2.3,38.0
31,A03 Tue 2,2024-04-09T07:27:37.000,39.145308116,-84.458140719,84.0,1.35,1.4166666,1.35,38.0
32,A03 Tue 2,2024-04-09T07:28:37.000,39.146062755,-84.465107803,84.0,,,,
33,A03 Tue 2,2024-04-09T07:28:37.000,39.146075165,-84.465277335,,1.5416666,1.675,,
34,A03 Tue 2,2024-04-09T07:28:37.000,39.146062755,-84.465107803,,,,1.5416666,
35,A03 Tue 2,2024-04-09T07:28:37.000,39.146075165,-84.465277335,,,,,38.0
