,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,A03sat,2024-04-06T13:28:27.000,39.142308214,-84.496550895,97.0,0.0,0.0,0.0,19.0
2,A03sat,2024-04-06T13:28:32.000,39.142308706,-84.496496961,97.0,0.0,0.0,0.0,19.0
3,A03sat,2024-04-06T13:28:37.000,39.142325443,-84.49652002,97.0,0.0,0.0,0.0,19.0
4,A03sat,2024-04-06T13:28:42.000,39.142325443,-84.49652002,97.0,0.0,0.0,0.0,19.0
5,A03sat,2024-04-06T13:28:47.000,39.142325443,-84.49652002,97.0,0.0,0.0,0.0,19.0
6,A03sat,2024-04-06T13:28:52.000,39.142325443,-84.49652002,97.0,0.0,0.0,0.0,19.0
7,A03sat,2024-04-06T13:28:57.000,39.142325443,-84.49652002,97.0,0.0,0.0,0.0,19.0
8,A03sat,2024-04-06T13:29:02.000,39.142325443,-84.49652002,97.0,0.0,0.0,0.0,19.0
9,A03sat,2024-04-06T13:29:07.000,39.142325443,-84.49652002,97.0,0.0,0.0,0.0,19.0
10,A03sat,2024-04-06T13:29:12.000,39.142325443,-84.49652002,97.0,0.0,0.0,0.0,19.0
11,A03sat,2024-04-06T13:29:17.000,39.142325443,-84.49652002,97.0,0.0,0.0,0.0,19.0
12,A03sat,2024-04-06T13:29:22.000,39.142336622,-84.496515761,97.0,0.0,0.0,0.0,19.0
13,A03sat,2024-04-06T13:29:27.000,39.142336622,-84.496515761,97.0,0.0,0.0,0.0,19.0
14,A03sat,2024-04-06T13:29:32.000,39.142336622,-84.496515761,97.0,0.0,0.0,0.0,19.0
15,A03sat,2024-04-06T13:29:37.000,39.142336622,-84.496515761,97.0,0.0,0.0,0.0,19.0
16,A03sat,2024-04-06T13:29:42.000,39.142336622,-84.496515761,97.0,0.0,0.0,0.0,19.0
17,A03sat,2024-04-06T13:29:47.000,39.142336622,-84.496515761,97.0,0.0,0.0,0.0,19.0
18,A03sat,2024-04-06T13:29:52.000,39.142336622,-84.496515761,96.6,0.0,0.0,0.0,19.8
19,A03sat,2024-04-06T13:29:57.000,39.142336622,-84.496515761,96.2,0.0,0.0,0.0,19.0
20,A03sat,2024-04-06T13:30:02.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,19.0
21,A03sat,2024-04-06T13:30:07.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,19.0
22,A03sat,2024-04-06T13:30:12.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,19.2
23,A03sat,2024-04-06T13:30:17.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
24,A03sat,2024-04-06T13:30:22.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
25,A03sat,2024-04-06T13:30:27.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
26,A03sat,2024-04-06T13:30:32.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
27,A03sat,2024-04-06T13:30:37.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
28,A03sat,2024-04-06T13:30:42.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
29,A03sat,2024-04-06T13:30:47.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
30,A03sat,2024-04-06T13:30:52.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
31,A03sat,2024-04-06T13:30:57.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
32,A03sat,2024-04-06T13:31:02.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
33,A03sat,2024-04-06T13:31:07.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
34,A03sat,2024-04-06T13:31:12.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
35,A03sat,2024-04-06T13:31:17.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
36,A03sat,2024-04-06T13:31:22.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
37,A03sat,2024-04-06T13:31:27.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.6
38,A03sat,2024-04-06T13:31:32.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.8
39,A03sat,2024-04-06T13:31:37.000,39.142336622,-84.496515761,96.0,0.0,0.0,0.0,20.0
