,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110,AirBeam3:8c4b14025110
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,A03wed,2024-04-03T11:49:47.000,39.145783078,-84.476894644,72.0,0.0,0.0,0.0,36.0
2,A03wed,2024-04-03T11:49:48.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
3,A03wed,2024-04-03T11:49:49.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
4,A03wed,2024-04-03T11:49:50.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
5,A03wed,2024-04-03T11:49:51.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
6,A03wed,2024-04-03T11:49:52.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
7,A03wed,2024-04-03T11:49:53.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
8,A03wed,2024-04-03T11:49:54.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
9,A03wed,2024-04-03T11:49:55.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
10,A03wed,2024-04-03T11:49:56.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
11,A03wed,2024-04-03T11:49:57.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
12,A03wed,2024-04-03T11:49:58.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
13,A03wed,2024-04-03T11:49:59.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
14,A03wed,2024-04-03T11:50:01.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
15,A03wed,2024-04-03T11:50:02.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
16,A03wed,2024-04-03T11:50:04.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,36.0
17,A03wed,2024-04-03T11:50:06.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,35.0
18,A03wed,2024-04-03T11:50:07.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,35.0
19,A03wed,2024-04-03T11:50:09.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,35.0
20,A03wed,2024-04-03T11:50:11.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,35.0
21,A03wed,2024-04-03T11:50:12.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,35.0
22,A03wed,2024-04-03T11:50:14.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,35.0
23,A03wed,2024-04-03T11:50:16.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,35.0
24,A03wed,2024-04-03T11:50:17.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,35.0
25,A03wed,2024-04-03T11:50:19.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,35.0
26,A03wed,2024-04-03T11:50:21.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,35.0
27,A03wed,2024-04-03T11:50:22.000,39.145783078,-84.476894644,74.0,0.0,0.0,0.0,35.0
28,A03wed,2024-04-03T11:50:24.000,39.145783078,-84.476894644,75.0,0.0,0.0,0.0,35.0
29,A03wed,2024-04-03T11:50:26.000,39.145783078,-84.476894644,75.0,0.0,0.0,0.0,35.0
30,A03wed,2024-04-03T11:50:27.000,39.145783078,-84.476894644,75.0,0.0,0.0,0.0,35.0
31,A03wed,2024-04-03T11:50:29.000,39.145783078,-84.476894644,75.0,0.0,0.0,0.0,35.0
32,A03wed,2024-04-03T11:50:31.000,39.145783078,-84.476894644,75.0,0.0,0.0,0.0,35.0
33,A03wed,2024-04-03T11:50:32.000,39.145783078,-84.476894644,75.0,0.0,0.0,0.0,34.0
34,A03wed,2024-04-03T11:50:34.000,39.145783078,-84.476894644,75.0,0.0,0.0,0.0,34.0
35,A03wed,2024-04-03T11:50:36.000,39.145783078,-84.476894644,75.0,0.0,0.0,0.0,34.0
36,A03wed,2024-04-03T11:50:37.000,39.145783078,-84.476894644,75.0,0.0,0.0,0.0,34.0
37,A03wed,2024-04-03T11:50:39.000,39.145783078,-84.476894644,75.0,0.0,0.0,0.0,34.0
38,A03wed,2024-04-03T11:50:41.000,39.145783078,-84.476894644,75.0,0.0,0.0,0.0,34.0
39,A03wed,2024-04-03T11:50:42.000,39.145783078,-84.476894644,75.0,0.0,0.0,0.0,34.0
