,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,AB004 Saturday,2024-04-13T00:33:01.000,39.150797875,-84.501232064,69.0,0.0,,,52.0
2,AB004 Saturday,2024-04-13T08:07:05.000,39.150816354,-84.501249511,69.0,0.0,0.0,0.0,53.0
3,AB004 Saturday,2024-04-13T08:07:10.000,39.150814248,-84.501230189,69.0,0.0,0.0,0.0,53.0
4,AB004 Saturday,2024-04-13T08:07:15.000,39.15080744,-84.501213927,69.6,0.0,0.0,0.0,53.0
5,AB004 Saturday,2024-04-13T08:07:20.000,39.150818399,-84.50119003,70.0,0.0,0.0,0.0,53.0
6,AB004 Saturday,2024-04-13T08:07:25.000,39.150826363,-84.501191122,70.0,0.0,0.0,0.0,53.0
7,AB004 Saturday,2024-04-13T08:07:30.000,39.150826363,-84.501191122,70.0,0.0,0.0,0.0,53.0
8,AB004 Saturday,2024-04-13T08:07:35.000,39.150831043,-84.501205889,70.0,0.0,0.0,0.0,53.0
9,AB004 Saturday,2024-04-13T08:07:40.000,39.150828133,-84.501188696,70.0,0.0,0.0,0.0,53.0
10,AB004 Saturday,2024-04-13T08:07:45.000,39.150833943,-84.501194797,70.0,0.0,0.0,0.0,52.8
11,AB004 Saturday,2024-04-13T08:07:50.000,39.150844386,-84.501208363,70.0,0.0,0.0,0.0,52.0
12,AB004 Saturday,2024-04-13T08:07:55.000,39.150834598,-84.501213329,70.0,0.0,0.0,0.0,52.0
13,AB004 Saturday,2024-04-13T08:08:00.000,39.150834598,-84.501213329,70.0,0.0,0.0,0.0,52.0
14,AB004 Saturday,2024-04-13T08:08:05.000,39.150834598,-84.501213329,70.0,0.0,0.0,0.0,52.0
15,AB004 Saturday,2024-04-13T08:08:10.000,39.150838739,-84.501238818,70.0,0.0,0.0,0.0,52.0
16,AB004 Saturday,2024-04-13T08:08:15.000,39.150849666,-84.501221152,70.0,0.0,0.0,0.0,52.0
17,AB004 Saturday,2024-04-13T08:08:20.000,39.150849666,-84.501221152,70.0,0.0,0.0,0.0,52.0
18,AB004 Saturday,2024-04-13T08:08:25.000,39.150849666,-84.501221152,70.0,0.0,0.0,0.0,52.0
19,AB004 Saturday,2024-04-13T08:08:30.000,39.150849666,-84.501221152,70.0,0.0,0.0,0.0,52.0
20,AB004 Saturday,2024-04-13T08:08:35.000,39.150818264,-84.501200256,70.6,0.0,0.0,0.0,51.0
21,AB004 Saturday,2024-04-13T08:08:40.000,39.15081971,-84.501214357,71.0,0.0,0.0,0.0,51.0
22,AB004 Saturday,2024-04-13T08:08:45.000,39.15081971,-84.501214357,71.0,0.0,0.0,0.0,51.0
23,AB004 Saturday,2024-04-13T08:08:50.000,39.15081971,-84.501214357,71.0,0.0,0.0,0.0,51.0
24,AB004 Saturday,2024-04-13T08:08:55.000,39.15081971,-84.501214357,71.0,0.0,0.0,0.0,51.0
25,AB004 Saturday,2024-04-13T08:09:00.000,39.15081971,-84.501214357,71.0,0.0,0.0,0.0,51.0
26,AB004 Saturday,2024-04-13T08:09:05.000,39.15081971,-84.501214357,71.0,0.0,0.0,0.0,51.0
27,AB004 Saturday,2024-04-13T08:09:10.000,39.15081971,-84.501214357,71.0,0.0,0.0,0.0,51.0
28,AB004 Saturday,2024-04-13T08:09:15.000,39.15081971,-84.501214357,71.0,0.0,0.0,0.0,51.0
29,AB004 Saturday,2024-04-13T08:09:20.000,39.15081971,-84.501214357,71.0,0.0,0.0,0.0,51.0
30,AB004 Saturday,2024-04-13T08:09:25.000,39.15081971,-84.501214357,71.0,0.0,0.0,0.0,50.8
31,AB004 Saturday,2024-04-13T08:09:30.000,39.15087726,-84.501199384,71.0,0.0,0.0,0.0,50.2
32,AB004 Saturday,2024-04-13T08:09:35.000,39.150864501,-84.501215268,71.0,0.0,0.0,0.0,50.0
33,AB004 Saturday,2024-04-13T08:09:40.000,39.150841085,-84.501201185,71.4,0.0,0.0,0.0,50.0
34,AB004 Saturday,2024-04-13T08:09:45.000,39.150828924,-84.501172331,71.8,0.0,0.0,0.0,50.0
35,AB004 Saturday,2024-04-13T08:09:50.000,39.150828924,-84.501172331,72.0,0.0,0.0,0.0,50.0
36,AB004 Saturday,2024-04-13T08:09:55.000,39.150828924,-84.501172331,72.0,0.0,0.0,0.0,50.0
37,AB004 Saturday,2024-04-13T08:10:00.000,39.150828924,-84.501172331,72.0,0.0,0.0,0.0,50.0
38,AB004 Saturday,2024-04-13T08:10:05.000,39.150828924,-84.501172331,72.0,0.0,0.0,0.0,50.0
39,AB004 Saturday,2024-04-13T08:10:10.000,39.150828924,-84.501172331,72.0,0.0,0.0,0.0,50.0
40,AB004 Saturday,2024-04-13T08:10:15.000,39.150851925,-84.50118608,72.0,0.0,0.0,0.0,50.0
41,AB004 Saturday,2024-04-13T08:10:20.000,39.150847255,-84.501196657,72.0,0.0,0.0,0.0,50.0
42,AB004 Saturday,2024-04-13T08:10:25.000,39.1508264,-84.501218055,72.0,0.0,0.0,0.0,50.0
43,AB004 Saturday,2024-04-13T08:10:30.000,39.150829106,-84.501190444,72.0,0.0,0.0,0.0,49.4
44,AB004 Saturday,2024-04-13T08:10:35.000,39.150822993,-84.50118062,72.0,0.0,0.0,0.0,49.0
45,AB004 Saturday,2024-04-13T08:10:40.000,39.150822993,-84.50118062,72.0,0.0,0.0,0.0,49.0
46,AB004 Saturday,2024-04-13T08:10:45.000,39.150822993,-84.50118062,72.0,0.0,0.0,0.0,49.0
47,AB004 Saturday,2024-04-13T08:10:50.000,39.150798017,-84.501196607,72.0,0.0,0.0,0.0,49.0
48,AB004 Saturday,2024-04-13T08:10:55.000,39.150819132,-84.501190323,72.0,0.0,0.0,0.0,49.0
49,AB004 Saturday,2024-04-13T08:11:00.000,39.150819132,-84.501190323,73.0,0.0,0.0,0.0,49.0
50,AB004 Saturday,2024-04-13T08:11:05.000,39.150819702,-84.501179546,73.0,0.0,0.0,0.0,49.0
51,AB004 Saturday,2024-04-13T08:11:10.000,39.15080485,-84.501155613,73.0,0.0,0.0,0.0,49.0
52,AB004 Saturday,2024-04-13T08:11:15.000,39.150785239,-84.50112801,73.0,0.0,0.0,0.0,49.0
53,AB004 Saturday,2024-04-13T08:11:20.000,39.150788801,-84.501098812,73.0,0.0,0.0,0.0,49.0
54,AB004 Saturday,2024-04-13T08:11:25.000,39.150790965,-84.501096048,73.0,0.0,0.0,0.0,49.0
55,AB004 Saturday,2024-04-13T08:11:30.000,39.150790965,-84.501096048,73.0,0.0,0.0,0.0,49.0
56,AB004 Saturday,2024-04-13T08:11:35.000,39.150790965,-84.501096048,73.0,0.0,0.0,0.0,49.0
57,AB004 Saturday,2024-04-13T08:11:40.000,39.150811181,-84.501150647,73.0,0.0,0.0,0.0,48.6
58,AB004 Saturday,2024-04-13T08:11:45.000,39.150814164,-84.501155337,73.0,0.0,0.0,0.0,48.0
59,AB004 Saturday,2024-04-13T08:11:50.000,39.150808357,-84.501163791,73.0,0.0,0.0,0.0,48.0
60,AB004 Saturday,2024-04-13T08:11:55.000,39.150808247,-84.501185969,73.0,0.0,0.0,0.0,48.0
61,AB004 Saturday,2024-04-13T08:12:00.000,39.150808247,-84.501185969,73.0,0.0,0.0,0.0,48.0
62,AB004 Saturday,2024-04-13T08:12:05.000,39.150808247,-84.501185969,73.0,0.0,0.0,0.0,48.0
63,AB004 Saturday,2024-04-13T08:12:10.000,39.150808247,-84.501185969,73.0,0.0,0.0,0.0,48.0
64,AB004 Saturday,2024-04-13T08:12:15.000,39.150808247,-84.501185969,73.0,0.0,0.0,0.0,48.0
65,AB004 Saturday,2024-04-13T08:12:20.000,39.150804163,-84.501199498,73.8,0.0,0.0,0.0,48.0
