,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,AB004 Sunday,2024-04-14T08:04:48.000,39.150838707,-84.501206242,74.0,1.0,1.0,1.0,46.0
2,AB004 Sunday,2024-04-14T08:04:53.000,39.150838707,-84.501206242,74.0,0.0,0.0,0.0,45.0
3,AB004 Sunday,2024-04-14T08:04:58.000,39.150838707,-84.501206242,74.0,0.0,0.0,0.0,45.0
4,AB004 Sunday,2024-04-14T08:05:03.000,39.150838707,-84.501206242,74.0,0.0,0.0,0.0,45.0
5,AB004 Sunday,2024-04-14T08:05:08.000,39.150838707,-84.501206242,74.2,0.0,0.0,0.0,45.0
6,AB004 Sunday,2024-04-14T08:05:13.000,39.150860778,-84.501191798,75.0,0.0,0.0,0.0,45.0
7,AB004 Sunday,2024-04-14T08:05:18.000,39.150855556,-84.501190541,75.0,0.0,0.0,0.0,45.0
8,AB004 Sunday,2024-04-14T08:05:23.000,39.15085395,-84.501192416,75.0,0.0,0.0,0.0,45.0
9,AB004 Sunday,2024-04-14T08:05:28.000,39.15085395,-84.501192416,75.0,0.0,0.0,0.0,45.0
10,AB004 Sunday,2024-04-14T08:05:33.000,39.15085395,-84.501192416,75.0,0.4,0.4,0.4,45.0
11,AB004 Sunday,2024-04-14T08:05:38.000,39.15085395,-84.501192416,75.0,0.2,0.2,0.2,45.0
12,AB004 Sunday,2024-04-14T08:05:43.000,39.15085395,-84.501192416,75.0,0.0,0.0,0.0,44.0
13,AB004 Sunday,2024-04-14T08:05:48.000,39.15085395,-84.501192416,75.0,0.0,0.0,0.0,44.0
14,AB004 Sunday,2024-04-14T08:05:53.000,39.15085395,-84.501192416,75.0,0.0,0.0,0.0,44.0
15,AB004 Sunday,2024-04-14T08:05:58.000,39.15085395,-84.501192416,75.0,0.0,0.0,0.0,44.0
16,AB004 Sunday,2024-04-14T08:06:03.000,39.15085395,-84.501192416,75.0,0.0,0.0,0.0,43.0
17,AB004 Sunday,2024-04-14T08:06:08.000,39.15085395,-84.501192416,75.333336,0.0,0.0,0.0,43.0
18,AB004 Sunday,2024-04-14T08:06:13.000,39.15085395,-84.501192416,76.0,0.0,0.0,0.0,43.0
19,AB004 Sunday,2024-04-14T08:06:18.000,39.15085395,-84.501192416,76.0,0.0,0.0,0.0,43.0
20,AB004 Sunday,2024-04-14T08:06:23.000,39.15085395,-84.501192416,76.0,0.0,0.0,0.0,43.0
21,AB004 Sunday,2024-04-14T08:06:28.000,39.15085395,-84.501192416,76.0,0.0,0.0,0.0,43.0
22,AB004 Sunday,2024-04-14T08:06:33.000,39.15085395,-84.501192416,76.0,0.0,0.0,0.0,43.0
23,AB004 Sunday,2024-04-14T08:06:38.000,39.15085395,-84.501192416,76.0,0.0,0.0,0.0,43.0
24,AB004 Sunday,2024-04-14T08:06:43.000,39.15085395,-84.501192416,76.0,0.0,0.0,0.0,43.0
25,AB004 Sunday,2024-04-14T08:06:48.000,39.15085395,-84.501192416,76.0,0.0,0.0,0.0,42.6
26,AB004 Sunday,2024-04-14T08:06:53.000,39.15085395,-84.501192416,76.0,0.16666667,0.16666667,0.16666667,42.0
27,AB004 Sunday,2024-04-14T08:06:58.000,39.15085395,-84.501192416,76.75,0.0,0.0,0.0,42.0
28,AB004 Sunday,2024-04-14T08:07:03.000,39.15085395,-84.501192416,77.0,0.4,0.4,0.4,42.0
29,AB004 Sunday,2024-04-14T08:07:08.000,39.15085395,-84.501192416,77.0,0.33333334,0.33333334,0.33333334,42.0
30,AB004 Sunday,2024-04-14T08:07:13.000,39.15085395,-84.501192416,77.0,0.0,0.0,0.0,42.0
31,AB004 Sunday,2024-04-14T08:07:18.000,39.15085395,-84.501192416,77.0,0.6,0.6,0.6,42.0
32,AB004 Sunday,2024-04-14T08:07:23.000,39.15085395,-84.501192416,77.0,0.33333334,0.33333334,0.33333334,42.0
33,AB004 Sunday,2024-04-14T08:07:28.000,39.15085395,-84.501192416,77.0,0.0,0.0,0.0,42.0
34,AB004 Sunday,2024-04-14T08:07:33.000,39.15085395,-84.501192416,77.0,0.0,0.0,0.0,41.4
35,AB004 Sunday,2024-04-14T08:07:38.000,39.15085395,-84.501192416,77.0,0.0,0.0,0.0,41.0
36,AB004 Sunday,2024-04-14T08:07:43.000,39.15085395,-84.501192416,77.0,0.0,0.0,0.0,41.0
37,AB004 Sunday,2024-04-14T08:07:48.000,39.15085395,-84.501192416,78.0,0.0,0.0,0.0,41.0
38,AB004 Sunday,2024-04-14T08:07:53.000,39.15085395,-84.501192416,78.0,0.0,0.0,0.0,41.0
39,AB004 Sunday,2024-04-14T08:07:58.000,39.15085395,-84.501192416,78.0,0.8,0.8,0.8,41.0
40,AB004 Sunday,2024-04-14T08:08:03.000,39.15085395,-84.501192416,78.0,0.0,0.0,0.0,41.0
41,AB004 Sunday,2024-04-14T08:08:08.000,39.15085395,-84.501192416,78.0,0.0,0.0,0.0,41.0
42,AB004 Sunday,2024-04-14T08:08:13.000,39.15085395,-84.501192416,78.0,0.0,0.0,0.0,41.0
43,AB004 Sunday,2024-04-14T08:08:18.000,39.15085395,-84.501192416,78.0,0.0,0.0,0.0,41.0
44,AB004 Sunday,2024-04-14T08:08:23.000,39.15085395,-84.501192416,78.0,0.0,0.0,0.0,40.2
45,AB004 Sunday,2024-04-14T08:08:28.000,39.15085395,-84.501192416,78.0,0.8,0.8,0.8,40.0
46,AB004 Sunday,2024-04-14T08:08:33.000,39.15085395,-84.501192416,78.0,0.6,0.6,0.6,40.0
47,AB004 Sunday,2024-04-14T08:08:38.000,39.15085395,-84.501192416,78.8,0.2,0.2,0.2,40.0
48,AB004 Sunday,2024-04-14T08:08:43.000,39.15085395,-84.501192416,79.0,0.6,0.6,0.6,40.0
49,AB004 Sunday,2024-04-14T08:08:48.000,39.15085395,-84.501192416,79.0,0.8,0.8,0.8,40.0
50,AB004 Sunday,2024-04-14T08:08:53.000,39.15085395,-84.501192416,79.0,0.2,0.2,0.2,40.0
51,AB004 Sunday,2024-04-14T08:08:58.000,39.15085395,-84.501192416,79.0,0.6,0.6,0.6,40.0
52,AB004 Sunday,2024-04-14T08:09:03.000,39.15085395,-84.501192416,79.0,0.0,0.0,0.0,40.0
53,AB004 Sunday,2024-04-14T08:09:08.000,39.15085395,-84.501192416,79.0,0.0,0.0,0.0,40.0
54,AB004 Sunday,2024-04-14T08:09:13.000,39.15085395,-84.501192416,79.0,0.0,0.0,0.0,40.0
55,AB004 Sunday,2024-04-14T08:09:18.000,39.15085395,-84.501192416,79.0,0.0,0.0,0.0,39.8
56,AB004 Sunday,2024-04-14T08:09:23.000,39.15085395,-84.501192416,79.0,0.0,0.0,0.0,39.0
57,AB004 Sunday,2024-04-14T08:09:28.000,39.15085395,-84.501192416,79.4,0.0,0.0,0.0,39.0
58,AB004 Sunday,2024-04-14T08:09:33.000,39.15085395,-84.501192416,80.0,0.0,0.0,0.0,39.0
59,AB004 Sunday,2024-04-14T08:09:38.000,39.15085395,-84.501192416,80.0,0.4,0.4,0.4,39.0
60,AB004 Sunday,2024-04-14T08:09:43.000,39.15085395,-84.501192416,80.0,1.0,1.0,1.0,39.0
61,AB004 Sunday,2024-04-14T08:09:48.000,39.15085395,-84.501192416,80.0,0.4,0.4,0.4,39.0
62,AB004 Sunday,2024-04-14T08:09:53.000,39.15085395,-84.501192416,80.0,0.0,0.0,0.0,39.0
63,AB004 Sunday,2024-04-14T08:09:58.000,39.15085395,-84.501192416,80.0,0.0,0.0,0.0,39.0
64,AB004 Sunday,2024-04-14T08:10:03.000,39.15085395,-84.501192416,80.0,0.2,0.2,0.2,39.0
65,AB004 Sunday,2024-04-14T08:10:08.000,39.15085395,-84.501192416,80.0,0.0,0.0,0.0,39.0
