,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,AB004 Tuesday,2024-04-09T09:27:33.000,39.150803931,-84.50121744,83.0,5.9636364,6.9636364,6.927273,42.109093
2,AB004 Tuesday,2024-04-09T09:28:33.000,39.150803931,-84.50121744,83.0,5.5833335,6.5833335,6.5666666,40.916668
3,AB004 Tuesday,2024-04-09T09:29:33.000,39.150819076,-84.501233421,83.05,5.5333333,6.5333333,6.5333333,41.3
4,AB004 Tuesday,2024-04-09T09:30:33.000,39.150835032,-84.501215364,83.96667,6.016667,7.016667,7.0,40.25
5,AB004 Tuesday,2024-04-09T09:31:33.000,39.150828429,-84.501203704,84.0,5.5902777,6.5902777,6.526389,39.958332
6,AB004 Tuesday,2024-04-09T09:32:33.000,39.150822947,-84.501199392,84.0,5.7527776,6.7527776,6.7319446,39.525
7,AB004 Tuesday,2024-04-09T09:33:33.000,39.150821869,-84.501224577,84.0,5.0111113,6.0111113,6.0111113,39.133335
8,AB004 Tuesday,2024-04-09T09:34:33.000,39.150852373,-84.501230547,84.0,4.9666667,5.9333334,5.8166666,39.0
9,AB004 Tuesday,2024-04-09T09:35:33.000,39.150843911,-84.501208974,84.0,6.25,7.266667,7.25,39.583332
10,AB004 Tuesday,2024-04-09T09:36:33.000,39.150837045,-84.501214546,84.0,5.3,6.3,6.266667,40.0
11,AB004 Tuesday,2024-04-09T09:37:33.000,39.150843611,-84.501226967,83.933334,5.383333,6.366667,6.35,40.0
12,AB004 Tuesday,2024-04-09T09:38:33.000,39.15088206,-84.501221074,83.05,5.661111,6.661111,6.6444445,40.0
13,AB004 Tuesday,2024-04-09T09:39:33.000,39.15084098,-84.501188998,83.0,6.2125,7.2125,7.179167,40.0
14,AB004 Tuesday,2024-04-09T09:40:33.000,39.150850538,-84.501199727,83.0,5.8777776,6.8944445,6.8638887,40.0
15,AB004 Tuesday,2024-04-09T09:41:33.000,39.150821004,-84.501212938,83.0,6.459722,7.540278,7.388889,40.0
16,AB004 Tuesday,2024-04-09T09:42:33.000,39.150901849,-84.50121065,83.0,6.05,7.05,7.0333333,40.0
17,AB004 Tuesday,2024-04-09T09:43:33.000,39.150856875,-84.501230347,83.0,6.983333,8.2,7.983333,40.0
18,AB004 Tuesday,2024-04-09T09:44:33.000,39.150814817,-84.501198975,83.0,6.133333,7.133333,7.1,40.0
19,AB004 Tuesday,2024-04-09T09:45:33.000,39.150880043,-84.501213082,83.0,5.6833334,6.6833334,6.6833334,40.0
20,AB004 Tuesday,2024-04-09T09:46:33.000,39.150863728,-84.501233685,83.0,5.35,6.35,6.3333335,40.0
21,AB004 Tuesday,2024-04-09T09:47:33.000,39.150846947,-84.501211644,83.0,5.383333,6.383333,6.366667,40.0
22,AB004 Tuesday,2024-04-09T09:48:33.000,39.150808332,-84.501198655,83.0,5.1041665,6.1041665,6.0833335,40.0
23,AB004 Tuesday,2024-04-09T09:49:33.000,39.150862016,-84.501185705,83.0,5.2194443,6.2194443,6.2194443,40.0
24,AB004 Tuesday,2024-04-09T09:50:33.000,39.150850156,-84.501174183,83.0,6.538889,7.772222,7.538889,40.0
25,AB004 Tuesday,2024-04-09T09:51:33.000,39.15081926,-84.50116643,83.0,5.8333335,6.8333335,6.8333335,40.25
26,AB004 Tuesday,2024-04-09T09:52:33.000,39.150866155,-84.501154736,83.0,6.616667,7.6666665,7.616667,40.0
27,AB004 Tuesday,2024-04-09T09:53:33.000,39.15081747,-84.501155472,83.0,6.0666666,7.15,7.0666666,40.0
28,AB004 Tuesday,2024-04-09T09:54:33.000,39.150847675,-84.501209023,83.0,6.2,7.2166667,7.2,40.0
29,AB004 Tuesday,2024-04-09T09:55:33.000,39.150892467,-84.501165341,83.0,6.3166666,7.3,7.2833333,40.0
30,AB004 Tuesday,2024-04-09T09:56:33.000,39.150827404,-84.501183713,83.0,5.733333,6.733333,6.733333,40.0
31,AB004 Tuesday,2024-04-09T09:57:33.000,39.150873424,-84.501177368,82.96667,,,,
32,AB004 Tuesday,2024-04-09T09:57:33.000,39.150871732,-84.501175333,,6.1305556,7.1305556,7.116667,
33,AB004 Tuesday,2024-04-09T09:57:33.000,39.150873424,-84.501177368,,,,,40.0
34,AB004 Tuesday,2024-04-09T09:58:33.000,39.150890226,-84.50127623,82.65417,6.6902776,7.8458333,7.6902776,40.083332
35,AB004 Tuesday,2024-04-09T09:59:33.000,39.150891985,-84.501211073,82.218056,6.102778,7.088889,7.072222,40.35
36,AB004 Tuesday,2024-04-09T10:00:33.000,39.150891985,-84.501211073,82.05,6.0,7.0,6.983333,40.433334
37,AB004 Tuesday,2024-04-09T10:01:33.000,39.150891985,-84.501211073,82.01667,5.883333,6.883333,6.866667,40.766666
38,AB004 Tuesday,2024-04-09T10:02:33.000,39.150891985,-84.501211073,82.01667,5.633333,6.6833334,6.6,40.133335
39,AB004 Tuesday,2024-04-09T10:03:33.000,39.150891985,-84.501211073,82.01667,5.6666665,6.6666665,6.616667,40.483334
40,AB004 Tuesday,2024-04-09T10:04:33.000,39.150891985,-84.501211073,82.01667,6.0833335,7.0833335,7.0833335,41.0
41,AB004 Tuesday,2024-04-09T10:05:33.000,39.150825679,-84.501224371,82.01667,6.2,7.2,7.1833334,40.733334
42,AB004 Tuesday,2024-04-09T10:06:33.000,39.150825679,-84.501224371,82.0,5.640278,6.640278,6.640278,40.0625
43,AB004 Tuesday,2024-04-09T10:07:33.000,39.150848113,-84.501208218,82.0,5.608333,6.608333,6.608333,40.366665
44,AB004 Tuesday,2024-04-09T10:08:33.000,39.150876741,-84.50124813,82.0,5.272222,6.241667,6.241667,41.0
45,AB004 Tuesday,2024-04-09T10:09:33.000,39.150860288,-84.50121927,82.0,6.1430554,7.1291666,7.098611,40.92361
46,AB004 Tuesday,2024-04-09T10:10:33.000,39.15087092,-84.501203378,82.0,6.4333334,7.4333334,7.4333334,40.233334
47,AB004 Tuesday,2024-04-09T10:11:33.000,39.15085074,-84.501211696,82.0,6.133333,7.133333,7.133333,40.0
48,AB004 Tuesday,2024-04-09T10:12:33.000,39.150853059,-84.501212327,82.0,5.4166665,6.4166665,6.4166665,40.116665
49,AB004 Tuesday,2024-04-09T10:13:33.000,39.150844873,-84.501191504,82.0,5.9333334,6.983333,6.9333334,40.0
50,AB004 Tuesday,2024-04-09T10:14:33.000,39.150822399,-84.501177126,82.0,5.45,6.4333334,6.4,40.0
51,AB004 Tuesday,2024-04-09T10:15:33.000,39.150860962,-84.501247589,82.0,6.0444446,7.0444446,7.0444446,40.0
52,AB004 Tuesday,2024-04-09T10:16:33.000,39.1508755,-84.501232125,82.0,5.3875,6.3875,6.3708334,40.0
53,AB004 Tuesday,2024-04-09T10:17:33.000,39.150851035,-84.501248239,82.0,5.35,6.3166666,6.3,40.0
54,AB004 Tuesday,2024-04-09T10:18:33.000,39.150861687,-84.501261269,82.0,5.1666665,6.15,6.1,40.0
55,AB004 Tuesday,2024-04-09T10:19:33.000,39.150861687,-84.501261269,82.0,5.45,6.45,6.45,40.0
56,AB004 Tuesday,2024-04-09T10:20:33.000,39.150888835,-84.50120729,82.0,5.7,6.6833334,6.6666665,40.0
57,AB004 Tuesday,2024-04-09T10:21:33.000,39.150881121,-84.501215738,82.0,5.8875,6.8875,6.8541665,40.0
58,AB004 Tuesday,2024-04-09T10:22:33.000,39.150934284,-84.501189693,82.0,5.3708334,6.3708334,6.3708334,40.0
59,AB004 Tuesday,2024-04-09T10:23:33.000,39.150824019,-84.501212665,82.0,5.366667,6.352778,6.352778,40.0
60,AB004 Tuesday,2024-04-09T10:24:33.000,39.150851963,-84.501196652,82.0,5.5333333,6.5333333,6.5,40.0
