,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,AB004 Tuesday,2024-04-15T20:44:33.000,39.150826725,-84.50122036,89.0,,,,
2,AB004 Tuesday,2024-04-16T07:21:58.000,39.150771691,-84.501244932,89.0,,,,
3,AB004 Tuesday,2024-04-16T07:21:58.000,39.150769181,-84.501232445,,0.46363637,0.46363637,,
4,AB004 Tuesday,2024-04-16T07:21:58.000,39.150771691,-84.501244932,,,,0.46363637,36.0
5,AB004 Tuesday,2024-04-16T07:22:58.000,39.150781834,-84.501202812,89.0,0.51111114,0.51111114,0.51111114,35.952778
6,AB004 Tuesday,2024-04-16T07:23:58.000,39.150781834,-84.501202812,89.0,0.84305555,0.84305555,0.84305555,35.84722
7,AB004 Tuesday,2024-04-16T07:24:58.000,39.150781834,-84.501202812,88.96667,1.0888889,1.0888889,1.0888889,36.0
8,AB004 Tuesday,2024-04-16T07:25:58.000,39.150781834,-84.501202812,88.05556,0.8611111,0.8611111,0.8611111,36.0
9,AB004 Tuesday,2024-04-16T07:26:58.000,39.150670772,-84.501203607,88.0,0.6527778,0.6527778,0.6527778,36.0
10,AB004 Tuesday,2024-04-16T07:27:58.000,39.150670772,-84.501203607,88.0,0.73333335,0.73333335,0.73333335,36.0
11,AB004 Tuesday,2024-04-16T07:28:58.000,39.150670772,-84.501203607,88.0,0.45,0.45,0.45,36.0
12,AB004 Tuesday,2024-04-16T07:29:58.000,39.150670772,-84.501203607,88.0,0.6666667,0.6666667,0.6666667,36.0
13,AB004 Tuesday,2024-04-16T07:30:58.000,39.150670772,-84.501203607,88.0,0.9166667,0.9166667,0.9166667,36.683334
14,AB004 Tuesday,2024-04-16T07:31:58.000,39.150670772,-84.501203607,87.9,0.56666666,0.56666666,0.56666666,36.95
15,AB004 Tuesday,2024-04-16T07:32:58.000,39.150670772,-84.501203607,87.0,0.32916668,0.32916668,0.32916668,37.0
16,AB004 Tuesday,2024-04-16T07:33:58.000,39.150670772,-84.501203607,87.0,1.325,1.325,1.325,37.0
17,AB004 Tuesday,2024-04-16T07:34:58.000,39.150769156,-84.501130895,87.0,1.0666667,1.0666667,1.0666667,37.0
18,AB004 Tuesday,2024-04-16T07:35:58.000,39.150737161,-84.501283273,87.0,1.1,1.1,1.1,37.0
19,AB004 Tuesday,2024-04-16T07:36:58.000,39.150704977,-84.501145163,87.0,0.71666664,0.71666664,0.71666664,37.0
20,AB004 Tuesday,2024-04-16T07:37:58.000,39.150704977,-84.501145163,87.0,0.9361111,0.9361111,0.9361111,37.0
21,AB004 Tuesday,2024-04-16T07:38:58.000,39.150704977,-84.501145163,87.0,1.0041667,1.0041667,1.0041667,37.0
22,AB004 Tuesday,2024-04-16T07:39:58.000,39.150704977,-84.501145163,87.0,0.5833333,0.5833333,0.5833333,37.0
23,AB004 Tuesday,2024-04-16T07:40:58.000,39.150704977,-84.501145163,87.0,1.3166667,1.3166667,1.3166667,37.0
24,AB004 Tuesday,2024-04-16T07:41:58.000,39.150704977,-84.501145163,87.0,1.1833333,1.1833333,1.1833333,37.0
25,AB004 Tuesday,2024-04-16T07:42:58.000,39.150683977,-84.501236037,87.0,0.95,0.95,0.95,37.0
26,AB004 Tuesday,2024-04-16T07:43:58.000,39.150683977,-84.501236037,87.0,0.46666667,0.46666667,0.46666667,37.0
27,AB004 Tuesday,2024-04-16T07:44:58.000,39.150683977,-84.501236037,87.0,0.87916666,0.87916666,0.87916666,37.0
28,AB004 Tuesday,2024-04-16T07:45:58.000,39.150683977,-84.501236037,87.0,0.25555557,0.25555557,0.25555557,37.0
29,AB004 Tuesday,2024-04-16T07:46:58.000,39.150729985,-84.501212734,87.0,0.96666664,0.96666664,0.96666664,37.0375
30,AB004 Tuesday,2024-04-16T07:47:58.000,39.150729985,-84.501212734,87.0,0.78333336,0.78333336,0.78333336,37.0
31,AB004 Tuesday,2024-04-16T07:48:58.000,39.150729985,-84.501212734,87.0,0.75,0.75,0.75,37.0
32,AB004 Tuesday,2024-04-16T07:49:58.000,39.150729985,-84.501212734,87.0,0.76666665,0.76666665,0.76666665,37.0
33,AB004 Tuesday,2024-04-16T07:50:58.000,39.150729985,-84.501212734,87.0,0.68333334,0.68333334,0.68333334,37.0
34,AB004 Tuesday,2024-04-16T07:51:58.000,39.150729985,-84.501212734,87.0,0.9,0.9,0.9,37.0
35,AB004 Tuesday,2024-04-16T07:52:58.000,39.150729985,-84.501212734,87.0,0.95,0.95,0.95,37.01389
36,AB004 Tuesday,2024-04-16T07:53:58.000,39.150729985,-84.501212734,87.0,1.0833334,1.0833334,1.0833334,37.0
37,AB004 Tuesday,2024-04-16T07:54:58.000,39.150729985,-84.501212734,87.0,1.1333333,1.1333333,1.1333333,37.15
38,AB004 Tuesday,2024-04-16T07:55:58.000,39.150729985,-84.501212734,86.816666,1.05,1.05,1.05,37.1
39,AB004 Tuesday,2024-04-16T07:56:58.000,39.150769677,-84.501162733,86.183334,1.1,1.1,1.1,37.416668
40,AB004 Tuesday,2024-04-16T07:57:58.000,39.150815347,-84.501199556,86.0,1.9,1.9833333,1.9,36.25
41,AB004 Tuesday,2024-04-16T07:58:58.000,39.150815347,-84.501199556,86.0,1.7180556,1.7180556,1.7180556,36.0
42,AB004 Tuesday,2024-04-16T07:59:58.000,39.150815347,-84.501199556,86.0,1.9319445,2.0486112,1.9319445,36.0
43,AB004 Tuesday,2024-04-16T08:00:58.000,39.150815347,-84.501199556,86.0,2.1666667,2.4166667,2.1666667,36.0
44,AB004 Tuesday,2024-04-16T08:01:58.000,39.150815347,-84.501199556,86.0,1.8666667,1.8666667,1.8666667,36.866665
45,AB004 Tuesday,2024-04-16T08:02:58.000,39.150815347,-84.501199556,85.2,2.0,2.05,2.0,37.0
46,AB004 Tuesday,2024-04-16T08:03:58.000,39.150815347,-84.501199556,85.0,1.9305556,2.0,1.9305556,37.0
47,AB004 Tuesday,2024-04-16T08:04:58.000,39.150815347,-84.501199556,85.0,1.6,1.7166667,1.6,37.0
48,AB004 Tuesday,2024-04-16T08:05:58.000,39.150815347,-84.501199556,85.0,1.75,1.8666667,1.75,37.0
49,AB004 Tuesday,2024-04-16T08:06:58.000,39.150815347,-84.501199556,85.0,1.8666667,1.8666667,1.8666667,37.0
50,AB004 Tuesday,2024-04-16T08:07:58.000,39.150815347,-84.501199556,85.0,1.8041667,1.8319445,1.8041667,37.0
51,AB004 Tuesday,2024-04-16T08:08:58.000,39.150815347,-84.501199556,85.0,1.3,1.3,1.3,37.0
52,AB004 Tuesday,2024-04-16T08:09:58.000,39.150815347,-84.501199556,84.51667,2.1,2.15,2.1,37.033333
53,AB004 Tuesday,2024-04-16T08:10:58.000,39.150815347,-84.501199556,84.0,1.75,1.75,1.75,37.883335
54,AB004 Tuesday,2024-04-16T08:11:58.000,39.150815347,-84.501199556,84.0,1.5833334,1.5833334,1.5833334,38.0
55,AB004 Tuesday,2024-04-16T08:12:58.000,39.150815347,-84.501199556,84.0,1.5833334,1.5833334,1.5833334,38.0
56,AB004 Tuesday,2024-04-16T08:13:58.000,39.150815347,-84.501199556,84.0,1.7361112,1.7361112,1.7361112,38.0
57,AB004 Tuesday,2024-04-16T08:14:58.000,39.150815347,-84.501199556,84.0,1.725,1.725,1.725,38.0
58,AB004 Tuesday,2024-04-16T08:15:58.000,39.150815347,-84.501199556,84.0,1.2166667,1.2166667,1.2166667,38.0
59,AB004 Tuesday,2024-04-16T08:16:58.000,39.150815347,-84.501199556,84.0,1.7333333,1.7333333,1.7333333,38.0
60,AB004 Tuesday,2024-04-16T08:17:58.000,39.150815347,-84.501199556,84.0,1.2666667,1.2666667,1.2666667,38.0
