,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc67d981c,AirBeam3:943cc67d981c,AirBeam3:943cc67d981c,AirBeam3:943cc67d981c,AirBeam3:943cc67d981c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Brh01 Monday2,2024-03-25T09:25:30.000,39.172699663,-84.470690768,82.0,5.0,6.0,6.0,26.0
2,Brh01 Monday2,2024-03-25T09:25:35.000,39.172699663,-84.470690768,82.0,5.0,6.0,6.0,26.0
3,Brh01 Monday2,2024-03-25T09:25:40.000,39.172699663,-84.470690768,82.0,4.4,5.4,5.4,26.0
4,Brh01 Monday2,2024-03-25T09:25:45.000,39.172699663,-84.470690768,82.0,4.0,5.0,5.0,26.0
5,Brh01 Monday2,2024-03-25T09:25:50.000,39.172699663,-84.470690768,82.0,4.6,5.6,5.6,26.0
6,Brh01 Monday2,2024-03-25T09:25:55.000,39.172699663,-84.470690768,82.0,4.6,5.6,5.6,26.0
7,Brh01 Monday2,2024-03-25T09:26:00.000,39.172699663,-84.470690768,82.0,5.0,6.0,6.0,26.0
8,Brh01 Monday2,2024-03-25T09:26:05.000,39.172699663,-84.470690768,82.0,4.6,5.6,5.6,26.0
9,Brh01 Monday2,2024-03-25T09:26:10.000,39.172699663,-84.470690768,82.0,4.6,5.6,5.6,26.0
10,Brh01 Monday2,2024-03-25T09:26:15.000,39.172699663,-84.470690768,82.0,5.6,6.6,6.6,26.0
11,Brh01 Monday2,2024-03-25T09:26:20.000,39.172699663,-84.470690768,82.0,6.0,7.0,7.0,26.0
12,Brh01 Monday2,2024-03-25T09:26:25.000,39.172699663,-84.470690768,82.0,5.6,6.6,6.6,26.0
13,Brh01 Monday2,2024-03-25T09:26:30.000,39.172699663,-84.470690768,82.0,4.4,5.4,5.4,26.0
