,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N01,2024-04-15T16:15:30.000,39.184294108,-84.423882464,84.0,1.0,1.0,1.0,45.0
2,N01,2024-04-15T16:15:31.000,39.184294108,-84.423882464,84.0,0.0,1.0,0.0,43.0
3,N01,2024-04-15T16:15:33.000,39.184294108,-84.423882464,84.0,0.0,0.0,0.0,43.0
4,N01,2024-04-15T16:15:35.000,39.184232354,-84.423932426,84.0,1.0,0.0,0.0,43.0
5,N01,2024-04-15T16:15:37.000,39.184232354,-84.423932426,84.0,1.0,1.0,1.0,44.0
6,N01,2024-04-15T16:15:38.000,39.184232354,-84.423932426,84.0,,,,
7,N01,2024-04-15T16:15:38.000,39.184234915,-84.423903881,84.0,,,,
8,N01,2024-04-15T16:15:38.000,39.184232354,-84.423932426,,1.0,,,
9,N01,2024-04-15T16:15:38.000,39.184234915,-84.423903881,,0.0,,,
10,N01,2024-04-15T16:15:38.000,39.184232354,-84.423932426,,,1.0,,
11,N01,2024-04-15T16:15:38.000,39.184234915,-84.423903881,,,0.0,,
12,N01,2024-04-15T16:15:38.000,39.184232354,-84.423932426,,,,1.0,
13,N01,2024-04-15T16:15:38.000,39.184234915,-84.423903881,,,,0.0,44.0
14,N01,2024-04-15T16:15:38.000,39.184232354,-84.423932426,,,,,44.0
15,N01,2024-04-15T16:15:40.000,39.184234915,-84.423903881,84.0,0.0,0.0,0.0,44.0
16,N01,2024-04-15T16:15:42.000,39.184234915,-84.423903881,84.0,0.0,0.0,0.0,44.0
