,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N01 Friday afternoon ,2024-04-19T13:35:57.000,39.175745573,-84.447725022,71.0,0.0,0.0,0.0,56.0
2,N01 Friday afternoon ,2024-04-19T13:35:58.000,39.175746696,-84.447718177,71.0,0.0,0.0,0.0,57.0
3,N01 Friday afternoon ,2024-04-19T13:35:59.000,39.175743901,-84.447714726,71.0,1.0,1.0,1.0,57.0
4,N01 Friday afternoon ,2024-04-19T13:36:00.000,39.175738822,-84.447714821,71.0,1.0,1.0,1.0,57.0
5,N01 Friday afternoon ,2024-04-19T13:36:01.000,39.175738429,-84.447714545,71.0,0.0,0.0,0.0,56.0
6,N01 Friday afternoon ,2024-04-19T13:36:02.000,39.175739141,-84.447712119,71.0,0.0,0.0,0.0,56.0
7,N01 Friday afternoon ,2024-04-19T13:36:03.000,39.175735543,-84.447708628,71.0,0.0,0.0,0.0,56.0
8,N01 Friday afternoon ,2024-04-19T13:36:04.000,39.175734988,-84.44770022,71.0,1.0,1.0,1.0,56.0
9,N01 Friday afternoon ,2024-04-19T13:36:05.000,39.175736791,-84.44769489,71.0,1.0,1.0,1.0,56.0
10,N01 Friday afternoon ,2024-04-19T13:36:06.000,39.1757371,-84.447691009,71.0,2.0,2.0,2.0,56.0
11,N01 Friday afternoon ,2024-04-19T13:36:07.000,39.175738259,-84.447686101,71.0,2.0,2.0,2.0,56.0
12,N01 Friday afternoon ,2024-04-19T13:36:08.000,39.17573921,-84.447684107,71.0,2.0,2.0,2.0,56.0
