,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N01 Monday ,2024-04-15T18:32:19.000,39.175745836,-84.447669549,79.666664,4.0,4.3333335,4.3333335,48.333332
2,N01 Monday ,2024-04-15T18:32:24.000,39.175754107,-84.447684225,80.0,4.0,5.0,5.0,48.0
3,N01 Monday ,2024-04-15T18:32:29.000,39.175762802,-84.447679068,80.0,4.0,5.0,5.0,48.0
4,N01 Monday ,2024-04-15T18:32:34.000,39.175759547,-84.447679042,80.0,3.8,4.8,4.6,49.0
5,N01 Monday ,2024-04-15T18:32:39.000,39.175727625,-84.447663124,80.0,3.0,4.0,3.0,49.0
6,N01 Monday ,2024-04-15T18:32:44.000,39.175747553,-84.447691679,80.0,3.0,4.0,3.0,48.2
7,N01 Monday ,2024-04-15T18:32:49.000,39.175754918,-84.44770141,80.0,3.6,4.6,4.2,48.0
8,N01 Monday ,2024-04-15T18:32:54.000,39.17575275,-84.447700683,80.0,4.0,5.0,5.0,48.0
9,N01 Monday ,2024-04-15T18:32:59.000,39.175742334,-84.447708418,80.0,4.6,5.6,5.6,48.0
10,N01 Monday ,2024-04-15T18:33:04.000,39.175742334,-84.447708418,80.0,4.4,5.4,5.4,48.0
11,N01 Monday ,2024-04-15T18:33:09.000,39.175713597,-84.447719937,80.0,4.8,5.8,5.8,48.0
12,N01 Monday ,2024-04-15T18:33:14.000,39.175710778,-84.447715764,80.0,4.0,5.0,4.8,48.0
13,N01 Monday ,2024-04-15T18:33:19.000,39.175717669,-84.447696181,80.0,3.4,4.4,3.8,48.0
