,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N01 Monday evening ,2024-04-22T11:48:04.000,39.175741404,-84.447688161,67.0,,,,
2,N01 Monday evening ,2024-04-22T18:32:38.000,39.175743899,-84.4476611,67.0,0.0,0.0,0.0,42.0
3,N01 Monday evening ,2024-04-22T18:32:43.000,39.175753226,-84.447662347,67.0,1.0,1.0,1.0,42.0
4,N01 Monday evening ,2024-04-22T18:32:48.000,39.175750305,-84.447667543,67.0,0.0,0.0,0.0,42.0
5,N01 Monday evening ,2024-04-22T18:32:53.000,39.175752462,-84.447664681,67.0,0.0,0.0,0.0,42.0
6,N01 Monday evening ,2024-04-22T18:32:58.000,39.175745345,-84.447673418,67.0,0.0,0.0,0.0,42.0
7,N01 Monday evening ,2024-04-22T18:33:03.000,39.175770406,-84.447672286,67.0,0.0,0.0,0.0,42.0
8,N01 Monday evening ,2024-04-22T18:33:08.000,39.175767593,-84.447683962,67.4,0.0,0.0,0.0,42.0
9,N01 Monday evening ,2024-04-22T18:33:13.000,39.175767593,-84.447683962,68.0,0.0,0.0,0.0,42.0
10,N01 Monday evening ,2024-04-22T18:33:18.000,39.175767593,-84.447683962,68.0,0.0,0.0,0.0,42.0
11,N01 Monday evening ,2024-04-22T18:33:23.000,39.175767593,-84.447683962,68.0,0.0,0.0,0.0,42.0
12,N01 Monday evening ,2024-04-22T18:33:28.000,39.175767593,-84.447683962,68.0,0.0,0.0,0.0,42.0
13,N01 Monday evening ,2024-04-22T18:33:33.000,39.175767593,-84.447683962,68.0,0.0,0.0,0.0,42.0
