,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N01 Monday morning ,2024-04-21T14:03:09.000,39.175797853,-84.447829824,62.0,,,,
2,N01 Monday morning ,2024-04-22T10:57:31.000,39.175781346,-84.447653023,62.0,,,,
3,N01 Monday morning ,2024-04-22T10:57:31.000,39.175781427,-84.447653971,62.0,,,,
4,N01 Monday morning ,2024-04-22T10:57:31.000,39.175781346,-84.447653023,,3.0,,,
5,N01 Monday morning ,2024-04-22T10:57:31.000,39.175781427,-84.447653971,,3.0,,,
6,N01 Monday morning ,2024-04-22T10:57:31.000,39.175781346,-84.447653023,,,3.0,,
7,N01 Monday morning ,2024-04-22T10:57:31.000,39.175781427,-84.447653971,,,4.0,,
8,N01 Monday morning ,2024-04-22T10:57:31.000,39.175781346,-84.447653023,,,,3.0,
9,N01 Monday morning ,2024-04-22T10:57:31.000,39.175781427,-84.447653971,,,,3.0,
10,N01 Monday morning ,2024-04-22T10:57:31.000,39.175781346,-84.447653023,,,,,53.0
11,N01 Monday morning ,2024-04-22T10:57:31.000,39.175781427,-84.447653971,,,,,53.0
12,N01 Monday morning ,2024-04-22T10:57:32.000,39.17578102,-84.447655246,62.0,3.0,4.0,3.0,53.0
13,N01 Monday morning ,2024-04-22T10:57:33.000,39.175781489,-84.447655728,62.0,2.0,2.0,2.0,53.0
14,N01 Monday morning ,2024-04-22T10:57:34.000,39.175783886,-84.447655983,62.0,2.0,2.0,2.0,53.0
15,N01 Monday morning ,2024-04-22T10:57:35.000,39.175784573,-84.447656765,62.0,3.0,4.0,3.0,53.0
