,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N01 Saturday afternoon ,2024-04-20T14:58:31.000,39.175775264,-84.447766562,63.0,0.0,0.0,0.0,39.0
2,N01 Saturday afternoon ,2024-04-20T14:58:32.000,39.175773989,-84.447765428,63.0,0.0,0.0,0.0,39.0
3,N01 Saturday afternoon ,2024-04-20T14:58:33.000,39.175774548,-84.4477666,63.0,0.0,0.0,0.0,39.0
4,N01 Saturday afternoon ,2024-04-20T14:58:34.000,39.175772561,-84.447765498,63.0,0.0,0.0,0.0,39.0
5,N01 Saturday afternoon ,2024-04-20T14:58:35.000,39.175770906,-84.4477665,63.0,0.0,0.0,0.0,39.0
6,N01 Saturday afternoon ,2024-04-20T14:58:36.000,39.175771221,-84.44776153,63.0,0.0,0.0,0.0,39.0
7,N01 Saturday afternoon ,2024-04-20T14:58:37.000,39.175776438,-84.447758234,63.0,0.0,0.0,0.0,39.0
8,N01 Saturday afternoon ,2024-04-20T14:58:38.000,39.175778275,-84.447753084,63.0,0.0,0.0,0.0,39.0
9,N01 Saturday afternoon ,2024-04-20T14:58:39.000,39.175777136,-84.447752503,63.0,0.0,0.0,0.0,39.0
10,N01 Saturday afternoon ,2024-04-20T14:58:40.000,39.175774934,-84.447753118,63.0,0.0,0.0,0.0,39.0
11,N01 Saturday afternoon ,2024-04-20T14:58:41.000,39.175769198,-84.447748041,63.0,0.0,0.0,0.0,39.0
12,N01 Saturday afternoon ,2024-04-20T14:58:42.000,39.175765811,-84.447745409,63.0,0.0,0.0,0.0,39.0
