,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N01 Saturday morning ,2024-04-20T15:13:08.000,39.175690733,-84.447612635,62.0,,,,
2,N01 Saturday morning ,2024-04-21T12:10:56.000,39.175754691,-84.44769446,63.0,1.0,1.0,1.0,53.0
3,N01 Saturday morning ,2024-04-21T12:10:57.000,39.175749776,-84.447690633,63.0,1.0,1.0,1.0,51.0
4,N01 Saturday morning ,2024-04-21T12:10:58.000,39.175742362,-84.447691203,63.0,1.0,1.0,1.0,51.0
5,N01 Saturday morning ,2024-04-21T12:10:59.000,39.175734592,-84.447688002,63.0,1.0,1.0,1.0,51.0
6,N01 Saturday morning ,2024-04-21T12:11:00.000,39.175725919,-84.44768809,63.0,1.0,1.0,1.0,51.0
7,N01 Saturday morning ,2024-04-21T12:11:01.000,39.175721033,-84.447685256,63.0,1.0,1.0,1.0,51.0
8,N01 Saturday morning ,2024-04-21T12:11:02.000,39.175721033,-84.447685256,63.0,1.0,1.0,1.0,51.0
9,N01 Saturday morning ,2024-04-21T12:11:03.000,39.175719706,-84.447685547,63.0,1.0,1.0,1.0,51.0
10,N01 Saturday morning ,2024-04-21T12:11:04.000,39.175719706,-84.447685547,63.0,1.0,1.0,1.0,51.0
11,N01 Saturday morning ,2024-04-21T12:11:05.000,39.175714701,-84.447663804,63.0,1.0,1.0,1.0,51.0
12,N01 Saturday morning ,2024-04-21T12:11:06.000,39.175715104,-84.447653342,63.0,0.0,0.0,0.0,51.0
