,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N01 Thursday afternoon,2024-04-18T13:25:28.000,39.175746323,-84.447639126,71.0,0.0,0.0,0.0,48.0
2,N01 Thursday afternoon,2024-04-18T13:25:29.000,39.175740518,-84.44763677,72.0,0.0,0.0,0.0,48.0
3,N01 Thursday afternoon,2024-04-18T13:25:31.000,39.175743617,-84.447631946,72.0,,,,
4,N01 Thursday afternoon,2024-04-18T13:25:31.000,39.175740733,-84.447634718,72.0,0.0,,,
5,N01 Thursday afternoon,2024-04-18T13:25:31.000,39.175743617,-84.447631946,,0.0,0.0,,
6,N01 Thursday afternoon,2024-04-18T13:25:31.000,39.175740733,-84.447634718,,,0.0,,
7,N01 Thursday afternoon,2024-04-18T13:25:31.000,39.175743617,-84.447631946,,,,0.0,
8,N01 Thursday afternoon,2024-04-18T13:25:31.000,39.175740733,-84.447634718,,,,0.0,
9,N01 Thursday afternoon,2024-04-18T13:25:31.000,39.175743617,-84.447631946,,,,,48.0
10,N01 Thursday afternoon,2024-04-18T13:25:31.000,39.175740733,-84.447634718,,,,,48.0
11,N01 Thursday afternoon,2024-04-18T13:25:33.000,39.175745992,-84.447625675,72.0,,,,
12,N01 Thursday afternoon,2024-04-18T13:25:33.000,39.175746113,-84.447617762,72.0,0.0,,,
13,N01 Thursday afternoon,2024-04-18T13:25:33.000,39.175745992,-84.447625675,,0.0,0.0,,
14,N01 Thursday afternoon,2024-04-18T13:25:33.000,39.175746113,-84.447617762,,,0.0,0.0,
